,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,40179,승리,나르,카페베네설탕도둑,7,3,10,15726,0,13,6,199,6.7,1,2,9
1,40179,승리,카직스,chijixuanshou,6,3,14,19665,3,16,8,189,6.3,1,2,9
2,40179,승리,베이가,ZhanQiHuaYm,7,4,7,19033,10,14,24,257,8.6,1,2,9
3,40179,승리,바루스,멘탈 실력 운,10,1,9,28328,1,12,11,237,8.0,1,2,9
4,40179,승리,알리스타,루시퍼메이데이,0,4,17,7983,9,40,20,59,2.0,1,2,9
5,40179,패배,케넨,Delicious Fish,5,7,3,15690,6,32,2,268,9.0,0,1,3
6,40179,패배,세주아니,점점나의마음이끌,4,7,8,11517,9,49,12,148,5.0,0,1,3
7,40179,패배,조이,FeelsAwesomeMan,4,4,3,19084,3,23,2,219,7.3,0,1,3
8,40179,패배,미스 포츈,6학년4반장용준,2,4,3,28070,4,13,8,293,9.8,0,1,3
9,40179,패배,블리츠크랭크,삼성갤럭시 Crown,0,8,6,6234,10,31,10,31,1.0,0,1,3
10,40180,승리,야스오,카페베네설탕도둑,6,5,7,15454,0,6,2,257,9.2,1,2,11
11,40180,승리,자르반 4세,LPL noob ad QAQ,8,3,12,14104,5,24,10,152,5.4,1,2,11
12,40180,승리,르블랑,단군의청춘부재,9,3,10,30138,3,21,6,213,7.6,1,2,11
13,40180,승리,진,삼성갤럭시 Ru1er,11,6,13,27878,4,7,6,252,9.0,1,2,11
14,40180,승리,쉔,진쟤승,2,3,18,7824,8,39,14,53,1.9,1,2,11
15,40180,패배,잭스,Kingen,1,10,3,15859,3,14,5,206,7.4,0,0,4
16,40180,패배,세주아니,정글노바,2,5,5,6890,7,23,10,150,5.4,0,0,4
17,40180,패배,갈리오,FW Maple,6,5,6,15506,3,12,5,211,7.5,0,0,4
18,40180,패배,미스 포츈,Rain1ng,5,7,6,11742,4,11,7,149,5.3,0,0,4
19,40180,패배,제라스,SKT T1 Bang,5,9,9,17150,4,35,8,50,1.8,0,0,4
20,40181,승리,야스오,카페베네설탕도둑,7,3,5,19259,0,13,8,323,9.0,2,4,11
21,40181,승리,자르반 4세,LPL noob ad QAQ,9,4,6,15077,4,21,22,232,6.5,2,4,11
22,40181,승리,제라스,단군의청춘부재,7,3,10,36009,7,35,12,292,8.2,2,4,11
23,40181,승리,바루스,삼성갤럭시 Ru1er,7,3,9,33189,7,37,29,355,9.9,2,4,11
24,40181,승리,탐 켄치,진쟤승,2,7,15,6720,11,42,17,71,2.0,2,4,11
25,40181,패배,쉔,쌀국수뚝붸기,2,8,5,9599,3,17,2,239,6.7,0,0,3
26,40181,패배,카직스,정글노바,5,4,5,16352,8,24,15,171,4.8,0,0,3
27,40181,패배,아지르,FW Maple,5,4,5,15685,7,39,14,297,8.3,0,0,3
28,40181,패배,진,SKT T1 Bang,6,5,7,20050,5,17,8,289,8.1,0,0,3
29,40181,패배,미스 포츈,republic123,2,11,9,14375,4,58,22,40,1.1,0,0,3
30,40182,승리,야스오,카페베네설탕도둑,9,4,7,23017,0,5,1,257,9.2,1,1,8
31,40182,승리,카직스,니달리버프좀해줘,14,6,8,23454,4,15,4,142,5.1,1,1,8
32,40182,승리,코르키,달래는 지영이,9,6,8,19188,0,9,2,193,6.9,1,1,8
33,40182,승리,진,LPL noob ad QAQ,12,4,10,21778,4,13,4,209,7.5,1,1,8
34,40182,승리,레오나,Never Tilted,1,2,21,7021,7,31,13,50,1.8,1,1,8
35,40182,패배,오른,VIP 민형,2,9,9,12677,3,8,2,163,5.8,0,0,1
36,40182,패배,렉사이,Siste aeterno,10,11,0,14074,3,14,3,139,5.0,0,0,1
37,40182,패배,아지르,성민콩,2,6,8,19493,5,9,6,259,9.2,0,0,1
38,40182,패배,애쉬,STITCH1,4,11,6,13994,1,10,3,135,4.8,0,0,1
39,40182,패배,미스 포츈,aeternitas,4,8,9,17765,3,12,7,84,3.0,0,0,1
40,40183,승리,야스오,카페베네설탕도둑,8,7,8,23161,0,6,15,429,8.5,3,5,10
41,40183,승리,니달리,니달리버프좀해줘,8,5,27,26670,3,34,24,318,6.3,3,5,10
42,40183,승리,카타리나,duibuqiziji,15,11,17,54483,1,20,10,282,5.6,3,5,10
