,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,3817,승리,나르,FeelsCoffeeMan,8,6,12,23837,3,33,7,257,7.4,1,3,9
1,3817,승리,카직스,커닝시티 피그미,15,5,3,28961,4,20,14,185,5.3,1,3,9
2,3817,승리,말자하,Heart,6,7,8,31770,4,22,5,329,9.5,1,3,9
3,3817,승리,바루스,sqb,4,4,15,26459,3,14,5,273,7.9,1,3,9
4,3817,승리,쉔,By myself,0,6,19,8189,17,78,21,65,1.9,1,3,9
5,3817,패배,자르반 4세,Yeeclipse,8,7,12,21586,4,20,7,221,6.4,1,0,3
6,3817,패배,세주아니,마이엠브,4,5,15,14121,10,63,27,173,5.0,1,0,3
7,3817,패배,탈리야,푸딩은푸딩해,8,7,7,29080,2,8,6,315,9.1,1,0,3
8,3817,패배,진,GALA,8,8,9,25269,5,15,8,278,8.0,1,0,3
9,3817,패배,브라움,YOYOuuuuuO,0,6,20,7487,6,39,16,61,1.8,1,0,3
10,3818,승리,카밀,암고잉빽투더스탙,7,3,4,11455,1,10,1,122,7.7,0,1,4
11,3818,승리,카직스,커닝시티 피그미,9,1,7,10150,4,15,2,74,4.7,0,1,4
12,3818,승리,라이즈,FW Maple,3,0,5,4503,3,8,3,150,9.5,0,1,4
13,3818,승리,바루스,GALAAAA,5,2,8,7979,1,5,1,109,6.9,0,1,4
14,3818,승리,미스 포츈,Hades9,5,2,9,8791,1,12,3,29,1.8,0,1,4
15,3818,패배,야스오,트와이스 원스,1,10,1,7858,0,2,3,85,5.4,0,0,0
16,3818,패배,렝가,DS XiaoPeng,4,4,0,5135,4,23,11,90,5.7,0,0,0
17,3818,패배,오리아나,종학윙,0,3,0,2579,1,0,0,136,8.6,0,0,0
18,3818,패배,진,Gon123,2,5,2,6468,0,5,1,95,6.0,0,0,0
19,3818,패배,제라스,혼자가 편해졌어,1,7,2,5851,4,9,1,6,0.4,0,0,0
20,3819,패배,카밀,Heiz4,0,5,1,8677,0,8,2,168,7.8,0,0,1
21,3819,패배,렝가,커닝시티 피그미,3,3,1,3555,4,27,7,122,5.6,0,0,1
22,3819,패배,르블랑,멘탈 실력 운,1,5,0,5862,3,17,4,141,6.5,0,0,1
23,3819,패배,바루스,ROX Sangyoon,1,6,2,9289,1,6,1,165,7.6,0,0,1
