,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,60876,승리,케넨,MVP ADD,2,0,8,13501,4,20,9,164,8.7,0,0,3
1,60876,승리,이블린,h1rb,7,2,4,7963,3,16,2,101,5.4,0,0,3
2,60876,승리,코르키,YM  zhongdan,12,3,3,19734,2,7,2,158,8.4,0,0,3
3,60876,승리,진,일견무시도성빈,3,2,7,9773,2,7,3,113,6.0,0,0,3
4,60876,승리,마오카이,코w코,1,4,10,7430,2,17,5,36,1.9,0,0,3
5,60876,패배,나르,chijixuanshou,0,4,3,5280,1,14,1,131,7.0,0,1,1
6,60876,패배,쉬바나,yizhiyu,10,4,0,9761,3,6,5,116,6.2,0,1,1
7,60876,패배,조이,UcaL,0,6,7,7939,2,9,2,115,6.1,0,1,1
8,60876,패배,미스 포츈,혼자가 편해졌어,0,6,3,11281,4,18,2,145,7.7,0,1,1
9,60876,패배,알리스타,상어가족,1,5,3,5314,1,18,4,29,1.5,0,1,1
10,60877,승리,카밀,코w코,8,2,5,9877,3,17,2,167,7.6,0,1,4
11,60877,승리,자르반 4세,259x,3,2,13,7866,2,16,7,109,5.0,0,1,4
12,60877,승리,아지르,Excal1bur1,6,0,4,11093,2,18,6,198,9.0,0,1,4
13,60877,승리,진,어두운결과,9,1,6,19871,1,9,4,203,9.3,0,1,4
14,60877,승리,탐 켄치,라인전이기니갱와,1,4,11,5698,4,21,9,42,1.9,0,1,4
15,60877,패배,갱플랭크,mianma,2,6,2,10563,1,7,3,164,7.5,0,1,1
16,60877,패배,리 신,h1rb,2,5,3,4540,3,26,5,124,5.7,0,1,1
17,60877,패배,제라스,StephanMoo,1,3,3,10717,1,8,3,190,8.7,0,1,1
18,60877,패배,칼리스타,161561,4,6,2,11050,1,8,4,169,7.7,0,1,1
19,60877,패배,쉔,wojuede OK,0,7,7,4374,3,21,4,28,1.3,0,1,1
20,60878,승리,카밀,코w코,7,4,8,21318,1,21,9,331,7.8,2,2,11
21,60878,승리,세주아니,담원 크러쉬,1,3,18,13868,13,16,20,187,4.4,2,2,11
22,60878,승리,말자하,상어가족,4,4,14,25495,2,10,16,309,7.3,2,2,11
23,60878,승리,바루스,Zhongdan XD,13,1,7,43071,5,21,10,350,8.3,2,2,11
24,60878,승리,탐 켄치,160810,1,5,16,8252,21,64,26,102,2.4,2,2,11
25,60878,패배,제이스,Kingen,8,8,5,42031,3,49,6,339,8.0,1,2,6
