,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,40596,승리,카르마,릴리스타나,3,0,10,7171,1,6,0,77,5.2,0,0,7
1,40596,승리,이즈리얼,학식먹을나이,6,1,6,9575,0,5,0,107,7.2,0,0,7
2,40596,승리,레넥톤,MinKOOK2,5,2,1,5197,2,7,0,107,7.2,0,0,7
3,40596,승리,브라움,킁킁킹캉킁,3,2,10,3451,3,5,1,20,1.3,0,0,7
4,40596,승리,그라가스,rainbow321,3,1,9,5545,1,6,0,53,3.6,0,0,7
5,40596,패배,코그모,피넛사냥개1,1,7,3,7053,0,5,0,59,4.0,0,0,0
6,40596,패배,야스오,Co1dplay,0,6,1,6861,0,4,0,80,5.4,0,0,0
7,40596,패배,자르반 4세,XinyiQAQ,1,1,4,2374,1,6,0,35,2.4,0,0,0
8,40596,패배,알리스타,심심풀이 남신,1,2,2,2023,0,4,0,21,1.4,0,0,0
9,40596,패배,탈리야,뿡뿡뿡뿡뿡쁑,3,4,0,3563,1,6,0,46,3.1,0,0,0
10,40597,패배,레넥톤,GimGoon,5,5,12,23832,10,27,7,294,7.6,1,2,6
11,40597,패배,이즈리얼,정글노바,4,7,13,19930,7,13,11,192,5.0,1,2,6
12,40597,패배,트위스티드 페이트,수영장파티박종우,9,2,13,21438,5,20,6,291,7.5,1,2,6
13,40597,패배,케이틀린,성민콩,7,6,14,32598,1,12,12,311,8.0,1,2,6
14,40597,패배,알리스타,킁킁킹캉킁,4,7,21,9776,18,57,17,59,1.5,1,2,6
15,40597,승리,자르반 4세,MVP ADD,8,6,13,30670,7,26,10,349,9.0,1,2,9
16,40597,승리,리 신,Klmjg,5,7,16,16386,3,42,9,161,4.2,1,2,9
17,40597,승리,다이애나,이야공,6,6,9,31469,2,7,11,351,9.1,1,2,9
18,40597,승리,트리스타나,nekoneko1,6,4,9,33353,4,17,15,438,11.3,1,2,9
19,40597,승리,라칸,DDDDNNNN,2,6,17,11696,14,50,13,23,0.6,1,2,9
20,40598,패배,초가스,Possible tts,2,2,1,8155,1,16,2,221,7.1,0,2,4
21,40598,패배,렝가,수입뿌드,4,8,5,14923,6,11,13,154,4.9,0,2,4
22,40598,패배,신드라,Plz No Die,3,3,2,15082,5,16,9,264,8.5,0,2,4
23,40598,패배,케이틀린,Yumemiru Shonen,2,6,4,20049,0,10,8,245,7.9,0,2,4
24,40598,패배,브라움,킁킁킹캉킁,2,5,7,4801,8,28,11,39,1.3,0,2,4
25,40598,승리,쉔,아트가 앗뜨거,2,1,12,8235,2,14,5,248,8.0,2,1,9
26,40598,승리,리 신,bbq Tempt,4,4,10,11620,6,26,10,136,4.4,2,1,9
27,40598,승리,탈리야,The Quibbler,7,4,13,22889,7,18,4,259,8.3,2,1,9
28,40598,승리,트리스타나,Dingchenyu,10,2,8,23939,0,12,9,293,9.4,2,1,9
29,40598,승리,쓰레쉬,엄청강한 올빼미,1,2,17,6239,11,37,7,30,1.0,2,1,9
30,40599,패배,제이스,JAG S0hwan,0,2,2,7019,3,10,1,133,7.6,0,0,2
31,40599,패배,자르반 4세,Only caozuo,1,2,2,1935,5,12,2,73,4.2,0,0,2
32,40599,패배,제라스,한쿡말알아,0,6,0,5862,1,7,0,93,5.3,0,0,2
33,40599,패배,트리스타나,엉덩국 갱승제로,2,6,1,9644,1,5,1,104,5.9,0,0,2
34,40599,패배,브라움,킁킁킹캉킁,0,6,2,3493,1,10,4,20,1.1,0,0,2
35,40599,승리,마오카이,제주도 에이스,2,1,7,7000,2,6,0,85,4.8,0,1,7
36,40599,승리,니달리,F0y,4,1,11,9531,2,7,2,90,5.1,0,1,7
37,40599,승리,카타리나,유내현,10,2,1,10514,2,9,1,133,7.6,0,1,7
38,40599,승리,진,땅우양,4,0,9,8124,0,6,2,125,7.1,0,1,7
39,40599,승리,레오나,walking300 fan,2,0,10,4151,6,13,2,23,1.3,0,1,7
40,40600,승리,피오라,Nantatata,10,2,6,22319,3,13,3,214,8.6,1,2,6
41,40600,승리,세주아니,ROX Se0ngHwan,2,4,11,9467,3,17,3,122,4.9,1,2,6
42,40600,승리,카사딘,멘탈 실력 운,11,4,4,19400,3,12,6,177,7.1,1,2,6
43,40600,승리,트리스타나,So1o,6,2,5,16823,3,9,9,199,8.0,1,2,6
44,40600,승리,알리스타,킁킁킹캉킁,1,0,15,5625,9,27,5,39,1.6,1,2,6
45,40600,패배,갈리오,이도류,3,8,4,15185,1,11,2,181,7.2,0,0,1
46,40600,패배,자르반 4세,bbq Ghost,3,5,6,8086,2,17,2,95,3.8,0,0,1
47,40600,패배,라이즈,TnTeddy,4,4,5,18123,3,8,5,219,8.8,0,0,1
48,40600,패배,바루스,I am ZIatan,1,6,4,13997,4,11,4,192,7.7,0,0,1
49,40600,패배,모르가나,커소리어스나,1,7,4,2820,9,19,8,9,0.4,0,0,1
50,40601,승리,제이스,baramgaebi,11,1,9,38556,2,17,4,286,8.8,2,2,10
51,40601,승리,엘리스,수입뿌드,7,2,9,16126,7,27,11,115,3.5,2,2,10
52,40601,승리,카시오페아,DWG ShowMaker,4,3,7,22528,4,19,6,250,7.7,2,2,10
53,40601,승리,베인,땅우양,6,2,7,28943,3,13,5,297,9.1,2,2,10
54,40601,승리,룰루,킁킁킹캉킁,0,4,17,8918,8,25,5,10,0.3,2,2,10
55,40601,패배,초가스,43480287del,4,7,3,16676,6,19,1,207,6.3,0,0,2
56,40601,패배,카직스,마이엠브,5,5,2,18548,9,12,7,141,4.3,0,0,2
57,40601,패배,블라디미르,최석배 사생팬,2,6,4,15659,3,7,11,276,8.5,0,0,2
58,40601,패배,트리스타나,6학년4반장용준,0,4,5,17898,1,12,5,312,9.6,0,0,2
59,40601,패배,알리스타,악시 뒷바라지,1,6,6,5195,8,42,5,43,1.3,0,0,2
60,40602,패배,나르,king2n,4,5,2,12283,1,10,1,187,8.4,0,0,0
61,40602,패배,렉사이,Keyara,2,3,4,7482,5,9,5,107,4.8,0,0,0
62,40602,패배,라이즈,요플래,3,4,1,10190,2,5,1,174,7.8,0,0,0
63,40602,패배,트리스타나,pXq,0,3,1,5165,1,8,1,166,7.5,0,0,0
64,40602,패배,나미,킁킁킹캉킁,0,5,0,2616,5,13,5,11,0.5,0,0,0
65,40602,승리,케넨,Nantatata,1,3,8,13140,3,11,2,152,6.8,1,2,11
66,40602,승리,이즈리얼,FeelsSosoMan,11,1,6,20115,2,5,2,103,4.6,1,2,11
