,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,30260,승리,제이스,Heiz4,8,6,4,27716,0,10,6,225,6.5,1,2,10
1,30260,승리,리 신,트와이스 원스,6,2,15,15994,4,58,10,185,5.3,1,2,10
2,30260,승리,아지르,By myself,8,2,10,42528,5,39,12,298,8.6,1,2,10
3,30260,승리,진,GALA,4,4,11,18390,3,15,10,257,7.4,1,2,10
4,30260,승리,알리스타,sqb,1,4,16,9890,8,51,21,56,1.6,1,2,10
5,30260,패배,마오카이,마산가자,2,7,7,13205,4,19,8,201,5.8,0,0,2
6,30260,패배,니달리,PuncHh,4,5,9,13696,12,47,32,218,6.3,0,0,2
7,30260,패배,피들스틱,FW Maple,3,7,4,19605,4,20,9,250,7.2,0,0,2
8,30260,패배,트리스타나,Mengqiuqiu,7,5,5,32310,1,28,15,376,10.9,0,0,2
9,30260,패배,브라움,삼성갤럭시CoreJJ,2,3,13,11649,9,44,12,63,1.8,0,0,2
10,30261,승리,쉬바나,yizhiyu,5,5,9,16604,3,9,6,178,6.2,1,2,10
11,30261,승리,바루스,FVV BETTY,5,4,11,17501,2,21,3,237,8.2,1,2,10
12,30261,승리,에코,트와이스 원스,11,6,4,22576,0,11,1,216,7.5,1,2,10
13,30261,승리,일라오이,1987 Plls,10,4,4,22619,0,13,0,317,11.0,1,2,10
14,30261,승리,마오카이,GuGer,2,3,13,11443,12,34,8,80,2.8,1,2,10
15,30261,패배,카밀,Delicious Fish,1,8,10,20087,1,13,2,174,6.0,0,1,1
16,30261,패배,진,점점나의마음이끌,8,4,5,30001,5,13,8,237,8.2,0,1,1
17,30261,패배,렝가,XinyiQAQ,8,8,4,17691,4,6,13,154,5.3,0,1,1
18,30261,패배,타릭,토마토페이스트,0,8,8,8266,5,22,4,49,1.7,0,1,1
19,30261,패배,말자하,Hide on bush,5,5,11,25898,3,16,2,277,9.6,0,1,1
20,30262,승리,리산드라,푸딩은푸딩해,0,1,6,5784,2,7,1,103,6.7,0,0,5
21,30262,승리,렝가,트와이스 원스,5,3,5,7518,3,15,4,105,6.8,0,0,5
22,30262,승리,르블랑,박효신사생팬,4,1,1,7024,1,5,1,92,6.0,0,0,5
23,30262,승리,칼리스타,LPL noob ad QAQ,7,0,2,4313,2,7,1,123,8.0,0,0,5
24,30262,승리,알리스타,supbest,1,0,12,3585,6,12,2,17,1.1,0,0,5
25,30262,패배,갱플랭크,세메론,1,4,2,6436,0,6,0,101,6.5,0,1,1
26,30262,패배,니달리,DS XiaoPeng,3,3,0,5796,2,12,4,80,5.2,0,1,1
27,30262,패배,라이즈,FW Maple,1,2,0,3194,2,7,1,114,7.4,0,1,1
28,30262,패배,진,GALA,0,3,0,3480,2,8,1,111,7.2,0,1,1
29,30262,패배,미스 포츈,534N,0,5,1,6331,4,9,0,11,0.7,0,1,1
30,30263,패배,르블랑,박효신사생팬,5,5,4,26954,2,6,12,257,6.8,0,0,2
31,30263,패배,카직스,트와이스 원스,6,8,6,19246,5,24,16,209,5.5,0,0,2
32,30263,패배,카르마,DS XiaoPeng,1,4,8,23320,6,20,9,237,6.3,0,0,2
33,30263,패배,칼리스타,메 끠,7,6,5,31794,3,10,9,342,9.1,0,0,2
