,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,10434,패배,마오카이,푸딩은푸딩해,4,5,5,12128,2,11,6,193,7.2,0,2,3
1,10434,패배,쉬바나,ROX 곰,4,3,3,18273,8,10,9,201,7.5,0,2,3
2,10434,패배,르블랑,Firework37,3,4,3,15427,3,12,7,188,7.0,0,2,3
3,10434,패배,애쉬,Zhongdan XD,1,7,5,11198,5,13,11,197,7.4,0,2,3
4,10434,패배,쉔,PeanuToT,1,8,8,4651,7,32,19,61,2.3,0,2,3
5,10434,승리,갱플랭크,love left,4,4,9,20590,6,17,1,217,8.1,1,1,4
6,10434,승리,세주아니,FeelsSosoMan,7,2,15,12883,6,24,6,134,5.0,1,1,4
7,10434,승리,아지르,KDM PERT,4,2,8,17682,4,16,15,229,8.6,1,1,4
8,10434,승리,바루스,Yeeclipse,6,2,13,21987,1,11,4,209,7.8,1,1,4
9,10434,승리,잔나,XinMo,6,3,18,13482,15,63,9,15,0.6,1,1,4
10,10435,승리,제이스,JAG S0hwan,7,7,16,34163,7,50,11,348,8.7,1,2,11
11,10435,승리,자르반 4세,ROX Se0ngHwan,0,6,19,10892,11,69,20,162,4.1,1,2,11
12,10435,승리,라이즈,푸딩은푸딩해,13,4,6,49556,4,26,14,409,10.3,1,2,11
13,10435,승리,칼리스타,구름꽃길만걷자,11,4,11,32445,1,13,31,355,8.9,1,2,11
14,10435,승리,쓰레쉬,chorongie,1,5,23,10960,17,106,30,65,1.6,1,2,11
15,10435,패배,사이온,춘봉박,4,6,11,20077,2,19,10,257,6.4,1,1,5
16,10435,패배,케인,PeanuToT,6,8,8,22132,11,38,34,258,6.5,1,1,5
17,10435,패배,빅토르,학교밀베포친키,6,4,9,32089,3,23,26,324,8.1,1,1,5
18,10435,패배,이즈리얼,비 브이 오 와이,8,3,10,49444,2,25,18,359,9.0,1,1,5
19,10435,패배,세주아니,MataMataMata,2,11,11,10559,21,99,25,78,2.0,1,1,5
20,10436,패배,블라디미르,빅파이초코파이,4,7,4,18994,3,17,9,235,7.7,0,1,2
21,10436,패배,렝가,chorongie,10,6,4,20871,9,27,11,169,5.5,0,1,2
22,10436,패배,탈리야,푸딩은푸딩해,3,3,4,17986,2,14,5,312,10.2,0,1,2
23,10436,패배,미스 포츈,먹는건즐거워,6,10,3,12216,7,32,19,249,8.2,0,1,2
24,10436,패배,마오카이,진쟤승,0,5,9,10179,5,36,12,67,2.2,0,1,2
25,10436,승리,티모,춘봉박,7,5,6,30515,3,9,8,248,8.1,1,2,8
26,10436,승리,쉬바나,PeanuToT,8,4,6,14517,9,13,16,214,7.0,1,2,8
27,10436,승리,갱플랭크,뒷텔와드점,4,6,11,13768,2,16,6,276,9.0,1,2,8
28,10436,승리,이즈리얼,담원 얼라이브,8,4,15,24943,2,14,17,296,9.7,1,2,8
29,10436,승리,세주아니,MataMataMata,4,5,16,10383,15,75,20,78,2.6,1,2,8
30,10437,승리,마오카이,Sun이라는 별,4,2,10,13413,0,8,3,139,5.7,1,1,8
31,10437,승리,케인,Diamondprox1,9,2,11,22029,7,18,6,128,5.3,1,1,8
32,10437,승리,아지르,푸딩은푸딩해,6,2,6,12485,4,10,9,218,9.0,1,1,8
33,10437,승리,바루스,김메피,2,6,6,12601,2,11,7,156,6.4,1,1,8
34,10437,승리,카르마,토마토페이스트,0,3,9,7138,6,27,6,22,0.9,1,1,8
35,10437,패배,오른,미율치에오,2,7,1,15544,2,11,0,184,7.6,0,1,4
36,10437,패배,세주아니,좋은날,1,4,9,7523,7,34,6,112,4.6,0,1,4
37,10437,패배,라이즈,Jin air Yaharong,3,3,3,11338,1,22,2,182,7.5,0,1,4
38,10437,패배,진,먹는건즐거워,7,3,5,12877,4,9,6,174,7.2,0,1,4
39,10437,패배,알리스타,Lucete,2,4,8,5077,7,28,6,23,0.9,0,1,4
40,10438,승리,갱플랭크,미율치에오,8,5,11,28727,0,15,2,270,9.1,0,0,9
41,10438,승리,자르반 4세,좋은날,5,7,20,17468,6,25,8,133,4.5,0,0,9
42,10438,승리,조이,Jin air Yaharong,13,3,17,39370,5,27,3,258,8.7,0,0,9
43,10438,승리,진,김메피,5,8,12,16133,3,12,3,195,6.6,0,0,9
44,10438,승리,제라스,푸딩은푸딩해,11,3,16,27910,7,32,7,42,1.4,0,0,9
45,10438,패배,케넨,JAG S0hwan,4,6,9,17494,6,17,2,185,6.2,0,1,0
46,10438,패배,렝가,죠토마킹,11,11,4,17431,1,4,7,122,4.1,0,1,0
47,10438,패배,카사딘,Lucete,2,8,7,13131,3,15,4,169,5.7,0,1,0
48,10438,패배,루시안,먹는건즐거워,7,8,6,17316,3,10,10,243,8.2,0,1,0
49,10438,패배,알리스타,토마토페이스트,2,9,10,6819,7,25,6,43,1.4,0,1,0
50,10439,패배,나르,Delicious Fish,10,6,8,35823,2,44,8,306,8.3,1,1,3
51,10439,패배,자르반 4세,XinyiQAQ,5,9,15,19132,12,37,20,167,4.5,1,1,3
52,10439,패배,다이애나,이야공,12,8,8,40276,2,5,6,299,8.1,1,1,3
53,10439,패배,진,점점나의마음이끌,2,9,14,20750,5,12,6,208,5.7,1,1,3
54,10439,패배,제라스,푸딩은푸딩해,4,10,9,22957,9,45,12,76,2.1,1,1,3
55,10439,승리,갱플랭크,피넛사냥개2,4,7,15,28023,1,21,7,315,8.6,0,2,8
56,10439,승리,렝가,죠토마킹,11,6,9,24067,1,34,12,192,5.2,0,2,8
57,10439,승리,조이,멘탈 실력 운,4,10,11,32913,7,27,8,231,6.3,0,2,8
58,10439,승리,미스 포츈,원딜둥이,14,5,13,32886,3,14,10,322,8.8,0,2,8
59,10439,승리,마오카이,진쟤승,9,5,22,24387,5,44,16,91,2.5,0,2,8
60,10440,승리,쉔,우철짱123,11,4,17,18625,1,12,6,206,7.5,1,0,9
61,10440,승리,아이번,kenzhu9,5,2,23,12541,3,12,4,137,5.0,1,0,9
62,10440,승리,탈리야,푸딩은푸딩해,11,5,7,18327,3,25,2,234,8.5,1,0,9
63,10440,승리,바루스,sqb,6,8,21,30474,1,6,1,186,6.7,1,0,9
64,10440,승리,레오나,XinyiQAQ,3,3,22,10660,6,38,8,49,1.8,1,0,9
65,10440,패배,말파이트,바보처럼 왜,2,7,6,11739,0,9,1,164,5.9,0,2,3
66,10440,패배,자르반 4세,피넛사냥개1,8,10,9,17290,4,23,2,112,4.1,0,2,3
67,10440,패배,아지르,chirchri,4,4,5,15205,5,9,10,226,8.2,0,2,3
68,10440,패배,진,원딜둥이,7,6,5,17336,2,8,7,203,7.4,0,2,3
69,10440,패배,마오카이,진쟤승,1,9,10,11169,6,37,7,51,1.9,0,2,3
70,10441,패배,나르,우철짱123,2,3,9,25034,1,32,3,268,7.8,0,2,4
71,10441,패배,카직스,으아으앙으아앙,9,8,8,25569,4,11,6,174,5.1,0,2,4
72,10441,패배,트위스티드 페이트,TeachersWu,5,2,9,26177,4,19,3,278,8.1,0,2,4
73,10441,패배,미스 포츈,푸딩은푸딩해,5,8,10,21157,2,14,7,236,6.9,0,2,4
74,10441,패배,소라카,진쟤승,2,8,14,8078,7,41,9,18,0.5,0,2,4
75,10441,승리,쉔,원딜둥이,1,7,9,10881,3,19,5,180,5.2,1,1,9
76,10441,승리,아이번,kenzhu9,2,4,19,9643,4,18,5,128,3.7,1,1,9
77,10441,승리,라이즈,KDM PERT,6,4,3,19970,3,17,7,320,9.3,1,1,9
78,10441,승리,트리스타나,SnakeLight,13,3,8,39553,2,13,8,356,10.3,1,1,9
79,10441,승리,알리스타,호잇이,7,5,17,15416,13,46,7,58,1.7,1,1,9
80,10442,패배,라이즈,푸딩은푸딩해,0,10,5,7298,1,9,0,114,5.7,0,0,1
81,10442,패배,카직스,kenzhu9,4,6,2,3873,5,23,4,103,5.1,0,0,1
82,10442,패배,아지르,KDM PERT,3,5,3,10699,3,11,6,144,7.2,0,0,1
83,10442,패배,진,마이엠브,2,4,4,8859,2,9,2,156,7.8,0,0,1
84,10442,패배,알리스타,Nova1,0,4,5,3362,6,34,12,33,1.6,0,0,1
