,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,30618,승리,자르반 4세,풀 뜯는 미드,4,1,11,8242,3,20,6,144,6.4,1,0,5
1,30618,승리,쉬바나,Cuz2,4,4,10,12032,1,5,13,149,6.6,1,0,5
2,30618,승리,피들스틱,FW Maple,8,3,10,15427,1,11,6,189,8.4,1,0,5
3,30618,승리,미스 포츈,RRRuleRRR,9,4,13,18114,3,22,15,184,8.2,1,0,5
4,30618,승리,마오카이,진쟤승,4,3,18,10360,3,27,7,47,2.1,1,0,5
5,30618,패배,카밀,암고잉빽투더스탙,4,5,1,7607,3,12,3,200,8.9,0,2,5
6,30618,패배,잭스,M1anhua,3,7,6,6557,7,24,9,100,4.5,0,2,5
7,30618,패배,라이즈,By myself,2,3,3,10889,3,22,3,182,8.1,0,2,5
8,30618,패배,이즈리얼,Afreeca Aiming,1,7,6,15808,0,11,1,169,7.5,0,2,5
9,30618,패배,쉔,상어가족,5,7,3,5272,5,39,8,38,1.7,0,2,5
10,30619,승리,마오카이,세메론,4,3,9,12065,0,12,4,195,7.2,1,1,7
11,30619,승리,리 신,PeanuToT,3,5,9,10464,3,44,7,156,5.7,1,1,7
12,30619,승리,탈리야,풀 뜯는 미드,7,4,5,20392,4,27,6,240,8.8,1,1,7
13,30619,승리,미스 포츈,FVV BETTY,4,2,8,12365,4,19,6,276,10.2,1,1,7
14,30619,승리,쉔,FeelsIronMan,3,0,11,5464,10,42,14,72,2.7,1,1,7
15,30619,패배,럼블,7hal,5,4,1,20905,3,9,1,264,9.7,0,1,5
16,30619,패배,카직스,sanspareil1,4,6,4,9845,8,27,12,134,4.9,0,1,5
17,30619,패배,코르키,성민콩,2,4,4,13960,3,11,6,250,9.2,0,1,5
18,30619,패배,시비르,Rain1ng,2,2,3,16728,0,8,13,235,8.7,0,1,5
19,30619,패배,레오나,호잇이,1,5,4,4895,10,36,26,63,2.3,0,1,5
20,30620,패배,사이온,7hal,1,4,2,6676,0,16,4,123,6.1,0,0,1
21,30620,패배,니달리,h1rb,0,4,2,4692,2,12,8,106,5.3,0,0,1
22,30620,패배,라이즈,풀 뜯는 미드,2,2,2,10255,0,15,5,172,8.5,0,0,1
23,30620,패배,진,Rain1ng,5,4,2,9957,0,6,3,158,7.8,0,0,1
24,30620,패배,알리스타,supbest,1,5,5,4433,3,18,9,25,1.2,0,0,1
25,30620,승리,제이스,삶이힘든사람,5,2,6,8794,1,16,7,167,8.3,0,0,5
26,30620,승리,세주아니,점점나의마음이끌,4,0,9,7776,7,36,7,145,7.2,0,0,5
27,30620,승리,카사딘,Delicious Fish,7,1,2,9573,2,9,3,162,8.0,0,0,5
28,30620,승리,미스 포츈,Lucete,1,4,8,9395,2,7,2,139,6.9,0,0,5
29,30620,승리,브라움,DaYE,2,2,10,3871,3,20,7,39,1.9,0,0,5
30,30621,승리,갱플랭크,아 백,6,6,14,33617,2,23,7,290,8.0,1,2,10
31,30621,승리,자크,h1rb,10,3,15,18947,8,24,4,183,5.1,1,2,10
32,30621,승리,라이즈,풀 뜯는 미드,6,8,11,24323,1,33,2,284,7.8,1,2,10
33,30621,승리,이즈리얼,혼자가 편해졌어,8,12,17,37561,0,16,4,295,8.1,1,2,10
34,30621,승리,레오나,supbest,8,7,16,11501,11,51,14,72,2.0,1,2,10
35,30621,패배,카밀,7hal,7,6,10,34624,3,32,9,310,8.6,1,2,4
36,30621,패배,쉬바나,SKT T1 BIank,5,7,12,24007,7,12,17,182,5.0,1,2,4
37,30621,패배,말자하,SKT T1 WoIf,7,7,17,30040,1,11,3,240,6.6,1,2,4
38,30621,패배,바루스,Jacen,7,12,11,27553,1,12,10,154,4.3,1,2,4
39,30621,패배,제라스,한쿡말알아,10,6,16,41850,4,26,8,66,1.8,1,2,4
40,30622,승리,갱플랭크,ysdgqxcj,1,0,8,7816,0,9,3,198,10.5,0,2,8
41,30622,승리,쉬바나,yizhiyu,10,1,11,14390,1,8,6,135,7.2,0,2,8
42,30622,승리,르블랑,풀 뜯는 미드,12,3,7,14970,4,14,0,127,6.8,0,2,8
43,30622,승리,애쉬,hard girl,1,1,4,5518,3,9,1,169,9.0,0,2,8
44,30622,승리,잔나,Dutch Coffee,2,1,14,5964,3,17,9,15,0.8,0,2,8
45,30622,패배,나르,SKT T1 Bang,0,5,1,7687,0,15,1,136,7.2,0,0,0
46,30622,패배,렝가,SKT T1 WoIf,3,6,0,2795,3,19,6,88,4.7,0,0,0
47,30622,패배,아지르,LFT MID,2,6,2,8583,4,9,5,151,8.0,0,0,0
48,30622,패배,진,Rachel Berry,0,5,2,6004,2,9,0,137,7.3,0,0,0
49,30622,패배,쉔,중요한건마음가짐,1,4,1,2478,7,17,2,38,2.0,0,0,0
50,30623,패배,일라오이,뒷텔와드점,0,7,0,2077,0,6,1,75,5.2,0,0,0
51,30623,패배,아이번,J Spectre G,0,2,0,1742,1,43,1,58,4.0,0,0,0
52,30623,패배,라이즈,삼성갤럭시 Crown,0,5,0,4396,1,4,2,97,6.7,0,0,0
53,30623,패배,시비르,풀 뜯는 미드,1,4,0,5116,0,4,1,84,5.8,0,0,0
54,30623,패배,쉔,supbest,0,3,0,1144,3,7,5,39,2.7,0,0,0
55,30623,승리,제이스,선비모드,9,0,2,13061,2,10,0,119,8.2,0,0,8
56,30623,승리,니달리,DS XiaoPeng,2,0,5,4267,2,13,3,90,6.2,0,0,8
57,30623,승리,아지르,Zhongdan XD,3,1,2,7014,3,10,0,119,8.2,0,0,8
58,30623,승리,미스 포츈,SKT T1 Bang,7,0,0,11243,1,7,2,111,7.7,0,0,8
59,30623,승리,탐 켄치,양팡우,0,0,9,3319,2,7,0,30,2.1,0,0,8
60,30624,승리,카밀,KaYeeBbbbb,6,4,6,14593,1,23,7,240,7.9,1,3,11
61,30624,승리,자르반 4세,atlenismydaddy,6,3,9,12576,4,36,9,213,7.0,1,3,11
62,30624,승리,탈리야,풀 뜯는 미드,6,3,8,26619,2,15,7,297,9.8,1,3,11
63,30624,승리,바루스,6 18 5 25 1,7,4,6,20287,3,15,5,242,8.0,1,3,11
64,30624,승리,쉔,MEMEDAN,1,4,8,5311,8,33,14,57,1.9,1,3,11
65,30624,패배,나르,cppppc,2,10,4,11786,2,13,2,138,4.5,0,0,2
66,30624,패배,엘리스,워녕이,10,5,5,9791,7,27,12,105,3.5,0,0,2
67,30624,패배,아지르,KDM PERT,2,5,8,10659,3,16,8,245,8.1,0,0,2
68,30624,패배,미스 포츈,1987 Plls,4,3,8,21257,4,28,6,265,8.7,0,0,2
