,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,10670,패배,나르,우에하라 크롱,4,6,5,10771,4,14,0,175,7.2,1,0,2
1,10670,패배,세주아니,F0y,4,2,7,8713,5,43,11,126,5.1,1,0,2
2,10670,패배,르블랑,피넛사냥개1,9,6,5,17979,5,16,1,184,7.5,1,0,2
3,10670,패배,진,BKKK,0,5,3,6929,1,9,6,172,7.0,1,0,2
4,10670,패배,바드,So1o,3,7,4,7958,5,26,7,19,0.8,1,0,2
5,10670,승리,갱플랭크,쌀국수뚝붸기,4,6,3,8449,0,9,2,189,7.7,0,0,6
6,10670,승리,자르반 4세,오억만,6,5,8,15976,3,16,7,170,6.9,0,0,6
7,10670,승리,라이즈,마산가자,8,4,4,19682,4,12,8,193,7.9,0,0,6
8,10670,승리,이즈리얼,FVV BETTY,7,3,5,17155,3,15,7,207,8.5,0,0,6
9,10670,승리,카르마,PuncHh,1,2,12,10934,11,29,13,18,0.7,0,0,6
10,10671,승리,오른,KDM Edge,1,1,5,10246,1,3,0,98,6.1,0,1,4
11,10671,승리,이즈리얼,작전동 노란머리,10,2,3,10136,3,8,2,94,5.8,0,1,4
12,10671,승리,말자하,피넛사냥개1,9,4,1,8079,0,7,0,120,7.5,0,1,4
13,10671,승리,진,PuncHh,4,1,3,4454,1,6,1,128,8.0,0,1,4
14,10671,승리,카르마,슬프다고말하면,4,0,11,8608,3,13,5,11,0.7,0,1,4
15,10671,패배,일라오이,MVP ADD,2,5,0,9698,3,11,0,104,6.5,0,0,0
16,10671,패배,렝가,SKT T1 WoIf,0,7,1,2837,2,8,0,65,4.0,0,0,0
17,10671,패배,제이스,Lucete,4,6,0,5722,3,9,0,89,5.5,0,0,0
18,10671,패배,티모,학식먹을나이,2,6,0,5073,1,7,1,95,5.9,0,0,0
19,10671,패배,제라스,김메피,0,4,1,3460,4,7,0,38,2.4,0,0,0
20,10672,승리,갱플랭크,피넛사냥개2,5,2,7,18368,2,14,2,187,8.7,1,1,10
21,10672,승리,렝가,스마트섹시뷰티,8,1,5,11703,3,9,16,166,7.7,1,1,10
22,10672,승리,아지르,피넛사냥개1,13,1,6,22978,3,19,7,199,9.2,1,1,10
23,10672,승리,이즈리얼,혼자가 편해졌어,2,3,7,11103,2,14,10,181,8.4,1,1,10
24,10672,승리,탐 켄치,160810,0,1,10,4298,5,15,8,49,2.3,1,1,10
25,10672,패배,마오카이,h1rb,0,6,2,8370,1,8,0,111,5.2,0,0,0
26,10672,패배,세주아니,Plz No Die,0,9,4,6400,2,31,5,81,3.8,0,0,0
27,10672,패배,오리아나,PuncHh,2,7,3,6699,2,18,4,129,6.0,0,0,0
28,10672,패배,칼리스타,FVV BETTY,4,3,2,11388,2,11,3,206,9.6,0,0,0
29,10672,패배,잔나,IgNar,2,3,4,4883,9,28,2,6,0.3,0,0,0
30,10673,패배,신지드,네 명의 짐승 팀,2,9,5,14790,0,13,2,291,9.1,0,2,3
31,10673,패배,자르반 4세,STITCH2,5,7,8,9480,4,8,13,205,6.4,0,2,3
