,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,3400,패배,일라오이,MVP ADD,2,5,0,9698,3,11,0,104,6.5,0,0,0
1,3400,패배,렝가,SKT T1 WoIf,0,7,1,2837,2,8,0,65,4.0,0,0,0
2,3400,패배,제이스,Lucete,4,6,0,5722,3,9,0,89,5.5,0,0,0
3,3400,패배,티모,학식먹을나이,2,6,0,5073,1,7,1,95,5.9,0,0,0
4,3400,패배,제라스,김메피,0,4,1,3460,4,7,0,38,2.4,0,0,0
5,3400,승리,오른,KDM Edge,1,1,5,10246,1,3,0,98,6.1,0,1,4
6,3400,승리,이즈리얼,작전동 노란머리,10,2,3,10136,3,8,2,94,5.8,0,1,4
7,3400,승리,말자하,피넛사냥개1,9,4,1,8079,0,7,0,120,7.5,0,1,4
8,3400,승리,진,PuncHh,4,1,3,4454,1,6,1,128,8.0,0,1,4
9,3400,승리,카르마,슬프다고말하면,4,0,11,8608,3,13,5,11,0.7,0,1,4
10,3401,승리,마오카이,니달리버프좀해줘,7,6,11,21038,0,10,0,171,5.7,1,2,11
11,3401,승리,쉬바나,작전동 노란머리,12,4,10,32534,7,13,10,239,8.0,1,2,11
12,3401,승리,라이즈,제1막,8,4,11,21637,7,18,5,240,8.0,1,2,11
13,3401,승리,미스 포츈,학식먹을나이,6,2,12,26387,2,23,9,227,7.6,1,2,11
14,3401,승리,알리스타,160810,3,5,17,8449,10,34,11,54,1.8,1,2,11
15,3401,패배,초가스,RVS Poss,5,6,5,20343,5,16,3,196,6.6,0,1,1
16,3401,패배,카직스,해운대잠만보,7,8,6,20732,4,18,5,128,4.3,0,1,1
17,3401,패배,오리아나,LFT MID,4,7,9,37779,3,6,2,258,8.6,0,1,1
18,3401,패배,트리스타나,호주 AD,4,8,4,19831,1,9,9,224,7.5,0,1,1
19,3401,패배,블리츠크랭크,JAG S0hwan,1,7,12,10805,6,45,3,31,1.0,0,1,1
20,3402,패배,사이온,학식먹을나이,4,7,0,14662,4,32,6,231,7.9,0,2,2
21,3402,패배,엘리스,chirchri,0,7,4,5904,8,51,16,103,3.5,0,2,2
22,3402,패배,아지르,이치방츠요이야츠,5,5,2,17691,6,29,17,246,8.4,0,2,2
23,3402,패배,이즈리얼,비 브이 오 와이,0,5,3,15601,2,17,6,276,9.5,0,2,2
24,3402,패배,카르마,호경모드,2,1,3,12521,6,28,12,39,1.3,0,2,2
25,3402,승리,갱플랭크,JAG S0hwan,8,3,7,31080,4,20,13,285,9.8,1,1,8
26,3402,승리,자르반 4세,니달리버프좀해줘,8,2,13,14043,8,22,15,155,5.3,1,1,8
27,3402,승리,오리아나,제1막,5,1,6,17297,8,33,16,274,9.4,1,1,8
28,3402,승리,바루스,튀자튀자아,3,4,6,17500,4,13,13,257,8.8,1,1,8
29,3402,승리,나미,꼬맹이전쟁,1,1,14,5397,8,36,14,22,0.8,1,1,8
30,3403,승리,제이스,JAG S0hwan,5,4,9,23554,1,20,1,204,8.2,0,0,7
31,3403,승리,렝가,twice손채영,8,4,9,15754,5,19,7,182,7.3,0,0,7
32,3403,승리,르블랑,chirchri,6,2,4,12287,4,18,6,178,7.2,0,0,7
33,3403,승리,칼리스타,학식먹을나이,7,0,10,16279,2,28,10,281,11.3,0,0,7
34,3403,승리,블리츠크랭크,IgNar,3,1,13,5830,8,53,13,44,1.8,0,0,7
35,3403,패배,마오카이,오뚜기3분미트볼,3,7,1,12106,0,10,8,166,6.7,1,1,0
36,3403,패배,자르반 4세,FeelsPepsiMan,4,6,5,6972,6,39,8,104,4.2,1,1,0
37,3403,패배,아지르,Hide on bush,1,4,6,10126,2,11,14,242,9.8,1,1,0
38,3403,패배,진,fndasjkfkqw,3,5,0,9921,1,20,7,172,6.9,1,1,0
39,3403,패배,탐 켄치,12월27,0,7,5,4884,10,33,15,39,1.6,1,1,0
40,3404,승리,카밀,돌잔치때도란잡음,5,7,3,11740,3,25,4,167,6.3,1,1,11
41,3404,승리,리 신,성혁님미드가신다,16,3,13,22077,2,33,8,138,5.2,1,1,11
42,3404,승리,탈리야,xiaolonda,12,5,14,31503,2,14,7,228,8.6,1,1,11
43,3404,승리,루시안,학식먹을나이,6,4,16,20897,2,12,5,175,6.6,1,1,11
44,3404,승리,쉔,DWG BeryL,4,5,17,8412,5,25,8,54,2.0,1,1,11
45,3404,패배,갱플랭크,오뚜기3분미트볼,12,3,10,39819,3,20,6,232,8.8,0,0,2
46,3404,패배,렉사이,담원 얼라이브,5,12,4,9666,6,15,2,106,4.0,0,0,2
47,3404,패배,제이스,진에어 테디,3,14,6,15578,0,23,7,175,6.6,0,0,2
48,3404,패배,진,AGanQAQ,4,8,7,13358,0,8,0,167,6.3,0,0,2
49,3404,패배,잔나,YOYOuuuuuO,0,6,13,7811,6,33,13,19,0.7,0,0,2
50,3405,패배,갱플랭크,YOYOuuuuuO,5,4,6,17401,0,17,1,241,8.8,0,1,5
51,3405,패배,렉사이,Jin air Yaharong,5,5,8,9644,4,15,7,150,5.5,0,1,5
52,3405,패배,조이,Fotune,11,4,4,29669,2,17,0,193,7.1,0,1,5
53,3405,패배,진,학식먹을나이,1,5,10,17590,3,13,6,176,6.5,0,1,5
54,3405,패배,레오나,SKT T1 WoIf,2,6,11,8017,9,26,16,56,2.1,0,1,5
55,3405,승리,마오카이,Possible tts,4,5,5,14427,0,12,3,177,6.5,1,0,7
56,3405,승리,렝가,cbzOvO,5,6,9,14048,0,27,10,153,5.6,1,0,7
57,3405,승리,트위스티드 페이트,상어가족,4,4,6,12896,2,7,11,197,7.2,1,0,7
58,3405,승리,미스 포츈,fndasjkfkqw,4,5,13,23106,5,25,7,234,8.6,1,0,7
59,3405,승리,쉔,DWG BeryL,6,4,12,13282,8,31,12,87,3.2,1,0,7
60,3406,패배,사이온,우르프rider,3,7,9,17082,2,15,8,219,7.3,0,0,0
61,3406,패배,자크,PeanuToT,6,7,8,10061,6,23,19,110,3.7,0,0,0
62,3406,패배,제라스,피넛사냥개1,5,8,6,18214,2,21,4,222,7.4,0,0,0
63,3406,패배,진,학식먹을나이,5,6,5,16100,1,13,12,194,6.5,0,0,0
64,3406,패배,소라카,YOYOuuuuuO,3,7,10,6660,5,24,15,15,0.5,0,0,0
65,3406,승리,제이스,우철짱123,11,7,9,34160,6,38,11,181,6.1,1,2,11
66,3406,승리,니달리,PuncHh,7,3,9,21422,6,42,11,220,7.4,1,2,11
67,3406,승리,르블랑,마산가자,8,3,10,28045,3,15,7,225,7.5,1,2,11
68,3406,승리,바루스,fndasjkfkqw,8,3,12,26178,2,25,8,246,8.2,1,2,11
69,3406,승리,카르마,BtC Joker,1,6,20,11865,14,50,9,25,0.8,1,2,11
70,3407,승리,잭스,M1anhua,6,1,3,14304,1,25,3,217,9.6,1,3,10
71,3407,승리,쉬바나,yizhiyu,6,2,8,13094,2,7,8,164,7.2,1,3,10
72,3407,승리,조이,Siste aeterno,8,5,5,18132,3,11,0,156,6.9,1,3,10
73,3407,승리,미스 포츈,학식먹을나이,2,4,11,15022,2,19,3,176,7.8,1,3,10
74,3407,승리,카르마,BtC Joker,5,6,9,8495,7,30,8,30,1.3,1,3,10
75,3407,패배,쉔,우철짱123,2,3,4,8110,1,9,4,143,6.3,0,0,1
76,3407,패배,렝가,THE KING 2000,6,7,1,8371,4,13,7,104,4.6,0,0,1
77,3407,패배,아지르,마산가자,4,7,4,13803,4,11,5,197,8.7,0,0,1
78,3407,패배,이즈리얼,ROX Sangyoon,1,6,5,11533,2,10,1,177,7.8,0,0,1
79,3407,패배,자이라,LFT MID,4,4,6,12981,6,39,14,24,1.1,0,0,1
80,3408,패배,카사딘,kt Ucal,9,9,7,29773,1,16,4,216,6.4,0,2,3
81,3408,패배,카밀,11 14 9 7 8 20,5,8,9,21663,1,16,7,286,8.5,0,2,3
82,3408,패배,진,학식먹을나이,3,8,9,20302,3,16,4,257,7.6,0,2,3
83,3408,패배,니달리,F0y,14,7,13,36959,5,21,8,212,6.3,0,2,3
84,3408,패배,카르마,RRRR,2,7,14,15319,3,40,17,31,0.9,0,2,3
85,3408,승리,자르반 4세,Twink1e,3,8,24,13083,4,18,11,173,5.1,2,1,8
86,3408,승리,미스 포츈,Bvoy,12,3,9,26867,1,13,8,237,7.1,2,1,8
87,3408,승리,케넨,춘봉박,11,7,9,29852,2,14,4,241,7.2,2,1,8
88,3408,승리,제이스,커닝시티 피그미,13,5,14,29902,4,46,14,248,7.4,2,1,8
89,3408,승리,알리스타,이기자 할수있다,0,10,21,7513,11,30,1,40,1.2,2,1,8
90,3409,승리,조이,피넛사냥개1,14,7,14,34725,6,27,2,212,6.1,2,1,6
91,3409,승리,시비르,학식먹을나이,5,7,18,16164,5,30,8,314,9.0,2,1,6
92,3409,승리,블리츠크랭크,한쿡말알아,1,10,19,9527,9,35,9,51,1.5,2,1,6
93,3409,승리,카직스,chirchri,21,7,10,30928,7,30,11,178,5.1,2,1,6
94,3409,승리,오른,뱃살만찌는사람,4,5,25,18679,4,19,4,271,7.7,2,1,6
95,3409,패배,럼블,송하영 팬,4,10,8,15953,5,16,3,178,5.1,0,2,3
96,3409,패배,제라스,Fotune,4,10,12,21419,1,12,4,271,7.7,0,2,3
97,3409,패배,미스 포츈,MinKOOK2,6,7,15,24042,13,46,22,43,1.2,0,2,3
98,3409,패배,진,튀자튀자아,11,7,10,25817,3,13,16,285,8.1,0,2,3
99,3409,패배,케넨,JAG S0hwan,11,11,11,32398,4,10,14,228,6.5,0,2,3
100,3410,승리,잭스,코w코,8,1,4,16525,3,16,9,290,8.9,2,3,9
101,3410,승리,엘리스,Cuz2,2,5,8,9225,3,21,9,180,5.5,2,3,9
102,3410,승리,바루스,Siste aeterno,5,4,10,28762,8,18,11,291,8.9,2,3,9
103,3410,승리,진,학식먹을나이,14,3,8,28447,3,16,13,277,8.5,2,3,9
104,3410,승리,탐 켄치,12월27,3,3,15,8201,12,43,8,43,1.3,2,3,9
105,3410,패배,올라프,Super Secret,1,4,1,9856,4,8,6,268,8.2,0,1,3
106,3410,패배,카직스,w1sdom ovo,8,7,1,15075,14,32,10,140,4.3,0,1,3
107,3410,패배,벨코즈,피넛사냥개1,6,5,3,25459,5,29,3,237,7.3,0,1,3
108,3410,패배,이즈리얼,담원 너구리,0,7,7,20459,0,20,7,254,7.8,0,1,3
109,3410,패배,미스 포츈,진쟤승,1,9,5,18868,0,13,6,55,1.7,0,1,3
110,3411,패배,오른,우철짱123,4,4,1,10284,3,13,10,161,6.5,0,0,0
111,3411,패배,리 신,나는야베이베이1,5,6,5,7974,4,34,6,114,4.6,0,0,0
112,3411,패배,카사딘,푸딩은푸딩해,3,4,5,10678,2,10,10,215,8.7,0,0,0
113,3411,패배,진,학식먹을나이,0,7,6,8437,1,9,4,200,8.1,0,0,0
114,3411,패배,카르마,RVS Gori,2,5,5,9992,4,21,21,38,1.5,0,0,0
115,3411,승리,피오라,코w코,4,4,3,11433,3,27,9,224,9.1,1,2,6
116,3411,승리,자르반 4세,Cuz2,3,5,14,10249,2,17,8,169,6.9,1,2,6
117,3411,승리,아지르,IGS Dasher,6,1,5,11672,3,20,5,214,8.7,1,2,6
118,3411,승리,바루스,Siste aeterno,7,4,13,19064,5,6,2,162,6.6,1,2,6
119,3411,승리,레오나,12월27,6,0,13,5746,10,47,10,48,1.9,1,2,6
120,3412,승리,제이스,코w코,7,4,5,17158,2,11,2,191,7.9,1,1,10
121,3412,승리,쉬바나,yizhiyu,9,5,9,29129,4,10,9,164,6.8,1,1,10
122,3412,승리,오리아나,쌀국수뚝붸기,2,4,11,16846,2,12,3,170,7.0,1,1,10
123,3412,승리,진,학식먹을나이,8,2,9,19162,4,13,5,196,8.1,1,1,10
124,3412,승리,탐 켄치,12월27,1,2,19,7048,6,26,7,33,1.4,1,1,10
125,3412,패배,마오카이,우철짱123,5,3,6,13299,4,13,1,144,6.0,0,1,1
126,3412,패배,자크,Cuz2,2,6,11,12017,4,22,6,122,5.1,0,1,1
127,3412,패배,카사딘,이치방츠요이야츠,7,4,2,14155,3,9,8,164,6.8,0,1,1
128,3412,패배,미스 포츈,chijixuanshou,2,9,1,10046,5,12,5,165,6.8,0,1,1
129,3412,패배,카르마,160810,1,5,5,11296,8,23,5,28,1.2,0,1,1
130,3413,승리,마오카이,sanspareil1,4,5,16,19059,1,17,9,237,7.0,1,2,11
131,3413,승리,니달리,담원 크러쉬,16,5,7,21605,7,25,15,179,5.3,1,2,11
132,3413,승리,라이즈,Siste aeterno,8,4,11,26595,3,32,8,301,8.9,1,2,11
133,3413,승리,이즈리얼,학식먹을나이,11,7,12,30186,4,24,18,278,8.2,1,2,11
134,3413,승리,제라스,으아으앙으아앙,6,8,15,22700,5,39,29,70,2.1,1,2,11
135,3413,패배,럼블,커피물조절장인,6,7,8,28000,3,15,4,270,8.0,1,1,3
136,3413,패배,자르반 4세,SKT T1 BIank,7,8,8,11227,10,63,16,156,4.6,1,1,3
137,3413,패배,조이,DWG ShowMaker,5,13,8,30980,3,16,7,165,4.9,1,1,3
138,3413,패배,진,sibasaki roka,5,10,5,19691,0,23,3,252,7.4,1,1,3
139,3413,패배,미스 포츈,IndonesiaMassage,6,7,7,24648,10,69,22,65,1.9,1,1,3
140,3414,패배,마오카이,코w코,2,5,5,15705,1,16,9,236,7.2,0,0,1
141,3414,패배,카직스,니달리버프좀해줘,9,6,8,16122,3,7,9,140,4.3,0,0,1
142,3414,패배,탈리야,Yaharong,8,7,7,31945,2,28,12,326,10.0,0,0,1
143,3414,패배,바루스,학식먹을나이,7,6,10,23850,3,12,7,295,9.0,0,0,1
144,3414,패배,알리스타,12월27,2,9,11,5934,11,43,8,41,1.3,0,0,1
145,3414,승리,피오라,뒷텔와드점,8,4,3,29819,3,39,2,318,9.7,2,3,11
146,3414,승리,자르반 4세,sanspareil1,8,3,16,18568,6,11,5,191,5.9,2,3,11
147,3414,승리,아지르,chirchri,6,5,8,25254,6,30,13,278,8.5,2,3,11
148,3414,승리,진,원딜둥이,7,6,8,24300,4,14,7,251,7.7,2,3,11
149,3414,승리,조이,SKT T1 WoIf,4,10,16,20452,13,28,14,40,1.2,2,3,11
150,3415,승리,제이스,Plz No Die,3,5,4,7849,2,10,9,151,7.8,0,0,3
151,3415,승리,카직스,좋은날,4,1,9,9220,3,16,2,99,5.1,0,0,3
152,3415,승리,피즈,DWG ShowMaker,4,2,2,6410,2,7,1,154,7.9,0,0,3
153,3415,승리,이즈리얼,쓰레기새기들,9,1,4,14031,0,12,4,165,8.5,0,0,3
154,3415,승리,트런들,학식먹을나이,4,4,11,6747,6,23,6,38,2.0,0,0,3
155,3415,패배,럼블,춘봉박,2,5,5,12869,3,10,1,186,9.5,0,1,1
156,3415,패배,자르반 4세,SKT T1 BIank,5,4,3,4780,5,35,9,90,4.6,0,1,1
157,3415,패배,아지르,푸딩은푸딩해,3,4,1,13299,1,5,4,165,8.5,0,1,1
158,3415,패배,애쉬,Excal1bur1,1,5,2,8365,1,13,3,152,7.8,0,1,1
159,3415,패배,블리츠크랭크,오억만,2,6,3,7202,3,13,4,24,1.2,0,1,1
160,3416,승리,제이스,담원 너구리,8,6,7,25082,4,38,16,316,10.0,1,1,9
161,3416,승리,카직스,sanspareil1,10,6,4,22253,5,11,7,160,5.1,1,1,9
162,3416,승리,오리아나,담원 얼라이브,3,6,5,16668,3,28,12,274,8.7,1,1,9
163,3416,승리,애쉬,학식먹을나이,4,2,9,16685,7,32,8,314,10.0,1,1,9
164,3416,승리,브라움,IGS Doran,0,2,15,7598,8,41,12,71,2.3,1,1,9
165,3416,패배,사이온,Eth4n,3,4,10,13202,5,31,6,225,7.1,0,0,3
166,3416,패배,자르반 4세,JAG UmTi,5,5,12,9687,9,30,19,157,5.0,0,0,3
167,3416,패배,라이즈,Yaharong,9,4,3,19112,0,28,11,324,10.3,0,0,3
168,3416,패배,진,PeanuToT,5,7,3,13918,3,11,11,221,7.0,0,0,3
169,3416,패배,잔나,우지나 나 갸영이,0,5,10,10122,13,47,26,39,1.2,0,0,3
170,3417,패배,사이온,학식먹을나이,6,7,23,36442,2,55,3,327,6.3,2,0,6
171,3417,패배,자르반 4세,ROX Se0ngHwan,10,10,24,23744,5,52,10,215,4.2,2,0,6
172,3417,패배,조이,하늘킹,9,13,24,57533,1,15,7,316,6.1,2,0,6
173,3417,패배,진,SmartPilot,26,11,18,67746,0,18,4,382,7.4,2,0,6
174,3417,패배,오른,삼성갤럭시CoreJJ,6,16,30,26315,6,52,10,89,1.7,2,0,6
175,3417,승리,나르,코w코,4,10,17,32907,5,24,11,305,5.9,1,5,11
176,3417,승리,카직스,cbzOvO,16,12,20,42220,2,18,14,278,5.4,1,5,11
177,3417,승리,말자하,최석배 사생팬,10,12,23,66284,1,6,13,382,7.4,1,5,11
178,3417,승리,바루스,SKT T1 Bang,14,11,23,65823,2,23,13,363,7.0,1,5,11
179,3417,승리,제라스,FeelsCoffeeMan,13,12,18,54389,4,42,13,93,1.8,1,5,11
180,3418,승리,나르,삼성갤럭시 cuvee,6,8,11,25111,9,35,10,295,8.3,0,4,8
181,3418,승리,렝가,THE KING 2000,6,8,9,22676,5,19,19,210,5.9,0,4,8
182,3418,승리,탈리야,ApexOx,9,1,10,42382,2,16,15,357,10.1,0,4,8
183,3418,승리,미스 포츈,학식먹을나이,6,7,11,39950,1,14,9,276,7.8,0,4,8
184,3418,승리,트런들,진쟤승,1,5,19,11496,3,66,20,80,2.3,0,4,8
185,3418,패배,마오카이,니달리버프좀해줘,3,6,16,23774,0,3,5,204,5.7,1,0,5
186,3418,패배,세주아니,SKT T1 BIank,6,5,18,22209,13,63,18,158,4.5,1,0,5
187,3418,패배,피즈,JAG SnowFlower,10,5,10,25958,5,26,18,290,8.2,1,0,5
188,3418,패배,트리스타나,fndasjkfkqw,10,6,9,31018,3,32,22,331,9.3,1,0,5
189,3418,패배,타릭,GuGer,0,6,14,6650,9,39,11,67,1.9,1,0,5
190,3419,패배,마오카이,Seroum,0,5,4,7178,1,10,5,149,5.8,0,0,2
191,3419,패배,잭스,Cuz2,4,8,4,10133,2,10,15,138,5.4,0,0,2
192,3419,패배,라이즈,MSC TRY,0,8,3,9353,5,12,6,215,8.4,0,0,2
193,3419,패배,진,학식먹을나이,8,2,1,12213,5,13,5,225,8.8,0,0,2
194,3419,패배,제라스,심심풀이 남신,2,7,5,10804,7,34,11,32,1.3,0,0,2
195,3419,승리,블라디미르,kfo,5,5,8,18238,0,11,1,191,7.5,1,2,5
196,3419,승리,카직스,커닝시티 피그미,11,1,6,13465,5,21,5,144,5.6,1,2,5
197,3419,승리,아지르,FeelsAwesomeMan,7,2,9,17922,2,21,4,244,9.6,1,2,5
198,3419,승리,애쉬,Excal1bur1,2,3,5,8411,0,13,6,218,8.5,1,2,5
199,3419,승리,레오나,토마토페이스트,5,3,7,6234,8,41,4,40,1.6,1,2,5
