,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,40278,승리,자르반 4세,담원 너구리,6,7,19,18924,4,43,17,311,8.1,2,3,11
1,40278,승리,카직스,FeelsAwesomeMan,17,6,8,30654,4,24,13,189,4.9,2,3,11
2,40278,승리,아지르,마산가자,10,9,13,49178,6,33,15,324,8.5,2,3,11
3,40278,승리,미스 포츈,해강고원딜 팬,14,13,11,49389,3,13,14,246,6.4,2,3,11
4,40278,승리,바드,whisper snow,3,8,19,13232,7,38,25,62,1.6,2,3,11
5,40278,패배,제이스,Jisu2,8,11,13,39464,4,44,18,267,7.0,0,1,4
6,40278,패배,엘리스,ROX Se0ngHwan,7,11,12,26125,6,51,15,169,4.4,0,1,4
7,40278,패배,탈리야,CooN,12,9,12,35748,3,35,11,304,7.9,0,1,4
8,40278,패배,진,커닝시티 피그미,12,11,13,47428,4,15,9,303,7.9,0,1,4
9,40278,패배,블리츠크랭크,Kingen,4,8,16,11703,16,40,13,60,1.6,0,1,4
10,40279,승리,나르,Kingen,8,4,11,21606,4,15,6,225,8.5,1,1,10
11,40279,승리,세주아니,마이엠브,7,3,14,12999,4,40,9,154,5.8,1,1,10
12,40279,승리,오리아나,먹는건즐거워,4,4,13,12980,4,11,4,214,8.1,1,1,10
13,40279,승리,진,해강고원딜 팬,11,2,10,20891,1,9,7,177,6.7,1,1,10
14,40279,승리,알리스타,토마토페이스트,2,3,23,7595,5,25,8,38,1.4,1,1,10
15,40279,패배,제이스,Jisu2,1,3,6,15393,3,29,6,227,8.6,0,1,2
16,40279,패배,니달리,DS XiaoPeng,5,8,4,15975,4,24,17,125,4.7,0,1,2
17,40279,패배,라이즈,CooN,5,7,3,12791,2,10,2,177,6.7,0,1,2
18,40279,패배,코그모,커닝시티 피그미,4,6,3,20632,3,14,1,231,8.7,0,1,2
19,40279,패배,탐 켄치,find myself,1,8,6,5536,3,17,4,37,1.4,0,1,2
20,40280,패배,잭스,Kingen,3,6,1,13750,0,10,4,149,7.3,0,0,2
21,40280,패배,렉사이,Lehends,2,5,4,7356,2,17,3,93,4.6,0,0,2
22,40280,패배,라이즈,이도류,2,3,3,8145,4,20,3,158,7.8,0,0,2
23,40280,패배,진,해강고원딜 팬,0,8,0,9389,1,9,1,126,6.2,0,0,2
24,40280,패배,미스 포츈,아이러니,2,6,4,9758,5,12,5,48,2.4,0,0,2
25,40280,승리,마오카이,ROX Se0ngHwan,2,2,3,9254,3,7,2,142,7.0,0,0,6
