,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,Damage,Buy_Pward,Build_ward,Destroy_ward,CS,CSperMin,Baron,Dragon,Tower
0,50495,승리,피오라,뒷텔와드점,4,1,5,13707,2,32,3,264,10.6,1,1,11
1,50495,승리,카직스,Twink1e,7,5,10,14502,4,17,1,154,6.2,1,1,11
2,50495,승리,카타리나,h1rb,10,4,12,25914,3,10,2,182,7.3,1,1,11
3,50495,승리,미스 포츈,혼자해도충분하다,5,3,10,15051,1,10,2,205,8.2,1,1,11
4,50495,승리,쉔,Afreeca Kuro,8,1,18,8293,5,33,9,64,2.6,1,1,11
5,50495,패배,카밀,쌀국수뚝붸기,1,8,2,11166,0,9,6,162,6.5,0,0,1
6,50495,패배,니달리,담원 크러쉬,6,7,4,6820,6,23,11,107,4.3,0,0,1
7,50495,패배,말자하,겸손하고 근면한,4,7,3,20379,3,10,2,208,8.3,0,0,1
8,50495,패배,칼리스타,혼자가 편해졌어,2,8,5,15214,4,13,4,185,7.4,0,0,1
9,50495,패배,알리스타,춘봉박,1,4,7,5335,4,22,9,46,1.8,0,0,1
10,50496,패배,잭스,MVP ADD,2,6,2,7273,3,14,2,138,6.4,0,0,2
11,50496,패배,자르반 4세,F0y,2,6,5,6879,3,24,9,106,4.9,0,0,2
12,50496,패배,트위스티드 페이트,YM  zhongdan,3,4,2,8485,3,11,10,189,8.8,0,0,2
13,50496,패배,미스 포츈,혼자해도충분하다,1,4,4,9704,0,8,4,181,8.4,0,0,2
14,50496,패배,쉔,Lvmao,1,4,3,6231,4,12,6,50,2.3,0,0,2
15,50496,승리,카밀,Gon123,5,3,8,14389,2,11,4,183,8.5,1,2,4
16,50496,승리,세주아니,5gak,5,0,10,8260,2,16,7,129,6.0,1,2,4
17,50496,승리,탈리야,IGS Dasher,10,2,6,14898,5,27,6,197,9.2,1,2,4
18,50496,승리,진,deft123456,3,1,11,9409,4,18,2,171,8.0,1,2,4
19,50496,승리,알리스타,선기박,1,3,11,5508,7,27,6,36,1.7,1,2,4
20,50497,패배,요릭,MVP ADD,0,7,1,16622,2,11,5,195,7.7,0,0,4
21,50497,패배,자르반 4세,DS XiaoPeng,6,6,8,7015,9,57,15,109,4.3,0,0,4
22,50497,패배,코르키,F0y,4,7,2,11125,2,11,10,195,7.7,0,0,4
23,50497,패배,미스 포츈,혼자해도충분하다,4,7,5,11940,0,9,3,215,8.5,0,0,4
24,50497,패배,오른,Lvmao,1,4,8,8455,4,21,8,65,2.6,0,0,4
25,50497,승리,초가스,MVP Ian,6,0,2,15813,3,14,2,191,7.6,1,2,8
26,50497,승리,리 신,5gak,7,3,10,15007,3,40,8,150,5.9,1,2,8
27,50497,승리,탈리야,IGS Dasher,12,1,6,25468,4,15,8,225,8.9,1,2,8
28,50497,승리,진,YM  zhongdan,2,8,11,11768,2,11,8,200,7.9,1,2,8
29,50497,승리,제라스,선기박,4,3,6,12337,13,50,11,39,1.5,1,2,8
30,50498,승리,니달리,sanspareil1,9,3,12,16870,4,15,5,184,6.2,0,2,10
31,50498,승리,제이스,Fotune,8,2,12,23175,6,17,4,276,9.4,0,2,10
32,50498,승리,잭스,Possible tts,6,2,15,17591,1,19,8,217,7.4,0,2,10
33,50498,승리,케넨,슬프다고말하면,4,7,13,10567,14,49,13,15,0.5,0,2,10
34,50498,승리,미스 포츈,혼자해도충분하다,3,2,15,16463,2,12,3,214,7.3,0,2,10
35,50498,패배,자야,SnakeLight,10,4,3,21663,1,9,7,297,10.1,1,0,3
36,50498,패배,자르반 4세,송하영 팬,1,6,9,8639,6,18,4,140,4.7,1,0,3
37,50498,패배,라칸,호잇이,0,6,11,4319,10,38,15,20,0.7,1,0,3
38,50498,패배,라이즈,Awe BarOh,1,3,5,9944,2,13,0,268,9.1,1,0,3
39,50498,패배,카밀,Gon123,4,11,1,16606,2,14,0,180,6.1,1,0,3
40,50499,패배,르블랑,박효신사생팬,18,7,6,29832,1,6,11,243,6.4,0,2,7
41,50499,패배,자르반 4세,h1rb,4,9,17,17581,11,30,8,183,4.8,0,2,7
42,50499,패배,트위스티드 페이트,상어가족,2,7,14,21707,2,6,12,281,7.4,0,2,7
43,50499,패배,미스 포츈,혼자해도충분하다,5,6,14,42210,0,14,9,333,8.8,0,2,7
44,50499,패배,레오나,호잇이,1,7,16,6596,13,50,25,91,2.4,0,2,7
45,50499,승리,갈리오,Possible tts,12,7,16,32521,1,35,4,257,6.8,2,2,9
46,50499,승리,카직스,sanspareil1,7,4,21,24594,6,12,11,242,6.4,2,2,9
