,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,61,패배,루시안,11 14 9 7 8 20,11,9,6,1.8888888888888888
1,61,패배,렉사이,Wilder,7,4,15,5.5
2,61,패배,조이,마산가자,7,7,11,2.5714285714285716
3,61,패배,칼리스타,Mengqiuqiu,5,7,11,2.2857142857142856
4,61,패배,알리스타,J Spectre G,4,6,14,3.0
5,61,승리,제이스,find myself,4,11,14,1.6363636363636365
6,61,승리,쉬바나,yizhiyu,9,9,10,2.111111111111111
7,61,승리,베이가,By myself,7,6,8,2.5
8,61,승리,진,GALA,12,4,8,5.0
9,61,승리,브라움,fengquyunbuhui,1,4,20,5.25
10,62,승리,케넨,Co1dplay,10,7,3,1.8571428571428572
11,62,승리,세주아니,마이엠브,3,4,14,4.25
12,62,승리,제이스,11 14 9 7 8 20,11,2,8,9.5
13,62,승리,미스 포츈,강고릴,5,3,8,4.333333333333333
14,62,승리,마오카이,진쟤승,1,7,20,3.0
15,62,패배,오른,find myself,7,7,7,2.0
16,62,패배,니달리,DS XiaoPeng,4,7,6,1.4285714285714286
17,62,패배,조이,Fotune,5,5,9,2.8
18,62,패배,진,ktmgs,6,6,9,2.5
19,62,패배,브라움,삼성갤럭시CoreJJ,1,5,14,3.0
20,63,승리,나르,TOP아빠,5,5,5,2.0
21,63,승리,니달리,DS XiaoPeng,6,4,8,3.5
22,63,승리,제이스,11 14 9 7 8 20,11,6,10,3.5
23,63,승리,진,암고잉빽투더스탙,7,4,11,4.5
24,63,승리,마오카이,진쟤승,6,5,18,4.8
25,63,패배,케넨,find myself,5,9,3,0.8888888888888888
26,63,패배,카직스,마이엠브,11,3,5,5.333333333333333
27,63,패배,조이,Fotune,5,6,8,2.1666666666666665
28,63,패배,미스 포츈,삼성갤럭시CoreJJ,3,9,4,0.7777777777777778
29,63,패배,알리스타,supbest,0,8,8,1.0
30,64,승리,마스터 이,Eth4n,10,1,1,11.0
31,64,승리,렝가,XinyiQAQ,6,3,4,3.3333333333333335
32,64,승리,제라스,진에어 저스티스,6,3,9,5.0
33,64,승리,애쉬,선비모드,1,2,11,6.0
34,64,승리,미스 포츈,11 14 9 7 8 20,3,3,12,5.0
35,64,패배,판테온,ROYG,4,6,2,1.0
36,64,패배,세주아니,마이엠브,0,3,9,3.0
37,64,패배,애니비아,송하영 팬,1,6,6,1.1666666666666667
38,64,패배,진,Afreeca Kramer,4,5,2,1.2
39,64,패배,라칸,IgNar,2,6,4,1.0
40,65,승리,케넨,커피물조절장인,6,5,8,2.8
41,65,승리,세주아니,PeanuToT,4,2,18,11.0
42,65,승리,아지르,11 14 9 7 8 20,7,6,10,2.8333333333333335
43,65,승리,칼리스타,승 로,13,7,12,3.5714285714285716
44,65,승리,그라가스,MataMataMata,5,5,20,5.0
45,65,패배,나르,7hal,3,5,9,2.4
46,65,패배,니달리,나는야베이베이1,7,9,10,1.8888888888888888
47,65,패배,말자하,성민콩,5,6,7,2.0
48,65,패배,바루스,fndasjkfkqw,8,7,11,2.7142857142857144
49,65,패배,피들스틱,deft123456,2,8,14,2.0
50,66,패배,애니,최초공개할게요오,2,4,3,1.25
51,66,패배,자르반 4세,선비모드,8,7,5,1.8571428571428572
52,66,패배,코르키,11 14 9 7 8 20,5,5,2,1.4
53,66,패배,미스 포츈,Rachel Berry,2,9,6,0.8888888888888888
54,66,패배,제라스,TeachersWu,1,11,6,0.6363636363636364
55,66,승리,갱플랭크,피넛사냥개2,3,6,8,1.8333333333333333
56,66,승리,카직스,5gak,12,3,2,4.666666666666667
57,66,승리,라이즈,으아으앙으아앙,5,3,4,3.0
58,66,승리,이즈리얼,KDM SSol,11,3,12,7.666666666666667
59,66,승리,노틸러스,선기박,5,3,15,6.666666666666667
60,67,승리,럼블,Afreeca Summit,4,5,2,1.2
61,67,승리,자르반 4세,So1o,5,1,10,15.0
62,67,승리,르블랑,11 14 9 7 8 20,6,4,9,3.75
63,67,승리,미스 포츈,Rachel Berry,12,1,6,18.0
64,67,승리,나미,YOYOuuuuuO,3,3,9,4.0
65,67,패배,카밀,피넛사냥개2,4,7,4,1.1428571428571428
66,67,패배,세주아니,Wilder,5,5,4,1.8
