,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,861,승리,나르,JAG S0hwan,2,1,8,10.0
1,861,승리,쉬바나,작전동 노란머리,7,2,7,7.0
2,861,승리,카사딘,ROX 라바,7,1,7,14.0
3,861,승리,미스 포츈,삼성갤럭시CoreJJ,5,3,8,4.333333333333333
4,861,승리,탐 켄치,160810,3,1,7,10.0
5,861,패배,애니,최초공개할게요오,0,3,0,0.0
6,861,패배,렝가,KDM 유준,1,5,1,0.4
7,861,패배,말자하,이치방츠요이야츠,0,6,2,0.3333333333333333
8,861,패배,이즈리얼,DWG BeryL,4,2,2,3.0
9,861,패배,알리스타,먹는건즐거워,3,8,4,0.875
10,862,승리,갱플랭크,최초공개할게요오,0,1,6,6.0
11,862,승리,렝가,KDM 유준,12,2,1,6.5
12,862,승리,말자하,이치방츠요이야츠,1,0,2,inf
13,862,승리,진,DWG BeryL,4,0,5,inf
14,862,승리,알리스타,160810,2,0,4,inf
15,862,패배,자르반 4세,Like Waves,0,4,1,0.25
16,862,패배,쉬바나,마이엠브,1,4,0,0.25
17,862,패배,카사딘,DWG ShowMaker,0,2,0,0.0
18,862,패배,미스 포츈,ROX Sangyoon,1,5,0,0.2
19,862,패배,잔나,ROX 라바,1,4,0,0.25
20,863,승리,카밀,코w코,7,4,8,3.75
21,863,승리,세주아니,담원 크러쉬,1,3,18,6.333333333333333
22,863,승리,말자하,상어가족,4,4,14,4.5
23,863,승리,바루스,Zhongdan XD,13,1,7,20.0
24,863,승리,탐 켄치,160810,1,5,16,3.4
25,863,패배,제이스,Kingen,8,8,5,1.625
26,863,패배,자르반 4세,ROX Lindarang,3,6,11,2.3333333333333335
27,863,패배,라이즈,reMember Mistake,1,4,6,1.75
28,863,패배,진,메 끠,5,3,4,3.0
29,863,패배,트런들,엄청강한 올빼미,0,5,10,2.0
30,864,승리,카밀,나는야 누구일까,8,3,4,4.0
31,864,승리,세주아니,점점나의마음이끌,6,1,12,18.0
32,864,승리,블라디미르,천천히올라감,5,3,10,5.0
33,864,승리,칼리스타,구름꽃길만걷자,12,3,3,5.0
34,864,승리,알리스타,160810,1,2,16,8.5
35,864,패배,일라오이,PawN God,2,8,4,0.75
36,864,패배,니달리,9346,4,6,5,1.5
37,864,패배,라이즈,삼성갤럭시 Crown,1,4,2,0.75
38,864,패배,미스 포츈,Yeeclipse,3,7,3,0.8571428571428571
39,864,패배,탐 켄치,삼성갤럭시CoreJJ,2,7,5,1.0
40,865,승리,라이즈,푸딩은푸딩해,4,0,10,inf
41,865,승리,쉬바나,yizhiyu,9,0,5,inf
42,865,승리,탈리야,chirchri,5,2,8,6.5
43,865,승리,진,Afreeca Kramer,5,1,9,14.0
44,865,승리,탐 켄치,160810,0,1,8,8.0
45,865,패배,나르,fndasjkfkqw,1,4,1,0.5
46,865,패배,세주아니,스마트섹시뷰티,1,6,1,0.3333333333333333
47,865,패배,말자하,DWG ShowMaker,0,6,0,0.0
48,865,패배,미스 포츈,LPL noob ad QAQ,1,4,1,0.5
49,865,패배,트런들,GuGer,1,3,0,0.3333333333333333
50,866,승리,제이스,Eth4n,8,8,9,2.125
51,866,승리,킨드레드,구름꽃길만걷자,15,3,13,9.333333333333334
52,866,승리,라이즈,진에어 저스티스,6,2,13,9.5
53,866,승리,진,입이더러운사람,7,2,19,13.0
54,866,승리,탐 켄치,160810,3,2,17,10.0
55,866,패배,카밀,덤벼보던가,6,8,6,1.5
56,866,패배,카직스,어껭간만에찾아뵙,6,6,2,1.3333333333333333
