,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,1340,패배,쉔,IGS Bear,7,4,7,3.5
1,1340,패배,렉사이,43480287del,3,4,5,2.0
2,1340,패배,신드라,CrazySound,4,4,9,3.25
3,1340,패배,진,수영장파티박종우,5,3,7,4.0
4,1340,패배,오른,IndonesiaMassage,4,3,5,3.0
5,1340,승리,트런들,최석배 사생팬,2,3,6,2.6666666666666665
6,1340,승리,잭스,마이엠브,2,5,8,2.0
7,1340,승리,말자하,갬 성,5,8,8,1.625
8,1340,승리,트리스타나,6학년4반장용준,7,5,4,2.2
9,1340,승리,타릭,천천히올라감,2,2,10,6.0
10,1341,패배,피오라,Jisu2,5,7,3,1.1428571428571428
11,1341,패배,그레이브즈,43480287del,4,8,4,1.0
12,1341,패배,르블랑,유내현,3,2,3,3.0
13,1341,패배,자야,빅파이초코파이,1,9,2,0.3333333333333333
14,1341,패배,모르가나,Siste aeterno,2,5,6,1.6
15,1341,승리,오른,이제 졸려,5,4,5,2.5
16,1341,승리,에코,L1sure,12,3,3,5.0
17,1341,승리,라이즈,By 불비,3,2,5,4.0
18,1341,승리,칼리스타,Yeeclipse,9,3,6,5.0
19,1341,승리,알리스타,Dutch Coffee,2,3,15,5.666666666666667
20,1342,패배,쉔,JAG S0hwan,0,2,2,1.0
21,1342,패배,제이스,43480287del,6,6,3,1.5
22,1342,패배,블라디미르,love left,1,3,4,1.6666666666666667
23,1342,패배,트리스타나,Afreeca Aiming,3,3,2,1.6666666666666667
24,1342,패배,잔나,바람의 늑대,1,2,4,2.5
25,1342,승리,레넥톤,땅우양,0,0,3,inf
26,1342,승리,니달리,빅파이초코파이,5,2,4,4.5
27,1342,승리,오리아나,Sakura Devil,4,2,2,3.0
28,1342,승리,트위치,hard girl,7,4,3,2.5
29,1342,승리,룰루,Dutch Coffee,0,3,9,3.0
30,1343,승리,잭스,mianma,1,1,3,4.0
31,1343,승리,카직스,FeelsPepsiMan,15,0,9,inf
32,1343,승리,르블랑,43480287del,10,6,12,3.6666666666666665
33,1343,승리,트리스타나,비 브이 오 와이,8,2,6,7.0
34,1343,승리,알리스타,FW SwordArT,2,4,10,3.0
35,1343,패배,신지드,Lehends,2,5,8,2.0
36,1343,패배,자르반 4세,P2k Key,3,6,5,1.3333333333333333
37,1343,패배,아지르,최석배 사생팬,4,7,4,1.1428571428571428
38,1343,패배,코그모,FeelsWowMan,2,11,2,0.36363636363636365
39,1343,패배,룰루,h1rb,2,7,7,1.2857142857142858
40,1344,승리,야스오,Klmjg,5,6,11,2.6666666666666665
41,1344,승리,자크,오억만,2,5,23,5.0
42,1344,승리,카사딘,아라가키 유이,10,5,13,4.6
43,1344,승리,트리스타나,43480287del,13,6,9,3.6666666666666665
44,1344,승리,탐 켄치,160810,2,3,21,7.666666666666667
45,1344,패배,카밀,Co1dplay,8,6,8,2.6666666666666665
46,1344,패배,세주아니,KT MATA,4,7,13,2.4285714285714284
47,1344,패배,말자하,강고릴,3,4,9,3.0
48,1344,패배,바루스,Yumemiru Shonen,7,9,9,1.7777777777777777
49,1344,패배,알리스타,Nova1,3,6,12,2.5
50,1345,패배,제이스,MVP ADD,1,4,0,0.25
51,1345,패배,세주아니,43480287del,1,2,3,2.0
52,1345,패배,블라디미르,Siste aeterno,2,4,1,0.75
53,1345,패배,케이틀린,Zhongdan XD,0,1,1,1.0
54,1345,패배,알리스타,KT MATA,1,2,1,1.0
55,1345,승리,자르반 4세,Co1dplay,3,1,1,4.0
56,1345,승리,자크,오억만,5,0,6,inf
57,1345,승리,신드라,kn9ght,4,2,1,2.5
