,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,661,승리,카밀,TnTeddy,1,7,5,0.8571428571428571
1,661,승리,쉬바나,75387,7,2,2,4.5
2,661,승리,코르키,ysdgqxcj,10,1,2,12.0
3,661,승리,코그모,6학년4반장용준,2,3,2,1.3333333333333333
4,661,승리,브라움,GuGer,0,3,6,2.0
5,661,패배,나르,Co1dplay,4,3,3,2.3333333333333335
6,661,패배,엘리스,마이엠브,7,4,4,2.75
7,661,패배,조이,PawN God,2,7,4,0.8571428571428571
8,661,패배,미스 포츈,GALA,3,4,2,1.25
9,661,패배,알리스타,강고릴,0,2,5,2.5
10,662,승리,블라디미르,Alielie,7,5,6,2.6
11,662,승리,렝가,w1sdom ovo,8,7,10,2.5714285714285716
12,662,승리,라이즈,으아으앙으아앙,2,4,10,3.0
13,662,승리,진,6학년4반장용준,16,1,7,23.0
14,662,승리,알리스타,삼성갤럭시 하루,0,6,16,2.6666666666666665
15,662,패배,갱플랭크,담원 너구리,3,6,7,1.6666666666666667
16,662,패배,자르반 4세,갱만가드림,7,4,10,4.25
17,662,패배,아지르,Fotune,8,8,8,2.0
18,662,패배,이즈리얼,Co1dplay,4,9,2,0.6666666666666666
19,662,패배,미스 포츈,강고릴,1,6,8,1.5
20,663,패배,제이스,Alielie,7,4,5,3.0
21,663,패배,엘리스,jinwandalaohu,0,7,3,0.42857142857142855
22,663,패배,아지르,PawN God,3,2,4,3.5
23,663,패배,진,6학년4반장용준,2,4,2,1.0
24,663,패배,쉔,w1sdom ovo,1,5,3,0.8
25,663,승리,자르반 4세,Co1dplay,4,4,9,3.25
26,663,승리,니달리,PuncHh,2,3,10,4.0
27,663,승리,다이애나,이야공,9,2,6,7.5
28,663,승리,바루스,Afreeca Ruby,4,3,9,4.333333333333333
29,663,승리,레오나,강고릴,3,1,16,19.0
30,664,패배,케넨,Delicious Fish,5,7,3,1.1428571428571428
31,664,패배,세주아니,점점나의마음이끌,4,7,8,1.7142857142857142
32,664,패배,조이,FeelsAwesomeMan,4,4,3,1.75
33,664,패배,미스 포츈,6학년4반장용준,2,4,3,1.25
34,664,패배,블리츠크랭크,삼성갤럭시 Crown,0,8,6,0.75
35,664,승리,나르,카페베네설탕도둑,7,3,10,5.666666666666667
36,664,승리,카직스,chijixuanshou,6,3,14,6.666666666666667
37,664,승리,베이가,ZhanQiHuaYm,7,4,7,3.5
38,664,승리,바루스,멘탈 실력 운,10,1,9,19.0
39,664,승리,알리스타,루시퍼메이데이,0,4,17,4.25
40,665,승리,갱플랭크,Fabu,11,10,22,3.3
41,665,승리,렝가,SKT T1 WoIf,18,9,15,3.6666666666666665
42,665,승리,아지르,mide gui tou,9,6,16,4.166666666666667
43,665,승리,미스 포츈,6학년4반장용준,12,10,24,3.6
44,665,승리,레오나,A weak youth,2,11,27,2.6363636363636362
45,665,패배,피오라,진에어 저스티스,10,14,8,1.2857142857142858
46,665,패배,세주아니,마이엠브,8,8,21,3.625
47,665,패배,라이즈,삼성갤럭시 Crown,8,10,13,2.1
48,665,패배,진,먹는건즐거워,15,8,17,4.0
49,665,패배,알리스타,supbest,5,12,24,2.4166666666666665
50,666,승리,제이스,혼자혼자,3,4,1,1.0
51,666,승리,세주아니,마이엠브,0,1,7,7.0
52,666,승리,카사딘,mide gui tou,9,0,3,inf
53,666,승리,진,6학년4반장용준,5,0,3,inf
54,666,승리,쉔,스칼렛 십자군,1,1,8,9.0
55,666,패배,카밀,Heiz4,1,4,2,0.75
56,666,패배,자르반 4세,점점나의마음이끌,3,2,2,2.5
57,666,패배,라이즈,삼성갤럭시 Crown,1,3,1,0.6666666666666666
58,666,패배,바루스,Delicious Fish,1,5,0,0.2
59,666,패배,카르마,wojuede OK,0,4,2,0.5
60,667,패배,갱플랭크,Eth4n,1,10,4,0.5
61,667,패배,니달리,진에어 저스티스,4,5,3,1.4
62,667,패배,라이즈,마산가자,2,8,4,0.75
63,667,패배,이즈리얼,6학년4반장용준,4,6,3,1.1666666666666667
64,667,패배,블리츠크랭크,Detiny,1,6,4,0.8333333333333334
65,667,승리,판테온,Zhongdan XD,13,1,8,21.0
66,667,승리,쉬바나,yizhiyu,10,2,4,7.0
67,667,승리,트위스티드 페이트,TeachersWu,7,1,8,15.0
68,667,승리,바루스,hard girl,2,3,9,3.6666666666666665
69,667,승리,제라스,11 14 9 7 8 20,3,5,10,2.6
70,668,승리,카밀,Heiz4,5,6,5,1.6666666666666667
71,668,승리,쉬바나,정글노바,8,3,11,6.333333333333333
72,668,승리,말자하,이치방츠요이야츠,4,6,8,2.0
73,668,승리,진,wjhfjihtiu,9,2,12,10.5
74,668,승리,알리스타,6학년4반장용준,3,5,16,3.8
75,668,패배,럼블,God보보,5,4,8,3.25
76,668,패배,자르반 4세,appearflawless,1,7,13,2.0
77,668,패배,라이즈,FW Maple,9,4,5,3.5
78,668,패배,미스 포츈,whisper snow,7,5,7,2.8
79,668,패배,카르마,나는야베이베이1,0,9,13,1.4444444444444444
80,669,승리,자르반 4세,God보보,3,2,11,7.0
81,669,승리,니달리,나는야베이베이1,6,5,14,4.0
82,669,승리,말자하,이치방츠요이야츠,5,3,16,7.0
83,669,승리,진,6학년4반장용준,19,0,9,inf
84,669,승리,쉔,SKT T1 WoIf,0,4,17,4.25
85,669,패배,카밀,Heiz4,3,5,5,1.6
86,669,패배,리 신,PeanuToT,3,7,6,1.2857142857142858
87,669,패배,라이즈,피넛사냥개1,1,6,4,0.8333333333333334
88,669,패배,애쉬,STITCH1,4,5,3,1.4
89,669,패배,케넨,Leelaa,3,10,5,0.8
90,670,패배,일라오이,1987 Plls,0,3,0,0.0
91,670,패배,쉬바나,PeanuToT,5,5,0,1.0
92,670,패배,조이,피넛사냥개1,0,3,1,0.3333333333333333
93,670,패배,진,6학년4반장용준,1,7,5,0.8571428571428571
94,670,패배,알리스타,SKT T1 WoIf,1,7,5,0.8571428571428571
95,670,승리,나르,JAG S0hwan,6,0,5,inf
96,670,승리,리 신,SKT T1 Untara,8,1,5,13.0
97,670,승리,카사딘,mide gui tou,6,0,8,inf
98,670,승리,미스 포츈,혼자해도충분하다,3,4,10,3.25
99,670,승리,오른,진쟤승,2,2,10,6.0
100,671,패배,카밀,Delicious Fish,2,4,2,1.0
101,671,패배,세주아니,점점나의마음이끌,2,6,3,0.8333333333333334
102,671,패배,아지르,6학년4반장용준,3,5,0,0.6
103,671,패배,미스 포츈,삼성갤럭시 Ru1er,1,6,3,0.6666666666666666
104,671,패배,알리스타,삼성갤럭시CoreJJ,0,6,4,0.6666666666666666
105,671,승리,피오라,SKT T1 Untara,7,2,2,4.5
106,671,승리,니달리,PeanuToT,6,2,11,8.5
107,671,승리,제이스,진에어 저스티스,5,1,13,18.0
108,671,승리,진,덤벼보던가,8,3,10,6.0
