,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,261,패배,초가스,지현이의빗자루,5,10,0,0.5
1,261,패배,니달리,PuncHh,2,9,3,0.5555555555555556
2,261,패배,카타리나,DWG ShowMaker,2,7,1,0.42857142857142855
3,261,패배,칼리스타,Afreeca Aiming,2,9,1,0.3333333333333333
4,261,패배,알리스타,IGS Coli,1,5,1,0.4
5,261,승리,클레드,VIP 민형,10,7,11,3.0
6,261,승리,렝가,Hide on bush,15,2,7,11.0
7,261,승리,아지르,겸손하고 근면한,8,2,4,6.0
8,261,승리,진,LPL noob ad QAQ,7,2,9,8.0
9,261,승리,탐 켄치,라인전이기니갱와,0,0,20,inf
10,262,승리,갱플랭크,피넛사냥개2,14,5,10,4.8
11,262,승리,렝가,SKT T1 WoIf,9,10,12,2.1
12,262,승리,아지르,ktmgs,3,6,11,2.3333333333333335
13,262,승리,진,GALA,4,5,13,3.4
14,262,승리,조이,Afreeca Aiming,13,8,8,2.625
15,262,패배,카밀,미율치에오,5,12,3,0.6666666666666666
16,262,패배,카직스,chijixuanshou,4,10,8,1.2
17,262,패배,베이가,ZhanQiHuaYm,9,6,4,2.1666666666666665
18,262,패배,이즈리얼,성민콩,10,9,2,1.3333333333333333
19,262,패배,제라스,Fotune,6,6,10,2.6666666666666665
20,263,승리,잭스,나네쫓다꿈소년,11,6,6,2.8333333333333335
21,263,승리,세주아니,수지Suzy,8,2,15,11.5
22,263,승리,말자하,FW Maple,10,3,14,8.0
23,263,승리,바루스,Afreeca Aiming,5,9,9,1.5555555555555556
24,263,승리,탐 켄치,이재훈다딱,4,7,15,2.7142857142857144
25,263,패배,말파이트,Mengqiuqiu,3,8,10,1.625
26,263,패배,렝가,피넛사냥개1,8,9,2,1.1111111111111112
27,263,패배,조이,Sakura Angel,4,9,8,1.3333333333333333
28,263,패배,미스 포츈,원딜둥이,8,7,8,2.2857142857142856
29,263,패배,잔나,supbest,4,5,15,3.8
30,264,승리,케넨,뒷텔와드점,4,0,3,inf
31,264,승리,렝가,SKT T1 WoIf,4,1,5,9.0
32,264,승리,조이,마산가자,5,0,3,inf
33,264,승리,미스 포츈,Afreeca Aiming,3,3,9,4.0
34,264,승리,쉔,Lvmao,4,0,7,inf
35,264,패배,갱플랭크,RVS Poss,1,4,1,0.5
36,264,패배,카직스,h1rb,1,1,1,2.0
37,264,패배,아지르,FW Maple,1,5,0,0.2
38,264,패배,진,DWG BeryL,1,5,1,0.4
39,264,패배,알리스타,토마토페이스트,0,5,2,0.4
40,265,승리,자이라,MSC TRY,9,9,14,2.5555555555555554
41,265,승리,오른,진쟤승,11,8,16,3.375
42,265,승리,제드,KDM PERT,15,4,10,6.25
43,265,승리,진,Afreeca Aiming,9,8,15,3.0
44,265,승리,제라스,다시 돌아갈까요,12,4,22,8.5
45,265,패배,마오카이,Heart,3,9,14,1.8888888888888888
46,265,패배,이즈리얼,PeanuToT,10,15,13,1.5333333333333334
47,265,패배,코르키,FeelsCoffeeMan,10,9,9,2.111111111111111
48,265,패배,바루스,sqb,8,11,4,1.0909090909090908
49,265,패배,알리스타,supbest,2,12,20,1.8333333333333333
50,266,패배,제이스,FeelsIronMan,1,7,2,0.42857142857142855
51,266,패배,렝가,w1sdom ovo,3,2,4,3.5
52,266,패배,코르키,YM  zhongdan,3,4,2,1.25
53,266,패배,칼리스타,Afreeca Aiming,2,3,1,1.0
54,266,패배,쉔,Alielie,0,5,4,0.8
55,266,승리,나르,MVP ADD,5,5,3,1.6
56,266,승리,니달리,Cuz2,7,2,7,7.0
57,266,승리,라이즈,FeelsCoffeeMan,4,2,10,7.0
58,266,승리,이즈리얼,VIP 민형,4,0,10,inf
59,266,승리,브라움,Nem2sis,1,0,10,inf
60,267,패배,클레드,VIP 민형,3,5,1,0.8
61,267,패배,세주아니,DS XiaoPeng,1,6,1,0.3333333333333333
62,267,패배,아지르,으아으앙으아앙,0,7,0,0.0
63,267,패배,미스 포츈,Afreeca Aiming,0,4,0,0.0
64,267,패배,오른,진쟤승,1,8,0,0.125
65,267,승리,마오카이,YOYOuuuuuO,0,2,8,4.0
66,267,승리,자르반 4세,삼성갤럭시 하루,1,2,16,8.5
67,267,승리,카타리나,find myself,18,1,3,21.0
68,267,승리,칼리스타,송하영 팬,10,0,7,inf
69,267,승리,레오나,YserAoA,0,0,17,inf
70,268,패배,잭스,나네쫓다꿈소년,1,8,4,0.625
71,268,패배,쉬바나,M1anhua,4,7,6,1.4285714285714286
72,268,패배,카사딘,아테나찡,3,5,4,1.4
73,268,패배,미스 포츈,Afreeca Aiming,6,4,2,2.0
74,268,패배,탐 켄치,VIP 민형,1,8,9,1.25
75,268,승리,케넨,find myself,9,5,10,3.8
76,268,승리,렝가,삼성갤럭시 하루,11,3,11,7.333333333333333
77,268,승리,코르키,APK Rainbow,8,3,6,4.666666666666667
78,268,승리,칼리스타,어껭간만에찾아뵙,3,3,7,3.3333333333333335
79,268,승리,레오나,KDM PERT,1,1,16,17.0
80,269,패배,나르,피넛사냥개2,8,3,2,3.3333333333333335
81,269,패배,자르반 4세,sanspareil1,5,5,7,2.4
82,269,패배,카사딘,PeanuToT,5,7,2,1.0
83,269,패배,미스 포츈,Afreeca Aiming,4,5,7,2.2
84,269,패배,바드,리인제이,1,7,10,1.5714285714285714
85,269,승리,갱플랭크,뒷텔와드점,4,7,10,2.0
86,269,승리,카직스,SKT T1 WoIf,8,7,7,2.142857142857143
87,269,승리,라이즈,FW Maple,6,1,6,12.0
88,269,승리,이즈리얼,RRRuleRRR,6,6,7,2.1666666666666665
89,269,승리,쉔,먹는건즐거워,3,2,14,8.5
90,270,패배,사이온,피넛사냥개2,1,2,3,2.0
91,270,패배,세주아니,갱만가드림,1,5,6,1.4
92,270,패배,조이,KDM PERT,3,7,3,0.8571428571428571
93,270,패배,이즈리얼,Afreeca Aiming,0,7,2,0.2857142857142857
94,270,패배,제라스,다시 돌아갈까요,5,7,2,1.0
95,270,승리,갱플랭크,뒷텔와드점,4,0,2,inf
96,270,승리,카직스,SKT T1 WoIf,12,2,4,8.0
97,270,승리,말자하,상어가족,3,4,4,1.75
98,270,승리,칼리스타,RRRuleRRR,8,2,4,6.0
99,270,승리,브라움,sanspareil1,1,2,11,6.0
100,271,패배,카밀,암고잉빽투더스탙,4,5,1,1.0
101,271,패배,잭스,M1anhua,3,7,6,1.2857142857142858
102,271,패배,라이즈,By myself,2,3,3,1.6666666666666667
103,271,패배,이즈리얼,Afreeca Aiming,1,7,6,1.0
104,271,패배,쉔,상어가족,5,7,3,1.1428571428571428
105,271,승리,자르반 4세,풀 뜯는 미드,4,1,11,15.0
106,271,승리,쉬바나,Cuz2,4,4,10,3.5
107,271,승리,피들스틱,FW Maple,8,3,10,6.0
108,271,승리,미스 포츈,RRRuleRRR,9,4,13,5.5
109,271,승리,마오카이,진쟤승,4,3,18,7.333333333333333
110,272,승리,카밀,Alielie,7,12,8,1.25
111,272,승리,자르반 4세,죠토마킹,9,5,14,4.6
112,272,승리,피들스틱,FW Maple,9,4,17,6.5
113,272,승리,애쉬,Afreeca Aiming,9,4,16,6.25
114,272,승리,쉔,By myself,6,1,22,28.0
115,272,패배,블라디미르,Kingen,7,8,7,1.75
116,272,패배,리 신,피넛사냥개1,3,9,15,2.0
117,272,패배,베이가,1414774182,7,6,9,2.6666666666666665
118,272,패배,진,Atlen,9,7,7,2.2857142857142856
119,272,패배,나미,YOYOuuuuuO,0,10,19,1.9
120,273,패배,케넨,Afreeca Aiming,5,9,11,1.7777777777777777
121,273,패배,니달리,wojiuyizhangzui,2,11,4,0.5454545454545454
122,273,패배,코르키,성혁님미드가신다,5,6,4,1.5
123,273,패배,케이틀린,NekoL,9,4,3,3.0
124,273,패배,쉔,supbest,1,10,9,1.0
125,273,승리,제이스,FeelsSosoMan,11,2,10,10.5
126,273,승리,자르반 4세,DaYE,9,3,18,9.0
127,273,승리,말자하,Heart,7,5,19,5.2
128,273,승리,미스 포츈,쓰레기새기들,9,9,13,2.4444444444444446
129,273,승리,쓰레쉬,슬프다고말하면,4,3,18,7.333333333333333
130,274,패배,제이스,Lucete,2,6,0,0.3333333333333333
131,274,패배,카직스,일견무시도성빈,1,4,0,0.25
132,274,패배,카사딘,mide gui tou,1,3,0,0.3333333333333333
133,274,패배,미스 포츈,Afreeca Aiming,0,2,0,0.0
134,274,패배,소라카,YOYOuuuuuO,0,4,1,0.25
135,274,승리,카밀,나는야 누구일까,6,1,3,9.0
136,274,승리,자르반 4세,트와이스 원스,5,2,5,5.0
137,274,승리,트위스티드 페이트,ysdgqxcj,2,1,4,6.0
138,274,승리,칼리스타,wojiuyizhangzui,5,0,3,inf
139,274,승리,쓰레쉬,슬프다고말하면,1,0,10,inf
140,275,패배,자르반 4세,송하영 팬,8,7,4,1.7142857142857142
141,275,패배,엘리스,삼성갤럭시 하루,8,8,5,1.625
142,275,패배,르블랑,삼성갤럭시 Crown,2,5,10,2.4
143,275,패배,이즈리얼,Afreeca Aiming,5,8,4,1.125
144,275,패배,카르마,h1rb,1,6,7,1.3333333333333333
145,275,승리,말파이트,mid push gogo,5,4,9,3.5
146,275,승리,렝가,kenzhu9,7,6,9,2.6666666666666665
147,275,승리,오리아나,DWG ShowMaker,4,6,13,2.8333333333333335
148,275,승리,자야,SnakeLight,13,3,12,8.333333333333334
149,275,승리,라칸,fengquyunbuhui,5,5,21,5.2
150,276,패배,제이스,God보보,3,2,4,3.5
151,276,패배,세주아니,아트가 앗뜨거,4,4,6,2.5
152,276,패배,조이,피넛사냥개1,3,6,3,1.0
153,276,패배,바루스,Afreeca Aiming,6,5,6,2.4
154,276,패배,알리스타,Sake of it,1,4,9,2.5
155,276,승리,카밀,담원 얼라이브,4,5,7,2.2
156,276,승리,자크,Cuz2,2,3,9,3.6666666666666665
157,276,승리,카사딘,Lucete,11,1,8,19.0
158,276,승리,진,Destiny,3,5,9,2.4
159,276,승리,라칸,fengquyunbuhui,1,3,14,5.0
160,277,패배,케넨,God보보,1,4,0,0.25
