,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,1101,패배,이렐리아,승 로,3,5,3,1.2
1,1101,패배,니달리,PeanuToT,4,6,6,1.6666666666666667
2,1101,패배,조이,PawN God,3,4,5,2.0
3,1101,패배,미스 포츈,Afreeca Kramer,3,8,3,0.75
4,1101,패배,소라카,YOYOuuuuuO,1,9,7,0.8888888888888888
5,1101,승리,갱플랭크,최초공개할게요오,5,2,13,9.0
6,1101,승리,쉬바나,yizhiyu,3,6,13,2.6666666666666665
7,1101,승리,라이즈,KDM 유준,6,3,4,3.3333333333333335
8,1101,승리,바루스,쌀국수뚝붸기,9,3,5,4.666666666666667
9,1101,승리,제라스,호잇이,9,0,11,inf
10,1102,패배,갱플랭크,최초공개할게요오,1,5,1,0.4
11,1102,패배,카직스,KDM 유준,3,4,3,1.5
12,1102,패배,탈리야,송하영 팬,3,8,0,0.375
13,1102,패배,드레이븐,Afreeca Kramer,0,6,2,0.3333333333333333
14,1102,패배,쉔,Nova1,0,6,2,0.3333333333333333
15,1102,승리,제이스,Kingen,2,1,9,11.0
16,1102,승리,엘리스,IGS Dasher,8,2,6,7.0
17,1102,승리,조이,By myself,10,3,4,4.666666666666667
18,1102,승리,진,FeelsCoffeeMan,8,1,7,15.0
19,1102,승리,브라움,삼성갤럭시CoreJJ,1,0,15,inf
20,1103,패배,판테온,ROYG,4,6,2,1.0
21,1103,패배,세주아니,마이엠브,0,3,9,3.0
22,1103,패배,애니비아,송하영 팬,1,6,6,1.1666666666666667
23,1103,패배,진,Afreeca Kramer,4,5,2,1.2
24,1103,패배,라칸,IgNar,2,6,4,1.0
25,1103,승리,마스터 이,Eth4n,10,1,1,11.0
26,1103,승리,렝가,XinyiQAQ,6,3,4,3.3333333333333335
27,1103,승리,제라스,진에어 저스티스,6,3,9,5.0
28,1103,승리,애쉬,선비모드,1,2,11,6.0
29,1103,승리,미스 포츈,11 14 9 7 8 20,3,3,12,5.0
30,1104,승리,판테온,Plz No Die,9,3,8,5.666666666666667
31,1104,승리,카직스,Cuz2,12,6,9,3.5
32,1104,승리,라이즈,Lucete,9,5,7,3.2
33,1104,승리,이즈리얼,Afreeca Kramer,7,3,13,6.666666666666667
34,1104,승리,쉔,덤벼보던가,4,6,25,4.833333333333333
35,1104,패배,갱플랭크,춘봉박,6,5,7,2.6
36,1104,패배,자르반 4세,FVV BETTY,6,10,3,0.9
37,1104,패배,애니비아,송하영 팬,5,7,8,1.8571428571428572
38,1104,패배,바루스,Please find it,2,10,9,1.1
39,1104,패배,알리스타,Afreeca Kuro,4,9,7,1.2222222222222223
40,1105,패배,카밀,Alielie,0,8,1,0.125
41,1105,패배,킨드레드,w1sdom ovo,0,6,1,0.16666666666666666
42,1105,패배,조이,어껭간만에찾아뵙,2,5,1,0.6
43,1105,패배,진,Afreeca Kramer,2,4,1,0.75
44,1105,패배,알리스타,7895123,0,4,2,0.5
45,1105,승리,갱플랭크,쌀국수뚝붸기,14,1,1,15.0
46,1105,승리,세주아니,스마트섹시뷰티,2,0,8,inf
47,1105,승리,탈리야,푸딩은푸딩해,4,2,6,5.0
48,1105,승리,미스 포츈,fndasjkfkqw,4,1,6,10.0
49,1105,승리,탐 켄치,nekoneko1,3,0,5,inf
50,1106,패배,제이스,Alielie,7,11,7,1.2727272727272727
51,1106,패배,세주아니,w1sdom ovo,5,6,9,2.3333333333333335
52,1106,패배,르블랑,DWG ShowMaker,14,5,9,4.6
53,1106,패배,바루스,Afreeca Kramer,6,11,8,1.2727272727272727
54,1106,패배,레오나,GuGer,2,10,13,1.5
55,1106,승리,마오카이,푸딩은푸딩해,3,6,17,3.3333333333333335
56,1106,승리,자르반 4세,chirchri,8,9,25,3.6666666666666665
57,1106,승리,라이즈,피넛사냥개1,15,3,12,9.0
58,1106,승리,진,fndasjkfkqw,12,5,17,5.8
59,1106,승리,미스 포츈,스마트섹시뷰티,5,11,14,1.7272727272727273
60,1107,승리,라이즈,푸딩은푸딩해,4,0,10,inf
61,1107,승리,쉬바나,yizhiyu,9,0,5,inf
62,1107,승리,탈리야,chirchri,5,2,8,6.5
63,1107,승리,진,Afreeca Kramer,5,1,9,14.0
64,1107,승리,탐 켄치,160810,0,1,8,8.0
65,1107,패배,나르,fndasjkfkqw,1,4,1,0.5
66,1107,패배,세주아니,스마트섹시뷰티,1,6,1,0.3333333333333333
67,1107,패배,말자하,DWG ShowMaker,0,6,0,0.0
68,1107,패배,미스 포츈,LPL noob ad QAQ,1,4,1,0.5
69,1107,패배,트런들,GuGer,1,3,0,0.3333333333333333
70,1108,패배,카밀,덤벼보던가,6,8,6,1.5
71,1108,패배,카직스,어껭간만에찾아뵙,6,6,2,1.3333333333333333
72,1108,패배,말자하,ROX 라바,3,9,5,0.8888888888888888
73,1108,패배,루시안,Afreeca Kramer,1,8,4,0.625
74,1108,패배,알리스타,KDM PERT,1,8,8,1.125
75,1108,승리,제이스,Eth4n,8,8,9,2.125
76,1108,승리,킨드레드,구름꽃길만걷자,15,3,13,9.333333333333334
77,1108,승리,라이즈,진에어 저스티스,6,2,13,9.5
78,1108,승리,진,입이더러운사람,7,2,19,13.0
79,1108,승리,탐 켄치,160810,3,2,17,10.0
80,1109,승리,갱플랭크,MEMEDAN,9,2,5,7.0
81,1109,승리,자르반 4세,so nihao zaijian,3,3,11,4.666666666666667
82,1109,승리,라이즈,Lgp,7,3,10,5.666666666666667
83,1109,승리,베인,Afreeca Kramer,10,4,6,4.0
84,1109,승리,블리츠크랭크,Kazuki Kazami,6,3,11,5.666666666666667
85,1109,패배,카밀,Alielie,4,7,3,1.0
86,1109,패배,리 신,정글노바,3,5,5,1.6
87,1109,패배,아지르,삼성갤럭시 Crown,6,8,3,1.125
88,1109,패배,자야,Please find it,1,8,4,0.625
89,1109,패배,쉔,wojuede OK,0,7,7,1.0
90,1110,패배,럼블,턱살볼살뱃살,3,8,1,0.5
91,1110,패배,자르반 4세,ROX Lindarang,1,3,7,2.6666666666666665
92,1110,패배,말자하,1414774182,1,4,2,0.75
93,1110,패배,자야,Afreeca Kramer,3,4,3,1.5
94,1110,패배,라칸,RVS Poss,2,4,5,1.75
95,1110,승리,카밀,담원 너구리,3,5,8,2.2
96,1110,승리,리 신,kfo,7,1,5,12.0
97,1110,승리,카사딘,아테나찡,9,0,3,inf
98,1110,승리,바루스,fndasjkfkqw,4,0,6,inf
99,1110,승리,미스 포츈,덤벼보던가,0,4,10,2.5
100,1111,패배,나르,RVS Poss,2,8,11,1.625
101,1111,패배,이블린,Afreeca Kramer,10,4,9,4.75
102,1111,패배,라이즈,ysdgqxcj,2,6,8,1.6666666666666667
103,1111,패배,미스 포츈,whisper snow,8,5,6,2.8
104,1111,패배,알리스타,Rain1ng,1,5,12,2.6
105,1111,승리,카밀,kfo,6,8,3,1.125
106,1111,승리,렝가,죠토마킹,1,5,9,2.0
107,1111,승리,코르키,11 14 9 7 8 20,12,2,10,11.0
108,1111,승리,진,Hades9,8,5,10,3.6
109,1111,승리,브라움,fengquyunbuhui,1,3,15,5.333333333333333
110,1112,패배,카밀,MVP ADD,3,6,4,1.1666666666666667
111,1112,패배,세주아니,참깨는짱깨,1,5,5,1.2
112,1112,패배,말자하,상어가족,2,6,7,1.5
113,1112,패배,진,Afreeca Kramer,8,5,4,2.4
