,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,1679,승리,제이스,Co1dplay,9,5,12,4.2
1,1679,승리,세주아니,좋은날,3,3,14,5.666666666666667
2,1679,승리,트위스티드 페이트,ysdgqxcj,10,0,14,inf
3,1679,승리,미스 포츈,Afreeca M0wgli,5,1,15,20.0
4,1679,승리,모르가나,강고릴,3,7,18,3.0
5,1679,패배,피오라,TOP아빠,3,6,1,0.6666666666666666
6,1679,패배,니달리,I will not lose,6,5,2,1.6
7,1679,패배,말자하,MVP Ian,2,5,2,0.8
8,1679,패배,바루스,성민콩,3,6,4,1.1666666666666667
9,1679,패배,알리스타,DS XiaoPeng,2,8,5,0.875
10,1680,패배,제이스,KDM PERT,7,7,5,1.7142857142857142
11,1680,패배,세주아니,Afreeca M0wgli,4,4,7,2.75
12,1680,패배,조이,Hide on bush,4,4,6,2.5
13,1680,패배,코그모,Gon123,4,6,6,1.6666666666666667
14,1680,패배,탐 켄치,혼자가 편해졌어,0,5,13,2.6
15,1680,승리,카밀,kfo,3,7,7,1.4285714285714286
16,1680,승리,니달리,삼성갤럭시 하루,7,3,11,6.0
17,1680,승리,아지르,Fotune,10,1,5,15.0
18,1680,승리,이즈리얼,PeanuToT,3,5,17,4.0
19,1680,승리,마오카이,진쟤승,3,3,16,6.333333333333333
20,1681,패배,나르,나는야베이베이1,1,7,4,0.7142857142857143
21,1681,패배,카직스,Afreeca M0wgli,5,4,4,2.25
22,1681,패배,탈리야,마산가자,7,5,5,2.4
23,1681,패배,진,DWG BeryL,4,3,6,3.3333333333333335
24,1681,패배,쉔,By myself,2,6,11,2.1666666666666665
25,1681,승리,제이스,뒷텔와드점,6,7,3,1.2857142857142858
26,1681,승리,쉬바나,yizhiyu,6,2,9,7.5
27,1681,승리,아지르,FW Maple,7,2,5,6.0
28,1681,승리,바루스,Yeeclipse,5,3,11,5.333333333333333
29,1681,승리,블리츠크랭크,SKT T1 WoIf,1,5,10,2.2
30,1682,승리,카밀,우에하라 크롱,5,3,6,3.6666666666666665
31,1682,승리,니달리,PuncHh,4,4,7,2.75
32,1682,승리,카타리나,259x,10,8,3,1.625
33,1682,승리,미스 포츈,Yeeclipse,6,1,12,18.0
34,1682,승리,알리스타,Afreeca M0wgli,4,1,13,17.0
35,1682,패배,나르,나는야베이베이1,3,9,3,0.6666666666666666
36,1682,패배,리 신,PeanuToT,3,3,5,2.6666666666666665
37,1682,패배,아지르,영광 스런 년,1,7,6,1.0
38,1682,패배,진,아트가 앗뜨거,6,1,8,14.0
39,1682,패배,누누,진쟤승,4,9,4,0.8888888888888888
40,1683,승리,제이스,Alielie,21,6,9,5.0
41,1683,승리,세주아니,Afreeca M0wgli,1,4,19,5.0
42,1683,승리,피들스틱,1414774182,9,6,16,4.166666666666667
43,1683,승리,미스 포츈,피넛사냥개1,14,6,11,4.166666666666667
44,1683,승리,블리츠크랭크,w1sdom ovo,3,6,21,4.0
45,1683,패배,퀸,매우뚱뚱한고양이,5,14,8,0.9285714285714286
46,1683,패배,자르반 4세,ROX 곰,3,10,11,1.4
47,1683,패배,아지르,성혁님미드가신다,8,5,6,2.8
48,1683,패배,시비르,선비모드,10,10,8,1.8
49,1683,패배,알리스타,구직자 쭈스,2,9,15,1.8888888888888888
50,1684,패배,나르,Eth4n,9,3,1,3.3333333333333335
51,1684,패배,자르반 4세,Afreeca M0wgli,4,6,3,1.1666666666666667
52,1684,패배,아지르,진에어 저스티스,3,5,4,1.4
53,1684,패배,애쉬,선비모드,4,7,8,1.7142857142857142
54,1684,패배,알리스타,천천히올라감,1,5,11,2.4
55,1684,승리,오른,암고잉빽투더스탙,2,3,10,4.0
56,1684,승리,카직스,마이엠브,5,6,7,2.0
57,1684,승리,말자하,ROX 라바,8,3,9,5.666666666666667
58,1684,승리,진,ROX Sangyoon,7,5,4,2.2
59,1684,승리,탐 켄치,뒷텔와드점,4,4,12,4.0
60,1685,패배,제이스,Jin air Yaharong,2,10,3,0.5
61,1685,패배,세주아니,Afreeca M0wgli,4,4,5,2.25
62,1685,패배,아지르,최석배 사생팬,2,3,1,1.0
63,1685,패배,미스 포츈,Yeeclipse,2,10,8,1.0
64,1685,패배,벨코즈,JAG Wraith,7,7,9,2.2857142857142856
65,1685,승리,카밀,우에하라 크롱,10,1,6,16.0
66,1685,승리,쉬바나,F0y,5,4,8,3.25
67,1685,승리,제라스,reMember Mistake,8,1,10,18.0
68,1685,승리,드레이븐,kiyomia,7,7,10,2.4285714285714284
69,1685,승리,잔나,리인제이,4,4,18,5.5
70,1686,승리,카밀,Heiz4,6,10,8,1.4
71,1686,승리,카직스,Afreeca M0wgli,13,1,6,19.0
72,1686,승리,조이,피넛사냥개1,3,4,15,4.5
73,1686,승리,진,스마트섹시뷰티,7,2,9,8.0
74,1686,승리,알리스타,토마토페이스트,2,5,14,3.2
75,1686,패배,갱플랭크,귤수호자 만기,5,6,7,2.0
76,1686,패배,니달리,So1o,10,8,6,2.0
77,1686,패배,탈리야,푸딩은푸딩해,6,5,6,2.4
78,1686,패배,미스 포츈,루시퍼메이데이,1,5,9,2.0
79,1686,패배,쓰레쉬,A weak youth,0,7,10,1.4285714285714286
80,1687,승리,나르,Kingen,5,4,11,4.0
81,1687,승리,세주아니,Afreeca M0wgli,5,2,17,11.0
82,1687,승리,라이즈,해운대잠만보,5,7,10,2.142857142857143
