,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,1021,승리,럼블,Afreeca Summit,4,5,2,1.2
1,1021,승리,자르반 4세,So1o,5,1,10,15.0
2,1021,승리,르블랑,11 14 9 7 8 20,6,4,9,3.75
3,1021,승리,미스 포츈,Rachel Berry,12,1,6,18.0
4,1021,승리,나미,YOYOuuuuuO,3,3,9,4.0
5,1021,패배,카밀,피넛사냥개2,4,7,4,1.1428571428571428
6,1021,패배,세주아니,Wilder,5,5,4,1.8
7,1021,패배,오리아나,LFT MID,1,7,2,0.42857142857142855
8,1021,패배,칼리스타,LPL noob ad QAQ,3,6,2,0.8333333333333334
9,1021,패배,쓰레쉬,YserAoA,1,5,5,1.2
10,1022,승리,야스오,Afreeca Summit,5,5,7,2.4
11,1022,승리,자르반 4세,ROX Hoon,6,2,11,8.5
12,1022,승리,탈리야,풀 뜯는 미드,4,2,8,6.0
13,1022,승리,진,삼성갤럭시 Ru1er,11,1,3,14.0
14,1022,승리,알리스타,fndasjkfkqw,2,2,6,4.0
15,1022,패배,나르,담원 너구리,6,7,0,0.8571428571428571
16,1022,패배,세주아니,PuncHh,1,5,4,1.0
17,1022,패배,르블랑,chirchri,2,5,2,0.8
18,1022,패배,바루스,원딜둥이,3,7,2,0.7142857142857143
19,1022,패배,제라스,나라카일,0,5,5,1.0
20,1023,패배,나르,Afreeca Summit,0,8,2,0.25
21,1023,패배,엘리스,풀 뜯는 미드,3,5,3,1.2
22,1023,패배,아지르,Republic123,5,4,0,1.25
23,1023,패배,칼리스타,veigar go next,4,3,3,2.3333333333333335
24,1023,패배,알리스타,구직자 쭈스,1,3,5,2.0
25,1023,승리,카밀,담원 너구리,9,0,7,inf
26,1023,승리,자르반 4세,chirchri,5,2,10,7.5
27,1023,승리,카타리나,duibuqiziji,5,5,2,1.4
28,1023,승리,이즈리얼,호주 AD,2,3,2,1.3333333333333333
29,1023,승리,미스 포츈,스마트섹시뷰티,2,3,7,3.0
30,1024,패배,갱플랭크,Afreeca Summit,0,6,2,0.3333333333333333
31,1024,패배,세주아니,정글노바,1,2,6,3.5
32,1024,패배,카사딘,유튜브충현랩모음,3,2,2,2.5
33,1024,패배,미스 포츈,벤센트불탄,5,1,3,8.0
34,1024,패배,쉔,161616,1,1,7,8.0
35,1024,승리,카밀,Gon123,5,0,4,inf
36,1024,승리,자르반 4세,pokeryo,2,1,4,6.0
37,1024,승리,아지르,성민콩,2,2,3,2.5
38,1024,승리,진,의 주,2,3,2,1.3333333333333333
39,1024,승리,나미,VeryBitter,1,4,5,1.5
40,1025,승리,나르,커피물조절장인,5,5,14,3.8
41,1025,승리,니달리,kenzhu9,10,8,11,2.625
42,1025,승리,르블랑,CooN,7,3,13,6.666666666666667
43,1025,승리,미스 포츈,ROX Sangyoon,16,5,9,5.0
44,1025,승리,블리츠크랭크,Afreeca Summit,1,5,18,3.8
45,1025,패배,럼블,우르프rider,4,9,3,0.7777777777777778
46,1025,패배,트리스타나,작전동 노란머리,10,5,9,3.8
47,1025,패배,라이즈,FeelsAwesomeMan,4,5,12,3.2
48,1025,패배,진,상어가족,7,10,7,1.4
49,1025,패배,바드,RVS Poss,1,10,12,1.3
50,1026,승리,갱플랭크,Afreeca Summit,4,6,9,2.1666666666666665
51,1026,승리,렉사이,마이엠브,3,5,7,2.0
52,1026,승리,조이,KDM Edge,11,4,6,4.25
53,1026,승리,자야,어껭간만에찾아뵙,8,3,7,5.0
54,1026,승리,타릭,6학년4반장용준,1,5,18,3.8
55,1026,패배,나르,RVS Poss,8,2,3,5.5
56,1026,패배,니달리,해운대잠만보,11,5,5,3.2
57,1026,패배,트위스티드 페이트,상어가족,2,5,11,2.6
58,1026,패배,칼리스타,담원 얼라이브,2,7,4,0.8571428571428571
59,1026,패배,블리츠크랭크,HanGuo Xiao Daye,0,8,8,1.0
60,1027,승리,갱플랭크,Afreeca Summit,4,6,11,2.5
61,1027,승리,리 신,HanGuo Xiao Daye,8,4,12,5.0
62,1027,승리,르블랑,chirchri,5,5,8,2.6
63,1027,승리,미스 포츈,Hades9,7,1,10,17.0
64,1027,승리,쉔,최초공개할게요오,2,8,9,1.375
65,1027,패배,자르반 4세,Eth4n,2,6,11,2.1666666666666665
66,1027,패배,아이번,JAG UmTi,4,4,11,3.75
67,1027,패배,탈리야,피넛사냥개1,13,3,2,5.0
68,1027,패배,루시안,피넛사냥개2,2,8,11,1.625
69,1027,패배,블리츠크랭크,WangChen,3,5,8,2.2
70,1028,승리,갱플랭크,Afreeca Summit,8,10,8,1.6
71,1028,승리,엘리스,9346,12,7,5,2.4285714285714284
72,1028,승리,탈리야,kt Ucal,11,9,8,2.111111111111111
73,1028,승리,미스 포츈,Atlen,8,8,15,2.875
74,1028,승리,브라움,atlenismydaddy,3,1,25,28.0
75,1028,패배,카밀,덤벼보던가,9,17,4,0.7647058823529411
76,1028,패배,헤카림,로리쇼타조아욘,11,4,6,4.25
77,1028,패배,아지르,Republic123,9,8,7,2.0
78,1028,패배,바루스,어껭간만에찾아뵙,0,8,8,1.0
79,1028,패배,제라스,DWG TRY,6,5,4,2.0
80,1029,승리,갱플랭크,Afreeca Summit,5,7,8,1.8571428571428572
81,1029,승리,카직스,FeelsAwesomeMan,5,8,2,0.875
82,1029,승리,오리아나,Heart,2,3,8,3.3333333333333335
83,1029,승리,진,Hades9,7,2,7,7.0
84,1029,승리,알리스타,qweqasddasas,3,4,10,3.25
85,1029,패배,나르,커피물조절장인,10,5,5,3.0
86,1029,패배,세주아니,매우뚱뚱한고양이,3,2,12,7.5
87,1029,패배,카사딘,스누피808,5,5,4,1.8
88,1029,패배,애쉬,whisper snow,1,4,6,1.75
89,1029,패배,미스 포츈,호잇이,5,6,5,1.6666666666666667
90,1030,승리,오른,Afreeca Summit,2,1,6,8.0
91,1030,승리,리 신,엠비션 당신은,12,0,3,inf
92,1030,승리,말자하,킬안주면꼬라박음,1,1,6,7.0
93,1030,승리,진,무슨말이야,4,1,7,11.0
94,1030,승리,제라스,Kerla,2,0,10,inf
95,1030,패배,케넨,우르프rider,0,6,0,0.0
96,1030,패배,자르반 4세,J Spectre G,0,4,1,0.25
97,1030,패배,라이즈,chirchri,0,4,0,0.0
98,1030,패배,미스 포츈,Mengqiuqiu,3,5,0,0.6
99,1030,패배,레오나,Misdate,0,2,0,0.0
100,1031,패배,나르,Jisu2,2,3,1,1.0
101,1031,패배,세주아니,Afreeca M0wgli,4,4,11,3.75
102,1031,패배,라이즈,mcmglllc,7,9,3,1.1111111111111112
103,1031,패배,케이틀린,NekoL,5,9,4,1.0
104,1031,패배,알리스타,Afreeca Summit,0,10,6,0.6
105,1031,승리,말파이트,Super Secret,6,1,9,15.0
106,1031,승리,자르반 4세,SnakeLight,10,4,21,7.75
107,1031,승리,아지르,Rain1ng,4,6,12,2.6666666666666665
108,1031,승리,트리스타나,그러면안돼요짜샤,11,3,12,7.666666666666667
109,1031,승리,오른,진쟤승,4,4,20,6.0
110,1032,승리,요릭,나는여자가좋아요,4,4,5,2.25
111,1032,승리,렝가,삼성갤럭시 하루,5,3,5,3.3333333333333335
112,1032,승리,코르키,Afreeca Summit,1,2,3,2.0
