,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,341,패배,제이스,pppyp,10,8,6,2.0
1,341,패배,니달리,DS XiaoPeng,6,8,12,2.25
2,341,패배,피들스틱,1414774182,5,12,6,0.9166666666666666
3,341,패배,루시안,chirchri,3,7,8,1.5714285714285714
4,341,패배,브라움,DWG BeryL,1,6,14,2.5
5,341,승리,자르반 4세,Heiz4,1,9,19,2.2222222222222223
6,341,승리,세주아니,MVP ADD,5,5,24,5.8
7,341,승리,아지르,IGS Dasher,15,1,11,26.0
8,341,승리,진,wjhfjihtiu,17,4,6,5.75
9,341,승리,미스 포츈,Lvmao,3,6,22,4.166666666666667
10,342,승리,제이스,MVP ADD,8,5,8,3.2
11,342,승리,자르반 4세,수입뿌드,7,8,13,2.5
12,342,승리,코르키,ysdgqxcj,6,4,11,4.25
13,342,승리,진,DWG BeryL,8,2,10,9.0
14,342,승리,쓰레쉬,supbest,1,3,19,6.666666666666667
15,342,패배,잭스,TOP아빠,3,6,4,1.1666666666666667
16,342,패배,세주아니,담원 크러쉬,3,6,11,2.3333333333333335
17,342,패배,탈리야,IGS Dasher,7,6,4,1.8333333333333333
18,342,패배,칼리스타,담원 얼라이브,8,4,5,3.25
19,342,패배,바드,Lvmao,1,8,13,1.75
20,343,승리,카밀,미율치에오,4,8,13,2.125
21,343,승리,렝가,SKT T1 WoIf,20,3,7,9.0
22,343,승리,르블랑,DWG ShowMaker,10,3,14,8.0
23,343,승리,미스 포츈,RRRuleRRR,4,8,9,1.625
24,343,승리,알리스타,DWG BeryL,4,5,17,4.2
25,343,패배,잭스,뒷텔와드점,8,9,4,1.3333333333333333
26,343,패배,자르반 4세,DaYE,1,9,12,1.4444444444444444
27,343,패배,라이즈,담원 얼라이브,5,7,3,1.1428571428571428
28,343,패배,진,LPL noob ad QAQ,9,9,7,1.7777777777777777
29,343,패배,카르마,Lucete,4,8,14,2.25
30,344,패배,갱플랭크,RVS Poss,1,4,1,0.5
31,344,패배,카직스,h1rb,1,1,1,2.0
32,344,패배,아지르,FW Maple,1,5,0,0.2
33,344,패배,진,DWG BeryL,1,5,1,0.4
34,344,패배,알리스타,토마토페이스트,0,5,2,0.4
35,344,승리,케넨,뒷텔와드점,4,0,3,inf
36,344,승리,렝가,SKT T1 WoIf,4,1,5,9.0
37,344,승리,조이,마산가자,5,0,3,inf
38,344,승리,미스 포츈,Afreeca Aiming,3,3,9,4.0
39,344,승리,쉔,Lvmao,4,0,7,inf
40,345,패배,나르,나는야베이베이1,1,7,4,0.7142857142857143
41,345,패배,카직스,Afreeca M0wgli,5,4,4,2.25
42,345,패배,탈리야,마산가자,7,5,5,2.4
43,345,패배,진,DWG BeryL,4,3,6,3.3333333333333335
44,345,패배,쉔,By myself,2,6,11,2.1666666666666665
45,345,승리,제이스,뒷텔와드점,6,7,3,1.2857142857142858
46,345,승리,쉬바나,yizhiyu,6,2,9,7.5
47,345,승리,아지르,FW Maple,7,2,5,6.0
48,345,승리,바루스,Yeeclipse,5,3,11,5.333333333333333
49,345,승리,블리츠크랭크,SKT T1 WoIf,1,5,10,2.2
50,346,승리,갱플랭크,최초공개할게요오,2,4,9,2.75
51,346,승리,세주아니,KDM 유준,4,1,16,20.0
52,346,승리,아지르,FW Maple,6,9,7,1.4444444444444444
53,346,승리,칼리스타,SnakeLight,12,3,6,6.0
54,346,승리,브라움,DWG BeryL,1,4,22,5.75
55,346,패배,초가스,Delicious Fish,3,4,6,2.25
56,346,패배,카직스,chijixuanshou,4,5,8,2.4
57,346,패배,베이가,ZhanQiHuaYm,12,5,5,3.4
58,346,패배,미스 포츈,점점나의마음이끌,1,6,8,1.5
59,346,패배,알리스타,먹는건즐거워,1,5,6,1.4
60,347,패배,잭스,뒷텔와드점,1,7,1,0.2857142857142857
61,347,패배,자르반 4세,Destined,2,3,4,2.0
62,347,패배,자이라,슼코치청소슼삭,1,5,2,0.6
63,347,패배,애쉬,DWG BeryL,0,5,2,0.4
64,347,패배,미스 포츈,walking300 fan,4,2,1,2.5
65,347,승리,갱플랭크,Shi  Yue,6,3,4,3.3333333333333335
66,347,승리,쉬바나,Cuz2,6,2,2,4.0
67,347,승리,카서스,벤센트불탄,4,0,5,inf
68,347,승리,진,RRRuleRRR,5,2,2,3.5
69,347,승리,타릭,삼성갤럭시CoreJJ,1,1,9,10.0
70,348,패배,애니,최초공개할게요오,0,3,0,0.0
71,348,패배,렝가,KDM 유준,1,5,1,0.4
72,348,패배,말자하,이치방츠요이야츠,0,6,2,0.3333333333333333
73,348,패배,이즈리얼,DWG BeryL,4,2,2,3.0
74,348,패배,알리스타,먹는건즐거워,3,8,4,0.875
75,348,승리,나르,JAG S0hwan,2,1,8,10.0
76,348,승리,쉬바나,작전동 노란머리,7,2,7,7.0
77,348,승리,카사딘,ROX 라바,7,1,7,14.0
78,348,승리,미스 포츈,삼성갤럭시CoreJJ,5,3,8,4.333333333333333
79,348,승리,탐 켄치,160810,3,1,7,10.0
80,349,승리,갱플랭크,최초공개할게요오,0,1,6,6.0
81,349,승리,렝가,KDM 유준,12,2,1,6.5
82,349,승리,말자하,이치방츠요이야츠,1,0,2,inf
83,349,승리,진,DWG BeryL,4,0,5,inf
84,349,승리,알리스타,160810,2,0,4,inf
85,349,패배,자르반 4세,Like Waves,0,4,1,0.25
86,349,패배,쉬바나,마이엠브,1,4,0,0.25
87,349,패배,카사딘,DWG ShowMaker,0,2,0,0.0
88,349,패배,미스 포츈,ROX Sangyoon,1,5,0,0.2
89,349,패배,잔나,ROX 라바,1,4,0,0.25
90,350,승리,쉔,우에하라 크롱,4,3,8,4.0
91,350,승리,세주아니,F0y,5,4,11,4.0
92,350,승리,아지르,By myself,4,1,5,9.0
93,350,승리,미스 포츈,DWG BeryL,10,4,9,4.75
94,350,승리,브라움,삼성갤럭시CoreJJ,0,5,14,2.8
95,350,패배,제이스,Delicious Fish,3,4,4,1.75
96,350,패배,자르반 4세,점점나의마음이끌,1,5,10,2.2
97,350,패배,트위스티드 페이트,송하영 팬,4,5,10,2.8
98,350,패배,진,학교밀베포친키,8,5,4,2.4
99,350,패배,탐 켄치,Nova1,1,4,8,2.25
100,351,패배,갱플랭크,담원 너구리,5,5,3,1.6
101,351,패배,자크,IGS Coli,2,6,10,2.0
102,351,패배,라이즈,지현이의빗자루,3,7,7,1.4285714285714286
103,351,패배,진,담원 얼라이브,6,5,7,2.6
104,351,패배,조이,DWG BeryL,7,6,7,2.3333333333333335
105,351,승리,잭스,TOP아빠,4,4,7,2.75
106,351,승리,카직스,점점나의마음이끌,6,4,11,4.25
107,351,승리,카사딘,Delicious Fish,8,6,5,2.1666666666666665
108,351,승리,미스 포츈,SKT T1 Bang,10,4,10,5.0
109,351,승리,카르마,슬프다고말하면,1,5,20,4.2
110,352,패배,블라디미르,kfo,1,2,0,0.5
111,352,패배,카직스,259x,1,3,4,1.6666666666666667
112,352,패배,말자하,성민콩,1,4,1,0.5
113,352,패배,진,세메론,3,5,1,0.8
114,352,패배,오른,DWG BeryL,1,4,3,1.0
115,352,승리,나르,7hal,1,2,4,2.5
116,352,승리,쉬바나,PeanuToT,10,0,2,inf
117,352,승리,아지르,MataMataMata,0,1,3,3.0
118,352,승리,바루스,비 브이 오 와이,3,3,10,4.333333333333333
119,352,승리,알리스타,supbest,4,1,8,12.0
120,353,승리,제이스,삶이힘든사람,4,2,8,6.0
121,353,승리,카직스,chijixuanshou,8,2,9,8.5
122,353,승리,모르가나,ZhanQiHuaYm,3,2,12,7.5
123,353,승리,진,DWG BeryL,4,0,4,inf
124,353,승리,알리스타,Detiny,3,0,8,inf
125,353,패배,카밀,Heiz4,1,6,0,0.16666666666666666
126,353,패배,자르반 4세,분당고 엄성현,2,4,3,1.25
127,353,패배,말자하,뒷텔와드점,2,6,2,0.6666666666666666
128,353,패배,바루스,VIP 민형,0,2,0,0.0
129,353,패배,탐 켄치,supbest,1,4,0,0.25
130,354,승리,나르,JAG S0hwan,7,4,9,4.0
131,354,승리,니달리,h1rb,13,4,16,7.25
132,354,승리,카타리나,find myself,17,3,8,8.333333333333334
133,354,승리,미스 포츈,혼자가 편해졌어,9,9,10,2.111111111111111
134,354,승리,브라움,DWG BeryL,3,7,21,3.4285714285714284
135,354,패배,갱플랭크,11 14 9 7 8 20,5,9,10,1.6666666666666667
136,354,패배,세주아니,P2k Key,6,9,7,1.4444444444444444
137,354,패배,아지르,IGS Dasher,4,8,9,1.625
138,354,패배,트리스타나,어껭간만에찾아뵙,5,8,4,1.125
139,354,패배,케넨,Dutch Coffee,7,15,9,1.0666666666666667
140,355,,세주아니,7895123,0,0,0,
141,355,,다이애나,이야공,0,0,0,
142,355,,쉔,DWG BeryL,0,0,0,
143,355,,미스 포츈,바보처럼 왜,0,0,0,
144,355,,제이스,Heiz4,0,1,0,0.0
145,355,,카직스,sanspareil1,1,0,0,inf
