,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,281,승리,제이스,DWG Nuguri,7,5,4,2.2
1,281,승리,자크,win or win,9,2,14,11.5
2,281,승리,라이즈,격세지감,5,2,12,8.5
3,281,승리,진,Mengqiuqiu,8,3,15,7.666666666666667
4,281,승리,카르마,천천히올라감,8,0,20,inf
5,281,패배,마오카이,Algorism,3,4,2,1.25
6,281,패배,트리스타나,SmartPilot,3,7,4,1.0
7,281,패배,아지르,삼성갤럭시 Crown,3,7,3,0.8571428571428571
8,281,패배,미스 포츈,RRRuleRRR,2,12,4,0.5
9,281,패배,알리스타,삼성갤럭시CoreJJ,1,7,7,1.1428571428571428
10,282,패배,나르,DWG Nuguri,4,9,8,1.3333333333333333
11,282,패배,리 신,9346,7,8,12,2.375
12,282,패배,카사딘,kt Ucal,13,10,8,2.1
13,282,패배,바루스,멸룡마도사 나츠,3,12,5,0.6666666666666666
14,282,패배,알리스타,강 츄,1,8,14,1.875
15,282,승리,오른,커피물조절장인,9,4,12,5.25
16,282,승리,자르반 4세,정글노바,7,6,12,3.1666666666666665
17,282,승리,라이즈,Kingen,12,6,7,3.1666666666666665
18,282,승리,이즈리얼,RRRuleRRR,14,8,7,2.625
19,282,승리,나미,삼성갤럭시CoreJJ,5,4,25,7.5
20,283,승리,이렐리아,DWG Nuguri,9,8,10,2.375
21,283,승리,미스 포츈,담원 얼라이브,8,6,12,3.3333333333333335
22,283,승리,베이가,Seroum,11,5,6,3.4
23,283,승리,트리스타나,작전동 노란머리,5,3,4,3.0
24,283,승리,알리스타,KT MATA,3,8,21,3.0
25,283,패배,카사딘,11 14 9 7 8 20,13,5,3,3.2
26,283,패배,블리츠크랭크,PawN God,0,1,17,17.0
27,283,패배,렝가,종학윙,10,7,6,2.2857142857142856
28,283,패배,블라디미르,kfo,2,10,11,1.3
29,283,패배,바루스,Peray,5,13,10,1.1538461538461537
30,284,승리,오른,DWG Nuguri,4,1,9,13.0
31,284,승리,렉사이,F0y,8,1,11,19.0
32,284,승리,탈리야,너와나의연결Gori,6,2,10,8.0
33,284,승리,미스 포츈,강 츄,4,3,11,5.0
34,284,승리,제라스,세메론,9,4,9,4.5
35,284,패배,제이스,돌잔치때도란잡음,4,7,2,0.8571428571428571
36,284,패배,자르반 4세,욘 드,1,6,6,1.1666666666666667
37,284,패배,카사딘,chirchri,2,6,0,0.3333333333333333
38,284,패배,이즈리얼,담원 얼라이브,4,4,2,1.5
39,284,패배,나미,9346,0,8,4,0.5
40,285,패배,나르,DWG Nuguri,5,3,6,3.6666666666666665
41,285,패배,쉬바나,PeanuToT,5,7,5,1.4285714285714286
42,285,패배,카시오페아,SOLCA1,2,6,10,2.0
43,285,패배,진,F0y,2,7,7,1.2857142857142858
44,285,패배,오른,Co2dplay,2,6,8,1.6666666666666667
45,285,승리,초가스,돌잔치때도란잡음,3,4,4,1.75
46,285,승리,세주아니,욘 드,8,2,14,11.0
47,285,승리,카타리나,DWG ShowMaker,12,5,11,4.6
48,285,승리,베인,학식먹을나이,6,2,6,6.0
49,285,승리,브라움,xaxaxaxaxa,0,3,18,6.0
50,286,패배,카밀,DWG Nuguri,0,4,1,0.25
51,286,패배,리 신,돌잔치때도란잡음,2,4,0,0.5
52,286,패배,아지르,AP Innovation,0,4,0,0.0
53,286,패배,진,YeIl0w,0,4,1,0.25
54,286,패배,블리츠크랭크,강고릴,1,3,0,0.3333333333333333
55,286,승리,나르,bbq Crazy,3,1,0,3.0
56,286,승리,그라가스,gragas zz,2,2,6,4.0
57,286,승리,카타리나,DWG ShowMaker,10,0,1,inf
58,286,승리,미스 포츈,호잇이,4,0,4,inf
59,286,승리,제라스,커소리어스나,0,0,5,inf
60,287,패배,나르,DWG Nuguri,7,8,6,1.625
61,287,패배,쉬바나,CoMATnT,4,9,5,1.0
62,287,패배,베이가,Mani eh MwH,6,6,6,2.0
63,287,패배,트리스타나,강 츄,4,11,6,0.9090909090909091
64,287,패배,잔나,찹 또,1,5,11,2.4
65,287,승리,오른,삼성갤럭시 cuvee,0,6,8,1.3333333333333333
66,287,승리,자르반 4세,담원 크러쉬,8,1,19,27.0
67,287,승리,탈리야,삼성갤럭시 Crown,15,4,9,6.0
68,287,승리,칼리스타,Hades9,12,5,11,4.6
69,287,승리,블리츠크랭크,Seroum,4,6,22,4.333333333333333
70,288,패배,오른,DWG Nuguri,1,4,2,0.75
71,288,패배,킨드레드,일반적인 야노VD,4,7,4,1.1428571428571428
72,288,패배,제라스,담원 너굴맨,4,6,2,1.0
73,288,패배,칼리스타,학교밀베포친키,5,4,6,2.75
74,288,패배,모르가나,Dkewed,1,5,12,2.6
75,288,승리,자르반 4세,lover li,5,1,7,12.0
76,288,승리,그레이브즈,11 14 9 7 8 20,10,4,7,4.25
77,288,승리,아지르,KDM PERT,4,0,7,inf
78,288,승리,징크스,SmartPilot,5,4,8,3.25
79,288,승리,레오나,R4phael,2,6,8,1.6666666666666667
80,289,승리,카밀,DWG Nuguri,7,1,6,13.0
81,289,승리,마오카이,atlenismydaddy,2,3,5,2.3333333333333335
82,289,승리,리산드라,chirchri,6,1,4,10.0
83,289,승리,바루스,play ni ma sup,2,2,3,2.5
84,289,승리,오른,호잇이,1,1,5,6.0
85,289,패배,자르반 4세,yizhiyu,4,3,3,2.3333333333333335
86,289,패배,렉사이,매우뚱뚱한고양이,2,5,3,1.0
87,289,패배,탈리야,이노리QAQ,1,4,1,0.5
88,289,패배,이즈리얼,커피물조절장인,1,2,3,2.0
89,289,패배,알리스타,R4phael,0,4,1,0.25
90,290,승리,카밀,DWG Nuguri,7,5,7,2.8
91,290,승리,리 신,강 츄,1,8,10,1.375
92,290,승리,빅토르,love left,3,6,4,1.1666666666666667
93,290,승리,진,200점달고닉변,10,4,10,5.0
94,290,승리,쉔,Atlen,6,7,17,3.2857142857142856
95,290,패배,케넨,분당고 엄성현,4,7,10,2.0
96,290,패배,렝가,XinyiQAQ,8,4,8,4.0
97,290,패배,라이즈,Republic123,10,6,7,2.8333333333333335
98,290,패배,트리스타나,18 01 1000 X D,7,4,10,4.25
99,290,패배,알리스타,Avon1,1,6,17,3.0
100,291,패배,카밀,DWG Nuguri,5,10,1,0.6
101,291,패배,리 신,ROX Hoon,3,11,7,0.9090909090909091
102,291,패배,리산드라,담원 쇼메이커,5,10,7,1.2
103,291,패배,케이틀린,담원 얼라이브,4,9,7,1.2222222222222223
104,291,패배,티모,Peray,7,10,5,1.2
105,291,승리,오른,돌잔치때도란잡음,6,3,21,9.0
106,291,승리,카직스,담원 크러쉬,12,5,9,4.2
107,291,승리,제드,9346,16,10,6,2.2
108,291,승리,코그모,STITCH1,12,6,8,3.3333333333333335
109,291,승리,룰루,FeelsLovelyMan,4,1,25,29.0
110,292,승리,제이스,DWG Nuguri,4,1,3,7.0
111,292,승리,신 짜오,dafdfdsdsffsd,9,3,4,4.333333333333333
112,292,승리,오리아나,Mani eh MwH,2,0,9,inf
113,292,승리,미스 포츈,FeelsLovelyMan,4,2,8,6.0
114,292,승리,탐 켄치,담원 너굴맨,2,2,8,5.0
115,292,패배,마오카이,DWG ShowMaker,1,5,0,0.2
116,292,패배,카직스,담원 크러쉬,4,2,3,3.5
117,292,패배,조이,By myself,0,3,1,0.3333333333333333
118,292,패배,진,상어가족,2,6,5,1.1666666666666667
119,292,패배,오른,중요한건마음가짐,1,5,6,1.4
120,293,승리,카밀,DWG Nuguri,6,5,8,2.8
121,293,승리,람머스,Mani eh MwH,3,6,15,3.0
122,293,승리,트위스티드 페이트,상어가족,5,4,15,5.0
123,293,승리,진,덤벼보던가,16,4,12,7.0
124,293,승리,제라스,삼성갤럭시CoreJJ,9,7,11,2.857142857142857
125,293,패배,잭스,퇴근언제하지,9,7,4,1.8571428571428572
126,293,패배,엘리스,담원 크러쉬,2,6,11,2.1666666666666665
127,293,패배,카타리나,DWG ShowMaker,7,9,10,1.8888888888888888
128,293,패배,바루스,피넛사냥개1,6,10,3,0.9
129,293,패배,브랜드,By myself,2,8,11,1.625
130,294,패배,잭스,DWG Nuguri,2,5,8,2.0
131,294,패배,쉬바나,By myself,4,6,4,1.3333333333333333
132,294,패배,트위스티드 페이트,상어가족,2,7,4,0.8571428571428571
133,294,패배,진,DWG BeryL,9,1,7,16.0
134,294,패배,블리츠크랭크,담원 호잇이,4,6,12,2.6666666666666665
135,294,승리,마오카이,DWG ShowMaker,5,5,6,2.2
136,294,승리,카직스,피넛사냥개1,6,4,4,2.5
137,294,승리,오리아나,Mani eh MwH,7,1,7,14.0
138,294,승리,미스 포츈,덤벼보던가,4,6,11,2.5
139,294,승리,레오나,삼성갤럭시CoreJJ,2,5,12,2.8
140,295,승리,나르,DWG Nuguri,5,0,3,inf
141,295,승리,리 신,xaxaxaxaxa,8,2,11,9.5
142,295,승리,아지르,남 탓 보 다 반성,8,3,6,4.666666666666667
143,295,승리,미스 포츈,FeelsWowMan,4,4,13,4.25
144,295,승리,라칸,Lvmao,3,2,17,10.0
145,295,패배,쉔,FeelsPepsiMan,3,2,0,1.5
146,295,패배,세주아니,아라가키 유이,4,5,4,1.6
147,295,패배,르블랑,Zhongdan XD,3,7,5,1.1428571428571428
148,295,패배,트위치,Veritas522,0,9,1,0.1111111111111111
149,295,패배,조이,LinLan,1,5,2,0.6
150,296,승리,나르,DWG Nuguri,3,0,2,inf
151,296,승리,카직스,Lvmao,6,0,5,inf
152,296,승리,트위스티드 페이트,푸딩은푸딩해,5,1,3,8.0
153,296,승리,진,덤벼보던가,5,1,7,12.0
154,296,승리,제라스,삼성갤럭시CoreJJ,1,5,7,1.6
155,296,패배,갱플랭크,chirchri,0,2,1,0.5
156,296,패배,쉬바나,cbzOvO,5,4,1,1.5
157,296,패배,라이즈,김기인박수,0,3,2,0.6666666666666666
158,296,패배,케이틀린,GALA,2,3,1,1.0
159,296,패배,쓰레쉬,루시퍼메이데이,0,8,4,0.5
160,297,승리,잭스,DWG Nuguri,4,7,6,1.4285714285714286
161,297,승리,렝가,XinyiQAQ,8,9,12,2.2222222222222223
162,297,승리,블라디미르,많이 보고 싶어요,5,10,10,1.5
163,297,승리,바루스,아이러니,21,3,11,10.666666666666666
164,297,승리,브라움,진쟤승,2,6,22,4.0
165,297,패배,오른,커피물조절장인,11,6,8,3.1666666666666665
166,297,패배,리 신,PuncHh,7,7,12,2.7142857142857144
167,297,패배,아지르,마산가자,6,10,8,1.4
168,297,패배,애쉬,튀자튀자아,5,9,15,2.2222222222222223
169,297,패배,제라스,푸딩은푸딩해,6,8,17,2.875
170,298,패배,카밀,DWG Nuguri,4,9,3,0.7777777777777778
171,298,패배,리 신,BtC RYAN,5,6,15,3.3333333333333335
172,298,패배,트위스티드 페이트,마산가자,7,8,14,2.625
173,298,패배,미스 포츈,AGanQAQ,9,3,4,4.333333333333333
174,298,패배,브라움,해산물shangdan,2,5,14,3.2
175,298,승리,쉔,MVP ADD,5,3,14,6.333333333333333
176,298,승리,카직스,sanspareil1,4,9,6,1.1111111111111112
177,298,승리,탈리야,미 키,14,2,8,11.0
178,298,승리,이즈리얼,Give me a kiss,7,7,9,2.2857142857142856
179,298,승리,카르마,IGS Doran,1,6,17,3.0
180,299,패배,카밀,DWG Nuguri,3,3,0,1.0
181,299,패배,자르반 4세,sanspareil1,1,4,2,0.75
182,299,패배,아지르,인정쓰,0,4,1,0.25
183,299,패배,이즈리얼,DAN Ggoong,2,4,1,0.75
184,299,패배,알리스타,Kerla,1,4,2,0.75
185,299,승리,제이스,lover li,4,2,4,4.0
186,299,승리,엘리스,Find Realey,8,1,4,12.0
187,299,승리,탈리야,마산가자,3,2,9,6.0
188,299,승리,진,KDM SSol,3,0,7,inf
189,299,승리,카르마,IGS Doran,1,2,6,3.5
190,300,패배,나르,DWG Nuguri,5,4,1,1.5
191,300,패배,트리스타나,SmartPilot,2,3,4,2.0
192,300,패배,제라스,소요하다 곡 작,1,4,6,1.75
193,300,패배,이즈리얼,BtC Hollow,3,2,2,2.5
194,300,패배,오른,ZiviZiviZiviZ,3,3,6,3.0
195,300,승리,자르반 4세,커피물조절장인,2,2,8,5.0
196,300,승리,쉬바나,이노리QAQ,4,2,8,6.0
197,300,승리,아지르,ktmgs,5,4,7,3.0
198,300,승리,코그모,Mengqiuqiu,4,4,4,2.0
199,300,승리,레오나,Kerla,1,2,11,6.0
