,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,501,패배,초가스,지현이의빗자루,5,10,0,0.5
1,501,패배,니달리,PuncHh,2,9,3,0.5555555555555556
2,501,패배,카타리나,DWG ShowMaker,2,7,1,0.42857142857142855
3,501,패배,칼리스타,Afreeca Aiming,2,9,1,0.3333333333333333
4,501,패배,알리스타,IGS Coli,1,5,1,0.4
5,501,승리,클레드,VIP 민형,10,7,11,3.0
6,501,승리,렝가,Hide on bush,15,2,7,11.0
7,501,승리,아지르,겸손하고 근면한,8,2,4,6.0
8,501,승리,진,LPL noob ad QAQ,7,2,9,8.0
9,501,승리,탐 켄치,라인전이기니갱와,0,0,20,inf
10,502,패배,니달리,J Spectre G,3,6,7,1.6666666666666667
11,502,패배,블리츠크랭크,DWG ShowMaker,1,9,10,1.2222222222222223
12,502,패배,잭스,나네쫓다꿈소년,7,7,2,1.2857142857142858
13,502,패배,탈리야,Hide on bush,8,5,3,2.2
14,502,패배,진,FeelsCoffeeMan,3,8,8,1.375
15,502,승리,칼리스타,김메피,9,3,9,6.0
16,502,승리,케넨,우에하라 크롱,8,5,9,3.4
17,502,승리,라이즈,MVP Ian,2,1,13,15.0
18,502,승리,제라스,LPL noob ad QAQ,6,8,14,2.5
19,502,승리,자르반 4세,단군의청춘부재,9,5,18,5.4
20,503,승리,잭스,나네쫓다꿈소년,11,2,2,6.5
21,503,승리,쉬바나,yizhiyu,3,2,5,4.0
22,503,승리,아지르,FW Maple,0,4,3,0.75
23,503,승리,미스 포츈,FVV BETTY,4,0,5,inf
24,503,승리,제라스,DWG ShowMaker,6,0,3,inf
25,503,패배,나르,단군의청춘부재,1,5,0,0.2
26,503,패배,카직스,Cuz2,3,2,4,3.5
27,503,패배,말자하,MVP Ian,4,5,2,1.2
28,503,패배,진,원딜둥이,0,7,1,0.14285714285714285
29,503,패배,블리츠크랭크,SKT T1 WoIf,0,5,2,0.4
30,504,승리,카밀,미율치에오,4,8,13,2.125
31,504,승리,렝가,SKT T1 WoIf,20,3,7,9.0
32,504,승리,르블랑,DWG ShowMaker,10,3,14,8.0
33,504,승리,미스 포츈,RRRuleRRR,4,8,9,1.625
34,504,승리,알리스타,DWG BeryL,4,5,17,4.2
35,504,패배,잭스,뒷텔와드점,8,9,4,1.3333333333333333
36,504,패배,자르반 4세,DaYE,1,9,12,1.4444444444444444
37,504,패배,라이즈,담원 얼라이브,5,7,3,1.1428571428571428
38,504,패배,진,LPL noob ad QAQ,9,9,7,1.7777777777777777
39,504,패배,카르마,Lucete,4,8,14,2.25
40,505,승리,케넨,JAG S0hwan,7,2,12,9.5
41,505,승리,이블린,h1rb,9,2,7,8.0
42,505,승리,말자하,DWG ShowMaker,10,1,14,24.0
43,505,승리,진,ktmgs,8,3,12,6.666666666666667
44,505,승리,조이,호잇이,2,2,16,9.0
45,505,패배,카밀,담원 너구리,3,9,1,0.4444444444444444
46,505,패배,니달리,분당고 엄성현,2,7,3,0.7142857142857143
47,505,패배,루시안,으아으앙으아앙,2,7,2,0.5714285714285714
48,505,패배,미스 포츈,Yumemiru Shonen,2,7,4,0.8571428571428571
49,505,패배,알리스타,Lucete,1,6,3,0.6666666666666666
50,506,승리,갱플랭크,지현이의빗자루,3,1,1,4.0
51,506,승리,세주아니,IGS Coli,2,1,8,10.0
52,506,승리,라이즈,DWG ShowMaker,8,1,3,11.0
53,506,승리,미스 포츈,이치방츠요이야츠,0,3,3,1.0
54,506,승리,알리스타,M1anhua,2,2,4,3.0
55,506,패배,나르,담원 너구리,1,2,1,1.0
56,506,패배,렝가,이책인지심책기,4,4,0,1.0
57,506,패배,신드라,ApexOx,1,2,1,1.0
58,506,패배,진,내 마음 아프니까,1,4,2,0.75
59,506,패배,레오나,Wilder,1,3,3,1.3333333333333333
60,507,패배,제이스,해운대잠만보,4,7,6,1.4285714285714286
61,507,패배,리 신,Wilder,6,8,6,1.5
62,507,패배,탈리야,IGS Dasher,2,5,5,1.4
63,507,패배,칼리스타,DWG ShowMaker,2,7,8,1.4285714285714286
64,507,패배,자이라,삼성갤럭시CoreJJ,5,3,10,5.0
65,507,승리,마오카이,담원 너구리,5,5,8,2.6
66,507,승리,이즈리얼,작전동 노란머리,8,3,12,6.666666666666667
67,507,승리,아지르,이도류,4,6,6,1.6666666666666667
68,507,승리,바루스,아 백,7,2,9,8.0
69,507,승리,제라스,FeelsSosoMan,6,3,11,5.666666666666667
70,508,패배,사이온,이도류,0,6,1,0.16666666666666666
71,508,패배,쉬바나,Like Waves,2,5,1,0.6
72,508,패배,아지르,DWG ShowMaker,0,4,0,0.0
73,508,패배,드레이븐,아 백,2,1,0,2.0
74,508,패배,브라움,Nem2sis,0,3,2,0.6666666666666666
75,508,승리,제이스,FeelsIronMan,5,0,5,inf
76,508,승리,세주아니,담원 크러쉬,2,0,9,inf
77,508,승리,조이,2Kano,9,0,2,inf
78,508,승리,이즈리얼,sqb,2,1,4,6.0
79,508,승리,카르마,Lucete,1,3,8,3.0
80,509,패배,자르반 4세,Like Waves,0,4,1,0.25
81,509,패배,쉬바나,마이엠브,1,4,0,0.25
82,509,패배,카사딘,DWG ShowMaker,0,2,0,0.0
83,509,패배,미스 포츈,ROX Sangyoon,1,5,0,0.2
84,509,패배,잔나,ROX 라바,1,4,0,0.25
85,509,승리,갱플랭크,최초공개할게요오,0,1,6,6.0
86,509,승리,렝가,KDM 유준,12,2,1,6.5
87,509,승리,말자하,이치방츠요이야츠,1,0,2,inf
88,509,승리,진,DWG BeryL,4,0,5,inf
89,509,승리,알리스타,160810,2,0,4,inf
90,510,패배,오른,JAG S0hwan,5,6,3,1.3333333333333333
91,510,패배,리 신,TeawaN,4,5,4,1.6
92,510,패배,코르키,DWG ShowMaker,2,5,4,1.2
93,510,패배,칼리스타,먹는건즐거워,4,6,5,1.5
94,510,패배,타릭,Dutch Coffee,1,5,10,2.2
95,510,승리,카밀,미율치에오,5,5,6,2.2
96,510,승리,쉬바나,작전동 노란머리,10,3,6,5.333333333333333
97,510,승리,카사딘,FeelsCoffeeMan,8,1,9,17.0
98,510,승리,미스 포츈,FVV BETTY,4,2,5,4.5
99,510,승리,알리스타,천천히올라감,0,5,16,3.2
100,511,패배,카밀,Heiz4,5,9,4,1.0
101,511,패배,세주아니,sanspareil1,3,5,10,2.6
102,511,패배,카타리나,DWG ShowMaker,13,6,9,3.6666666666666665
103,511,패배,진,나라카일,4,4,13,4.25
104,511,패배,사이온,Plz No Die,3,4,11,3.5
105,511,승리,제이스,담원 너구리,9,5,10,3.8
106,511,승리,리 신,Like Waves,2,6,19,3.5
107,511,승리,탈리야,Leelaa,4,8,9,1.625
108,511,승리,트리스타나,VIP 민형,10,5,5,3.0
109,511,승리,바드,reMember Mistake,3,5,17,4.0
110,512,패배,럼블,쌀국수뚝붸기,2,5,5,1.4
111,512,패배,니달리,해운대잠만보,8,4,6,3.5
112,512,패배,조이,나에게 기회를,12,6,6,3.0
113,512,패배,바루스,작전동 노란머리,4,10,2,0.6
114,512,패배,미스 포츈,DWG ShowMaker,0,8,6,0.75
115,512,승리,이렐리아,담원 너구리,5,6,4,1.5
116,512,승리,자르반 4세,Alielie,7,7,8,2.142857142857143
117,512,승리,피즈,시공 여행자,9,4,1,2.5
118,512,승리,진,피넛사냥개1,9,6,4,2.1666666666666665
119,512,승리,카르마,슬프다고말하면,3,3,15,6.0
120,513,패배,제이스,Alielie,7,11,7,1.2727272727272727
121,513,패배,세주아니,w1sdom ovo,5,6,9,2.3333333333333335
122,513,패배,르블랑,DWG ShowMaker,14,5,9,4.6
123,513,패배,바루스,Afreeca Kramer,6,11,8,1.2727272727272727
124,513,패배,레오나,GuGer,2,10,13,1.5
125,513,승리,마오카이,푸딩은푸딩해,3,6,17,3.3333333333333335
126,513,승리,자르반 4세,chirchri,8,9,25,3.6666666666666665
127,513,승리,라이즈,피넛사냥개1,15,3,12,9.0
128,513,승리,진,fndasjkfkqw,12,5,17,5.8
129,513,승리,미스 포츈,스마트섹시뷰티,5,11,14,1.7272727272727273
130,514,패배,나르,fndasjkfkqw,1,4,1,0.5
