,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,1819,패배,오른,JAG S0hwan,5,6,3,1.3333333333333333
1,1819,패배,리 신,TeawaN,4,5,4,1.6
2,1819,패배,코르키,DWG ShowMaker,2,5,4,1.2
3,1819,패배,칼리스타,먹는건즐거워,4,6,5,1.5
4,1819,패배,타릭,Dutch Coffee,1,5,10,2.2
5,1819,승리,카밀,미율치에오,5,5,6,2.2
6,1819,승리,쉬바나,작전동 노란머리,10,3,6,5.333333333333333
7,1819,승리,카사딘,FeelsCoffeeMan,8,1,9,17.0
8,1819,승리,미스 포츈,FVV BETTY,4,2,5,4.5
9,1819,승리,알리스타,천천히올라감,0,5,16,3.2
10,1820,패배,카밀,미율치에오,6,11,8,1.2727272727272727
11,1820,패배,쉬바나,스마트섹시뷰티,12,4,9,5.25
12,1820,패배,아지르,으아으앙으아앙,3,10,8,1.1
13,1820,패배,칼리스타,Yeeclipse,6,7,10,2.2857142857142856
14,1820,패배,쓰레쉬,Dutch Coffee,3,7,14,2.4285714285714284
15,1820,승리,럼블,춘봉박,8,5,9,3.4
16,1820,승리,렝가,XinyiQAQ,13,8,8,2.625
17,1820,승리,코르키,ZhanQiHuaYm,12,4,9,5.25
18,1820,승리,미스 포츈,FVV BETTY,3,7,13,2.2857142857142856
19,1820,승리,알리스타,chijixuanshou,3,6,15,3.0
20,1821,패배,갱플랭크,쌀국수뚝붸기,2,7,0,0.2857142857142857
21,1821,패배,쉬바나,정글노바,2,4,2,1.0
22,1821,패배,조이,PawN God,2,8,1,0.375
23,1821,패배,바루스,아트가 앗뜨거,1,3,3,1.3333333333333333
24,1821,패배,잔나,Dutch Coffee,2,5,5,1.4
25,1821,승리,카밀,삶이힘든사람,5,1,6,11.0
26,1821,승리,자르반 4세,Wilder,4,0,12,inf
27,1821,승리,르블랑,멘탈 실력 운,9,1,7,16.0
28,1821,승리,칼리스타,원딜둥이,9,4,5,3.5
29,1821,승리,알리스타,다시 돌아갈까요,0,3,15,5.0
30,1822,패배,갱플랭크,삶이힘든사람,2,5,1,0.6
31,1822,패배,세주아니,좋은날,2,8,3,0.625
32,1822,패배,조이,삼성갤럭시 Crown,0,8,2,0.25
33,1822,패배,칼리스타,아트가 앗뜨거,5,6,2,1.1666666666666667
