,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,1380,승리,제이스,우에하라 크롱,5,2,2,3.5
1,1380,승리,엘리스,종학윙,6,2,3,4.5
2,1380,승리,카타리나,겸손하고 근면한,7,3,3,3.3333333333333335
3,1380,승리,바루스,진에어 저스티스,4,1,7,11.0
4,1380,승리,라칸,FVV BETTY,1,1,9,10.0
5,1380,패배,럼블,담원 너구리,2,5,3,1.0
6,1380,패배,자르반 4세,MooJin,2,6,3,0.8333333333333334
7,1380,패배,코르키,Heart,3,4,2,1.25
8,1380,패배,미스 포츈,학교밀베포친키,1,6,2,0.5
9,1380,패배,카르마,h1rb,1,2,3,2.0
10,1381,승리,마오카이,TeawaN,3,2,12,7.5
11,1381,승리,이블린,h1rb,14,2,12,13.0
12,1381,승리,라이즈,By myself,10,1,5,15.0
13,1381,승리,칼리스타,FVV BETTY,5,4,5,2.5
14,1381,승리,쉔,Nova1,2,2,13,7.5
15,1381,패배,갱플랭크,담원 너구리,3,6,3,1.0
16,1381,패배,세주아니,7895123,1,5,3,0.8
17,1381,패배,피들스틱,FW Maple,4,8,3,0.875
18,1381,패배,진,Heart,0,10,7,0.7
19,1381,패배,브라움,YOYOuuuuuO,3,5,3,1.2
20,1382,승리,잭스,나네쫓다꿈소년,11,2,2,6.5
21,1382,승리,쉬바나,yizhiyu,3,2,5,4.0
22,1382,승리,아지르,FW Maple,0,4,3,0.75
23,1382,승리,미스 포츈,FVV BETTY,4,0,5,inf
24,1382,승리,제라스,DWG ShowMaker,6,0,3,inf
25,1382,패배,나르,단군의청춘부재,1,5,0,0.2
26,1382,패배,카직스,Cuz2,3,2,4,3.5
27,1382,패배,말자하,MVP Ian,4,5,2,1.2
28,1382,패배,진,원딜둥이,0,7,1,0.14285714285714285
29,1382,패배,블리츠크랭크,SKT T1 WoIf,0,5,2,0.4
30,1383,패배,오른,MVP ADD,4,3,17,7.0
31,1383,패배,자르반 4세,커피물조절장인,15,6,9,4.0
32,1383,패배,말자하,MVP Ian,9,5,10,3.8
33,1383,패배,미스 포츈,cppppc,6,10,13,1.9
34,1383,패배,라칸,FVV BETTY,2,10,26,2.8
35,1383,승리,마오카이,Sun이라는 별,3,5,14,3.4
36,1383,승리,쉬바나,Cuz2,7,8,7,1.75
37,1383,승리,코르키,YM  zhongdan,11,9,6,1.8888888888888888
38,1383,승리,베인,그러면안돼요짜샤,13,6,7,3.3333333333333335
39,1383,승리,알리스타,Diamondprox1,0,8,19,2.375
40,1384,패배,쉔,MVP ADD,1,4,5,1.5
41,1384,패배,자르반 4세,P2k Key,7,1,7,14.0
42,1384,패배,케넨,송하영 팬,3,5,6,1.8
43,1384,패배,애쉬,튀자튀자아,4,5,6,2.0
44,1384,패배,알리스타,FVV BETTY,1,5,6,1.4
45,1384,승리,카밀,우철짱123,3,4,2,1.25
46,1384,승리,니달리,Cuz2,4,1,8,12.0
47,1384,승리,제이스,단군의청춘부재,6,5,5,2.2
48,1384,승리,진,원딜둥이,3,3,9,4.0
49,1384,승리,탐 켄치,삼성갤럭시CoreJJ,4,3,13,5.666666666666667
50,1385,승리,피오라,Gon123,4,4,5,2.25
51,1385,승리,리 신,Boldness,7,5,10,3.4
