,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,1121,승리,초가스,Fabu,1,2,7,4.0
1,1121,승리,니달리,165161,12,4,5,4.25
2,1121,승리,빅토르,FeelsG00DMan,3,1,3,6.0
3,1121,승리,자야,GALAAAA,4,3,7,3.6666666666666665
4,1121,승리,탐 켄치,SKT T1 Effort,3,1,15,18.0
5,1121,패배,제이스,학교밀베포친키,3,1,2,5.0
6,1121,패배,자르반 4세,Republic123,2,6,4,1.0
7,1121,패배,조이,유내현,2,4,1,0.75
8,1121,패배,칼리스타,RRRuleRRR,3,7,1,0.5714285714285714
9,1121,패배,라칸,Destiny,1,5,2,0.6
10,1122,승리,카시오페아,SOLCA1,3,3,7,3.3333333333333335
11,1122,승리,쉬바나,Longzhu Cuzz,5,2,8,6.5
12,1122,승리,카사딘,FeelsG00DMan,8,6,5,2.1666666666666665
13,1122,승리,트리스타나,LPL noob ad QAQ,11,7,4,2.142857142857143
14,1122,승리,브라움,마이엠브,1,2,15,8.0
15,1122,패배,오른,Fabu,2,6,6,1.3333333333333333
16,1122,패배,자크,Hide on bush,4,4,5,2.25
17,1122,패배,탈리야,Fotune,5,7,4,1.2857142857142858
18,1122,패배,자야,담원 얼라이브,5,6,5,1.6666666666666667
19,1122,패배,모르가나,GuGer,3,5,8,2.2
20,1123,승리,제이스,Afreeca Summit,6,4,12,4.5
21,1123,승리,자크,마이엠브,6,0,21,inf
22,1123,승리,벨코즈,love left,14,2,5,9.5
23,1123,승리,루시안,FeelsG00DMan,7,4,12,4.75
24,1123,승리,레오나,Possible tts,6,4,21,6.75
25,1123,패배,블라디미르,꾸자니 똑땅해,3,6,3,1.0
26,1123,패배,잭스,Algorism,3,11,3,0.5454545454545454
27,1123,패배,카시오페아,뽀오뽀오,1,8,3,0.5
28,1123,패배,트리스타나,STITCH1,3,6,4,1.1666666666666667
29,1123,패배,브라움,V1cissitvsdes,4,8,3,0.875
30,1124,패배,블라디미르,꾸자니 똑땅해,8,6,10,3.0
31,1124,패배,렉사이,Boldness,7,6,4,1.8333333333333333
32,1124,패배,르블랑,FeelsG00DMan,8,11,7,1.3636363636363635
33,1124,패배,자야,마이엠브,0,12,4,0.3333333333333333
34,1124,패배,라칸,AGanQAQ,3,6,11,2.3333333333333335
35,1124,승리,제이스,king2n,5,8,5,1.25
36,1124,승리,자르반 4세,SKT T1 WoIf,11,4,11,5.5
37,1124,승리,탈리야,Fotune,10,5,12,4.4
38,1124,승리,베인,Twink1e,13,5,5,3.6
39,1124,승리,탐 켄치,SKT T1 Effort,2,4,17,4.75
40,1125,승리,나르,DWG Nuguri,7,2,6,6.5
41,1125,승리,렝가,P2k Key,10,5,5,3.0
42,1125,승리,탈리야,Fotune,8,5,9,3.4
43,1125,승리,루시안,유내현,5,3,6,3.6666666666666665
44,1125,승리,자이라,FeelsG00DMan,3,5,11,2.8
45,1125,패배,오른,Co2dplay,1,6,7,1.3333333333333333
46,1125,패배,자르반 4세,담원 크러쉬,5,7,6,1.5714285714285714
47,1125,패배,말자하,he  nan    yu,6,7,4,1.4285714285714286
48,1125,패배,칼리스타,DWG ShowMaker,4,8,6,1.25
49,1125,패배,제라스,담원 너굴맨,3,5,8,2.2
50,1126,패배,제이스,세메론,6,8,5,1.375
51,1126,패배,카직스,이 차가 식기전에,5,10,9,1.4
52,1126,패배,카서스,FeelsG00DMan,7,14,11,1.2857142857142858
53,1126,패배,코그모,혼자해도충분하다,8,8,9,2.125
54,1126,패배,룰루,다시 돌아갈까요,1,4,18,4.75
55,1126,승리,아칼리,Riyon,10,7,10,2.857142857142857
56,1126,승리,렝가,매우뚱뚱한고양이,11,8,11,2.75
57,1126,승리,라이즈,MeteorOvO,9,2,17,13.0
58,1126,승리,트리스타나,VIP 민형,11,3,13,8.0
59,1126,승리,레오나,닷지장인 심포갓,3,7,21,3.4285714285714284
