,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,1320,승리,제이스,mcmglllc,1,4,1,0.5
1,1320,승리,카직스,FeelsSosoMan,1,1,1,2.0
2,1320,승리,카사딘,By myself,0,1,1,1.0
3,1320,승리,칼리스타,담원 얼라이브,3,0,1,inf
4,1320,승리,쓰레쉬,선기박,0,0,4,inf
5,1320,패배,카밀,담원 너구리,3,2,0,1.5
6,1320,패배,렉사이,Wilder,3,0,0,inf
7,1320,패배,말자하,Heart,0,0,0,
8,1320,패배,바루스,mide gui tou,0,2,0,0.0
9,1320,패배,벨코즈,MSC TRY,0,1,2,2.0
10,1321,승리,마오카이,담원 너구리,5,5,8,2.6
11,1321,승리,이즈리얼,작전동 노란머리,8,3,12,6.666666666666667
12,1321,승리,아지르,이도류,4,6,6,1.6666666666666667
13,1321,승리,바루스,아 백,7,2,9,8.0
14,1321,승리,제라스,FeelsSosoMan,6,3,11,5.666666666666667
15,1321,패배,제이스,해운대잠만보,4,7,6,1.4285714285714286
16,1321,패배,리 신,Wilder,6,8,6,1.5
17,1321,패배,탈리야,IGS Dasher,2,5,5,1.4
18,1321,패배,칼리스타,DWG ShowMaker,2,7,8,1.4285714285714286
19,1321,패배,자이라,삼성갤럭시CoreJJ,5,3,10,5.0
20,1322,승리,제이스,삶이힘든사람,6,3,1,2.3333333333333335
21,1322,승리,쉬바나,FeelsSosoMan,8,2,6,7.0
22,1322,승리,신드라,으아으앙으아앙,6,3,7,4.333333333333333
23,1322,승리,미스 포츈,FVV BETTY,1,3,8,3.0
24,1322,승리,쉔,TeawaN,1,7,7,1.1428571428571428
25,1322,패배,마오카이,우에하라 크롱,0,4,7,1.75
26,1322,패배,렝가,kenzhu9,1,5,8,1.8
27,1322,패배,아지르,피넛사냥개1,6,5,4,2.0
28,1322,패배,이즈리얼,메 끠,7,5,7,2.8
29,1322,패배,카르마,reMember Mistake,4,3,10,4.666666666666667
30,1323,패배,카밀,코w코,1,5,4,1.0
31,1323,패배,리 신,TeawaN,7,9,4,1.2222222222222223
32,1323,패배,르블랑,피넛사냥개1,4,5,5,1.8
33,1323,패배,진,으아으앙으아앙,0,6,3,0.5
34,1323,패배,알리스타,FeelsSosoMan,1,3,5,2.0
35,1323,승리,제이스,삶이힘든사람,7,3,1,2.6666666666666665
36,1323,승리,니달리,점점나의마음이끌,8,2,5,6.5
37,1323,승리,라이즈,나는야 누구일까,4,5,8,2.4
38,1323,승리,미스 포츈,FVV BETTY,3,2,4,3.5
39,1323,승리,레오나,천천히올라감,6,1,7,13.0
40,1324,패배,마오카이,Delicious Fish,2,6,8,1.6666666666666667
