,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,761,패배,케넨,Like Waves,1,8,1,0.25
1,761,패배,카직스,cbzOvO,3,6,6,1.5
2,761,패배,오리아나,상어가족,3,3,5,2.6666666666666665
3,761,패배,칼리스타,FeelsWowMan,6,4,3,2.25
4,761,패배,알리스타,Misdate,1,3,8,3.0
5,761,승리,판테온,커피물조절장인,8,1,6,14.0
6,761,승리,렝가,좋은날,3,4,9,3.0
7,761,승리,카타리나,미율치에오,7,7,2,1.2857142857142858
8,761,승리,트리스타나,Mengqiuqiu,5,1,5,10.0
9,761,승리,오른,은종섭,1,2,9,5.0
10,762,승리,마오카이,Possible tts,1,4,9,2.5
11,762,승리,렝가,Wilder,18,6,2,3.3333333333333335
12,762,승리,라이즈,chirchri,4,2,1,2.5
13,762,승리,바루스,FeelsWowMan,4,3,6,3.3333333333333335
14,762,승리,티모,매우뚱뚱한고양이,5,7,8,1.8571428571428572
15,762,패배,갱플랭크,Afreeca Summit,3,9,5,0.8888888888888888
16,762,패배,리 신,SnakeLight,5,14,10,1.0714285714285714
17,762,패배,오리아나,LFT MID,7,1,5,12.0
18,762,패배,미스 포츈,혼자해도충분하다,3,6,9,2.0
19,762,패배,알리스타,ROX Lindarang,4,2,9,6.5
20,763,패배,오른,세메론,3,5,5,1.6
21,763,패배,리 신,ROX Sangyoon,4,4,6,2.5
22,763,패배,카시오페아,Cepteddddddddddd,2,2,2,2.0
23,763,패배,트리스타나,FeelsWowMan,4,6,1,0.8333333333333334
24,763,패배,레오나,A weak youth,1,8,6,0.875
25,763,승리,갱플랭크,Fabu,4,4,11,3.75
26,763,승리,엘리스,THE KING 2000,7,4,10,4.25
27,763,승리,말자하,R4phael,2,1,9,11.0
28,763,승리,이즈리얼,Rachel Berry,10,3,8,6.0
29,763,승리,타릭,YserAoA,2,2,17,9.5
30,764,패배,나르,커피물조절장인,7,10,6,1.3
31,764,패배,자르반 4세,mcmglllc,6,11,8,1.2727272727272727
32,764,패배,트위스티드 페이트,상어가족,5,9,9,1.5555555555555556
33,764,패배,바루스,먹는건즐거워,14,4,5,4.75
34,764,패배,레오나,FeelsWowMan,3,11,13,1.4545454545454546
35,764,승리,사이온,WENJUNXI,6,4,24,7.5
