,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,1619,패배,신지드,네 명의 짐승 팀,5,5,4,1.8
1,1619,패배,루시안,GabrielCRO,6,5,8,2.8
2,1619,패배,카시오페아,SOLCA1,8,4,5,3.25
3,1619,패배,이즈리얼,YOLO 겨레,3,13,6,0.6923076923076923
4,1619,패배,미스 포츈,LPL noob ad QAQ,2,11,8,0.9090909090909091
5,1619,승리,아칼리,J푸른하늘,7,7,4,1.5714285714285714
6,1619,승리,카직스,이 차가 식기전에,8,5,6,2.8
7,1619,승리,라이즈,Zhongdan XD,4,4,9,3.25
8,1619,승리,자야,Mengqiuqiu,15,3,9,8.0
9,1619,승리,라칸,남 탓 보 다 반성,4,6,18,3.6666666666666665
10,1620,패배,잭스,Klmjg,7,4,6,3.25
11,1620,패배,리 신,GabrielCRO,6,6,10,2.6666666666666665
12,1620,패배,말자하,박투신,7,8,10,2.125
13,1620,패배,바루스,LPL noob ad QAQ,9,9,10,2.111111111111111
14,1620,패배,모르가나,FeelsLovelyMan,6,3,17,7.666666666666667
15,1620,승리,럼블,이기자 할수있다,1,6,14,2.5
16,1620,승리,이즈리얼,피넛사냥개2,9,7,11,2.857142857142857
17,1620,승리,라이즈,FeelsG00DMan,10,4,12,5.5
18,1620,승리,트리스타나,Mengqiuqiu,8,11,9,1.5454545454545454
19,1620,승리,브라움,zhang jian xiang,2,7,15,2.4285714285714284
20,1621,패배,럼블,커피물조절장인,2,4,7,2.25
21,1621,패배,카직스,GabrielCRO,9,2,4,6.5
22,1621,패배,에코,Possible tts,2,4,2,1.0
23,1621,패배,케이틀린,Peecaboo,1,4,2,0.75
24,1621,패배,쓰레쉬,T 1 a n,1,4,3,1.0
25,1621,승리,뽀삐,누구를 위한,1,2,4,2.5
26,1621,승리,쉬바나,yizhiyu,9,3,2,3.6666666666666665
27,1621,승리,야스오,미율치에오,2,6,4,1.0
28,1621,승리,트리스타나,이승주,4,2,1,2.5
29,1621,승리,오른,담원 호잇이,2,2,9,5.5
30,1622,승리,나르,GabrielCRO,3,1,1,4.0
31,1622,승리,렝가,not for self,4,1,5,9.0
32,1622,승리,탈리야,에어맨,3,2,6,4.5
33,1622,승리,코그모,ESRS10,4,3,3,2.3333333333333335
34,1622,승리,럭스,Cheers,5,0,5,inf
35,1622,패배,오른,커피물조절장인,0,3,2,0.6666666666666666
36,1622,패배,잭스,도령니이임,3,2,0,1.5
37,1622,패배,피즈,마산가자,2,4,1,0.75
38,1622,패배,트리스타나,losedenaodaipain,1,5,1,0.4
39,1622,패배,타릭,Z 2017 11 25,1,5,3,0.8
40,1623,패배,제이스,HKA Riris,9,12,11,1.6666666666666667
41,1623,패배,세주아니,GabrielCRO,2,7,15,2.4285714285714284
42,1623,패배,라이즈,6학년4반장용준,5,11,12,1.5454545454545454
43,1623,패배,이즈리얼,KDM SSol,15,9,13,3.111111111111111
44,1623,패배,라칸,taesang,4,17,14,1.0588235294117647
45,1623,승리,나르,VIP 민형,14,7,15,4.142857142857143
46,1623,승리,카밀,Longzhu Cuzz,18,10,11,2.9
47,1623,승리,카시오페아,아라가키 유이,7,4,13,5.0
48,1623,승리,진,혼자해도충분하다,16,5,12,5.6
49,1623,승리,오른,은종섭,1,9,29,3.3333333333333335
50,1624,패배,자르반 4세,비트는기리보이,3,10,6,0.9
51,1624,패배,쉬바나,ATBT,2,7,5,1.0
52,1624,패배,에코,우주제일미소녀,4,2,3,3.5
53,1624,패배,진,GabrielCRO,5,5,2,1.4
54,1624,패배,모르가나,은종섭,1,6,9,1.6666666666666667
55,1624,승리,잭스,HKA Riris,8,8,5,1.625
56,1624,승리,세주아니,Longzhu Cuzz,2,3,9,3.6666666666666665
57,1624,승리,트위스티드 페이트,상어가족,9,1,7,16.0
58,1624,승리,바루스,Mengqiuqiu,9,1,6,15.0
59,1624,승리,나미,나 정말 요리,2,2,20,11.0
60,1625,패배,럼블,변춘수,1,6,6,1.1666666666666667
61,1625,패배,이즈리얼,GabrielCRO,11,6,8,3.1666666666666665
62,1625,패배,탈리야,Megalia,5,8,9,1.75
63,1625,패배,자야,Dingchenyu,5,8,7,1.5
64,1625,패배,라칸,So1o,3,8,9,1.5
65,1625,승리,세주아니,이 차가 식기전에,2,5,10,2.4
66,1625,승리,리 신,기리기리기억되리,5,6,9,2.3333333333333335
67,1625,승리,카사딘,유튜브충현랩모음,16,3,6,7.333333333333333
68,1625,승리,베인,Afreeca Aiming,5,6,12,2.8333333333333335
69,1625,승리,케넨,160810,8,5,9,3.4
70,1626,패배,케넨,우에하라 크롱,2,7,4,0.8571428571428571
71,1626,패배,헤카림,7895123,2,4,6,2.0
72,1626,패배,트위스티드 페이트,GabrielCRO,0,10,5,0.5
73,1626,패배,진,LPL noob ad QAQ,5,7,6,1.5714285714285714
74,1626,패배,알리스타,도령니이임,3,5,6,1.8
75,1626,승리,럼블,JAG S0hwan,3,3,6,3.0
76,1626,승리,카직스,좋은날,7,1,12,19.0
77,1626,승리,탈론,Yaharong,12,1,9,21.0
78,1626,승리,케이틀린,Cheers,11,2,7,9.0
79,1626,승리,탐 켄치,H Dean,0,5,14,2.8
80,1627,승리,초가스,JAG S0hwan,3,2,7,5.0
81,1627,승리,카직스,GabrielCRO,16,1,10,26.0
82,1627,승리,라이즈,Zhongdan XD,5,7,7,1.7142857142857142
83,1627,승리,트리스타나,FeelsWowMan,6,5,7,2.6
84,1627,승리,카르마,taesang,4,4,12,4.0
85,1627,패배,럼블,똥좀싸겟다,1,8,0,0.125
86,1627,패배,헤카림,좋은날,2,7,6,1.1428571428571428
87,1627,패배,탈리야,푸딩은푸딩해,1,8,6,0.875
88,1627,패배,베인,KDM SSol,12,8,3,1.875
89,1627,패배,룰루,은종섭,3,3,13,5.333333333333333
90,1628,패배,럼블,7hal,2,6,5,1.1666666666666667
91,1628,패배,렉사이,매우뚱뚱한고양이,5,5,3,1.6
92,1628,패배,카사딘,GabrielCRO,3,6,2,0.8333333333333334
93,1628,패배,진,박투신,2,4,6,2.0
94,1628,패배,블리츠크랭크,taesang,2,5,5,1.4
95,1628,승리,제이스,암고잉빽투더스탙,5,3,2,2.3333333333333335
96,1628,승리,카직스,So1o,4,2,6,5.0
97,1628,승리,다이애나,UcaL,7,4,6,3.25
98,1628,승리,케이틀린,Deft1,9,3,5,4.666666666666667
99,1628,승리,카르마,MataMataMata,1,2,12,6.5
100,1629,패배,야스오,한쿡말알아,3,7,3,0.8571428571428571
101,1629,패배,리 신,아라가키 유이,7,3,10,5.666666666666667
102,1629,패배,라이즈,건드리지말라했다,6,4,6,3.0
103,1629,패배,진,GabrielCRO,3,4,9,3.0
104,1629,패배,모르가나,댕청잇,3,6,8,1.8333333333333333
105,1629,승리,제이스,7hal,4,3,4,2.6666666666666665
106,1629,승리,니달리,작전동 노란머리,8,5,4,2.4
107,1629,승리,말자하,소요하다 곡 작,5,3,7,4.0
108,1629,승리,케이틀린,좋은날,7,4,5,3.0
109,1629,승리,잔나,박투신,0,7,10,1.4285714285714286
110,1630,승리,케넨,암고잉빽투더스탙,6,5,5,2.2
111,1630,승리,카직스,GabrielCRO,12,3,3,5.0
112,1630,승리,르블랑,Cheers,4,4,8,3.0
113,1630,승리,바루스,Mengqiuqiu,5,3,6,3.6666666666666665
114,1630,승리,알리스타,R4phael,3,5,10,2.6
115,1630,패배,럼블,bbq Crazy,5,6,6,1.8333333333333333
116,1630,패배,리 신,So1o,4,7,5,1.2857142857142858
117,1630,패배,빅토르,호주 AD,5,4,5,2.5
118,1630,패배,진,Afreeca Kramer,3,7,8,1.5714285714285714
