,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,1241,승리,노틸러스,H Dean,3,1,7,10.0
1,1241,승리,자르반 4세,9346,3,2,7,5.0
2,1241,승리,트위스티드 페이트,UcaL,4,0,8,inf
3,1241,승리,미스 포츈,Deft1,8,1,7,15.0
4,1241,승리,알리스타,시어니보고싶움,0,2,13,6.5
5,1241,패배,올라프,코w코,2,2,2,2.0
6,1241,패배,렝가,커닝시티 피그미,2,3,1,1.0
7,1241,패배,오리아나,ysdgqxcj,0,2,2,1.0
8,1241,패배,진,Afreeca Kramer,2,4,0,0.5
9,1241,패배,브라움,yizhiyu,0,7,2,0.2857142857142857
10,1242,승리,노틸러스,H Dean,3,1,8,11.0
11,1242,승리,쉬바나,스마트섹시뷰티,4,4,9,3.25
12,1242,승리,말자하,R4phael,4,1,8,12.0
13,1242,승리,진,해운대잠만보,7,4,5,3.0
14,1242,승리,제라스,FeelsSosoMan,1,3,8,3.0
15,1242,패배,올라프,Super Secret,1,2,3,2.0
16,1242,패배,렝가,Afreeca Aiming,6,7,3,1.2857142857142858
17,1242,패배,카사딘,ysdgqxcj,3,3,3,2.0
18,1242,패배,칼리스타,VIP 민형,1,4,5,1.5
19,1242,패배,카르마,FW SwordArT,1,3,8,3.0
20,1243,승리,제이스,P2k Key,6,10,8,1.4
21,1243,승리,니달리,Boldness,10,5,11,4.2
22,1243,승리,빅토르,멘탈 실력 운,6,5,10,3.2
23,1243,승리,케이틀린,Afreeca Aiming,9,5,7,3.2
24,1243,승리,나미,H Dean,2,5,19,4.2
25,1243,패배,쉔,reMember Mistake,6,5,8,2.8
26,1243,패배,마스터 이,ZhanQiHuaYm,7,9,3,1.1111111111111112
27,1243,패배,라이즈,마산가자,3,7,6,1.2857142857142858
28,1243,패배,진,이노리QAQ,12,5,9,4.2
29,1243,패배,카르마,Mengqiuqiu,2,7,14,2.2857142857142856
30,1244,승리,마오카이,Shiroma Anna,1,0,2,inf
31,1244,승리,자르반 4세,Boldness,5,1,5,10.0
32,1244,승리,조이,FW Maple,7,1,3,10.0
33,1244,승리,미스 포츈,열심히하겠슴다,2,0,2,inf
34,1244,승리,카르마,H Dean,0,0,3,inf
35,1244,패배,나르,MVP ADD,1,2,0,0.5
36,1244,패배,카직스,nekoneko1,1,3,1,0.6666666666666666
37,1244,패배,탈리야,reMember Mistake,0,6,1,0.16666666666666666
38,1244,패배,칼리스타,hard girl,0,1,0,0.0
39,1244,패배,브라움,스칼렛 십자군,0,3,1,0.3333333333333333
40,1245,승리,야스오,카페베네설탕도둑,18,4,2,5.0
41,1245,승리,리 신,일견무시도성빈,8,3,12,6.666666666666667
42,1245,승리,르블랑,reMember Mistake,5,2,8,6.5
43,1245,승리,바루스,FeelsAwesomeMan,2,4,7,2.25
44,1245,승리,카르마,H Dean,2,3,13,5.0
45,1245,패배,카밀,my head,1,7,8,1.2857142857142858
46,1245,패배,쉬바나,강고릴,3,7,4,1.0
47,1245,패배,카사딘,Republic123,6,6,3,1.5
48,1245,패배,진,Co1dplay,5,5,7,2.4
49,1245,패배,바드,아니 좋은 사람,1,10,8,0.9
50,1246,승리,마오카이,튀자튀자아,2,7,15,2.4285714285714284
51,1246,승리,쉬바나,진쟤승,5,7,7,1.7142857142857142
52,1246,승리,빅토르,FW Maple,6,8,7,1.625
53,1246,승리,바루스,Afreeca Aiming,9,7,10,2.7142857142857144
54,1246,승리,카르마,H Dean,3,2,17,10.0
55,1246,패배,올라프,코w코,10,3,9,6.333333333333333
56,1246,패배,자르반 4세,NekoL,4,7,17,3.0
57,1246,패배,말자하,LFT MID,4,5,11,3.0
58,1246,패배,케이틀린,Dingchenyu,10,6,10,3.3333333333333335
59,1246,패배,나미,YserAoA,3,4,23,6.5
60,1247,승리,카밀,Excal1bur1,5,4,4,2.25
61,1247,승리,잭스,항복 오빠,1,3,8,3.0
