,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,141,승리,클레드,VIP 민형,10,7,11,3.0
1,141,승리,렝가,Hide on bush,15,2,7,11.0
2,141,승리,아지르,겸손하고 근면한,8,2,4,6.0
3,141,승리,진,LPL noob ad QAQ,7,2,9,8.0
4,141,승리,탐 켄치,라인전이기니갱와,0,0,20,inf
5,141,패배,초가스,지현이의빗자루,5,10,0,0.5
6,141,패배,니달리,PuncHh,2,9,3,0.5555555555555556
7,141,패배,카타리나,DWG ShowMaker,2,7,1,0.42857142857142855
8,141,패배,칼리스타,Afreeca Aiming,2,9,1,0.3333333333333333
9,141,패배,알리스타,IGS Coli,1,5,1,0.4
10,142,패배,니달리,J Spectre G,3,6,7,1.6666666666666667
11,142,패배,블리츠크랭크,DWG ShowMaker,1,9,10,1.2222222222222223
12,142,패배,잭스,나네쫓다꿈소년,7,7,2,1.2857142857142858
13,142,패배,탈리야,Hide on bush,8,5,3,2.2
14,142,패배,진,FeelsCoffeeMan,3,8,8,1.375
15,142,승리,칼리스타,김메피,9,3,9,6.0
16,142,승리,케넨,우에하라 크롱,8,5,9,3.4
17,142,승리,라이즈,MVP Ian,2,1,13,15.0
18,142,승리,제라스,LPL noob ad QAQ,6,8,14,2.5
19,142,승리,자르반 4세,단군의청춘부재,9,5,18,5.4
20,143,패배,나르,kfo,0,5,3,0.6
21,143,패배,자르반 4세,h1rb,2,6,3,0.8333333333333334
22,143,패배,조이,Hide on bush,4,3,4,2.6666666666666665
23,143,패배,미스 포츈,Gon123,1,7,5,0.8571428571428571
24,143,패배,쉔,PeanuToT,5,8,6,1.375
25,143,승리,카밀,우철짱123,11,1,7,18.0
26,143,승리,카직스,7895123,6,1,8,14.0
27,143,승리,말자하,Kimimaro,0,1,12,12.0
28,143,승리,칼리스타,SnakeLight,11,3,5,5.333333333333333
29,143,승리,마오카이,진쟤승,1,6,17,3.0
30,144,패배,제이스,KDM PERT,7,7,5,1.7142857142857142
31,144,패배,세주아니,Afreeca M0wgli,4,4,7,2.75
32,144,패배,조이,Hide on bush,4,4,6,2.5
33,144,패배,코그모,Gon123,4,6,6,1.6666666666666667
34,144,패배,탐 켄치,혼자가 편해졌어,0,5,13,2.6
35,144,승리,카밀,kfo,3,7,7,1.4285714285714286
36,144,승리,니달리,삼성갤럭시 하루,7,3,11,6.0
37,144,승리,아지르,Fotune,10,1,5,15.0
38,144,승리,이즈리얼,PeanuToT,3,5,17,4.0
39,144,승리,마오카이,진쟤승,3,3,16,6.333333333333333
40,145,승리,카밀,살려줘요 형님아,5,13,12,1.3076923076923077
41,145,승리,이블린,jinwandalaohu,15,12,16,2.5833333333333335
42,145,승리,아지르,Hide on bush,7,7,16,3.2857142857142856
43,145,승리,진,바보팀원,15,10,17,3.2
44,145,승리,알리스타,TeawaN,3,11,30,3.0
45,145,패배,나르,kfo,5,8,16,2.625
46,145,패배,카직스,J Spectre G,12,8,19,3.875
47,145,패배,말자하,wo liang le,13,11,19,2.909090909090909
48,145,패배,자야,Mengqiuqiu,18,9,20,4.222222222222222
49,145,패배,라칸,토마토페이스트,5,9,36,4.555555555555555
50,146,승리,나르,Delicious Fish,1,1,4,5.0
51,146,승리,마스터 이,Cuz2,7,2,4,5.5
52,146,승리,르블랑,너와나의연결Gori,4,3,5,3.0
53,146,승리,미스 포츈,점점나의마음이끌,5,1,6,11.0
54,146,승리,피들스틱,Hide on bush,1,1,8,9.0
55,146,패배,갱플랭크,SnakeLight,1,4,1,0.5
56,146,패배,쉬바나,chijixuanshou,4,4,3,1.75
57,146,패배,베이가,ZhanQiHuaYm,3,3,1,1.3333333333333333
58,146,패배,진,FVV BETTY,0,3,0,0.0
59,146,패배,레오나,토마토페이스트,0,4,1,0.25
60,147,승리,제이스,Delicious Fish,4,3,9,4.333333333333333
61,147,승리,자르반 4세,점점나의마음이끌,6,2,19,12.5
62,147,승리,아지르,Hide on bush,7,4,7,3.5
63,147,승리,칼리스타,SnakeLight,9,4,6,3.75
