,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,1001,패배,나르,커피물조절장인,1,5,1,0.4
1,1001,패배,세주아니,IgNar,4,3,2,2.0
2,1001,패배,라이즈,ysdgqxcj,1,4,1,0.5
3,1001,패배,미스 포츈,YM  zhongdan,1,6,3,0.6666666666666666
4,1001,패배,쉔,XinMo,1,0,5,inf
5,1001,승리,잭스,나네쫓다꿈소년,5,2,3,4.0
6,1001,승리,리 신,SnakeLight,2,3,7,3.0
7,1001,승리,조이,피넛사냥개1,7,0,2,inf
8,1001,승리,드레이븐,kiyomia,2,3,2,1.3333333333333333
9,1001,승리,잔나,리인제이,2,0,6,inf
10,1002,승리,마오카이,IgNar,2,3,7,3.0
11,1002,승리,자르반 4세,XinyiQAQ,7,4,18,6.25
12,1002,승리,말자하,Heart,3,6,8,1.8333333333333333
13,1002,승리,드레이븐,kiyomia,15,7,6,3.0
14,1002,승리,잔나,리인제이,4,6,21,4.166666666666667
15,1002,패배,갱플랭크,피넛사냥개2,4,5,7,2.2
16,1002,패배,카직스,땅우양,9,7,7,2.2857142857142856
17,1002,패배,코르키,Fotune,8,7,2,1.4285714285714286
18,1002,패배,미스 포츈,혼자가 편해졌어,3,9,8,1.2222222222222223
19,1002,패배,알리스타,Bvoy,2,3,13,5.0
20,1003,패배,일라오이,JAG S0hwan,0,8,3,0.375
21,1003,패배,쉬바나,작전동 노란머리,1,4,4,1.25
22,1003,패배,제이스,Fotune,6,5,1,1.4
23,1003,패배,케이틀린,쌀국수뚝붸기,2,5,1,0.6
24,1003,패배,쓰레쉬,IgNar,2,5,4,1.2
25,1003,승리,카밀,담원 너구리,6,3,9,5.0
26,1003,승리,렝가,Wilder,8,5,4,2.4
27,1003,승리,신드라,reMember Mistake,6,2,8,7.0
28,1003,승리,진,Bvoy,6,0,10,inf
29,1003,승리,쉔,호잇이,1,1,11,12.0
30,1004,패배,말파이트,바보처럼 왜,3,3,1,1.3333333333333333
31,1004,패배,카직스,Wilder,2,4,4,1.5
32,1004,패배,코르키,Fotune,3,2,2,2.5
33,1004,패배,미스 포츈,비 브이 오 와이,1,4,0,0.25
34,1004,패배,제라스,IgNar,0,5,2,0.4
35,1004,승리,카밀,쌀국수뚝붸기,5,2,0,2.5
36,1004,승리,자르반 4세,5gak,3,2,6,4.5
37,1004,승리,아지르,DWG TRY,1,3,3,1.3333333333333333
38,1004,승리,바루스,YM  zhongdan,5,1,2,7.0
