,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,221,승리,초가스,RSARTU,9,4,11,5.0
1,221,승리,자르반 4세,xiaolonda,8,4,19,6.75
2,221,승리,아지르,K T,8,6,8,2.6666666666666665
3,221,승리,트리스타나,1427538696835724,3,4,12,3.75
4,221,승리,쓰레쉬,범박고 김태기,3,4,16,4.75
5,221,패배,람머스,학식먹을나이,6,9,6,1.3333333333333333
6,221,패배,에코,빅파이초코파이,5,8,7,1.5
7,221,패배,직스,YeIl0w,5,8,5,1.25
8,221,패배,케이틀린,GALA,2,0,1,inf
9,221,패배,블리츠크랭크,릴리스타나,3,7,9,1.7142857142857142
10,222,승리,쉔,Nantatata,4,3,17,7.0
11,222,승리,샤코,챔프폭 늘리는중,3,5,12,3.0
12,222,승리,신드라,미 키,8,6,13,3.5
13,222,승리,진,K T,11,1,14,25.0
14,222,승리,쓰레쉬,세상만사내리막길,1,5,20,4.2
15,222,패배,오른,이도류,4,5,6,2.0
16,222,패배,세주아니,마이엠브,3,6,9,2.0
17,222,패배,블라디미르,Zhongdan XD,6,4,5,2.75
18,222,패배,자야,991126,5,6,3,1.3333333333333333
19,222,패배,브라움,커소리어스나,1,6,11,2.0
20,223,패배,초가스,2018서폿챌도전,8,6,6,2.3333333333333335
21,223,패배,리 신,분당고 엄성현,6,3,11,5.666666666666667
22,223,패배,트위스티드 페이트,K T,5,6,8,2.1666666666666665
23,223,패배,바루스,Dingchenyu,6,3,8,4.666666666666667
24,223,패배,쓰레쉬,커소리어스나,1,4,18,4.75
25,223,승리,갈리오,이도류,2,7,9,1.5714285714285714
26,223,승리,자르반 4세,6학년4반장용준,3,7,16,2.7142857142857144
27,223,승리,신드라,미 키,8,3,5,4.333333333333333
28,223,승리,칼리스타,I am ZIatan,9,4,7,4.0
29,223,승리,룰루,토마토페이스트,0,5,16,3.2
30,224,패배,초가스,jjijiijijljli,3,10,5,0.8
31,224,패배,우디르,진쟤승,5,6,3,1.3333333333333333
32,224,패배,탈리야,K T,7,3,5,4.0
33,224,패배,루시안,영광 스런 년,3,7,10,1.8571428571428572
34,224,패배,라칸,Find Realey,3,10,12,1.5
35,224,승리,사이온,귤렐루야,6,5,9,3.0
36,224,승리,엘리스,sanspareil1,7,6,15,3.6666666666666665
37,224,승리,베이가,항복 오빠,9,2,10,9.5
38,224,승리,자야,원딜둥이,12,3,10,7.333333333333333
39,224,승리,알리스타,SKT T1 Effort,2,5,17,3.8
40,225,패배,럼블,ROX Lindarang,3,4,8,2.75
41,225,패배,자르반 4세,정글노바,1,9,13,1.5555555555555556
42,225,패배,탈리야,K T,4,7,6,1.4285714285714286
43,225,패배,자야,Cheers,6,6,2,1.3333333333333333
44,225,패배,티모,Find Realey,2,6,5,1.1666666666666667
45,225,승리,초가스,ROX Sangyoon,7,2,2,4.5
46,225,승리,이즈리얼,F0y,4,4,16,5.0
47,225,승리,갈리오,555555555554,7,4,12,4.75
48,225,승리,케이틀린,튀자튀자아,10,5,14,4.8
49,225,승리,블리츠크랭크,GuGer,4,1,20,24.0
50,226,승리,마오카이,991126,6,2,7,6.5
51,226,승리,이즈리얼,DWG ShowMaker,6,5,11,3.4
52,226,승리,탈리야,K T,11,5,9,4.0
