,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,961,패배,제이스,KDM Roach,7,7,4,1.5714285714285714
1,961,패배,자르반 4세,좋은날,6,5,7,2.6
2,961,패배,조이,DWG ShowMaker,6,9,5,1.2222222222222223
3,961,패배,미스 포츈,Martin VG,2,9,4,0.6666666666666666
4,961,패배,블리츠크랭크,XinyiQAQ,0,5,7,1.4
5,961,승리,카밀,뒷텔와드점,4,6,10,2.3333333333333335
6,961,승리,카직스,어껭간만에찾아뵙,16,4,5,5.25
7,961,승리,벨코즈,피넛사냥개1,5,4,9,3.5
8,961,승리,진,Afreeca Kramer,5,4,11,4.0
9,961,승리,제라스,이치방츠요이야츠,5,3,13,6.0
10,962,승리,카밀,KDM Roach,5,2,6,5.5
11,962,승리,리 신,PuncHh,8,0,5,inf
12,962,승리,르블랑,IGS Dasher,6,1,7,13.0
13,962,승리,진,Afreeca Kramer,4,0,7,inf
14,962,승리,레오나,박투신,0,2,10,5.0
15,962,패배,쉔,좋은날,1,3,3,1.3333333333333333
16,962,패배,트리스타나,작전동 노란머리,4,7,1,0.7142857142857143
17,962,패배,카사딘,DWG ShowMaker,0,4,1,0.25
18,962,패배,바루스,원딜둥이,0,4,2,0.5
19,962,패배,타릭,MinKOOK2,0,5,3,0.6
20,963,패배,니달리,니달리버프좀해줘,3,7,3,0.8571428571428571
21,963,패배,르블랑,IGS Dasher,5,7,5,1.4285714285714286
22,963,패배,알리스타,FW SwordArT,1,5,9,2.0
23,963,패배,미스 포츈,12월27,3,7,6,1.2857142857142858
24,963,패배,야스오,KDM Roach,4,7,1,0.7142857142857143
25,963,승리,자르반 4세,7895123,11,3,16,9.0
26,963,승리,잔나,우지나 나 갸영이,7,2,15,11.0
27,963,승리,카사딘,Siste aeterno,6,8,5,1.375
28,963,승리,오른,MVP ADD,5,1,13,18.0
29,963,승리,바루스,스마트섹시뷰티,4,2,9,6.5
30,964,승리,카밀,KDM Roach,6,2,7,6.5
31,964,승리,이즈리얼,kfo,10,3,8,6.0
32,964,승리,르블랑,Yaharong,4,1,7,11.0
33,964,승리,자야,남 탓 보 다 반성,4,2,6,5.0
34,964,승리,라칸,진쟤승,2,4,14,4.0
35,964,패배,제이스,JAG S0hwan,8,8,0,1.0
36,964,패배,그레이브즈,아라가키 유이,0,5,3,0.6
37,964,패배,룰루,Siste aeterno,2,5,3,1.0
38,964,패배,진,wowowowoowowowo,1,4,4,1.25
39,964,패배,탐 켄치,H Dean,1,5,5,1.2
40,965,승리,오른,KDM Roach,2,0,14,inf
41,965,승리,신 짜오,Maan de st,6,1,5,11.0
42,965,승리,탈리야,ADEPT1,10,3,7,5.666666666666667
43,965,승리,진,진쟤승,15,4,9,6.0
44,965,승리,탐 켄치,H Dean,5,2,19,12.0
45,965,패배,갱플랭크,귤수호자 만기,1,7,4,0.7142857142857143
46,965,패배,올라프,귀여운스티치,5,5,2,1.4
47,965,패배,말자하,Yaharong,1,7,3,0.5714285714285714
48,965,패배,베인,JAG S0hwan,1,11,1,0.18181818181818182
49,965,패배,룰루,Siste aeterno,2,8,3,0.625
50,966,승리,제이스,KDM Roach,10,6,14,4.0
51,966,승리,렝가,좋은날,12,10,7,1.9
52,966,승리,코그모,Afreeca Aiming,11,10,9,2.0
53,966,승리,진,LPL noob ad QAQ,5,11,17,2.0
54,966,승리,브라움,도령니이임,1,6,28,4.833333333333333
55,966,패배,자르반 4세,JAG S0hwan,2,7,13,2.142857142857143
56,966,패배,이즈리얼,7895123,15,9,15,3.3333333333333335
57,966,패배,라이즈,Yaharong,14,5,12,5.2
58,966,패배,자야,MikeYeunglol,4,9,15,2.111111111111111
59,966,패배,제라스,진쟤승,8,9,16,2.6666666666666665
60,967,승리,신지드,KDM Roach,5,3,12,5.666666666666667
61,967,승리,이즈리얼,똥좀싸겟다,6,4,6,3.0
62,967,승리,다이애나,UcaL,10,7,7,2.4285714285714284
63,967,승리,루시안,KDM SSol,18,4,9,6.75
64,967,승리,카르마,Gonezz,7,0,28,inf
65,967,패배,오른,Permaban10156602,3,6,5,1.3333333333333333
66,967,패배,이블린,Longzhu Cuzz,6,9,5,1.2222222222222223
67,967,패배,아지르,꾸자니 똑땅해,3,7,7,1.4285714285714286
68,967,패배,베인,TnTeddy,2,14,1,0.21428571428571427
69,967,패배,소라카,리인제이,4,10,8,1.2
70,968,승리,오른,KDM Roach,4,3,15,6.333333333333333
71,968,승리,자르반 4세,Dingchenyu,6,6,21,4.5
72,968,승리,다이애나,피넛사냥개1,13,6,13,4.333333333333333
73,968,승리,자야,튀자튀자아,6,5,12,3.6
74,968,승리,바드,IndonesiaMassage,4,7,11,2.142857142857143
75,968,패배,제이스,돌잔치때도란잡음,8,9,4,1.3333333333333333
76,968,패배,리 신,Deft1,7,9,10,1.8888888888888888
77,968,패배,카시오페아,7hal,6,4,9,3.75
78,968,패배,트리스타나,Yeeclipse,4,7,9,1.8571428571428572
79,968,패배,모르가나,나 정말 요리,2,4,11,3.25
80,969,승리,제이스,KDM Roach,5,1,2,7.0
81,969,승리,아트록스,커피물조절장인,4,2,4,4.0
82,969,승리,카사딘,서 행,4,1,3,7.0
83,969,승리,진,Afreeca Kramer,5,1,8,13.0
84,969,승리,레오나,박투신,3,2,4,3.5
85,969,패배,신지드,우르프rider,0,6,2,0.3333333333333333
86,969,패배,자르반 4세,Klmjg,5,2,1,3.0
87,969,패배,루시안,Zhongdan XD,0,5,2,0.4
88,969,패배,케이틀린,7hal,2,4,2,1.0
89,969,패배,잔나,yizhiyu,0,4,3,0.75
90,970,승리,제이스,Meow OuO,12,1,0,12.0
91,970,승리,엘리스,bbq Tempt,1,3,10,3.6666666666666665
92,970,승리,빅토르,GSRDJ,0,5,2,0.4
93,970,승리,루시안,KDM Roach,3,0,1,inf
94,970,승리,룰루,KDM Secret,1,0,4,inf
95,970,패배,럼블,7hal,0,6,1,0.16666666666666666
96,970,패배,렉사이,매우뚱뚱한고양이,9,3,0,3.0
97,970,패배,트위스티드 페이트,작전동 노란머리,0,3,7,2.3333333333333335
98,970,패배,진,좋은날,0,2,0,0.0
99,970,패배,바드,댕청잇,0,3,1,0.3333333333333333
100,971,승리,제이스,KDM Roach,10,3,4,4.666666666666667
101,971,승리,자르반 4세,wadid,5,5,14,3.8
102,971,승리,르블랑,bbq Tempt,5,3,5,3.3333333333333335
103,971,승리,자야,2Kano,0,3,13,4.333333333333333
104,971,승리,알리스타,댕청잇,0,3,11,3.6666666666666665
105,971,패배,케넨,7hal,4,5,8,2.4
106,971,패배,리 신,좋은날,3,3,2,1.6666666666666667
107,971,패배,카타리나,Excuse,6,4,3,2.25
108,971,패배,진,김메피,3,2,6,4.5
109,971,패배,모르가나,zhang jian xiang,1,6,10,1.8333333333333333
110,972,패배,케넨,KDM Roach,5,4,5,2.5
111,972,패배,자르반 4세,검은머리사나이,5,6,12,2.8333333333333335
112,972,패배,블라디미르,최석배 사생팬,7,5,4,2.2
113,972,패배,바루스,튀자튀자아,5,8,12,2.125
114,972,패배,룰루,진쟤승,2,8,13,1.875
115,972,승리,제이스,ROX Lindarang,7,4,7,3.5
116,972,승리,렝가,분당고 엄성현,11,6,5,2.6666666666666665
117,972,승리,말자하,수영장파티박종우,5,5,7,2.4
118,972,승리,진,JAG SnowFlower,6,4,15,5.25
119,972,승리,알리스타,꼬맹이전쟁,2,6,14,2.6666666666666665
120,973,패배,나르,KDM Roach,2,6,5,1.1666666666666667
121,973,패배,자르반 4세,twice손채영,1,6,3,0.6666666666666666
122,973,패배,갈리오,PawN God,5,5,1,1.2
123,973,패배,트리스타나,991126,4,5,3,1.4
124,973,패배,알리스타,Flaycid,2,6,6,1.3333333333333333
125,973,승리,초가스,지현이의빗자루,6,2,6,6.0
126,973,승리,니달리,MVP Beyond,9,2,6,7.5
127,973,승리,코르키,FeelsG00DMan,4,2,5,4.5
