,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,1201,승리,블라디미르,Zhongdan XD,5,10,9,1.4
1,1201,승리,자르반 4세,KDM U jun,11,6,19,5.0
2,1201,승리,탈리야,Fotune,6,6,12,3.0
3,1201,승리,드레이븐,FeelsWowMan,12,5,14,5.2
4,1201,승리,브라움,SKT T1 Effort,1,7,26,3.857142857142857
5,1201,패배,케넨,커피물조절장인,6,8,12,2.25
6,1201,패배,렝가,Koed OwO,11,10,11,2.2
7,1201,패배,르블랑,Hide on bush,8,5,14,4.4
8,1201,패배,진,퓨 Zl,8,6,7,2.5
9,1201,패배,알리스타,양갱뿌,1,6,21,3.6666666666666665
10,1202,승리,마오카이,Algorism,1,3,4,1.6666666666666667
11,1202,승리,세주아니,KDM U jun,2,0,9,inf
12,1202,승리,르블랑,555555555554,5,3,3,2.6666666666666665
13,1202,승리,드레이븐,FeelsWowMan,11,0,2,inf
14,1202,승리,브라움,SKT T1 Effort,0,4,14,3.5
15,1202,패배,피오라,뒷텔와드점,1,2,3,2.0
16,1202,패배,렝가,Koed OwO,3,5,3,1.2
17,1202,패배,탈리야,Fotune,4,5,3,1.4
18,1202,패배,칼리스타,아트가 앗뜨거,1,4,3,1.0
19,1202,패배,알리스타,Hide on bush,1,3,3,1.3333333333333333
20,1203,패배,잭스,마이엠브,3,6,6,1.5
21,1203,패배,자르반 4세,KDM U jun,7,8,9,2.0
22,1203,패배,르블랑,bbq Tempt,6,6,7,2.1666666666666665
23,1203,패배,바루스,영광 스런 년,6,4,8,3.5
24,1203,패배,카르마,FeelsWowMan,2,6,12,2.3333333333333335
25,1203,승리,마오카이,atlenismydaddy,3,3,12,5.0
26,1203,승리,킨드레드,삼성갤럭시 하루,10,6,10,3.3333333333333335
27,1203,승리,말자하,Hide on bush,9,8,5,1.75
28,1203,승리,이즈리얼,아트가 앗뜨거,8,3,9,5.666666666666667
29,1203,승리,타릭,6학년4반장용준,0,4,19,4.75
30,1204,승리,갱플랭크,세메론,2,7,10,1.7142857142857142
31,1204,승리,자르반 4세,KDM U jun,7,3,11,6.0
32,1204,승리,블라디미르,친하다,11,2,3,7.0
33,1204,승리,미스 포츈,Excal1bur1,0,0,6,inf
34,1204,승리,레오나,삶이힘든사람,1,3,9,3.3333333333333335
35,1204,패배,초가스,lover li,5,2,6,5.5
36,1204,패배,니달리,wo liang le,7,5,3,2.0
37,1204,패배,야스오,h1rb,1,8,2,0.375
38,1204,패배,트리스타나,STITCH1,1,3,2,1.0
39,1204,패배,탐 켄치,H Dean,1,3,4,1.6666666666666667
40,1205,패배,렝가,KDM U jun,2,9,4,0.6666666666666666
41,1205,패배,루시안,MeteorOvO,5,7,4,1.2857142857142858
42,1205,패배,아지르,MVP Ian,2,7,6,1.1428571428571428
43,1205,패배,이즈리얼,Dingchenyu,4,6,8,2.0
44,1205,패배,럭스,IndonesiaMassage,2,7,9,1.5714285714285714
45,1205,승리,다리우스,pi9,11,3,3,4.666666666666667
46,1205,승리,자르반 4세,cbzOvO,9,2,12,10.5
47,1205,승리,말자하,Hide on bush,6,3,12,6.0
48,1205,승리,미스 포츈,GuGer,7,4,9,4.0
49,1205,승리,알리스타,난Max,3,3,14,5.666666666666667
50,1206,승리,퀸,deft123456,7,6,13,3.3333333333333335
51,1206,승리,렝가,KDM U jun,17,2,5,11.0
52,1206,승리,탈론,Yaharong,8,3,6,4.666666666666667
53,1206,승리,자야,영광 스런 년,4,5,11,3.0
54,1206,승리,타릭,zhang jian xiang,1,5,20,4.2
55,1206,패배,갱플랭크,king2n,5,12,4,0.75
56,1206,패배,엘리스,백수 JJUN,6,6,10,2.6666666666666665
57,1206,패배,카사딘,SKT T1 Untara,2,8,10,1.5
58,1206,패배,트위치,Meow OuO,8,6,5,2.1666666666666665
59,1206,패배,브라움,H Dean,0,5,15,3.0
60,1207,패배,나르,Yaharong,0,4,1,0.25
61,1207,패배,리 신,KDM U jun,3,2,0,1.5
62,1207,패배,오리아나,he  nan    yu,0,4,0,0.0
63,1207,패배,코그모,Dingchenyu,1,5,1,0.4
64,1207,패배,카르마,Z 2017 11 25,0,5,1,0.2
65,1207,승리,에코,암고잉빽투더스탙,4,1,0,4.0
66,1207,승리,자르반 4세,cbzOvO,4,1,8,12.0
67,1207,승리,카사딘,ZhanQiHuaYm,5,0,2,inf
68,1207,승리,자야,Hades9,4,2,7,5.5
69,1207,승리,라칸,KDM Secret,3,0,12,inf
70,1208,승리,갱플랭크,하늘킹,1,5,5,1.2
71,1208,승리,세주아니,KDM U jun,6,2,9,7.5
72,1208,승리,카사딘,뿡뿡뿡뿡뿡쁑,12,0,3,inf
73,1208,승리,트위치,Veritas522,1,2,7,4.0
74,1208,승리,타릭,Hades9,0,2,8,4.0
75,1208,패배,럼블,뒷텔와드점,6,1,3,9.0
76,1208,패배,렝가,트와이스 원스,5,7,2,1.0
77,1208,패배,루시안,승 로,0,4,0,0.0
78,1208,패배,칼리스타,Permaban00152487,0,5,2,0.4
79,1208,패배,브라움,SKT T1 Effort,0,3,5,1.6666666666666667
80,1209,패배,럼블,선비모드,3,8,6,1.125
81,1209,패배,자르반 4세,KDM U jun,4,6,3,1.1666666666666667
82,1209,패배,말자하,승 로,2,7,2,0.5714285714285714
83,1209,패배,케이틀린,Yeeclipse,0,3,2,0.6666666666666666
84,1209,패배,알리스타,160810,2,4,6,2.0
85,1209,승리,야스오,SKT T1 Huni,6,4,5,2.75
86,1209,승리,렉사이,MikeYeunglol,9,2,12,10.5
87,1209,승리,카사딘,강 츄,7,2,9,8.0
88,1209,승리,자야,SKT T1 Bang,6,0,7,inf
89,1209,승리,라칸,Hades9,0,3,13,4.333333333333333
90,1210,패배,탐 켄치,IndonesiaMassage,2,8,5,0.875
91,1210,패배,렝가,KDM U jun,6,6,4,1.6666666666666667
92,1210,패배,블라디미르,친하다,6,5,5,2.2
93,1210,패배,이즈리얼,nekoneko1,13,9,4,1.8888888888888888
94,1210,패배,카르마,Yeeclipse,0,11,10,0.9090909090909091
95,1210,승리,에코,010723,13,5,9,4.4
96,1210,승리,니달리,BadeMan,11,5,11,4.4
97,1210,승리,트위스티드 페이트,AP Innovation,5,2,10,7.5
98,1210,승리,루시안,강 츄,7,6,11,3.0
99,1210,승리,미스 포츈,160810,3,9,19,2.4444444444444446
100,1211,승리,럼블,SKT T1 Huni,3,0,8,inf
101,1211,승리,자르반 4세,SKT T1 WoIf,3,0,8,inf
102,1211,승리,루시안,하늘킹,5,1,0,5.0
103,1211,승리,진,쫄깃한 우동사리,9,0,4,inf
104,1211,승리,쓰레쉬,KDM U jun,3,0,10,inf
105,1211,패배,잭스,yizhiyu,0,4,0,0.0
106,1211,패배,킨드레드,MeteorOvO,0,7,1,0.14285714285714285
107,1211,패배,카사딘,FeelsPepsiMan,1,1,0,1.0
108,1211,패배,케이틀린,king2n,0,7,0,0.0
109,1211,패배,카르마,AGanQAQ,0,4,0,0.0
110,1212,패배,갱플랭크,KDM U jun,0,7,0,0.0
111,1212,패배,렝가,T 1 a n,2,6,3,0.8333333333333334
112,1212,패배,카타리나,소요하다 곡 작,3,8,0,0.375
113,1212,패배,바루스,VIP 민형,1,7,2,0.42857142857142855
114,1212,패배,라칸,진쟤승,2,4,3,1.25
115,1212,승리,제이스,암고잉빽투더스탙,6,3,3,3.0
116,1212,승리,리 신,nekoneko1,8,1,9,17.0
117,1212,승리,카사딘,시공 여행자,9,0,5,inf
118,1212,승리,이즈리얼,Peecaboo,8,2,6,7.0
119,1212,승리,블리츠크랭크,IgNar,1,2,17,9.0
120,1213,승리,케넨,Peecaboo,7,4,8,3.75
121,1213,승리,엘리스,KDM U jun,6,4,20,6.5
122,1213,승리,루시안,푸딩은푸딩해,6,4,7,3.25
123,1213,승리,드레이븐,FeelsWowMan,14,6,8,3.6666666666666665
124,1213,승리,레오나,KDM Secret,2,8,19,2.625
125,1213,패배,쉔,FeelsPepsiMan,7,5,11,3.6
126,1213,패배,자르반 4세,sanspareil1,2,9,16,2.0
127,1213,패배,아지르,555555555554,3,9,9,1.3333333333333333
128,1213,패배,트리스타나,VIP 민형,12,7,6,2.5714285714285716
129,1213,패배,브라움,Afreeca Kramer,2,5,19,4.2
130,1214,승리,이렐리아,JAG S0hwan,11,4,5,4.0
131,1214,승리,렝가,KDM U jun,7,7,13,2.857142857142857
132,1214,승리,카사딘,성민콩,9,5,11,4.0
133,1214,승리,드레이븐,FeelsWowMan,13,4,11,6.0
134,1214,승리,레오나,KDM Secret,4,3,20,8.0
135,1214,패배,신 짜오,돌잔치때도란잡음,1,10,9,1.0
136,1214,패배,카직스,PuncHh,6,9,7,1.4444444444444444
137,1214,패배,갱플랭크,Hide on bush,10,8,7,2.125
138,1214,패배,자야,SKT T1 Bang,3,5,4,1.4
139,1214,패배,질리언,진쟤승,3,12,11,1.1666666666666667
140,1215,승리,퀸,Dingchenyu,5,4,2,1.75
141,1215,승리,자르반 4세,KDM U jun,3,1,14,17.0
142,1215,승리,베이가,ZhanQiHuaYm,5,0,5,inf
143,1215,승리,칼리스타,6학년4반장용준,8,1,3,11.0
144,1215,승리,탐 켄치,IndonesiaMassage,2,1,12,14.0
145,1215,패배,제이스,reMember Mistake,3,4,2,1.25
146,1215,패배,렝가,작전동 노란머리,2,6,2,0.6666666666666666
147,1215,패배,피즈,Fotune,1,2,0,0.5
148,1215,패배,코그모,Longzhu Cuzz,0,6,1,0.16666666666666666
149,1215,패배,쓰레쉬,심심풀이 남신,1,5,0,0.2
150,1216,패배,럼블,문장 분석기,4,4,0,1.0
151,1216,패배,카직스,KDM U jun,5,4,1,1.5
152,1216,패배,카서스,빛 종 서,0,8,5,0.625
153,1216,패배,케이틀린,Mengqiuqiu,3,7,3,0.8571428571428571
154,1216,패배,탐 켄치,taesang,1,7,7,1.1428571428571428
155,1216,승리,카밀,my head,9,2,2,5.5
156,1216,승리,자르반 4세,심심풀이 남신,2,1,17,19.0
157,1216,승리,탈리야,Fotune,11,3,7,6.0
158,1216,승리,자야,nekoneko1,6,3,11,5.666666666666667
159,1216,승리,라칸,진쟤승,2,4,12,3.5
160,1217,승리,오리아나,덤벼보던가,5,3,12,5.666666666666667
161,1217,승리,레오나,MinKOOK2,6,2,16,11.0
162,1217,승리,렝가,KDM U jun,10,3,7,5.666666666666667
163,1217,승리,럼블,커피물조절장인,6,5,9,3.0
164,1217,승리,진,혼자해도충분하다,5,4,14,4.75
165,1217,패배,제이스,세메론,2,8,2,0.5
166,1217,패배,라칸,160810,2,7,10,1.7142857142857142
167,1217,패배,라이즈,IIs AP SuB,5,5,1,1.2
168,1217,패배,쉬바나,이 차가 식기전에,2,8,9,1.375
169,1217,패배,자야,Afreeca Kramer,6,4,4,2.5
170,1218,패배,오른,이 차가 식기전에,1,5,6,1.4
171,1218,패배,엘리스,T 1 a n,5,7,3,1.1428571428571428
172,1218,패배,루시안,KDM U jun,2,7,3,0.7142857142857143
173,1218,패배,트리스타나,Veritas522,2,4,2,1.0
174,1218,패배,잔나,picolo,0,3,4,1.3333333333333333
175,1218,승리,야스오,Afreeca Kramer,4,4,8,3.0
176,1218,승리,이즈리얼,FeelsPepsiMan,10,2,11,10.5
177,1218,승리,카사딘,혼자해도충분하다,8,3,6,4.666666666666667
178,1218,승리,진,영광 스런 년,4,0,13,inf
179,1218,승리,타릭,zhang jian xiang,0,1,17,17.0
180,1219,승리,제이스,KDM U jun,2,2,2,2.0
181,1219,승리,자르반 4세,T 1 a n,4,2,11,7.5
182,1219,승리,빅토르,Please find it,4,4,2,1.5
183,1219,승리,바루스,영광 스런 년,9,2,8,8.5
184,1219,승리,소나,Eriol,3,2,13,8.0
185,1219,패배,초가스,Riyon,1,3,2,1.0
186,1219,패배,세주아니,이 차가 식기전에,2,2,4,3.0
187,1219,패배,직스,바보팀원,2,3,2,1.3333333333333333
188,1219,패배,이즈리얼,Afreeca Kramer,6,7,0,0.8571428571428571
189,1219,패배,레오나,zhang jian xiang,1,7,3,0.5714285714285714
190,1220,패배,오른,Kingen,0,6,2,0.3333333333333333
191,1220,패배,렝가,Longzhu Cuzz,6,7,3,1.2857142857142858
192,1220,패배,말자하,진에어 저스티스,8,4,3,2.75
193,1220,패배,베인,KDM U jun,1,10,5,0.6
194,1220,패배,미스 포츈,SKT T1 WoIf,4,12,7,0.9166666666666666
195,1220,승리,케넨,세메론,4,4,5,2.25
196,1220,승리,카직스,매우뚱뚱한고양이,10,1,3,13.0
197,1220,승리,피즈,Hide on bush,7,4,3,2.5
198,1220,승리,이즈리얼,LPL noob ad QAQ,14,7,6,2.857142857142857
199,1220,승리,카르마,Peecaboo,4,3,18,7.333333333333333
