,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,301,승리,제이스,최초공개할게요오,4,1,2,6.0
1,301,승리,니달리,sanspareil1,4,2,4,4.0
2,301,승리,벨코즈,삼성갤럭시 Crown,0,2,5,2.5
3,301,승리,칼리스타,아트가 앗뜨거,4,2,1,2.5
4,301,승리,쓰레쉬,KT MATA,1,3,7,2.6666666666666665
5,301,패배,마오카이,MVP Ian,0,2,3,1.5
6,301,패배,쉬바나,M1anhua,6,4,3,2.25
7,301,패배,아지르,By myself,1,2,2,1.5
8,301,패배,진,BtC Hollow,1,2,4,2.5
9,301,패배,알리스타,fengquyunbuhui,2,3,7,3.0
10,302,승리,나르,피넛사냥개2,8,2,12,10.0
11,302,승리,니달리,9346,16,3,11,9.0
12,302,승리,블라디미르,UcaL,8,4,10,4.5
13,302,승리,미스 포츈,덤벼보던가,6,4,9,3.75
14,302,승리,쉔,KT MATA,2,4,18,5.0
15,302,패배,갱플랭크,zaqzxcazxcv,8,7,5,1.8571428571428572
16,302,패배,세주아니,sanspareil1,1,9,9,1.1111111111111112
17,302,패배,코르키,구름꽃길만걷자,3,11,4,0.6363636363636364
18,302,패배,진,담원 얼라이브,2,7,6,1.1428571428571428
19,302,패배,탐 켄치,Dutch Coffee,3,6,5,1.3333333333333333
20,303,승리,사이온,Eth4n,1,1,8,9.0
21,303,승리,카직스,오억만,17,2,5,11.0
22,303,승리,아지르,진에어 저스티스,2,3,9,3.6666666666666665
23,303,승리,트리스타나,Please find it,6,7,5,1.5714285714285714
24,303,승리,오른,KT MATA,2,2,15,8.5
25,303,패배,제이스,Alielie,5,6,1,1.0
26,303,패배,리 신,chorongie,3,6,3,1.0
27,303,패배,르블랑,11 14 9 7 8 20,3,6,3,1.0
28,303,패배,진,GALAAAA,2,5,7,1.8
29,303,패배,마오카이,Yumemiru Shonen,2,5,4,1.2
30,304,패배,일라오이,xaxaxaxaxa,6,6,1,1.1666666666666667
31,304,패배,자르반 4세,Please find it,0,8,6,0.75
32,304,패배,라이즈,KDM PERT,1,3,4,1.6666666666666667
33,304,패배,트리스타나,어껭간만에찾아뵙,4,3,1,1.6666666666666667
34,304,패배,레오나,KT MATA,1,4,3,1.0
35,304,승리,오른,Mengqiuqiu,4,4,8,3.0
36,304,승리,니달리,DS XiaoPeng,11,1,8,19.0
37,304,승리,신드라,TeachersWu,4,1,9,13.0
38,304,승리,이즈리얼,담원 얼라이브,5,2,12,8.5
39,304,승리,브라움,nekoneko1,0,4,8,2.0
40,305,패배,카밀,코w코,9,7,6,2.142857142857143
41,305,패배,자르반 4세,11 14 9 7 8 20,7,7,10,2.4285714285714284
42,305,패배,럭스,Jin air Yaharong,5,7,9,2.0
43,305,패배,칼리스타,VIP 민형,8,8,8,2.0
44,305,패배,레오나,KT MATA,1,6,17,3.0
45,305,승리,갱플랭크,미율치에오,10,6,10,3.3333333333333335
46,305,승리,엘리스,작전동 노란머리,8,7,10,2.5714285714285716
47,305,승리,아지르,find myself,9,5,7,3.2
48,305,승리,진,혼자해도충분하다,7,4,16,5.75
49,305,승리,탐 켄치,Destiny,1,8,13,1.75
50,306,패배,케넨,KT MATA,3,4,6,2.25
51,306,패배,자르반 4세,작전동 노란머리,2,3,6,2.6666666666666665
52,306,패배,카사딘,Republic123,3,4,6,2.25
53,306,패배,진,19980823,3,5,2,1.0
54,306,패배,레오나,챌 희,0,6,6,1.0
55,306,승리,오른,Kingen,3,3,11,4.666666666666667
56,306,승리,세주아니,jinwandalaohu,5,3,10,5.0
57,306,승리,아지르,By myself,4,2,7,5.5
