,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,1579,승리,갱플랭크,11 14 9 7 8 20,13,1,11,24.0
1,1579,승리,카직스,9346,8,5,7,3.0
2,1579,승리,베이가,kt Ucal,10,5,9,3.8
3,1579,승리,진,161561,3,5,6,1.8
4,1579,승리,탐 켄치,Kerla,2,6,13,2.5
5,1579,패배,신지드,네 명의 짐승 팀,2,7,4,0.8571428571428571
6,1579,패배,리 신,쌀국수뚝붸기,2,8,10,1.5
7,1579,패배,조이,By myself,9,8,6,1.875
8,1579,패배,칼리스타,LPL noob ad QAQ,3,6,4,1.1666666666666667
9,1579,패배,레오나,supbest,6,7,9,2.142857142857143
10,1580,패배,카밀,쌀국수뚝붸기,4,5,3,1.4
11,1580,패배,엘리스,161561,3,9,4,0.7777777777777778
12,1580,패배,코르키,11 14 9 7 8 20,6,4,3,2.25
13,1580,패배,트리스타나,VIP 민형,3,5,4,1.4
14,1580,패배,알리스타,Kerla,0,5,9,1.8
15,1580,승리,갱플랭크,bbq Tempt,3,5,3,1.2
16,1580,승리,렝가,9346,10,6,3,2.1666666666666665
17,1580,승리,베이가,kt Ucal,4,0,6,inf
18,1580,승리,진,여청추,10,4,4,3.5
19,1580,승리,브라움,yizhiyu,1,2,14,7.5
20,1581,승리,카밀,FeelsIronMan,7,1,0,7.0
21,1581,승리,카직스,Reborn3,9,3,7,5.333333333333333
22,1581,승리,라이즈,Jin air Yaharong,13,1,2,15.0
23,1581,승리,진,쌀국수뚝붸기,6,5,12,3.6
24,1581,승리,타릭,Kerla,3,3,16,6.333333333333333
25,1581,패배,제이스,ysdgqxcj,2,9,1,0.3333333333333333
26,1581,패배,니달리,So1o,5,6,4,1.5
27,1581,패배,아지르,삼성갤럭시 Crown,4,6,0,0.6666666666666666
28,1581,패배,미스 포츈,VIP 민형,2,8,7,1.125
29,1581,패배,애니비아,ROYG,0,9,6,0.6666666666666666
30,1582,패배,제이스,ysdgqxcj,6,4,5,2.75
31,1582,패배,쉬바나,ROX 곰,6,6,5,1.8333333333333333
32,1582,패배,피들스틱,1414774182,3,8,10,1.625
33,1582,패배,이즈리얼,Rain1ng,4,5,4,1.6
34,1582,패배,카르마,Kerla,2,5,12,2.8
35,1582,승리,나르,jjijiijijljli,2,6,9,1.8333333333333333
36,1582,승리,니달리,남 탓 보 다 반성,6,6,10,2.6666666666666665
37,1582,승리,탈리야,FeelsAwesomeMan,7,4,13,5.0
38,1582,승리,애쉬,asfd12,10,2,12,11.0
39,1582,승리,타릭,YOYOuuuuuO,3,4,18,5.25
40,1583,패배,케넨,Kerla,3,3,2,1.6666666666666667
41,1583,패배,자르반 4세,아테나찡,1,6,3,0.6666666666666666
42,1583,패배,라이즈,FeelsAwesomeMan,1,2,3,2.0
43,1583,패배,진,Tw1ch,2,6,2,0.6666666666666666
44,1583,패배,블리츠크랭크,MataMataMata,1,4,2,0.75
45,1583,승리,나르,kfo,4,3,4,2.6666666666666665
46,1583,승리,카직스,Seroum,8,2,6,7.0
47,1583,승리,제라스,YserAoA,5,1,8,13.0
48,1583,승리,미스 포츈,Rachel Berry,3,1,8,11.0
49,1583,승리,알리스타,천천히올라감,1,1,16,17.0
50,1584,패배,마오카이,Nova1,2,3,4,2.0
51,1584,패배,헤카림,win or win,3,4,5,2.0
52,1584,패배,오리아나,TeachersWu,2,5,5,1.4
53,1584,패배,진,구름꽃길만걷자,7,5,4,2.2
54,1584,패배,제라스,Kerla,3,3,12,5.0
55,1584,승리,카밀,무슨말이야,7,3,2,3.0
56,1584,승리,자크,Mengqiuqiu,0,1,8,8.0
57,1584,승리,카사딘,킬안주면꼬라박음,8,3,4,4.0
58,1584,승리,칼리스타,천점못찍는벌레,5,2,6,5.5
59,1584,승리,노틸러스,fengquyunbuhui,0,8,12,1.5
60,1585,승리,오른,Afreeca Summit,2,1,6,8.0
61,1585,승리,리 신,엠비션 당신은,12,0,3,inf
62,1585,승리,말자하,킬안주면꼬라박음,1,1,6,7.0
63,1585,승리,진,무슨말이야,4,1,7,11.0
64,1585,승리,제라스,Kerla,2,0,10,inf
65,1585,패배,케넨,우르프rider,0,6,0,0.0
66,1585,패배,자르반 4세,J Spectre G,0,4,1,0.25
67,1585,패배,라이즈,chirchri,0,4,0,0.0
68,1585,패배,미스 포츈,Mengqiuqiu,3,5,0,0.6
69,1585,패배,레오나,Misdate,0,2,0,0.0
70,1586,승리,나르,암고잉빽투더스탙,3,2,13,8.0
71,1586,승리,니달리,해운대잠만보,12,2,10,11.0
72,1586,승리,르블랑,11 14 9 7 8 20,5,8,8,1.625
73,1586,승리,칼리스타,슬프다고말하면,7,2,4,5.5
74,1586,승리,타릭,Kerla,1,2,17,9.0
75,1586,패배,카밀,fndasjkfkqw,3,6,7,1.6666666666666667
76,1586,패배,렝가,Yaharong,8,5,5,2.6
77,1586,패배,라이즈,R4phael,3,3,9,4.0
78,1586,패배,진,혼자해도충분하다,0,5,6,1.2
79,1586,패배,쉔,호잇이,2,9,7,1.0
80,1587,패배,말파이트,Kingen,6,10,13,1.9
81,1587,패배,자르반 4세,삼성갤럭시 하루,19,9,13,3.5555555555555554
82,1587,패배,라이즈,IGS Dasher,4,9,13,1.8888888888888888
83,1587,패배,트리스타나,whisper snow,10,5,4,2.8
84,1587,패배,알리스타,Kerla,0,11,17,1.5454545454545454
85,1587,승리,제이스,find myself,6,12,18,2.0
86,1587,승리,니달리,HanGuo Xiao Daye,11,11,18,2.6363636363636362
87,1587,승리,오리아나,mcmglllc,13,6,16,4.833333333333333
88,1587,승리,진,아이러니,11,6,16,4.5
89,1587,승리,제라스,YserAoA,3,4,20,5.75
90,1588,승리,케넨,아테나찡,5,6,8,2.1666666666666665
91,1588,승리,쉬바나,fndasjkfkqw,6,3,8,4.666666666666667
92,1588,승리,코르키,11 14 9 7 8 20,11,5,4,3.0
93,1588,승리,진,Hades9,7,5,9,3.2
94,1588,승리,알리스타,Kerla,1,3,16,5.666666666666667
95,1588,패배,쉔,원딜둥이,2,4,9,2.75
96,1588,패배,신 짜오,THE KING 2000,8,8,5,1.625
97,1588,패배,오리아나,LFT MID,6,5,3,1.8
98,1588,패배,드레이븐,해강고원딜 팬,2,8,6,1.0
99,1588,패배,잔나,슬프다고말하면,3,5,7,2.0
100,1589,패배,갱플랭크,LPL noob ad QAQ,3,4,3,1.5
101,1589,패배,카직스,어껭간만에찾아뵙,2,7,3,0.7142857142857143
102,1589,패배,라이즈,KDM PERT,0,3,5,1.6666666666666667
103,1589,패배,칼리스타,Bvoy,3,5,1,0.8
104,1589,패배,쓰레쉬,Kerla,0,5,6,1.2
105,1589,승리,나르,JAG S0hwan,4,2,1,2.5
106,1589,승리,리 신,11 14 9 7 8 20,9,3,11,6.666666666666667
107,1589,승리,트위스티드 페이트,상어가족,5,0,9,inf
108,1589,승리,이즈리얼,튀자튀자아,3,3,11,4.666666666666667
109,1589,승리,카르마,YserAoA,3,0,14,inf
110,1590,승리,신지드,She Jinping,3,0,9,inf
111,1590,승리,킨드레드,FJHGGJ,7,1,9,16.0
112,1590,승리,트위스티드 페이트,상어가족,7,0,5,inf
113,1590,승리,이즈리얼,Bvoy,9,0,2,inf
114,1590,승리,브라움,Kerla,1,0,13,inf
115,1590,패배,마오카이,sanspareil1,0,8,0,0.0
116,1590,패배,쉬바나,Cuz2,1,4,0,0.25
117,1590,패배,아지르,스마트섹시뷰티,0,4,1,0.25
118,1590,패배,드레이븐,해강고원딜 팬,0,6,1,0.16666666666666666
119,1590,패배,라칸,w1sdom ovo,0,5,1,0.2
120,1591,승리,쉔,죠토마킹,2,5,14,3.2
121,1591,승리,렝가,twice손채영,8,2,10,9.0
122,1591,승리,탈리야,푸딩은푸딩해,6,1,9,15.0
123,1591,승리,자야,유내현,12,2,4,8.0
124,1591,승리,라칸,Kerla,4,4,17,5.25
125,1591,패배,제이스,Afreeca Summit,8,7,4,1.7142857142857142
126,1591,패배,엘리스,THE KING 2000,1,9,5,0.6666666666666666
127,1591,패배,코르키,Heart,3,7,4,1.0
128,1591,패배,바루스,FVV BETTY,1,5,7,1.6
129,1591,패배,잔나,FW SwordArT,1,4,6,1.75
130,1592,패배,잭스,나네쫓다꿈소년,10,10,5,1.5
131,1592,패배,쉬바나,성민콩,5,11,12,1.5454545454545454
132,1592,패배,아지르,chirchri,16,12,5,1.75
133,1592,패배,이즈리얼,aeternitas,6,11,12,1.6363636363636365
134,1592,패배,제라스,Kerla,4,14,12,1.1428571428571428
135,1592,승리,케넨,아이지 Rook1E,13,10,10,2.3
136,1592,승리,렝가,매우뚱뚱한고양이,18,11,15,3.0
137,1592,승리,조이,Jin air Yaharong,8,10,17,2.5
138,1592,승리,진,스누피808,16,5,17,6.6
139,1592,승리,레오나,Destiny,3,5,25,5.6
140,1593,승리,사이온,귤수호자 만기,4,3,13,5.666666666666667
141,1593,승리,자르반 4세,Republic123,3,7,11,2.0
142,1593,승리,코르키,11 14 9 7 8 20,15,2,5,10.0
143,1593,승리,칼리스타,삼성갤럭시 Ru1er,8,5,7,3.0
144,1593,승리,쓰레쉬,Kerla,0,7,20,2.857142857142857
145,1593,패배,갱플랭크,ysdgqxcj,5,6,6,1.8333333333333333
146,1593,패배,리 신,FeelsSosoMan,7,5,10,3.4
147,1593,패배,아리,쪼렙이다말로하자,4,7,4,1.1428571428571428
148,1593,패배,진,STITCH1,7,7,10,2.4285714285714284
149,1593,패배,알리스타,fengquyunbuhui,1,5,18,3.8
150,1594,승리,라이즈,Heart,13,6,8,3.5
151,1594,승리,카직스,PuncHh,10,1,3,13.0
152,1594,승리,트위스티드 페이트,상어가족,1,3,6,2.3333333333333335
153,1594,승리,미스 포츈,호주 AD,9,3,8,5.666666666666667
154,1594,승리,나미,Kerla,3,4,16,4.75
155,1594,패배,럼블,담원 너구리,3,9,4,0.7777777777777778
156,1594,패배,엘리스,스마트섹시뷰티,1,7,7,1.1428571428571428
157,1594,패배,자야,11 14 9 7 8 20,7,3,3,3.3333333333333335
158,1594,패배,애쉬,ktmgs,3,5,4,1.4
159,1594,패배,조이,Empmuyi,3,12,3,0.5
160,1595,패배,케넨,JAG S0hwan,4,10,7,1.1
161,1595,패배,니달리,J Spectre G,6,6,7,2.1666666666666665
162,1595,패배,말자하,FeelsAwesomeMan,6,7,7,1.8571428571428572
163,1595,패배,미스 포츈,whisper snow,8,9,9,1.8888888888888888
164,1595,패배,알리스타,Kerla,1,8,17,2.25
165,1595,승리,제이스,RVS Poss,10,5,12,4.4
166,1595,승리,자르반 4세,F0y,7,8,15,2.75
167,1595,승리,라이즈,By myself,11,3,14,8.333333333333334
168,1595,승리,칼리스타,FVV BETTY,9,4,16,6.25
169,1595,승리,노틸러스,MinKOOK2,3,5,20,4.6
170,1596,패배,일라오이,1987 Plls,3,5,2,1.0
171,1596,패배,쉬바나,Kingen,10,6,6,2.6666666666666665
172,1596,패배,제라스,Fotune,2,5,9,2.2
173,1596,패배,진,STITCH1,2,7,5,1.0
174,1596,패배,레오나,Kerla,0,8,11,1.375
175,1596,승리,나르,우에하라 크롱,7,4,5,3.0
176,1596,승리,신 짜오,THE KING 2000,8,6,10,3.0
177,1596,승리,라이즈,Republic123,10,1,9,19.0
178,1596,승리,자야,LPL noob ad QAQ,5,3,12,5.666666666666667
179,1596,승리,라칸,IgNar,1,3,21,7.333333333333333
180,1597,승리,피오라,콜라로리필,7,4,5,3.0
181,1597,승리,카직스,w1sdom ovo,9,7,7,2.2857142857142856
182,1597,승리,트위스티드 페이트,죠토마킹,6,4,11,4.25
183,1597,승리,진,h1rb,4,4,11,3.75
184,1597,승리,제라스,Kerla,2,2,13,7.5
185,1597,패배,카밀,남 탓 보 다 반성,2,7,5,1.0
186,1597,패배,세주아니,twice손채영,6,5,8,2.8
187,1597,패배,조이,나에게 기회를,9,3,6,5.0
188,1597,패배,바루스,구직자1,2,8,4,0.75
189,1597,패배,미스 포츈,도령니이임,2,5,7,1.8
190,1598,승리,럼블,커피물조절장인,14,7,10,3.4285714285714284
191,1598,승리,카직스,RRRR,12,7,6,2.5714285714285716
192,1598,승리,아지르,kt Ucal,6,8,15,2.625
193,1598,승리,진,wo yao qu daye,5,8,14,2.375
194,1598,승리,카르마,Kerla,3,3,24,9.0
195,1598,패배,나르,우에하라 크롱,6,3,9,5.0
196,1598,패배,자르반 4세,튀자튀자아,5,13,16,1.6153846153846154
197,1598,패배,라이즈,미율치에오,6,9,7,1.4444444444444444
198,1598,패배,자야,퓨 Zl,13,7,9,3.142857142857143
199,1598,패배,라칸,MinKOOK2,3,8,19,2.75
