,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,361,패배,케넨,Kingen,4,8,0,0.5
1,361,패배,카직스,PuncHh,0,5,2,0.4
2,361,패배,말자하,지현이의빗자루,1,4,0,0.25
3,361,패배,미스 포츈,담원 얼라이브,1,3,1,0.6666666666666666
4,361,패배,알리스타,IGS Coli,0,5,3,0.6
5,361,승리,잭스,나네쫓다꿈소년,6,2,3,4.5
6,361,승리,자르반 4세,M1anhua,8,0,5,inf
7,361,승리,탈리야,송하영 팬,4,2,4,4.0
8,361,승리,진,김메피,5,1,4,9.0
9,361,승리,쉔,JAG S0hwan,2,1,8,10.0
10,362,패배,블라디미르,Kingen,7,8,7,1.75
11,362,패배,리 신,피넛사냥개1,3,9,15,2.0
12,362,패배,베이가,1414774182,7,6,9,2.6666666666666665
13,362,패배,진,Atlen,9,7,7,2.2857142857142856
14,362,패배,나미,YOYOuuuuuO,0,10,19,1.9
15,362,승리,카밀,Alielie,7,12,8,1.25
16,362,승리,자르반 4세,죠토마킹,9,5,14,4.6
17,362,승리,피들스틱,FW Maple,9,4,17,6.5
18,362,승리,애쉬,Afreeca Aiming,9,4,16,6.25
19,362,승리,쉔,By myself,6,1,22,28.0
20,363,승리,마오카이,Kingen,2,4,4,1.5
21,363,승리,세주아니,259x,4,3,10,4.666666666666667
22,363,승리,오리아나,멘탈 실력 운,9,2,7,8.0
23,363,승리,이즈리얼,SKT T1 Bang,7,5,13,4.0
24,363,승리,카르마,JackeyLove,8,1,13,21.0
25,363,패배,제이스,뒷텔와드점,4,5,4,1.6
26,363,패배,케인,춘봉박,7,7,4,1.5714285714285714
27,363,패배,라이즈,FW Maple,3,2,5,4.0
28,363,패배,미스 포츈,deft123456,0,6,5,0.8333333333333334
29,363,패배,잔나,Jisu,1,10,6,0.7
30,364,패배,갱플랭크,Kingen,2,6,7,1.5
31,364,패배,리 신,성혁님미드가신다,13,6,3,2.6666666666666665
32,364,패배,카르마,reMember Mistake,2,5,6,1.6
33,364,패배,미스 포츈,FVV BETTY,4,7,10,2.0
34,364,패배,쉔,XinMo,4,3,12,5.333333333333333
35,364,승리,오른,미율치에오,5,3,8,4.333333333333333
36,364,승리,렝가,SKT T1 WoIf,12,6,8,3.3333333333333335
37,364,승리,블라디미르,PawN God,5,6,3,1.3333333333333333
38,364,승리,시비르,xaxaxaxaxa,2,4,6,2.0
39,364,승리,트런들,Lvmao,3,6,9,2.0
40,365,패배,제이스,Kingen,8,8,5,1.625
41,365,패배,자르반 4세,ROX Lindarang,3,6,11,2.3333333333333335
42,365,패배,라이즈,reMember Mistake,1,4,6,1.75
43,365,패배,진,메 끠,5,3,4,3.0
44,365,패배,트런들,엄청강한 올빼미,0,5,10,2.0
45,365,승리,카밀,코w코,7,4,8,3.75
46,365,승리,세주아니,담원 크러쉬,1,3,18,6.333333333333333
47,365,승리,말자하,상어가족,4,4,14,4.5
48,365,승리,바루스,Zhongdan XD,13,1,7,20.0
49,365,승리,탐 켄치,160810,1,5,16,3.4
50,366,승리,제이스,Kingen,2,1,9,11.0
51,366,승리,엘리스,IGS Dasher,8,2,6,7.0
52,366,승리,조이,By myself,10,3,4,4.666666666666667
53,366,승리,진,FeelsCoffeeMan,8,1,7,15.0
54,366,승리,브라움,삼성갤럭시CoreJJ,1,0,15,inf
55,366,패배,갱플랭크,최초공개할게요오,1,5,1,0.4
56,366,패배,카직스,KDM 유준,3,4,3,1.5
57,366,패배,탈리야,송하영 팬,3,8,0,0.375
58,366,패배,드레이븐,Afreeca Kramer,0,6,2,0.3333333333333333
59,366,패배,쉔,Nova1,0,6,2,0.3333333333333333
60,367,패배,나르,Kingen,12,8,3,1.875
61,367,패배,자크,Cuz2,5,4,15,5.0
62,367,패배,말자하,인정쓰,10,3,14,8.0
