,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,81,승리,사이온,baramgaebi,4,1,10,14.0
1,81,승리,니달리,Longzhu Cuzz,9,1,12,21.0
2,81,승리,제이스,뿡뿡뿡뿡뿡쁑,7,4,8,3.75
3,81,승리,진,담원 얼라이브,4,3,6,3.3333333333333335
4,81,승리,쉔,PeanuToT,2,2,16,9.0
5,81,패배,나르,Kingen,1,7,2,0.42857142857142855
6,81,패배,쉬바나,마이엠브,0,4,3,0.75
7,81,패배,라이즈,reMember Mistake,2,4,3,1.25
8,81,패배,트리스타나,RRRuleRRR,6,6,3,1.5
9,81,패배,알리스타,풀 뜯는 미드,2,5,5,1.4
10,82,승리,오른,atlenismydaddy,3,2,8,5.5
11,82,승리,카직스,Longzhu Cuzz,4,1,9,13.0
12,82,승리,제이스,해운대잠만보,5,0,3,inf
13,82,승리,바루스,Atlen,8,3,2,3.3333333333333335
14,82,승리,미스 포츈,KDM Secret,0,3,14,4.666666666666667
15,82,패배,다리우스,7hal,1,4,1,0.5
16,82,패배,니달리,담원 크러쉬,2,2,2,2.0
17,82,패배,라이즈,마레말해뭘말해,1,4,1,0.5
18,82,패배,진,DWG BeryL,3,4,5,2.0
19,82,패배,알리스타,리인제이,2,6,6,1.3333333333333333
20,83,승리,잭스,나네쫓다꿈소년,4,7,4,1.1428571428571428
21,83,승리,니달리,Longzhu Cuzz,15,2,10,12.5
22,83,승리,제드,매우뚱뚱한고양이,9,4,8,4.25
23,83,승리,조이,DWG BeryL,3,3,8,3.6666666666666665
24,83,승리,레오나,qweqasddasas,0,7,10,1.4285714285714286
25,83,패배,럼블,커피물조절장인,4,8,12,2.0
26,83,패배,쉬바나,yizhiyu,9,5,6,3.0
27,83,패배,라이즈,Heart,5,9,9,1.5555555555555556
28,83,패배,트리스타나,whisper snow,5,4,10,3.75
29,83,패배,탐 켄치,YserAoA,0,5,15,3.0
30,84,승리,나르,삼성갤럭시 cuvee,3,5,6,1.8
31,84,승리,니달리,Longzhu Cuzz,9,6,6,2.5
32,84,승리,클레드,161561,5,3,7,4.0
33,84,승리,루시안,cbzOvO,2,5,6,1.6
34,84,승리,트런들,12월27,4,5,10,2.8
35,84,패배,잭스,격세지감,6,7,1,1.0
36,84,패배,세주아니,Only caozuo,5,5,8,2.6
37,84,패배,조이,이치방츠요이야츠,3,5,6,1.8
38,84,패배,바루스,STITCH1,5,4,6,2.75
39,84,패배,제라스,Dutch Coffee,5,2,8,6.5
40,85,승리,제이스,돌잔치때도란잡음,4,4,2,1.5
41,85,승리,카직스,Longzhu Cuzz,11,1,5,16.0
42,85,승리,말자하,JAG UmTi,3,4,6,2.25
43,85,승리,진,F0y,7,1,8,15.0
44,85,승리,쉔,Eth4n,3,2,15,9.0
45,85,패배,올라프,코w코,2,5,4,1.2
46,85,패배,니달리,삼성갤럭시 하루,5,4,2,1.75
47,85,패배,라이즈,DWG ShowMaker,5,7,3,1.1428571428571428
48,85,패배,바루스,스마트섹시뷰티,0,5,3,0.6
49,85,패배,카르마,Destiny,0,7,6,0.8571428571428571
50,86,패배,블라디미르,Peray,0,6,3,0.5
51,86,패배,카직스,Longzhu Cuzz,4,8,6,1.25
52,86,패배,아지르,SSG Ambiton,4,7,2,0.8571428571428571
53,86,패배,진,SmartPilot,5,8,2,0.875
54,86,패배,미스 포츈,PvPpvpPvPpvpPvP,1,11,9,0.9090909090909091
55,86,승리,제이스,11 14 9 7 8 20,10,2,5,7.5
56,86,승리,쉬바나,wadid,8,2,4,6.0
57,86,승리,탈리야,삼성갤럭시 Crown,5,3,3,2.6666666666666665
58,86,승리,이즈리얼,Destiny,14,3,8,7.333333333333333
59,86,승리,카르마,12월27,3,4,15,4.5
60,87,패배,나르,Only caozuo,3,8,7,1.25
61,87,패배,카직스,Longzhu Cuzz,12,9,7,2.111111111111111
62,87,패배,카사딘,chirchri,14,6,8,3.6666666666666665
63,87,패배,미스 포츈,삼성갤럭시 cuvee,5,11,15,1.8181818181818181
64,87,패배,탐 켄치,뒷텔와드점,2,7,12,2.0
65,87,승리,오른,빅파이초코파이,10,5,14,4.8
66,87,승리,리 신,PeanuToT,8,3,16,8.0
67,87,승리,르블랑,Hide on bush,5,10,9,1.4
68,87,승리,진,whisper snow,12,10,17,2.9
69,87,승리,제라스,Co2dplay,6,8,14,2.5
70,88,패배,올라프,Super Secret,0,4,1,0.25
71,88,패배,니달리,Longzhu Cuzz,2,5,1,0.6
72,88,패배,리산드라,Algorism,1,6,0,0.16666666666666666
73,88,패배,트리스타나,온몸에 담,3,3,0,1.0
74,88,패배,쓰레쉬,IlllllIIIIlIlI,0,6,1,0.16666666666666666
75,88,승리,신지드,She Jinping,1,1,6,7.0
76,88,승리,렝가,트와이스 원스,6,1,5,11.0
77,88,승리,카타리나,find myself,7,3,3,3.3333333333333335
78,88,승리,이즈리얼,LPL noob ad QAQ,9,1,2,11.0
79,88,승리,알리스타,AGanQAQ,1,1,9,10.0
80,89,승리,올라프,Super Secret,8,4,15,5.75
81,89,승리,니달리,Longzhu Cuzz,10,8,20,3.75
82,89,승리,야스오,hf ghkyu,8,4,10,4.5
83,89,승리,바루스,xiechaoguixia,10,8,11,2.625
84,89,승리,알리스타,AGanQAQ,3,7,22,3.5714285714285716
85,89,패배,마오카이,퓨 Zl,5,7,7,1.7142857142857142
86,89,패배,자르반 4세,Dingchenyu,8,9,9,1.8888888888888888
87,89,패배,조이,IIs AP SuB,8,7,4,1.7142857142857142
88,89,패배,칼리스타,165161,8,8,5,1.625
89,89,패배,탐 켄치,Z 2017 11 25,2,8,12,1.75
90,90,승리,나르,VIP 민형,3,3,8,3.6666666666666665
91,90,승리,니달리,Longzhu Cuzz,12,6,12,4.0
92,90,승리,제이스,11 14 9 7 8 20,9,4,14,5.75
93,90,승리,트리스타나,165161,7,7,8,2.142857142857143
94,90,승리,케넨,춘봉박,9,5,13,4.4
95,90,패배,오른,JAG S0hwan,3,8,6,1.125
