,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,381,승리,나르,Gon123,15,3,4,6.333333333333333
1,381,승리,쉬바나,yizhiyu,8,4,13,5.25
2,381,승리,카르마,우에하라 크롱,4,5,18,4.4
3,381,승리,이즈리얼,SnakeLight,10,4,14,6.0
4,381,승리,트런들,MVP ADD,4,3,15,6.333333333333333
5,381,패배,피오라,chijixuanshou,3,11,7,0.9090909090909091
6,381,패배,킨드레드,5gak,5,9,7,1.3333333333333333
7,381,패배,르블랑,YM  zhongdan,4,4,4,2.0
8,381,패배,애쉬,deft123456,4,10,9,1.3
9,381,패배,미스 포츈,선기박,3,7,9,1.7142857142857142
10,382,패배,잭스,MVP ADD,2,6,2,0.6666666666666666
11,382,패배,자르반 4세,F0y,2,6,5,1.1666666666666667
12,382,패배,트위스티드 페이트,YM  zhongdan,3,4,2,1.25
13,382,패배,미스 포츈,혼자해도충분하다,1,4,4,1.25
14,382,패배,쉔,Lvmao,1,4,3,1.0
15,382,승리,카밀,Gon123,5,3,8,4.333333333333333
16,382,승리,세주아니,5gak,5,0,10,inf
17,382,승리,탈리야,IGS Dasher,10,2,6,8.0
18,382,승리,진,deft123456,3,1,11,14.0
19,382,승리,알리스타,선기박,1,3,11,4.0
20,383,패배,요릭,MVP ADD,0,7,1,0.14285714285714285
21,383,패배,자르반 4세,DS XiaoPeng,6,6,8,2.3333333333333335
22,383,패배,코르키,F0y,4,7,2,0.8571428571428571
23,383,패배,미스 포츈,혼자해도충분하다,4,7,5,1.2857142857142858
24,383,패배,오른,Lvmao,1,4,8,2.25
25,383,승리,초가스,MVP Ian,6,0,2,inf
26,383,승리,리 신,5gak,7,3,10,5.666666666666667
27,383,승리,탈리야,IGS Dasher,12,1,6,18.0
28,383,승리,진,YM  zhongdan,2,8,11,1.625
29,383,승리,제라스,선기박,4,3,6,3.3333333333333335
30,384,승리,자르반 4세,Heiz4,1,9,19,2.2222222222222223
31,384,승리,세주아니,MVP ADD,5,5,24,5.8
32,384,승리,아지르,IGS Dasher,15,1,11,26.0
33,384,승리,진,wjhfjihtiu,17,4,6,5.75
34,384,승리,미스 포츈,Lvmao,3,6,22,4.166666666666667
35,384,패배,제이스,pppyp,10,8,6,2.0
36,384,패배,니달리,DS XiaoPeng,6,8,12,2.25
37,384,패배,피들스틱,1414774182,5,12,6,0.9166666666666666
38,384,패배,루시안,chirchri,3,7,8,1.5714285714285714
39,384,패배,브라움,DWG BeryL,1,6,14,2.5
40,385,승리,제이스,MVP ADD,8,5,8,3.2
41,385,승리,자르반 4세,수입뿌드,7,8,13,2.5
42,385,승리,코르키,ysdgqxcj,6,4,11,4.25
43,385,승리,진,DWG BeryL,8,2,10,9.0
44,385,승리,쓰레쉬,supbest,1,3,19,6.666666666666667
45,385,패배,잭스,TOP아빠,3,6,4,1.1666666666666667
46,385,패배,세주아니,담원 크러쉬,3,6,11,2.3333333333333335
47,385,패배,탈리야,IGS Dasher,7,6,4,1.8333333333333333
48,385,패배,칼리스타,담원 얼라이브,8,4,5,3.25
49,385,패배,바드,Lvmao,1,8,13,1.75
