,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,1459,패배,피오라,TOP아빠,3,6,1,0.6666666666666666
1,1459,패배,니달리,I will not lose,6,5,2,1.6
2,1459,패배,말자하,MVP Ian,2,5,2,0.8
3,1459,패배,바루스,성민콩,3,6,4,1.1666666666666667
4,1459,패배,알리스타,DS XiaoPeng,2,8,5,0.875
5,1459,승리,제이스,Co1dplay,9,5,12,4.2
6,1459,승리,세주아니,좋은날,3,3,14,5.666666666666667
7,1459,승리,트위스티드 페이트,ysdgqxcj,10,0,14,inf
8,1459,승리,미스 포츈,Afreeca M0wgli,5,1,15,20.0
9,1459,승리,모르가나,강고릴,3,7,18,3.0
10,1460,승리,초가스,MVP Ian,6,0,2,inf
11,1460,승리,리 신,5gak,7,3,10,5.666666666666667
12,1460,승리,탈리야,IGS Dasher,12,1,6,18.0
13,1460,승리,진,YM  zhongdan,2,8,11,1.625
14,1460,승리,제라스,선기박,4,3,6,3.3333333333333335
15,1460,패배,요릭,MVP ADD,0,7,1,0.14285714285714285
16,1460,패배,자르반 4세,DS XiaoPeng,6,6,8,2.3333333333333335
17,1460,패배,코르키,F0y,4,7,2,0.8571428571428571
18,1460,패배,미스 포츈,혼자해도충분하다,4,7,5,1.2857142857142858
19,1460,패배,오른,Lvmao,1,4,8,2.25
20,1461,승리,칼리스타,김메피,9,3,9,6.0
21,1461,승리,케넨,우에하라 크롱,8,5,9,3.4
22,1461,승리,라이즈,MVP Ian,2,1,13,15.0
23,1461,승리,제라스,LPL noob ad QAQ,6,8,14,2.5
24,1461,승리,자르반 4세,단군의청춘부재,9,5,18,5.4
25,1461,패배,니달리,J Spectre G,3,6,7,1.6666666666666667
26,1461,패배,블리츠크랭크,DWG ShowMaker,1,9,10,1.2222222222222223
27,1461,패배,잭스,나네쫓다꿈소년,7,7,2,1.2857142857142858
28,1461,패배,탈리야,Hide on bush,8,5,3,2.2
29,1461,패배,진,FeelsCoffeeMan,3,8,8,1.375
30,1462,패배,나르,단군의청춘부재,1,5,0,0.2
31,1462,패배,카직스,Cuz2,3,2,4,3.5
32,1462,패배,말자하,MVP Ian,4,5,2,1.2
33,1462,패배,진,원딜둥이,0,7,1,0.14285714285714285
34,1462,패배,블리츠크랭크,SKT T1 WoIf,0,5,2,0.4
