,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,541,패배,나르,최초공개할게요오,1,8,4,0.625
1,541,패배,자르반 4세,ROX Se0ngHwan,4,4,1,1.25
2,541,패배,라이즈,KDM 유준,0,3,1,0.3333333333333333
3,541,패배,진,분당고 엄성현,1,4,2,0.75
4,541,패배,알리스타,MataMataMata,2,6,2,0.6666666666666666
5,541,승리,카밀,빅파이초코파이,5,2,3,4.0
6,541,승리,쉬바나,XinyiQAQ,2,3,7,3.0
7,541,승리,카사딘,점점나의마음이끌,7,1,9,16.0
8,541,승리,칼리스타,비 브이 오 와이,11,1,6,17.0
9,541,승리,세주아니,Delicious Fish,0,1,18,18.0
10,542,승리,카밀,우철짱123,4,4,4,2.0
11,542,승리,니달리,장난 꾸러기 돼지,8,2,11,9.5
12,542,승리,말자하,FW Maple,7,4,13,5.0
13,542,승리,진,RRRuleRRR,6,3,9,5.0
14,542,승리,알리스타,MataMataMata,2,2,16,9.0
15,542,패배,럼블,빅파이초코파이,2,2,8,5.0
16,542,패배,쉬바나,작전동 노란머리,6,5,3,1.8
17,542,패배,조이,UcaL,2,9,2,0.4444444444444444
18,542,패배,미스 포츈,비 브이 오 와이,3,5,3,1.2
19,542,패배,쉔,호경모드,2,6,6,1.3333333333333333
20,543,승리,일라오이,xaxaxaxaxa,9,9,7,1.7777777777777777
21,543,승리,자르반 4세,MataMataMata,14,6,16,5.0
22,543,승리,라이즈,FW Maple,6,5,14,4.0
23,543,승리,이즈리얼,먹는건즐거워,10,5,14,4.8
24,543,승리,잔나,FW SwordArT,3,3,24,9.0
25,543,패배,카밀,baramgaebi,8,10,6,1.4
26,543,패배,쉬바나,작전동 노란머리,7,7,9,2.2857142857142856
27,543,패배,탈리야,chorongie,2,9,12,1.5555555555555556
28,543,패배,칼리스타,덤벼보던가,9,8,10,2.375
29,543,패배,오른,진쟤승,2,8,16,2.25
30,544,승리,일라오이,xaxaxaxaxa,1,4,0,0.25
31,544,승리,세주아니,SKT T1 WoIf,1,1,8,9.0
32,544,승리,탈리야,7hal,2,0,5,inf
33,544,승리,이즈리얼,삼성갤럭시 Ru1er,12,4,3,3.75
34,544,승리,카르마,MataMataMata,4,1,7,11.0
35,544,패배,오른,쌀국수뚝붸기,1,2,2,1.5
36,544,패배,니달리,chorongie,3,4,1,1.0
37,544,패배,자르반 4세,Heart,5,3,1,2.0
38,544,패배,미스 포츈,다시 돌아갈까요,1,6,3,0.6666666666666666
39,544,패배,제라스,혼자가 편해졌어,0,5,4,0.8
40,545,승리,초가스,Delicious Fish,5,0,6,inf
41,545,승리,카직스,점점나의마음이끌,7,1,5,12.0
42,545,승리,말자하,Heart,8,3,8,5.333333333333333
43,545,승리,애쉬,삼성갤럭시 Ru1er,5,4,7,3.0
44,545,승리,알리스타,MataMataMata,3,1,12,15.0
45,545,패배,카밀,7hal,2,5,2,0.8
46,545,패배,렉사이,chorongie,2,6,3,0.8333333333333334
47,545,패배,라이즈,SKT T1 WoIf,1,4,2,0.75
48,545,패배,미스 포츈,원딜둥이,3,7,2,0.7142857142857143
49,545,패배,쓰레쉬,다시 돌아갈까요,1,6,3,0.6666666666666666
50,546,승리,케넨,커피물조절장인,6,5,8,2.8
51,546,승리,세주아니,PeanuToT,4,2,18,11.0
52,546,승리,아지르,11 14 9 7 8 20,7,6,10,2.8333333333333335
53,546,승리,칼리스타,승 로,13,7,12,3.5714285714285716
54,546,승리,그라가스,MataMataMata,5,5,20,5.0
55,546,패배,나르,7hal,3,5,9,2.4
56,546,패배,니달리,나는야베이베이1,7,9,10,1.8888888888888888
57,546,패배,말자하,성민콩,5,6,7,2.0
58,546,패배,바루스,fndasjkfkqw,8,7,11,2.7142857142857144
59,546,패배,피들스틱,deft123456,2,8,14,2.0
60,547,승리,나르,7hal,1,2,4,2.5
61,547,승리,쉬바나,PeanuToT,10,0,2,inf
62,547,승리,아지르,MataMataMata,0,1,3,3.0
63,547,승리,바루스,비 브이 오 와이,3,3,10,4.333333333333333
64,547,승리,알리스타,supbest,4,1,8,12.0
65,547,패배,블라디미르,kfo,1,2,0,0.5
66,547,패배,카직스,259x,1,3,4,1.6666666666666667
67,547,패배,말자하,성민콩,1,4,1,0.5
68,547,패배,진,세메론,3,5,1,0.8
69,547,패배,오른,DWG BeryL,1,4,3,1.0
70,548,승리,쉔,죠토마킹,1,1,6,7.0
71,548,승리,카직스,9346,12,3,1,4.333333333333333
72,548,승리,트위스티드 페이트,상어가족,0,0,6,inf
73,548,승리,칼리스타,MataMataMata,7,2,6,6.5
74,548,승리,레오나,Destiny,2,4,9,2.75
75,548,패배,마오카이,마이엠브,2,0,2,inf
76,548,패배,자르반 4세,ROX Se0ngHwan,0,6,4,0.6666666666666666
77,548,패배,아지르,Lucete,2,4,2,1.0
78,548,패배,진,Hades9,4,6,5,1.5
79,548,패배,제라스,혼자가 편해졌어,2,6,3,0.8333333333333334
80,549,패배,나르,Firework37,6,6,3,1.5
81,549,패배,리 신,9346,5,7,5,1.4285714285714286
82,549,패배,트위스티드 페이트,TeachersWu,3,6,5,1.3333333333333333
83,549,패배,바루스,상어가족,1,4,9,2.5
84,549,패배,제라스,MataMataMata,3,4,7,2.5
85,549,승리,케넨,마이엠브,7,3,6,4.333333333333333
86,549,승리,자르반 4세,ROX Se0ngHwan,4,5,15,3.8
87,549,승리,피즈,ysdgqxcj,11,2,6,8.5
88,549,승리,애쉬,asfd12,2,5,9,2.2
89,549,승리,레오나,Destiny,3,3,5,2.6666666666666665
90,550,패배,갱플랭크,삶이힘든사람,5,5,5,2.0
91,550,패배,카직스,진쟤승,3,6,8,1.8333333333333333
92,550,패배,라이즈,Lucete,1,5,6,1.4
93,550,패배,진,쓰레기새기들,5,6,3,1.3333333333333333
94,550,패배,블리츠크랭크,MataMataMata,3,7,9,1.7142857142857142
95,550,승리,마오카이,Possible tts,6,3,14,6.666666666666667
96,550,승리,세주아니,마이엠브,6,2,9,7.5
97,550,승리,제이스,11 14 9 7 8 20,6,4,12,4.5
98,550,승리,트리스타나,Hades9,6,6,9,2.5
99,550,승리,레오나,Destiny,5,2,14,9.5
100,551,패배,사이온,7hal,1,2,5,3.0
101,551,패배,카직스,FeelsAwesomeMan,6,6,4,1.6666666666666667
102,551,패배,갈리오,LFT MID,0,6,4,0.6666666666666666
103,551,패배,진,웨이 지안,3,8,3,0.75
104,551,패배,쉔,MataMataMata,4,5,7,2.2
105,551,승리,제이스,baramgaebi,5,6,6,1.8333333333333333
106,551,승리,리 신,SnakeLight,4,5,10,2.8
107,551,승리,신드라,TeachersWu,7,0,5,inf
108,551,승리,칼리스타,Hades9,11,3,7,6.0
109,551,승리,레오나,Destiny,0,0,18,inf
110,552,패배,야스오,baramgaebi,1,8,2,0.375
111,552,패배,세주아니,갱만가드림,4,4,1,1.25
112,552,패배,라이즈,BtC Hollow,0,4,1,0.25
113,552,패배,진,그러면안돼요짜샤,1,1,3,4.0
114,552,패배,알리스타,MataMataMata,2,3,4,2.0
115,552,승리,오른,Kingen,7,2,6,6.5
116,552,승리,리 신,xaxaxaxaxa,5,1,5,10.0
117,552,승리,카사딘,By myself,3,2,4,3.5
118,552,승리,베인,튀자튀자아,3,3,5,2.6666666666666665
119,552,승리,탐 켄치,우지나 나 갸영이,2,0,9,inf
120,553,승리,라이즈,kfo,6,2,5,5.5
121,553,승리,쉬바나,스마트섹시뷰티,10,0,8,inf
122,553,승리,르블랑,FW Maple,8,2,7,7.5
