,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,461,승리,일라오이,xaxaxaxaxa,2,6,2,0.6666666666666666
1,461,승리,세주아니,75387,3,1,9,12.0
2,461,승리,아지르,PawN God,4,0,3,inf
3,461,승리,진,먹는건즐거워,6,2,3,4.5
4,461,승리,알리스타,Nem2sis,2,0,7,inf
5,461,패배,케넨,담원 너구리,4,3,3,2.3333333333333335
6,461,패배,쉬바나,분당고 엄성현,3,2,2,2.5
7,461,패배,르블랑,승 로,1,2,2,1.5
8,461,패배,바루스,sqb,1,4,0,0.25
9,461,패배,마오카이,Nova1,0,6,2,0.3333333333333333
10,462,패배,이렐리아,승 로,3,5,3,1.2
11,462,패배,니달리,PeanuToT,4,6,6,1.6666666666666667
12,462,패배,조이,PawN God,3,4,5,2.0
13,462,패배,미스 포츈,Afreeca Kramer,3,8,3,0.75
14,462,패배,소라카,YOYOuuuuuO,1,9,7,0.8888888888888888
15,462,승리,갱플랭크,최초공개할게요오,5,2,13,9.0
16,462,승리,쉬바나,yizhiyu,3,6,13,2.6666666666666665
17,462,승리,라이즈,KDM 유준,6,3,4,3.3333333333333335
18,462,승리,바루스,쌀국수뚝붸기,9,3,5,4.666666666666667
19,462,승리,제라스,호잇이,9,0,11,inf
20,463,패배,제이스,Alielie,7,4,5,3.0
21,463,패배,엘리스,jinwandalaohu,0,7,3,0.42857142857142855
22,463,패배,아지르,PawN God,3,2,4,3.5
23,463,패배,진,6학년4반장용준,2,4,2,1.0
24,463,패배,쉔,w1sdom ovo,1,5,3,0.8
25,463,승리,자르반 4세,Co1dplay,4,4,9,3.25
26,463,승리,니달리,PuncHh,2,3,10,4.0
27,463,승리,다이애나,이야공,9,2,6,7.5
28,463,승리,바루스,Afreeca Ruby,4,3,9,4.333333333333333
29,463,승리,레오나,강고릴,3,1,16,19.0
30,464,패배,오른,Co1dplay,3,6,10,2.1666666666666665
31,464,패배,카직스,갱만가드림,7,7,7,2.0
32,464,패배,블라디미르,PawN God,4,8,8,1.5
33,464,패배,이즈리얼,PuncHh,11,4,9,5.0
34,464,패배,쓰레쉬,강고릴,1,6,18,3.1666666666666665
35,464,승리,갱플랭크,이재훈다딱,6,4,10,4.0
36,464,승리,렝가,DS XiaoPeng,12,7,6,2.5714285714285716
37,464,승리,탈리야,푸딩은푸딩해,9,5,13,4.4
38,464,승리,진,수지Suzy,3,6,12,2.5
39,464,승리,브라움,마이엠브,1,4,14,3.75
40,465,패배,제이스,Co1dplay,7,9,3,1.1111111111111112
41,465,패배,세주아니,마이엠브,1,4,10,2.75
42,465,패배,아지르,삼성갤럭시 Crown,3,13,3,0.46153846153846156
