,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,1839,패배,갱플랭크,Cuz2,4,7,0,0.5714285714285714
1,1839,패배,카직스,PeanuToT,3,3,3,2.0
2,1839,패배,아지르,마산가자,3,3,3,2.0
3,1839,패배,이즈리얼,Excal1bur1,0,8,2,0.25
4,1839,패배,카르마,FeelsCoffeeMan,0,5,3,0.6
5,1839,승리,나르,RVS Poss,4,6,6,1.6666666666666667
6,1839,승리,니달리,종학윙,5,1,8,13.0
7,1839,승리,르블랑,Fotune,7,3,3,3.3333333333333335
8,1839,승리,베인,Afreeca Kramer,10,0,5,inf
9,1839,승리,알리스타,진에어 저스티스,0,0,13,inf
10,1840,패배,이렐리아,승 로,3,5,3,1.2
11,1840,패배,니달리,PeanuToT,4,6,6,1.6666666666666667
12,1840,패배,조이,PawN God,3,4,5,2.0
13,1840,패배,미스 포츈,Afreeca Kramer,3,8,3,0.75
14,1840,패배,소라카,YOYOuuuuuO,1,9,7,0.8888888888888888
15,1840,승리,갱플랭크,최초공개할게요오,5,2,13,9.0
16,1840,승리,쉬바나,yizhiyu,3,6,13,2.6666666666666665
17,1840,승리,라이즈,KDM 유준,6,3,4,3.3333333333333335
18,1840,승리,바루스,쌀국수뚝붸기,9,3,5,4.666666666666667
19,1840,승리,제라스,호잇이,9,0,11,inf
20,1841,패배,나르,kfo,0,5,3,0.6
21,1841,패배,자르반 4세,h1rb,2,6,3,0.8333333333333334
22,1841,패배,조이,Hide on bush,4,3,4,2.6666666666666665
23,1841,패배,미스 포츈,Gon123,1,7,5,0.8571428571428571
24,1841,패배,쉔,PeanuToT,5,8,6,1.375
25,1841,승리,카밀,우철짱123,11,1,7,18.0
26,1841,승리,카직스,7895123,6,1,8,14.0
27,1841,승리,말자하,Kimimaro,0,1,12,12.0
28,1841,승리,칼리스타,SnakeLight,11,3,5,5.333333333333333
29,1841,승리,마오카이,진쟤승,1,6,17,3.0
30,1842,승리,카밀,kfo,3,7,7,1.4285714285714286
31,1842,승리,니달리,삼성갤럭시 하루,7,3,11,6.0
32,1842,승리,아지르,Fotune,10,1,5,15.0
33,1842,승리,이즈리얼,PeanuToT,3,5,17,4.0
34,1842,승리,마오카이,진쟤승,3,3,16,6.333333333333333
35,1842,패배,제이스,KDM PERT,7,7,5,1.7142857142857142
36,1842,패배,세주아니,Afreeca M0wgli,4,4,7,2.75
