,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,1300,승리,나르,ROX Hoon,8,1,9,17.0
1,1300,승리,니달리,So1o,6,4,12,4.5
2,1300,승리,르블랑,너와나의연결Gori,21,2,4,12.5
3,1300,승리,애쉬,Reborn3,3,4,6,2.25
4,1300,승리,쉔,JAG S0hwan,3,3,16,6.333333333333333
5,1300,패배,카밀,쌀국수뚝붸기,1,10,1,0.2
6,1300,패배,자르반 4세,삼성갤럭시 하루,3,8,3,0.75
7,1300,패배,아지르,삼성갤럭시 Crown,2,12,1,0.25
8,1300,패배,바루스,단군의청춘부재,7,7,1,1.1428571428571428
9,1300,패배,카르마,Jin air Yaharong,1,4,9,2.5
10,1301,패배,카밀,암고잉빽투더스탙,7,6,5,2.0
11,1301,패배,세주아니,오억만,7,7,11,2.5714285714285716
12,1301,패배,야스오,kenzhu9,4,9,10,1.5555555555555556
13,1301,패배,미스 포츈,Dingchenyu,6,13,4,0.7692307692307693
14,1301,패배,제라스,ROX Hoon,5,7,12,2.4285714285714284
15,1301,승리,피오라,baramgaebi,7,4,11,4.5
16,1301,승리,쉬바나,yizhiyu,16,3,11,9.0
17,1301,승리,조이,으아으앙으아앙,4,7,14,2.5714285714285716
18,1301,승리,이즈리얼,ZhanQiHuaYm,8,8,14,2.75
19,1301,승리,쓰레쉬,chijixuanshou,7,7,23,4.285714285714286
20,1302,승리,오른,baramgaebi,1,1,6,7.0
21,1302,승리,카직스,kenzhu9,6,0,4,inf
22,1302,승리,라이즈,PawN God,5,1,6,11.0
23,1302,승리,진,암고잉빽투더스탙,6,1,3,9.0
24,1302,승리,타릭,ROX Hoon,1,3,6,2.3333333333333335
25,1302,패배,다리우스,7hal,0,5,1,0.2
26,1302,패배,니달리,으아으앙으아앙,1,4,5,1.5
27,1302,패배,베이가,FW Maple,3,1,1,4.0
28,1302,패배,이즈리얼,Dingchenyu,1,5,1,0.4
29,1302,패배,바드,534N,1,5,3,0.8
30,1303,승리,카밀,춘봉박,9,4,5,3.5
31,1303,승리,니달리,나는야베이베이1,4,5,7,2.2
32,1303,승리,아지르,성민콩,7,2,3,5.0
33,1303,승리,진,SKT T1 Bang,7,0,7,inf
34,1303,승리,나미,ROX Hoon,1,1,13,14.0
35,1303,패배,신지드,MVP ADD,2,7,2,0.5714285714285714
36,1303,패배,쉬바나,Alielie,5,4,4,2.25
37,1303,패배,조이,PawN God,4,6,1,0.8333333333333334
38,1303,패배,바루스,Possible tts,0,7,2,0.2857142857142857
39,1303,패배,제라스,JAG Wraith,1,4,4,1.25
40,1304,승리,올라프,Super Secret,7,2,11,9.0
41,1304,승리,자르반 4세,ROX Hoon,9,4,20,7.25
42,1304,승리,르블랑,박효신사생팬,18,1,12,30.0
43,1304,승리,이즈리얼,tul12,5,7,16,3.0
44,1304,승리,탈리야,소추소심,4,4,23,6.75
45,1304,패배,오른,Give Top Pls,3,8,6,1.125
46,1304,패배,쉬바나,MansN0tHot,5,6,5,1.6666666666666667
47,1304,패배,말자하,상어가족,2,11,4,0.5454545454545454
48,1304,패배,미스 포츈,성민콩,6,9,6,1.3333333333333333
49,1304,패배,타릭,YOYOuuuuuO,2,9,9,1.2222222222222223
50,1305,패배,오른,ROX Hoon,0,7,0,0.0
51,1305,패배,렝가,Dragon Shaco,3,5,1,0.8
52,1305,패배,르블랑,chirchri,3,3,1,1.3333333333333333
53,1305,패배,칼리스타,Hades9,2,5,2,0.8
54,1305,패배,잔나,찹 또,1,4,4,1.25
55,1305,승리,올라프,코w코,7,0,3,inf
56,1305,승리,자르반 4세,일견무시도성빈,5,1,9,14.0
57,1305,승리,탈리야,이치방츠요이야츠,5,3,1,2.0
58,1305,승리,진,메 끠,4,1,4,8.0
59,1305,승리,제라스,PawN God,3,4,3,1.5
60,1306,패배,카밀,ROX Hoon,2,4,1,0.75
61,1306,패배,리 신,나에게 기회를,0,5,2,0.4
62,1306,패배,카사딘,이치방츠요이야츠,1,2,1,1.0
63,1306,패배,미스 포츈,fndasjkfkqw,2,2,1,1.5
64,1306,패배,타릭,Empmuyi,0,2,2,1.0
65,1306,승리,갱플랭크,피넛사냥개2,6,1,3,9.0
66,1306,승리,자르반 4세,chirchri,3,2,5,4.0
67,1306,승리,오리아나,LFT MID,5,1,5,10.0
68,1306,승리,진,풀 뜯는 미드,1,2,5,3.0
69,1306,승리,알리스타,상어가족,0,0,8,inf
70,1307,승리,카밀,ROX Hoon,6,15,7,0.8666666666666667
71,1307,승리,쉬바나,LFT MID,13,5,15,5.6
72,1307,승리,카사딘,chirchri,8,6,11,3.1666666666666665
73,1307,승리,진,STITCH2,12,6,14,4.333333333333333
74,1307,승리,알리스타,KoalaloveTuTu,1,6,19,3.3333333333333335
75,1307,패배,나르,지현이의빗자루,11,7,7,2.5714285714285716
76,1307,패배,리 신,나에게 기회를,11,9,14,2.7777777777777777
77,1307,패배,말자하,이치방츠요이야츠,4,5,15,3.8
78,1307,패배,미스 포츈,담원 얼라이브,7,8,14,2.625
79,1307,패배,모르가나,Empmuyi,5,11,18,2.090909090909091
80,1308,패배,이렐리아,ROX Hoon,0,7,1,0.14285714285714285
81,1308,패배,쉬바나,WENJUNXI,3,2,3,3.0
82,1308,패배,말자하,chirchri,2,3,1,1.0
83,1308,패배,미스 포츈,입이더러운사람,2,4,2,1.0
84,1308,패배,타릭,YOYOuuuuuO,0,6,4,0.6666666666666666
85,1308,승리,나르,FeelsAwesomeMan,5,3,2,2.3333333333333335
86,1308,승리,자르반 4세,PuncHh,8,1,5,13.0
87,1308,승리,탈리야,풀 뜯는 미드,3,1,7,10.0
88,1308,승리,진,구름꽃길만걷자,6,1,3,9.0
89,1308,승리,알리스타,SKT T1 WoIf,0,1,11,11.0
90,1309,승리,야스오,Afreeca Summit,5,5,7,2.4
91,1309,승리,자르반 4세,ROX Hoon,6,2,11,8.5
92,1309,승리,탈리야,풀 뜯는 미드,4,2,8,6.0
93,1309,승리,진,삼성갤럭시 Ru1er,11,1,3,14.0
94,1309,승리,알리스타,fndasjkfkqw,2,2,6,4.0
95,1309,패배,나르,담원 너구리,6,7,0,0.8571428571428571
96,1309,패배,세주아니,PuncHh,1,5,4,1.0
97,1309,패배,르블랑,chirchri,2,5,2,0.8
98,1309,패배,바루스,원딜둥이,3,7,2,0.7142857142857143
99,1309,패배,제라스,나라카일,0,5,5,1.0
100,1310,승리,카밀,ROX Hoon,9,6,8,2.8333333333333335
101,1310,승리,세주아니,MVP Beyond,8,5,17,5.0
102,1310,승리,신드라,BtC Hollow,7,3,17,8.0
103,1310,승리,칼리스타,담원 얼라이브,14,4,11,6.25
104,1310,승리,소나,ESRS10,4,4,27,7.75
105,1310,패배,제이스,11 14 9 7 8 20,5,6,9,2.3333333333333335
106,1310,패배,엘리스,참깨는짱깨,0,11,10,0.9090909090909091
107,1310,패배,카타리나,tul12,10,10,4,1.4
108,1310,패배,루시안,JAG UmTi,7,6,5,2.0
109,1310,패배,브라움,wojuede OK,0,10,12,1.2
110,1311,승리,나르,ROX Hoon,4,4,1,1.25
111,1311,승리,세주아니,마이엠브,8,1,11,19.0
112,1311,승리,블라디미르,담원 너구리,9,3,5,4.666666666666667
113,1311,승리,진,먹는건즐거워,5,4,8,3.25
114,1311,승리,알리스타,토마토페이스트,6,2,13,9.5
115,1311,패배,판테온,빅파이초코파이,6,5,2,1.6
116,1311,패배,렝가,분당고 엄성현,7,6,3,1.6666666666666667
117,1311,패배,오리아나,상어가족,0,7,2,0.2857142857142857
118,1311,패배,바루스,Hades9,1,10,1,0.2
