,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,161,승리,오른,UcaL,1,2,2,1.5
1,161,승리,쉬바나,chijixuanshou,2,1,10,12.0
2,161,승리,말자하,ROX Iava,7,0,9,inf
3,161,승리,진,wjhfjihtiu,4,3,8,4.0
4,161,승리,레오나,호잇이,4,4,9,3.25
5,161,패배,마오카이,ROX 곰,1,2,3,2.0
6,161,패배,킨드레드,PuncHh,5,5,0,1.0
7,161,패배,라이즈,MVP Ian,2,3,6,2.6666666666666665
8,161,패배,미스 포츈,원딜둥이,2,4,4,1.5
9,161,패배,타릭,슬프다고말하면,0,4,6,1.5
10,162,승리,티모,항물파전,6,7,10,2.2857142857142856
11,162,승리,자르반 4세,Cuz2,19,3,13,10.666666666666666
12,162,승리,말자하,ROX Iava,6,5,20,5.2
13,162,승리,이즈리얼,Delicious Fish,6,4,15,5.25
14,162,승리,제라스,이치방츠요이야츠,0,5,17,3.4
15,162,패배,올라프,코w코,8,5,4,2.4
16,162,패배,엘리스,Lz Tv SuShi,4,8,5,1.125
17,162,패배,다이애나,이야공,9,8,5,1.75
18,162,패배,칼리스타,6학년4반장용준,3,7,5,1.1428571428571428
19,162,패배,쓰레쉬,일견무시도성빈,0,9,10,1.1111111111111112
20,163,패배,오른,KDM Edge,0,9,2,0.2222222222222222
21,163,패배,엘리스,Lz Tv SuShi,8,9,1,1.0
22,163,패배,라이즈,ROX Iava,2,6,4,1.0
23,163,패배,자야,어껭간만에찾아뵙,2,5,3,1.0
24,163,패배,제라스,By myself,0,6,3,0.5
25,163,승리,올라프,코w코,8,2,8,8.0
26,163,승리,자르반 4세,일견무시도성빈,8,5,13,4.2
27,163,승리,탈리야,KDM PERT,8,2,12,10.0
28,163,승리,진,6학년4반장용준,6,0,17,inf
29,163,승리,레오나,피넛사냥개2,5,3,12,5.666666666666667
30,164,승리,나르,KDM PERT,4,6,5,1.5
31,164,승리,세주아니,철이컴퍼니,2,2,15,8.5
32,164,승리,아지르,ROX Iava,8,2,7,7.5
33,164,승리,진,whisper snow,10,3,12,7.333333333333333
34,164,승리,타릭,Um4ru,2,2,22,12.0
35,164,패배,오른,피넛사냥개2,3,7,5,1.1428571428571428
36,164,패배,카직스,커닝시티 피그미,4,3,4,2.6666666666666665
37,164,패배,라이즈,By myself,4,5,3,1.4
38,164,패배,바루스,마부두파,2,7,6,1.1428571428571428
39,164,패배,제라스,Afreeca Kuro,2,4,6,2.0
40,165,승리,마오카이,우철짱123,4,2,15,9.5
41,165,승리,자르반 4세,FVV BETTY,2,8,19,2.625
42,165,승리,카사딘,ROX Iava,9,5,14,4.6
43,165,승리,미스 포츈,혼자해도충분하다,17,3,7,8.0
44,165,승리,알리스타,담원 베리릴,3,5,27,6.0
45,165,패배,제이스,7hal,6,8,11,2.125
46,165,패배,쉬바나,PawN God,7,7,8,2.142857142857143
47,165,패배,아지르,풀 뜯는 미드,7,8,7,1.75
48,165,패배,진,담원 얼라이브,1,6,10,1.8333333333333333
49,165,패배,바드,아이러니,2,6,14,2.6666666666666665
50,166,승리,사이온,Fabu,1,6,29,5.0
51,166,승리,자르반 4세,KT MATA,21,3,16,12.333333333333334
52,166,승리,카사딘,ROX Iava,22,5,14,7.2
53,166,승리,바루스,Veritas522,5,5,18,4.6
54,166,승리,제라스,Destiny,4,3,21,8.333333333333334
55,166,패배,제이스,춘봉박,3,12,4,0.5833333333333334
56,166,패배,렝가,ROX Se0ngHwan,9,9,1,1.1111111111111112
57,166,패배,조이,PawN God,7,10,4,1.1
58,166,패배,애쉬,Rain1ng,1,9,10,1.2222222222222223
59,166,패배,탐 켄치,아테나찡,2,13,7,0.6923076923076923
60,167,패배,피오라,ROX Iava,7,12,7,1.1666666666666667
61,167,패배,세주아니,KT MATA,4,8,11,1.875
62,167,패배,탈리야,아테나찡,8,7,8,2.2857142857142856
63,167,패배,진,Veritas522,9,9,14,2.5555555555555554
64,167,패배,쉔,Destiny,2,9,20,2.4444444444444446
65,167,승리,갱플랭크,피넛사냥개2,9,6,15,4.0
66,167,승리,자르반 4세,담원 크러쉬,2,7,25,3.857142857142857
67,167,승리,트위스티드 페이트,PawN God,8,10,15,2.3
68,167,승리,미스 포츈,Rain1ng,17,5,12,5.8
69,167,승리,제라스,LFT MID,9,2,13,11.0
70,168,패배,사이온,이기자 할수있다,2,4,3,1.25
71,168,패배,자르반 4세,삼성갤럭시 하루,2,8,2,0.5
72,168,패배,르블랑,ROX Iava,4,8,4,1.0
73,168,패배,진,Rain1ng,2,5,3,1.0
74,168,패배,알리스타,Destiny,0,6,4,0.6666666666666666
75,168,승리,블라디미르,Kingen,5,3,8,4.333333333333333
76,168,승리,카직스,KT MATA,6,3,8,4.666666666666667
77,168,승리,오리아나,LFT MID,7,2,10,8.5
78,168,승리,미스 포츈,Peecaboo,12,0,11,inf
79,168,승리,탐 켄치,Misdate,1,2,13,7.0
80,169,패배,나르,성민콩,3,4,1,1.0
81,169,패배,카직스,FeelsAwesomeMan,7,5,0,1.4
82,169,패배,라이즈,ROX Iava,1,5,2,0.6
83,169,패배,이즈리얼,Haemam,2,8,4,0.75
84,169,패배,미스 포츈,aeternitas,1,9,5,0.6666666666666666
85,169,승리,케넨,WENJUNXI,1,3,6,2.3333333333333335
86,169,승리,렝가,삼성갤럭시 하루,14,1,5,19.0
87,169,승리,탈리야,fndasjkfkqw,5,4,3,2.0
88,169,승리,바루스,삼성갤럭시 Ru1er,6,4,7,3.25
89,169,승리,레오나,Misdate,5,2,8,6.5
90,170,승리,마오카이,푸딩은푸딩해,5,3,11,5.333333333333333
91,170,승리,자크,DWG ShowMaker,6,3,18,8.0
92,170,승리,라이즈,ROX Iava,11,3,6,5.666666666666667
93,170,승리,바루스,hard girl,9,5,9,3.6
94,170,승리,제라스,Fission,1,3,15,5.333333333333333
95,170,패배,문도 박사,Kingen,4,5,1,1.0
96,170,패배,트리스타나,담원 얼라이브,8,8,3,1.375
97,170,패배,카시오페아,PawN God,2,8,8,1.25
98,170,패배,이즈리얼,fengquyunbuhui,1,7,9,1.4285714285714286
99,170,패배,카르마,YserAoA,2,4,6,2.0
100,171,승리,나르,ROX Lindarang,5,1,8,13.0
101,171,승리,니달리,J Spectre G,8,5,2,2.0
102,171,승리,말자하,ROX Iava,6,2,10,8.0
103,171,승리,바루스,deft123456,5,3,7,4.0
104,171,승리,미스 포츈,슬프다고말하면,0,1,13,13.0
105,171,패배,오른,FeelsSosoMan,2,6,1,0.5
106,171,패배,렉사이,Wilder,4,5,2,1.2
107,171,패배,카밀,PawN God,2,5,2,0.8
108,171,패배,진,담원 얼라이브,0,5,5,1.0
109,171,패배,쉔,KT MATA,4,3,4,2.6666666666666665
110,172,승리,제이스,피넛사냥개1,8,10,22,3.0
111,172,승리,니달리,9346,10,9,21,3.4444444444444446
112,172,승리,말자하,ROX Iava,11,8,13,3.0
113,172,승리,진,혼자해도충분하다,6,3,26,10.666666666666666
114,172,승리,레오나,MinKOOK2,7,6,22,4.833333333333333
115,172,패배,카밀,ROX Lindarang,17,6,12,4.833333333333333
116,172,패배,자르반 4세,삼성갤럭시 Crown,2,12,24,2.1666666666666665
117,172,패배,라이즈,R4phael,5,7,13,2.5714285714285716
118,172,패배,바루스,담원 얼라이브,7,8,5,1.5
119,172,패배,쉔,GuGer,5,9,13,2.0
120,173,패배,애쉬,mcmglllc,1,6,10,1.8333333333333333
121,173,패배,라이즈,ROX Iava,4,6,10,2.3333333333333335
122,173,패배,케넨,암고잉빽투더스탙,1,6,7,1.3333333333333333
123,173,패배,미스 포츈,Republic123,11,3,6,5.666666666666667
124,173,패배,잭스,좋은날,5,7,8,1.8571428571428572
125,173,승리,자르반 4세,PeanuToT,3,6,11,2.3333333333333335
126,173,승리,아지르,마산가자,8,3,7,5.0
127,173,승리,일라오이,1987 Plls,7,4,3,2.5
128,173,승리,이즈리얼,wjhfjihtiu,6,6,7,2.1666666666666665
129,173,승리,쉔,박투신,4,3,14,6.0
130,174,패배,나르,Co1dplay,1,5,3,0.8
131,174,패배,카직스,Alielie,5,6,1,1.0
132,174,패배,탈리야,ROX Iava,2,4,3,1.25
133,174,패배,칼리스타,삼성갤럭시 Ru1er,2,8,2,0.5
134,174,패배,제라스,161616,3,4,4,1.75
135,174,승리,케넨,UcaL,4,3,5,3.0
136,174,승리,자르반 4세,좋은날,7,2,9,8.0
137,174,승리,르블랑,멘탈 실력 운,7,0,9,inf
138,174,승리,진,wjhfjihtiu,6,2,8,7.0
139,174,승리,미스 포츈,슬프다고말하면,3,6,13,2.6666666666666665
140,175,승리,럼블,Plz No Die,10,6,5,2.5
141,175,승리,자르반 4세,wo yao qu daye,2,6,9,1.8333333333333333
142,175,승리,라이즈,ROX Iava,6,3,7,4.333333333333333
143,175,승리,이즈리얼,바보처럼 왜,5,8,9,1.75
144,175,승리,알리스타,CooN,2,6,13,2.5
145,175,패배,제이스,ROX Lindarang,8,5,7,3.0
146,175,패배,리 신,ROX Se0ngHwan,8,4,7,3.75
147,175,패배,트위스티드 페이트,TeachersWu,5,6,10,2.5
148,175,패배,진,Peecaboo,5,4,11,4.0
149,175,패배,탐 켄치,Misdate,3,6,10,2.1666666666666665
150,176,패배,피오라,마부두파,6,8,1,0.875
151,176,패배,자르반 4세,Flaycid,2,11,9,1.0
152,176,패배,갱플랭크,mianma,3,8,5,1.0
153,176,패배,자야,fengquyunbuhui,3,10,6,0.9
154,176,패배,라칸,ROX Iava,6,8,8,1.75
155,176,승리,오른,ROX Lindarang,8,4,8,4.0
156,176,승리,세주아니,Plz No Die,6,2,13,9.5
157,176,승리,아지르,CooN,15,3,12,9.0
158,176,승리,진,wo yao qu daye,8,6,18,4.333333333333333
159,176,승리,레오나,Misdate,7,5,19,5.2
160,177,승리,케넨,스누피808,7,5,5,2.4
161,177,승리,리 신,BtC RYAN,3,5,13,3.2
162,177,승리,말자하,ROX Iava,7,2,16,11.5
163,177,승리,진,퓨 Zl,14,5,15,5.8
164,177,승리,미스 포츈,Misdate,3,6,17,3.3333333333333335
165,177,패배,오른,ROX Lindarang,3,5,9,2.4
166,177,패배,자르반 4세,wo yao qu daye,3,7,13,2.2857142857142856
167,177,패배,라이즈,CooN,8,3,3,3.6666666666666665
168,177,패배,케이틀린,RRRuleRRR,8,9,2,1.1111111111111112
169,177,패배,쓰레쉬,fengquyunbuhui,1,10,14,1.5
170,178,승리,피즈,SP님이다,4,4,5,2.25
171,178,승리,엘리스,PeanuToT,4,2,11,7.5
172,178,승리,조이,By myself,7,0,7,inf
173,178,승리,진,6학년4반장용준,8,1,6,14.0
174,178,승리,제라스,ROX Iava,2,3,10,4.0
175,178,패배,자르반 4세,Rain1ng,2,4,3,1.25
176,178,패배,쉬바나,MeteorOvO,3,6,2,0.8333333333333334
177,178,패배,라이즈,BtC Dove,1,5,0,0.2
178,178,패배,미스 포츈,SnakeLight,3,5,1,0.8
179,178,패배,타릭,슬프다고말하면,1,5,6,1.4
180,179,승리,블라디미르,kfo,3,2,9,6.0
181,179,승리,니달리,So1o,7,2,12,9.5
182,179,승리,조이,ROX Iava,8,3,10,6.0
183,179,승리,진,161561,10,3,7,5.666666666666667
184,179,승리,알리스타,Sim Student,0,2,16,8.0
185,179,패배,마오카이,Possible tts,4,4,3,1.75
186,179,패배,카직스,cbzOvO,5,4,3,2.0
187,179,패배,카사딘,푸딩은푸딩해,2,7,0,0.2857142857142857
188,179,패배,미스 포츈,6학년4반장용준,1,7,4,0.7142857142857143
189,179,패배,블리츠크랭크,피넛사냥개1,0,6,3,0.5
190,180,승리,제이스,삶이힘든사람,3,5,6,1.8
191,180,승리,카직스,Twink1e,13,5,1,2.8
192,180,승리,아지르,ROX Iava,4,5,8,2.4
193,180,승리,드레이븐,해강고원딜 팬,8,6,8,2.6666666666666665
194,180,승리,브라움,fengquyunbuhui,0,3,18,6.0
195,180,패배,마오카이,kfo,4,6,9,2.1666666666666665
196,180,패배,쉬바나,T 1 a n,10,3,8,6.0
