,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,1799,승리,나르,RVS Poss,4,6,6,1.6666666666666667
1,1799,승리,니달리,종학윙,5,1,8,13.0
2,1799,승리,르블랑,Fotune,7,3,3,3.3333333333333335
3,1799,승리,베인,Afreeca Kramer,10,0,5,inf
4,1799,승리,알리스타,진에어 저스티스,0,0,13,inf
5,1799,패배,갱플랭크,Cuz2,4,7,0,0.5714285714285714
6,1799,패배,카직스,PeanuToT,3,3,3,2.0
7,1799,패배,아지르,마산가자,3,3,3,2.0
8,1799,패배,이즈리얼,Excal1bur1,0,8,2,0.25
9,1799,패배,카르마,FeelsCoffeeMan,0,5,3,0.6
10,1800,승리,잭스,RVS Poss,11,1,2,13.0
11,1800,승리,자르반 4세,ZhanQiHuaYm,3,2,11,7.0
12,1800,승리,탈리야,송하영 팬,8,1,8,16.0
13,1800,승리,칼리스타,chijixuanshou,2,2,7,4.5
14,1800,승리,라칸,삼성갤럭시CoreJJ,2,3,12,4.666666666666667
15,1800,패배,카밀,Heiz4,1,9,1,0.2222222222222222
16,1800,패배,니달리,종학윙,4,3,3,2.3333333333333335
17,1800,패배,말자하,Heart,1,6,4,0.8333333333333334
18,1800,패배,이즈리얼,DS XiaoPeng,2,5,1,0.6
19,1800,패배,알리스타,천천히올라감,1,3,4,1.6666666666666667
20,1801,패배,갱플랭크,RVS Poss,0,3,0,0.0
21,1801,패배,신지드,네 명의 짐승 팀,2,3,0,0.6666666666666666
22,1801,패배,조이,멘탈 실력 운,0,3,2,0.6666666666666666
23,1801,패배,코그모,VIP 민형,0,3,0,0.0
24,1801,패배,타릭,삼성갤럭시CoreJJ,0,3,0,0.0
25,1801,승리,피오라,지현이의빗자루,4,0,2,inf
26,1801,승리,쉬바나,yizhiyu,6,0,3,inf
27,1801,승리,말자하,삼성갤럭시 Crown,2,2,2,2.0
28,1801,승리,이즈리얼,991126,1,0,6,inf
29,1801,승리,알리스타,IGS Coli,2,0,7,inf
30,1802,패배,갱플랭크,RVS Poss,1,4,1,0.5
31,1802,패배,카직스,h1rb,1,1,1,2.0
32,1802,패배,아지르,FW Maple,1,5,0,0.2
33,1802,패배,진,DWG BeryL,1,5,1,0.4
34,1802,패배,알리스타,토마토페이스트,0,5,2,0.4
35,1802,승리,케넨,뒷텔와드점,4,0,3,inf
36,1802,승리,렝가,SKT T1 WoIf,4,1,5,9.0
37,1802,승리,조이,마산가자,5,0,3,inf
38,1802,승리,미스 포츈,Afreeca Aiming,3,3,9,4.0
39,1802,승리,쉔,Lvmao,4,0,7,inf
40,1803,패배,오른,암고잉빽투더스탙,4,8,7,1.375
41,1803,패배,렝가,작전동 노란머리,7,10,3,1.0
42,1803,패배,탈리야,으아으앙으아앙,2,5,3,1.0
43,1803,패배,미스 포츈,상어가족,2,7,3,0.7142857142857143
44,1803,패배,쉔,RVS Poss,4,5,2,1.2
45,1803,승리,갱플랭크,세메론,7,7,10,2.4285714285714284
46,1803,승리,니달리,sanspareil1,11,3,9,6.666666666666667
47,1803,승리,아우렐리온 솔,푸딩은푸딩해,15,3,6,7.0
48,1803,승리,진,비 브이 오 와이,0,2,16,8.0
49,1803,승리,탐 켄치,호경모드,2,4,13,3.75
50,1804,패배,나르,RVS Poss,1,6,0,0.16666666666666666
51,1804,패배,리 신,TeawaN,2,8,0,0.25
52,1804,패배,갈리오,kenzhu9,1,5,1,0.4
53,1804,패배,시비르,비 브이 오 와이,0,3,1,0.3333333333333333
54,1804,패배,제라스,세메론,0,4,0,0.0
55,1804,승리,카밀,kfo,4,1,3,7.0
56,1804,승리,카직스,KDM 유준,11,0,4,inf
57,1804,승리,탈리야,으아으앙으아앙,2,2,5,3.5
