,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,41,승리,나르,JAG S0hwan,6,0,5,inf
1,41,승리,리 신,SKT T1 Untara,8,1,5,13.0
2,41,승리,카사딘,mide gui tou,6,0,8,inf
3,41,승리,미스 포츈,혼자해도충분하다,3,4,10,3.25
4,41,승리,오른,진쟤승,2,2,10,6.0
5,41,패배,일라오이,1987 Plls,0,3,0,0.0
6,41,패배,쉬바나,PeanuToT,5,5,0,1.0
7,41,패배,조이,피넛사냥개1,0,3,1,0.3333333333333333
8,41,패배,진,6학년4반장용준,1,7,5,0.8571428571428571
9,41,패배,알리스타,SKT T1 WoIf,1,7,5,0.8571428571428571
10,42,승리,피오라,SKT T1 Untara,7,2,2,4.5
11,42,승리,니달리,PeanuToT,6,2,11,8.5
12,42,승리,제이스,진에어 저스티스,5,1,13,18.0
13,42,승리,진,덤벼보던가,8,3,10,6.0
14,42,승리,쉔,SKT T1 WoIf,1,0,17,inf
15,42,패배,카밀,Delicious Fish,2,4,2,1.0
16,42,패배,세주아니,점점나의마음이끌,2,6,3,0.8333333333333334
17,42,패배,아지르,6학년4반장용준,3,5,0,0.6
18,42,패배,미스 포츈,삼성갤럭시 Ru1er,1,6,3,0.6666666666666666
19,42,패배,알리스타,삼성갤럭시CoreJJ,0,6,4,0.6666666666666666
20,43,패배,블라디미르,SKT T1 Untara,1,8,5,0.75
21,43,패배,람머스,ESRS10,4,4,5,2.25
22,43,패배,라이즈,마레말해뭘말해,4,4,3,1.75
23,43,패배,진,AGanQAQ,6,6,7,2.1666666666666665
24,43,패배,알리스타,SKT T1 WoIf,4,6,7,1.8333333333333333
25,43,승리,갱플랭크,Shi  Yue,8,4,8,4.0
26,43,승리,니달리,진에어 저스티스,10,1,8,18.0
27,43,승리,르블랑,박효신사생팬,7,4,7,3.5
28,43,승리,미스 포츈,Hades9,2,5,8,2.0
29,43,승리,쉔,덤벼보던가,1,5,12,2.6
30,44,승리,갱플랭크,SKT T1 Untara,6,2,11,8.5
31,44,승리,리 신,chorongie,8,3,15,7.666666666666667
32,44,승리,피들스틱,1414774182,3,4,15,4.5
33,44,승리,진,숨쉰채발견됨,8,1,10,18.0
34,44,승리,탐 켄치,우지나 나 갸영이,3,3,18,7.0
