,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,521,승리,올라프,Super Secret,4,4,16,5.0
1,521,승리,렝가,해운대잠만보,5,5,21,5.2
2,521,승리,아지르,Sakura Devil,13,4,12,6.25
3,521,승리,칼리스타,구름꽃길만걷자,16,5,12,5.6
4,521,승리,쓰레쉬,Sim Student,2,3,22,8.0
5,521,패배,사이온,Co2dplay,0,7,11,1.5714285714285714
6,521,패배,쉬바나,Cuz2,5,8,7,1.5
7,521,패배,벨코즈,스마트섹시뷰티,7,8,8,1.875
8,521,패배,이즈리얼,Peray,7,7,9,2.2857142857142856
9,521,패배,알리스타,나는야베이베이1,2,10,8,1.0
10,522,승리,마오카이,푸딩은푸딩해,2,2,10,6.0
11,522,승리,세주아니,욘 드,5,1,8,13.0
12,522,승리,빅토르,Sakura Devil,5,1,5,10.0
13,522,승리,시비르,튀자튀자아,5,3,7,4.0
14,522,승리,쉔,Lvmao,6,2,10,8.0
15,522,패배,카밀,WENJUNXI,2,3,0,0.6666666666666666
16,522,패배,리 신,커닝시티 피그미,2,3,4,2.0
17,522,패배,트위스티드 페이트,TeachersWu,0,6,4,0.6666666666666666
18,522,패배,진,Afreeca Kramer,2,5,5,1.4
19,522,패배,제라스,FeelsLovelyMan,3,6,4,1.1666666666666667
20,523,패배,피오라,리인제이,2,10,1,0.3
21,523,패배,카직스,Sakura Devil,4,8,6,1.25
22,523,패배,베이가,Heart,4,9,4,0.8888888888888888
23,523,패배,이즈리얼,호주 AD,4,10,1,0.5
24,523,패배,나미,Empmuyi,0,8,9,1.125
25,523,승리,마오카이,푸딩은푸딩해,4,3,7,3.6666666666666665
26,523,승리,리 신,카페베네설탕도둑,12,1,12,24.0
27,523,승리,아지르,Republic123,13,4,6,4.75
28,523,승리,코그모,whisper snow,14,3,5,6.333333333333333
29,523,승리,쓰레쉬,루시퍼메이데이,2,3,19,7.0
30,524,패배,마오카이,Sakura Devil,1,7,24,3.5714285714285716
31,524,패배,세주아니,M1anhua,6,6,17,3.8333333333333335
32,524,패배,탈리야,he  nan    yu,6,7,20,3.7142857142857144
33,524,패배,트리스타나,whisper snow,22,5,8,6.0
34,524,패배,알리스타,walking300 fan,4,10,22,2.6
35,524,승리,나르,my head,8,7,12,2.857142857142857
36,524,승리,자르반 4세,XinyiQAQ,6,10,18,2.4
37,524,승리,조이,담원 쇼메이커,8,7,15,3.2857142857142856
38,524,승리,자야,11 14 9 7 8 20,13,7,7,2.857142857142857
39,524,승리,타릭,Empmuyi,0,8,24,3.0
40,525,승리,요릭,VIP 민형,5,4,17,5.5
41,525,승리,리 신,9346,7,7,13,2.857142857142857
42,525,승리,아지르,Sakura Devil,10,3,14,8.0
43,525,승리,진,해강고원딜 팬,10,9,12,2.4444444444444446
44,525,승리,제라스,T 1 a n,10,6,11,3.5
45,525,패배,사이온,최초공개할게요오,8,4,7,3.75
46,525,패배,카직스,우철짱123,3,9,8,1.2222222222222223
47,525,패배,제이스,11 14 9 7 8 20,4,10,2,0.6
48,525,패배,이즈리얼,KDM SSol,12,8,5,2.125
49,525,패배,블리츠크랭크,진쟤승,2,11,11,1.1818181818181819
50,526,패배,케넨,뱃살만찌는사람,3,4,4,1.75
51,526,패배,리 신,Peray,3,4,3,1.5
52,526,패배,말자하,Sakura Devil,0,4,3,0.75
53,526,패배,드레이븐,해강고원딜 팬,3,6,3,1.0
54,526,패배,쓰레쉬,play ni ma sup,1,5,4,1.0
55,526,승리,럼블,이기자 할수있다,2,2,10,6.0
56,526,승리,자르반 4세,9346,5,4,7,3.0
57,526,승리,오리아나,he  nan    yu,6,0,2,inf
58,526,승리,미스 포츈,천점못찍는벌레,8,3,10,6.0
59,526,승리,브라움,진쟤승,1,1,17,18.0
60,527,승리,올라프,코w코,2,0,4,inf
61,527,승리,카직스,일견무시도성빈,9,1,6,15.0
62,527,승리,조이,Sakura Devil,6,1,4,10.0
63,527,승리,진,whisper snow,2,0,4,inf
64,527,승리,쉔,리인제이,1,0,9,inf
65,527,패배,트런들,이기자 할수있다,0,3,0,0.0
66,527,패배,쉬바나,매우뚱뚱한고양이,1,5,0,0.2
67,527,패배,탈리야,Yaharong,0,9,0,0.0
68,527,패배,애쉬,GALA,1,2,1,1.0
69,527,패배,나미,Empmuyi,0,1,1,1.0
70,528,패배,퀸,해강고원딜 팬,5,12,2,0.5833333333333334
71,528,패배,쉬바나,yizhiyu,3,8,7,1.25
72,528,패배,조이,Sakura Devil,4,8,6,1.25
73,528,패배,진,Veritas522,2,5,6,1.6
74,528,패배,레오나,play ni ma sup,4,9,8,1.3333333333333333
75,528,승리,카밀,뒷텔와드점,6,1,12,18.0
76,528,승리,엘리스,종학윙,12,5,7,3.8
77,528,승리,아지르,Hide on bush,8,6,6,2.3333333333333335
78,528,승리,미스 포츈,혼자해도충분하다,8,3,8,5.333333333333333
79,528,승리,제라스,LPL noob ad QAQ,8,3,12,6.666666666666667
80,529,패배,나르,Sakura Devil,1,6,7,1.3333333333333333
81,529,패배,엘리스,종학윙,8,8,9,2.125
82,529,패배,아지르,Hide on bush,10,6,4,2.3333333333333335
83,529,패배,시비르,마레말해뭘말해,5,12,8,1.0833333333333333
84,529,패배,레오나,mide gui tou,1,8,12,1.625
85,529,승리,마오카이,카페베네설탕도둑,2,5,18,4.0
86,529,승리,카직스,SKT T1 Bang,13,5,10,4.6
87,529,승리,조이,Fotune,6,6,9,2.5
88,529,승리,애쉬,GALA,16,4,11,6.75
89,529,승리,알리스타,혼자해도충분하다,3,5,27,6.0
90,530,승리,케넨,find myself,5,5,10,3.0
91,530,승리,쉬바나,갱만가드림,9,6,3,2.0
92,530,승리,루시안,Sakura Devil,2,6,7,1.5
93,530,승리,바루스,Afreeca Kramer,7,3,6,4.333333333333333
94,530,승리,브라움,한쿡말알아,1,2,13,7.0
95,530,패배,마오카이,Here we go,4,2,2,3.0
96,530,패배,카직스,Longzhu Cuzz,2,9,7,1.0
97,530,패배,카사딘,마산가자,10,5,5,3.0
98,530,패배,트리스타나,fndasjkfkqw,5,3,3,2.6666666666666665
99,530,패배,알리스타,나 정말 요리,1,5,9,2.0
100,531,승리,잭스,혼자혼자,4,6,11,2.5
101,531,승리,자르반 4세,sanspareil1,7,8,28,4.375
102,531,승리,르블랑,Sakura Devil,15,4,16,7.75
103,531,승리,진,chirchri,13,5,16,5.8
104,531,승리,잔나,Find Realey,3,7,33,5.142857142857143
105,531,패배,쉔,HKA Riris,3,6,11,2.3333333333333335
106,531,패배,헤카림,yizhiyu,6,13,12,1.3846153846153846
107,531,패배,베이가,똥좀싸겟다,6,6,8,2.3333333333333335
108,531,패배,트리스타나,MeteorOvO,13,7,8,3.0
109,531,패배,레오나,구직자 zzus,2,10,14,1.6
110,532,패배,나르,BBD dog,1,7,1,0.2857142857142857
111,532,패배,자르반 4세,Sakura Devil,2,5,4,1.2
112,532,패배,아지르,2Kano,3,4,0,0.75
113,532,패배,이즈리얼,A BBD bbd,3,5,3,1.2
114,532,패배,쓰레쉬,구직자 zzus,1,5,6,1.4
115,532,승리,오른,Possible tts,2,0,11,inf
116,532,승리,렉사이,Lz Tv SuShi,7,2,4,5.5
117,532,승리,탈리야,승 로,8,4,3,2.75
118,532,승리,트위치,Afreeca Aiming,9,1,5,14.0
119,532,승리,잔나,VeryBitter,0,3,16,5.333333333333333
