,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,881,패배,나르,분당고 엄성현,8,3,3,3.6666666666666665
1,881,패배,카직스,TeawaN,6,6,3,1.5
2,881,패배,트위스티드 페이트,SnakeLight,0,7,6,0.8571428571428571
3,881,패배,칼리스타,FVV BETTY,1,5,3,0.8
4,881,패배,알리스타,Mengqiuqiu,1,7,5,0.8571428571428571
5,881,승리,케넨,학교밀베포친키,2,8,8,1.25
6,881,승리,렝가,스마트섹시뷰티,11,3,9,6.666666666666667
7,881,승리,라이즈,PawN God,4,0,16,inf
8,881,승리,진,비 브이 오 와이,10,2,9,9.5
9,881,승리,탐 켄치,호경모드,1,3,18,6.333333333333333
10,882,승리,나르,Gon123,15,3,4,6.333333333333333
11,882,승리,쉬바나,yizhiyu,8,4,13,5.25
12,882,승리,카르마,우에하라 크롱,4,5,18,4.4
13,882,승리,이즈리얼,SnakeLight,10,4,14,6.0
14,882,승리,트런들,MVP ADD,4,3,15,6.333333333333333
15,882,패배,피오라,chijixuanshou,3,11,7,0.9090909090909091
16,882,패배,킨드레드,5gak,5,9,7,1.3333333333333333
17,882,패배,르블랑,YM  zhongdan,4,4,4,2.0
18,882,패배,애쉬,deft123456,4,10,9,1.3
19,882,패배,미스 포츈,선기박,3,7,9,1.7142857142857142
20,883,승리,쉔,원딜둥이,1,7,9,1.4285714285714286
21,883,승리,아이번,kenzhu9,2,4,19,5.25
22,883,승리,라이즈,KDM PERT,6,4,3,2.25
23,883,승리,트리스타나,SnakeLight,13,3,8,7.0
24,883,승리,알리스타,호잇이,7,5,17,4.8
25,883,패배,나르,우철짱123,2,3,9,3.6666666666666665
26,883,패배,카직스,으아으앙으아앙,9,8,8,2.125
27,883,패배,트위스티드 페이트,TeachersWu,5,2,9,7.0
28,883,패배,미스 포츈,푸딩은푸딩해,5,8,10,1.875
29,883,패배,소라카,진쟤승,2,8,14,2.0
30,884,승리,제이스,Heiz4,6,6,6,2.0
31,884,승리,니달리,DS XiaoPeng,3,1,8,11.0
32,884,승리,탈리야,으아으앙으아앙,10,1,5,15.0
33,884,승리,미스 포츈,SnakeLight,10,0,4,inf
34,884,승리,레오나,호잇이,0,1,12,12.0
35,884,패배,라이즈,푸딩은푸딩해,0,10,5,0.5
36,884,패배,카직스,kenzhu9,4,6,2,1.0
37,884,패배,아지르,KDM PERT,3,5,3,1.2
38,884,패배,진,마이엠브,2,4,4,1.5
39,884,패배,알리스타,Nova1,0,4,5,1.25
40,885,승리,카밀,우철짱123,11,1,7,18.0
41,885,승리,카직스,7895123,6,1,8,14.0
42,885,승리,말자하,Kimimaro,0,1,12,12.0
43,885,승리,칼리스타,SnakeLight,11,3,5,5.333333333333333
44,885,승리,마오카이,진쟤승,1,6,17,3.0
45,885,패배,나르,kfo,0,5,3,0.6
46,885,패배,자르반 4세,h1rb,2,6,3,0.8333333333333334
47,885,패배,조이,Hide on bush,4,3,4,2.6666666666666665
48,885,패배,미스 포츈,Gon123,1,7,5,0.8571428571428571
49,885,패배,쉔,PeanuToT,5,8,6,1.375
50,886,승리,카밀,Like Waves,5,4,4,2.25
51,886,승리,렝가,종학윙,11,2,7,9.0
52,886,승리,조이,피넛사냥개1,1,6,12,2.1666666666666665
53,886,승리,이즈리얼,SnakeLight,11,3,8,6.333333333333333
54,886,승리,바드,그러면안돼요짜샤,1,6,9,1.6666666666666667
55,886,패배,잭스,나네쫓다꿈소년,11,6,0,1.8333333333333333
56,886,패배,세주아니,Heiz4,1,7,10,1.5714285714285714
57,886,패배,신드라,MVP Ian,4,5,5,1.8
58,886,패배,애쉬,먹는건즐거워,0,2,5,2.5
59,886,패배,미스 포츈,YM  zhongdan,5,9,4,1.0
60,887,승리,잭스,나네쫓다꿈소년,5,2,3,4.0
