,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,321,승리,제이스,T 1 a n,9,6,4,2.1666666666666665
1,321,승리,세주아니,dafdfdsdsffsd,7,3,12,6.333333333333333
2,321,승리,카사딘,커닝시티 피그미,5,6,13,3.0
3,321,승리,진,성혁님미드가신다,7,6,9,2.6666666666666665
4,321,승리,잔나,Lvmao,0,2,20,10.0
5,321,패배,자르반 4세,Kingen,6,6,7,2.1666666666666665
6,321,패배,쉬바나,스마트섹시뷰티,5,3,8,4.333333333333333
7,321,패배,라이즈,성민콩,6,6,5,1.8333333333333333
8,321,패배,트리스타나,aeternitas,6,6,6,2.0
9,321,패배,알리스타,Republic123,0,7,11,1.5714285714285714
10,322,승리,마오카이,Kingen,1,5,10,2.2
11,322,승리,쉬바나,T 1 a n,10,2,4,7.0
12,322,승리,아지르,mide gui tou,5,0,9,inf
13,322,승리,칼리스타,Yeeclipse,6,2,11,8.5
14,322,승리,제라스,성혁님미드가신다,6,2,7,6.5
15,322,패배,나르,마산가자,3,5,2,1.0
16,322,패배,니달리,F0y,3,3,1,1.3333333333333333
17,322,패배,조이,By myself,3,4,2,1.25
18,322,패배,자야,wjhfjihtiu,0,8,3,0.375
19,322,패배,라칸,FVV BETTY,2,8,1,0.375
20,323,승리,아지르,mcmglllc,9,4,8,4.25
21,323,승리,블리츠크랭크,아이러니,2,2,17,9.5
22,323,승리,쉬바나,T 1 a n,8,4,14,5.5
23,323,승리,케넨,ROX Lindarang,12,1,11,23.0
24,323,승리,진,그러면안돼요짜샤,7,6,9,2.6666666666666665
25,323,패배,카르마,SnakeLight,0,7,11,1.5714285714285714
26,323,패배,시비르,Bvoy,9,7,1,1.4285714285714286
27,323,패배,베이가,PawN God,2,7,4,0.8571428571428571
28,323,패배,신지드,암고잉빽투더스탙,1,10,8,0.9
29,323,패배,자르반 4세,HanGuo Xiao Daye,4,7,10,2.0
30,324,패배,카밀,PawN God,1,5,3,0.8
31,324,패배,케넨,암고잉빽투더스탙,1,5,1,0.4
32,324,패배,리 신,T 1 a n,5,4,2,1.75
33,324,패배,진,담원 얼라이브,2,2,1,1.5
34,324,패배,카르마,Wilder,1,2,3,2.0
35,324,승리,니달리,PeanuToT,4,2,5,4.5
36,324,승리,카사딘,LPL noob ad QAQ,2,5,5,1.4
37,324,승리,바루스,NekoL,1,0,4,inf
38,324,승리,제이스,FeelsSosoMan,9,2,1,5.0
39,324,승리,쉔,KT MATA,2,1,6,8.0
40,325,승리,케넨,성민콩,1,0,1,inf
41,325,승리,리 신,T 1 a n,4,3,4,2.6666666666666665
42,325,승리,아지르,Heart,3,1,8,11.0
43,325,승리,미스 포츈,혼자해도충분하다,4,2,5,4.5
44,325,승리,레오나,qweqasddasas,2,1,10,12.0
45,325,패배,나르,Afreeca Summit,0,1,1,1.0
46,325,패배,니달리,9346,3,4,1,1.0
47,325,패배,오리아나,NekoL,1,5,2,0.6
48,325,패배,바루스,Rain1ng,1,1,3,4.0
49,325,패배,쉔,MinKOOK2,2,3,4,2.0
50,326,승리,문도 박사,쌀국수뚝붸기,4,2,10,7.0
51,326,승리,자크,Cuz2,7,1,13,20.0
52,326,승리,조이,마산가자,13,4,9,5.5
53,326,승리,진,Republic123,9,3,9,6.0
54,326,승리,카르마,T 1 a n,4,3,19,7.666666666666667
55,326,패배,오른,호잇이,0,6,3,0.5
56,326,패배,카직스,좋은날,5,6,4,1.5
57,326,패배,카타리나,UcaL,3,12,1,0.3333333333333333
58,326,패배,미스 포츈,ROX Sangyoon,2,8,0,0.25
59,326,패배,쉔,삼성갤럭시CoreJJ,2,5,4,1.2
60,327,승리,오른,love left,6,4,11,4.25
61,327,승리,리 신,T 1 a n,9,6,12,3.5
62,327,승리,라이즈,하늘킹,10,3,11,7.0
63,327,승리,애쉬,CooN,7,4,15,5.5
64,327,승리,알리스타,Plz No Die,2,1,23,25.0
65,327,패배,나르,집중의문제다,4,7,8,1.7142857142857142
66,327,패배,엘리스,커피물조절장인,6,7,5,1.5714285714285714
67,327,패배,코르키,Heart,5,6,3,1.3333333333333333
68,327,패배,미스 포츈,6학년4반장용준,3,6,6,1.5
69,327,패배,트런들,좋은날,0,8,8,1.0
70,328,승리,카밀,Possible tts,11,2,4,7.5
71,328,승리,리 신,T 1 a n,3,5,5,1.6
72,328,승리,라이즈,Siste aeterno,6,8,6,1.5
73,328,승리,미스 포츈,해강고원딜 팬,7,4,8,3.75
74,328,승리,잔나,TeawaN,4,3,13,5.666666666666667
75,328,패배,마오카이,J Spectre G,2,7,3,0.7142857142857143
76,328,패배,자르반 4세,Twink1e,11,4,5,4.0
77,328,패배,아지르,풀 뜯는 미드,5,8,5,1.25
78,328,패배,이즈리얼,김기인박수,3,6,6,1.5
79,328,패배,쉔,MinKOOK2,1,6,8,1.5
80,329,패배,마오카이,kfo,4,6,9,2.1666666666666665
81,329,패배,쉬바나,T 1 a n,10,3,8,6.0
82,329,패배,라이즈,BtC Dove,1,6,5,1.0
83,329,패배,미스 포츈,fndasjkfkqw,7,7,4,1.5714285714285714
84,329,패배,쓰레쉬,FeelsLovelyMan,2,6,11,2.1666666666666665
85,329,승리,제이스,삶이힘든사람,3,5,6,1.8
86,329,승리,카직스,Twink1e,13,5,1,2.8
87,329,승리,아지르,ROX Iava,4,5,8,2.4
88,329,승리,드레이븐,해강고원딜 팬,8,6,8,2.6666666666666665
89,329,승리,브라움,fengquyunbuhui,0,3,18,6.0
90,330,승리,제이스,Rousal,11,3,9,6.666666666666667
91,330,승리,쉬바나,T 1 a n,4,2,13,8.5
92,330,승리,라이즈,reMember Mistake,10,2,10,10.0
93,330,승리,미스 포츈,fndasjkfkqw,7,4,5,3.0
94,330,승리,레오나,Mengqiuqiu,0,5,12,2.4
95,330,패배,케넨,이기자 할수있다,1,7,6,1.0
96,330,패배,엘리스,Twink1e,3,9,5,0.8888888888888888
97,330,패배,코르키,F0y,3,7,2,0.7142857142857143
98,330,패배,진,바보처럼 왜,5,4,7,3.0
99,330,패배,알리스타,아니 좋은 사람,4,5,6,2.0
100,331,패배,제라스,T 1 a n,2,4,2,1.0
101,331,패배,루시안,Alielie,3,5,0,0.6
