,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,21,패배,피들스틱,Tar2an,6,17,31,2.176470588235294
1,21,패배,칼리스타,담원 크러쉬,17,13,21,2.923076923076923
2,21,패배,다이애나,7 5,19,15,12,2.066666666666667
3,21,패배,아지르,이도류,15,15,17,2.1333333333333333
4,21,패배,바드,Lehends,5,20,33,1.9
5,21,승리,오른,호잇이,7,8,47,6.75
6,21,승리,자르반 4세,DWG ShowMaker,22,15,32,3.6
7,21,승리,애쉬,TnTeddy,27,14,31,4.142857142857143
8,21,승리,다리우스,진쟤승,17,13,14,2.3846153846153846
9,21,승리,마오카이,마이엠브,7,13,34,3.1538461538461537
10,22,패배,잭스,DWG Nuguri,3,8,8,1.375
11,22,패배,카직스,handcIap,7,4,8,3.75
12,22,패배,카사딘,Tar2an,5,3,7,4.0
13,22,패배,진,Dingchenyu,4,4,7,2.75
14,22,패배,알리스타,IndonesiaMassage,1,7,15,2.2857142857142856
15,22,승리,오른,이도류,6,4,10,4.0
16,22,승리,리 신,땅우양,3,4,10,3.25
17,22,승리,카타리나,I am ZIatan,11,5,9,4.0
18,22,승리,케이틀린,deft123456,4,4,13,4.25
19,22,승리,라칸,토마토페이스트,2,3,14,5.333333333333333
20,23,승리,뽀삐,누구를 위한,5,4,10,3.75
21,23,승리,자르반 4세,ROX Se0ngHwan,4,4,19,5.75
22,23,승리,아지르,Jin air Yaharong,8,3,13,7.0
23,23,승리,트리스타나,Tar2an,11,4,11,5.5
24,23,승리,오른,유내현,2,6,17,3.1666666666666665
25,23,패배,레넥톤,땅우양,6,6,5,1.8333333333333333
26,23,패배,그라가스,MVP Beyond,2,5,4,1.2
27,23,패배,르블랑,PawN God,4,10,6,1.0
28,23,패배,자야,Veritas522,7,4,11,4.5
29,23,패배,소나,ESRS10,2,5,13,3.0
30,24,승리,제이스,Jisu2,4,2,2,3.0
31,24,승리,세주아니,Tar2an,8,1,9,17.0
32,24,승리,에코,PawN God,3,4,7,2.5
33,24,승리,케이틀린,L1sure,7,5,11,3.6
34,24,승리,알리스타,Dutch Coffee,3,4,8,2.75
35,24,패배,럼블,땅우양,2,3,4,2.0
36,24,패배,리 신,나는야베이베이1,5,7,6,1.5714285714285714
37,24,패배,신드라,kn9ght,4,5,4,1.6
38,24,패배,트리스타나,FeelsWowMan,5,5,2,1.4
39,24,패배,브라움,멘탈 실력 운,0,5,7,1.4
40,25,승리,잭스,수영장파티박종우,3,5,1,0.8
41,25,승리,엘리스,Tar2an,4,2,12,8.0
42,25,승리,탈리야,ROX Iava,12,0,6,inf
43,25,승리,이즈리얼,NekoL,7,3,7,4.666666666666667
44,25,승리,라칸,진쟤승,3,5,14,3.4
45,25,패배,탐 켄치,Sim Student,4,4,5,2.25
46,25,패배,이블린,마이엠브,7,3,3,3.3333333333333335
47,25,패배,오리아나,아라가키 유이,0,7,1,0.14285714285714285
48,25,패배,자야,deft123456,2,8,4,0.75
49,25,패배,알리스타,박투신,2,7,6,1.1428571428571428
50,26,승리,야스오,빅파이초코파이,10,8,9,2.375
51,26,승리,자르반 4세,Creative Self,9,5,24,6.6
52,26,승리,탈리야,미 키,13,5,13,5.2
53,26,승리,자야,세메론,7,7,10,2.4285714285714284
54,26,승리,브랜드,Tar2an,8,6,16,4.0
55,26,패배,제이스,king2n,12,13,4,1.2307692307692308
56,26,패배,세주아니,정글노바,2,6,14,2.6666666666666665
57,26,패배,아지르,1 Peak,3,11,7,0.9090909090909091
58,26,패배,진,SnakeLight,10,8,6,2.0
59,26,패배,룰루,6학년4반장용준,4,9,13,1.8888888888888888
60,27,승리,오른,사 용 수,1,1,8,9.0
61,27,승리,렉사이,열심히할게요오,8,5,8,3.2
62,27,승리,코르키,아이러니,3,4,7,2.5
63,27,승리,진,Veritas522,8,0,10,inf
64,27,승리,브랜드,Tar2an,8,5,8,3.2
65,27,패배,야스오,JAG S0hwan,5,5,3,1.6
66,27,패배,자르반 4세,Klmjg,1,5,6,1.4
67,27,패배,갈리오,love left,4,6,6,1.6666666666666667
68,27,패배,애쉬,Afreeca Aiming,2,4,4,1.5
69,27,패배,미스 포츈,Lehends,3,8,6,1.125
70,28,승리,초가스,Tar2an,7,0,6,inf
71,28,승리,리 신,twice손채영,5,4,12,4.25
72,28,승리,카사딘,멘탈 실력 운,5,5,9,2.8
73,28,승리,진,Dingchenyu,8,5,7,3.0
74,28,승리,탐 켄치,IndonesiaMassage,1,3,9,3.3333333333333335
75,28,패배,자르반 4세,wo yao qu daye,5,7,2,1.0
76,28,패배,니달리,해운대잠만보,1,5,7,1.6
77,28,패배,말자하,요플래,4,5,6,2.0
78,28,패배,트리스타나,STITCH1,7,5,3,2.0
79,28,패배,타릭,구직자 zzus,0,4,8,2.0
80,29,승리,제이스,Kingen,4,10,9,1.3
81,29,승리,세주아니,Tar2an,4,1,20,24.0
82,29,승리,베이가,ZhanQiHuaYm,15,7,9,3.4285714285714284
83,29,승리,이즈리얼,이제 졸려,14,2,11,12.5
84,29,승리,쓰레쉬,king2n,3,4,23,6.5
85,29,패배,마오카이,2018서폿챌도전,4,7,8,1.7142857142857142
86,29,패배,렝가,JAG UmTi,8,12,5,1.0833333333333333
87,29,패배,오리아나,Zhongdan XD,7,9,4,1.2222222222222223
88,29,패배,자야,이도류,4,5,5,1.8
89,29,패배,블리츠크랭크,트와이스 원스,1,7,9,1.4285714285714286
90,30,승리,오른,xaxaxaxaxa,1,2,7,4.0
91,30,승리,엘리스,Tar2an,5,3,10,5.0
92,30,승리,카사딘,Siste aeterno,15,3,6,7.0
93,30,승리,트리스타나,SmartPilot,6,3,15,7.0
94,30,승리,룰루,Nearly,6,4,17,5.75
95,30,패배,잭스,2018서폿챌도전,5,4,0,1.25
96,30,패배,세주아니,Iicorice,1,5,6,1.4
97,30,패배,탈리야,민호야 보고싶다,3,10,4,0.7
98,30,패배,미스 포츈,챌 희,2,6,5,1.1666666666666667
99,30,패배,타릭,AKG Bene,4,8,4,1.0
100,31,패배,초가스,6학년4반장용준,9,8,12,2.625
101,31,패배,엘리스,Tar2an,3,5,21,4.8
102,31,패배,블라디미르,By 불비,13,6,11,4.0
103,31,패배,베인,NekoL,7,5,12,3.8
104,31,패배,룰루,MVP Max,1,6,20,3.5
105,31,승리,자르반 4세,오뚜기3분미트볼,6,7,16,3.142857142857143
106,31,승리,세주아니,분당고 엄성현,4,7,15,2.7142857142857144
107,31,승리,오리아나,멘탈 실력 운,6,7,11,2.4285714285714284
108,31,승리,바루스,KDM SSol,10,4,10,5.0
109,31,승리,탐 켄치,IgNar,4,8,12,2.0
110,32,패배,제이스,오뚜기3분미트볼,2,5,3,1.0
111,32,패배,니달리,MVP Beyond,5,3,2,2.3333333333333335
112,32,패배,카사딘,수영장파티박종우,1,3,2,1.0
113,32,패배,트리스타나,Tar2an,0,4,6,1.5
114,32,패배,라칸,IgNar,2,4,4,1.5
115,32,승리,나르,GabrielCRO,2,2,4,3.0
116,32,승리,렉사이,sanspareil1,5,3,5,3.3333333333333335
117,32,승리,아리,미 키,5,1,6,11.0
118,32,승리,진,KDM SSol,6,1,6,12.0
119,32,승리,쓰레쉬,분당고 엄성현,1,3,8,3.0
120,33,승리,초가스,Tar2an,5,2,4,4.5
121,33,승리,카밀,분당고 엄성현,5,6,9,2.3333333333333335
122,33,승리,트위스티드 페이트,수영장파티박종우,3,5,6,1.8
123,33,승리,진,Sangchu,9,5,11,4.0
124,33,승리,벨코즈,JAG SnowFlower,10,5,12,4.4
125,33,패배,나르,GabrielCRO,7,3,5,4.0
126,33,패배,이즈리얼,lililililillllli,1,9,9,1.1111111111111112
127,33,패배,오리아나,미 키,10,5,6,3.2
128,33,패배,베인,I am ZIatan,2,9,10,1.3333333333333333
129,33,패배,룰루,진쟤승,2,6,15,2.8333333333333335
130,34,패배,잭스,쌀국수뚝붸기,5,3,2,2.3333333333333335
131,34,패배,니달리,Tar2an,1,2,5,3.0
132,34,패배,말자하,By 불비,5,5,3,1.6
133,34,패배,바루스,bbq Crazy,1,4,5,1.5
134,34,패배,쓰레쉬,MinKOOK2,0,4,10,2.5
135,34,승리,제이스,JAG S0hwan,4,3,5,3.0
136,34,승리,세주아니,nekoneko1,2,4,4,1.5
137,34,승리,블라디미르,Zhongdan XD,6,2,4,5.0
138,34,승리,트리스타나,Hades9,6,1,6,12.0
139,34,승리,소라카,토마토페이스트,0,2,11,5.5
140,35,승리,초가스,bbq Crazy,8,2,4,6.0
141,35,승리,이즈리얼,KlNG,4,5,12,3.2
142,35,승리,오리아나,Sakura Devil,3,4,14,4.25
143,35,승리,트리스타나,Tar2an,8,4,3,2.75
144,35,승리,라칸,walking300 fan,0,3,18,6.0
145,35,패배,오른,JAG S0hwan,0,4,6,1.5
146,35,패배,카직스,항복 오빠,6,5,3,1.8
147,35,패배,탈리야,BtC Dove,6,2,5,5.5
148,35,패배,자야,CoMATnT,5,6,3,1.3333333333333333
149,35,패배,레오나,XinMo,0,6,4,0.6666666666666666
150,36,승리,세주아니,sanspareil1,3,4,17,5.0
151,36,승리,야스오,넌 평생 외로워,3,9,4,0.7777777777777778
152,36,승리,브랜드,Tar2an,6,3,14,6.666666666666667
153,36,승리,카사딘,건드리지말라했다,14,4,5,4.75
154,36,승리,트위치,VIP 민형,6,5,9,3.0
155,36,패배,블라디미르,많이 보고 싶어요,11,6,3,2.3333333333333335
156,36,패배,루시안,MVP Ian,6,3,9,5.0
157,36,패배,자르반 4세,이도류,4,12,12,1.3333333333333333
158,36,패배,미스 포츈,1427538696835724,3,6,5,1.3333333333333333
159,36,패배,룰루,MVP Max,0,6,12,2.0
160,37,패배,블라디미르,많이 보고 싶어요,4,5,4,1.6
161,37,패배,세주아니,Tar2an,2,2,4,3.0
162,37,패배,탈리야,너와나의연결Gori,6,4,1,1.75
163,37,패배,트리스타나,넌 평생 외로워,1,9,4,0.5555555555555556
164,37,패배,쓰레쉬,supbest,0,6,8,1.3333333333333333
165,37,승리,자르반 4세,수영장파티박종우,3,2,11,7.0
166,37,승리,이즈리얼,그러면안돼요짜샤,5,3,9,4.666666666666667
167,37,승리,카사딘,sanspareil1,10,4,6,4.0
168,37,승리,칼리스타,STITCH1,6,3,6,4.0
169,37,승리,탐 켄치,IgNar,2,1,12,14.0
170,38,승리,자르반 4세,IGS Bear,1,3,4,1.6666666666666667
171,38,승리,엘리스,Tar2an,6,0,5,inf
172,38,승리,신드라,너와나의연결Gori,3,0,4,inf
173,38,승리,트리스타나,STITCH2,2,1,6,8.0
174,38,승리,알리스타,담원 호잇이,2,1,9,11.0
175,38,패배,레넥톤,JAG S0hwan,3,3,0,1.0
176,38,패배,리 신,F0y,1,3,2,1.0
177,38,패배,탈리야,미 키,1,2,2,1.5
178,38,패배,칼리스타,FeelsDaydayMan,0,4,2,0.5
179,38,패배,타릭,토마토페이스트,0,2,2,1.0
180,39,승리,초가스,lover li,7,3,18,8.333333333333334
181,39,승리,렉사이,매우뚱뚱한고양이,12,5,19,6.2
182,39,승리,오리아나,Tar2an,11,5,18,5.8
183,39,승리,미스 포츈,카우걸 미스 포츈,11,10,15,2.6
184,39,승리,쓰레쉬,커소리어스나,2,6,28,5.0
185,39,패배,잭스,Tianqi SixSixSix,6,8,3,1.125
186,39,패배,자르반 4세,GabrielCRO,1,9,19,2.2222222222222223
187,39,패배,라이즈,선비모드,7,7,5,1.7142857142857142
188,39,패배,코그모,STITCH2,12,10,6,1.8
189,39,패배,탐 켄치,Permaban10162734,3,9,12,1.6666666666666667
190,40,승리,초가스,IGS Bear,4,3,3,2.3333333333333335
191,40,승리,자르반 4세,sanspareil1,1,1,7,8.0
192,40,승리,루시안,우에하라 크롱,8,0,2,inf
193,40,승리,트리스타나,Tar2an,9,2,3,6.0
194,40,승리,소라카,토마토페이스트,0,0,13,inf
195,40,패배,카밀,bbq Crazy,2,2,1,1.5
196,40,패배,세주아니,우철짱123,0,6,3,0.5
197,40,패배,갈리오,하늘킹,1,4,2,0.75
198,40,패배,자야,ROX Sangyoon,1,3,3,1.3333333333333333
199,40,패배,자이라,IndonesiaMassage,2,7,2,0.5714285714285714
