,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,601,패배,초가스,삶이힘든사람,1,4,1,0.5
1,601,패배,렉사이,wo yao qu daye,1,2,1,1.0
2,601,패배,라이즈,JAG UmTi,0,4,1,0.25
3,601,패배,케이틀린,UaoDE0,2,3,2,1.3333333333333333
4,601,패배,오른,사 용 수,2,2,1,1.5
5,601,승리,카시오페아,secpe,3,2,2,2.5
6,601,승리,세주아니,빵재애오,5,0,6,inf
7,601,승리,신드라,PawN God,5,0,1,inf
8,601,승리,트리스타나,원딜둥이,2,3,4,2.0
9,601,승리,브라움,진쟤승,0,1,9,9.0
10,602,패배,케넨,bbq Crazy,9,10,6,1.5
11,602,패배,그라가스,심심풀이 남신,4,5,9,2.6
12,602,패배,탈론,사스갓지지,3,6,8,1.8333333333333333
13,602,패배,코그모,UaoDE0,9,5,9,3.6
14,602,패배,브라움,Nem2sis,0,5,18,3.6
15,602,승리,나르,Awe BarOh,5,5,8,2.6
16,602,승리,엘리스,sanspareil1,5,5,8,2.6
17,602,승리,피즈,he  nan    yu,13,5,4,3.4
18,602,승리,자야,FeelsCoffeeMan,5,5,9,2.8
19,602,승리,알리스타,walking300 fan,3,5,13,3.2
20,603,승리,럼블,sanspareil1,2,7,5,1.0
21,603,승리,자르반 4세,rainbow321,3,3,10,4.333333333333333
22,603,승리,아지르,bbq Tempt,9,1,8,17.0
23,603,승리,케이틀린,UaoDE0,2,3,6,2.6666666666666665
24,603,승리,브라움,Nem2sis,4,2,9,6.5
25,603,패배,오른,bbq Crazy,3,3,6,3.0
26,603,패배,이블린,마이엠브,4,4,4,2.0
27,603,패배,탈리야,Yaharong,4,7,5,1.2857142857142858
28,603,패배,진,아이러니,4,2,1,2.5
29,603,패배,탐 켄치,심심풀이 남신,1,4,2,0.75
30,604,승리,오른,bbq Crazy,3,2,10,6.5
31,604,승리,자르반 4세,Iicorice,4,6,15,3.1666666666666665
32,604,승리,야스오,JAG S0hwan,4,9,8,1.3333333333333333
33,604,승리,코그모,UaoDE0,12,2,5,8.5
34,604,승리,룰루,호잇이,0,1,16,16.0
35,604,패배,블라디미르,뿡뿡뿡뿡뿡쁑,2,4,5,1.75
36,604,패배,엘리스,마이엠브,9,7,10,2.7142857142857144
