,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,401,패배,피오라,chijixuanshou,3,11,7,0.9090909090909091
1,401,패배,킨드레드,5gak,5,9,7,1.3333333333333333
2,401,패배,르블랑,YM  zhongdan,4,4,4,2.0
3,401,패배,애쉬,deft123456,4,10,9,1.3
4,401,패배,미스 포츈,선기박,3,7,9,1.7142857142857142
5,401,승리,나르,Gon123,15,3,4,6.333333333333333
6,401,승리,쉬바나,yizhiyu,8,4,13,5.25
7,401,승리,카르마,우에하라 크롱,4,5,18,4.4
8,401,승리,이즈리얼,SnakeLight,10,4,14,6.0
9,401,승리,트런들,MVP ADD,4,3,15,6.333333333333333
10,402,패배,잭스,MVP ADD,2,6,2,0.6666666666666666
11,402,패배,자르반 4세,F0y,2,6,5,1.1666666666666667
12,402,패배,트위스티드 페이트,YM  zhongdan,3,4,2,1.25
13,402,패배,미스 포츈,혼자해도충분하다,1,4,4,1.25
14,402,패배,쉔,Lvmao,1,4,3,1.0
15,402,승리,카밀,Gon123,5,3,8,4.333333333333333
16,402,승리,세주아니,5gak,5,0,10,inf
17,402,승리,탈리야,IGS Dasher,10,2,6,8.0
18,402,승리,진,deft123456,3,1,11,14.0
19,402,승리,알리스타,선기박,1,3,11,4.0
20,403,승리,초가스,MVP Ian,6,0,2,inf
21,403,승리,리 신,5gak,7,3,10,5.666666666666667
22,403,승리,탈리야,IGS Dasher,12,1,6,18.0
23,403,승리,진,YM  zhongdan,2,8,11,1.625
24,403,승리,제라스,선기박,4,3,6,3.3333333333333335
25,403,패배,요릭,MVP ADD,0,7,1,0.14285714285714285
26,403,패배,자르반 4세,DS XiaoPeng,6,6,8,2.3333333333333335
27,403,패배,코르키,F0y,4,7,2,0.8571428571428571
28,403,패배,미스 포츈,혼자해도충분하다,4,7,5,1.2857142857142858
29,403,패배,오른,Lvmao,1,4,8,2.25
30,404,승리,나르,Sakura Angel,5,6,3,1.3333333333333333
31,404,승리,자르반 4세,우철짱123,6,3,14,6.666666666666667
32,404,승리,르블랑,YM  zhongdan,9,3,9,6.0
33,404,승리,이즈리얼,18 01 1000 X D,9,2,9,9.0
34,404,승리,레오나,Gon123,2,3,14,5.333333333333333
35,404,패배,케넨,커피물조절장인,3,4,4,1.75
36,404,패배,니달리,7895123,4,5,5,1.8
37,404,패배,트위스티드 페이트,TeachersWu,2,6,4,1.0
38,404,패배,미스 포츈,혼자가 편해졌어,5,9,8,1.4444444444444444
39,404,패배,오른,진쟤승,3,7,7,1.4285714285714286
40,405,승리,마오카이,Sun이라는 별,3,5,14,3.4
41,405,승리,쉬바나,Cuz2,7,8,7,1.75
42,405,승리,코르키,YM  zhongdan,11,9,6,1.8888888888888888
43,405,승리,베인,그러면안돼요짜샤,13,6,7,3.3333333333333335
44,405,승리,알리스타,Diamondprox1,0,8,19,2.375
45,405,패배,오른,MVP ADD,4,3,17,7.0
