,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,1539,패배,럼블,God보보,5,4,8,3.25
1,1539,패배,자르반 4세,appearflawless,1,7,13,2.0
2,1539,패배,라이즈,FW Maple,9,4,5,3.5
3,1539,패배,미스 포츈,whisper snow,7,5,7,2.8
4,1539,패배,카르마,나는야베이베이1,0,9,13,1.4444444444444444
5,1539,승리,카밀,Heiz4,5,6,5,1.6666666666666667
6,1539,승리,쉬바나,정글노바,8,3,11,6.333333333333333
7,1539,승리,말자하,이치방츠요이야츠,4,6,8,2.0
8,1539,승리,진,wjhfjihtiu,9,2,12,10.5
9,1539,승리,알리스타,6학년4반장용준,3,5,16,3.8
10,1540,승리,케넨,1987 Plls,1,5,6,1.4
11,1540,승리,카직스,appearflawless,6,2,15,10.5
12,1540,승리,아지르,mide gui tou,8,2,7,7.5
13,1540,승리,미스 포츈,Mengqiuqiu,7,4,3,2.5
14,1540,승리,소라카,토마토페이스트,1,2,15,8.0
15,1540,패배,제이스,JAG S0hwan,3,5,3,1.2
16,1540,패배,자르반 4세,삼성갤럭시 하루,6,6,7,2.1666666666666665
17,1540,패배,라이즈,삼성갤럭시 Crown,5,6,3,1.3333333333333333
18,1540,패배,진,Plz No Die,1,1,6,7.0
19,1540,패배,잔나,Empmuyi,0,5,8,1.6
20,1541,승리,이렐리아,우르프rider,1,5,5,1.2
21,1541,승리,쉬바나,yizhiyu,5,0,8,inf
22,1541,승리,탈리야,너와나의연결Gori,6,1,4,10.0
23,1541,승리,베인,appearflawless,4,1,4,8.0
24,1541,승리,쉔,양팡우,4,0,12,inf
25,1541,패배,카밀,Possible tts,2,5,3,1.0
26,1541,패배,세주아니,Cuz2,1,4,4,1.25
27,1541,패배,트위스티드 페이트,바보처럼 왜,2,4,1,0.75
28,1541,패배,미스 포츈,NekoL,2,4,0,0.5
29,1541,패배,알리스타,Boldness,0,3,2,0.6666666666666666
30,1542,패배,잭스,h1rb,3,6,4,1.1666666666666667
31,1542,패배,자크,appearflawless,1,4,13,3.5
32,1542,패배,조이,마산가자,6,6,8,2.3333333333333335
33,1542,패배,바루스,Republic123,8,8,7,1.875
34,1542,패배,쓰레쉬,챌 희,3,7,11,2.0
35,1542,승리,쉔,땅우양,4,3,17,7.0
36,1542,승리,세주아니,DaYE,5,4,13,4.5
37,1542,승리,카사딘,Mengqiuqiu,14,4,11,6.25
38,1542,승리,진,쓰레기새기들,6,5,13,3.8
39,1542,승리,타릭,천천히올라감,2,5,24,5.2
40,1543,패배,그라가스,커피물조절장인,1,5,5,1.2
41,1543,패배,카직스,appearflawless,4,6,4,1.3333333333333333
42,1543,패배,피즈,ysdgqxcj,3,3,2,1.6666666666666667
43,1543,패배,진,sqb,2,4,3,1.25
44,1543,패배,제라스,푸딩은푸딩해,3,7,2,0.7142857142857143
45,1543,승리,제이스,zaqzxcazxcv,5,5,6,2.2
46,1543,승리,니달리,DS XiaoPeng,8,2,9,8.5
47,1543,승리,아지르,MVP Ian,5,5,3,1.6
48,1543,승리,칼리스타,김메피,6,0,6,inf
49,1543,승리,블리츠크랭크,Fission,1,2,11,6.0
50,1544,승리,갱플랭크,뒷텔와드점,7,2,8,7.5
51,1544,승리,카직스,appearflawless,7,4,6,3.25
52,1544,승리,오리아나,미율치에오,7,7,4,1.5714285714285714
53,1544,승리,미스 포츈,VIP 민형,3,3,5,2.6666666666666665
