,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,181,패배,케일,피넛사냥개2,6,10,4,1.0
1,181,패배,자르반 4세,KDM 유준,11,8,7,2.25
2,181,패배,탈리야,bbq Tempt,12,5,8,4.0
3,181,패배,진,최초공개할게요오,4,7,10,2.0
4,181,패배,미스 포츈,Nem2sis,2,5,11,2.6
5,181,승리,갱플랭크,MVP ADD,7,8,9,2.0
6,181,승리,니달리,chijixuanshou,6,7,8,2.0
7,181,승리,아지르,FW Maple,10,7,12,3.142857142857143
8,181,승리,이즈리얼,ysdgqxcj,9,8,11,2.5
9,181,승리,제라스,ZhanQiHuaYm,3,5,9,2.4
10,182,승리,오른,Alielie,5,3,11,5.333333333333333
11,182,승리,렝가,w1sdom ovo,18,5,2,4.0
12,182,승리,카사딘,bbq Tempt,10,3,5,5.0
13,182,승리,바루스,161561,3,10,5,0.8
14,182,승리,제라스,아테나찡,5,6,13,3.0
15,182,패배,야스오,그러면안돼요짜샤,3,8,2,0.625
16,182,패배,니달리,삼성갤럭시 하루,9,9,5,1.5555555555555556
17,182,패배,아지르,삼성갤럭시 Crown,2,8,6,1.0
18,182,패배,트리스타나,RRRuleRRR,6,11,6,1.0909090909090908
19,182,패배,카르마,Nem2sis,7,6,6,2.1666666666666665
20,183,패배,오른,무슨말이야,1,8,1,0.25
21,183,패배,니달리,P2k Key,0,3,0,0.0
22,183,패배,제이스,bbq Tempt,4,10,2,0.6
23,183,패배,자야,킬안주면꼬라박음,1,8,1,0.25
24,183,패배,쉔,Lvmao,3,6,3,1.0
25,183,승리,나르,FeelsIronMan,4,1,13,17.0
26,183,승리,신 짜오,장난 꾸러기 돼지,7,4,6,3.25
27,183,승리,탈리야,송하영 팬,15,0,3,inf
28,183,승리,미스 포츈,혼자해도충분하다,4,3,11,5.0
29,183,승리,알리스타,mentalboomKid,5,1,17,22.0
30,184,승리,오른,암고잉빽투더스탙,6,3,15,7.0
31,184,승리,자르반 4세,삼성갤럭시 하루,12,5,11,4.6
32,184,승리,르블랑,bbq Tempt,9,5,7,3.2
33,184,승리,바루스,선비모드,14,3,7,7.0
34,184,승리,타릭,양팡우,2,4,19,5.25
35,184,패배,에코,뒷텔와드점,3,10,2,0.5
36,184,패배,니달리,DS XiaoPeng,5,7,3,1.1428571428571428
37,184,패배,라이즈,덤벼보던가,5,6,3,1.3333333333333333
38,184,패배,트리스타나,VIP 민형,5,13,4,0.6923076923076923
39,184,패배,브라움,YOYOuuuuuO,1,7,8,1.2857142857142858
40,185,승리,갱플랭크,bbq Tempt,3,5,3,1.2
41,185,승리,렝가,9346,10,6,3,2.1666666666666665
42,185,승리,베이가,kt Ucal,4,0,6,inf
43,185,승리,진,여청추,10,4,4,3.5
44,185,승리,브라움,yizhiyu,1,2,14,7.5
45,185,패배,카밀,쌀국수뚝붸기,4,5,3,1.4
46,185,패배,엘리스,161561,3,9,4,0.7777777777777778
47,185,패배,코르키,11 14 9 7 8 20,6,4,3,2.25
48,185,패배,트리스타나,VIP 민형,3,5,4,1.4
49,185,패배,알리스타,Kerla,0,5,9,1.8
50,186,패배,나르,PeanuToT,2,7,2,0.5714285714285714
51,186,패배,아이번,장난 꾸러기 돼지,2,3,6,2.6666666666666665
52,186,패배,아지르,bbq Tempt,2,8,2,0.5
53,186,패배,트리스타나,AGanQAQ,6,4,3,2.25
54,186,패배,쓰레쉬,A weak youth,2,6,5,1.1666666666666667
55,186,승리,야스오,Eth4n,7,3,5,4.0
56,186,승리,세주아니,마이엠브,11,1,12,23.0
57,186,승리,탈리야,진에어 저스티스,7,3,9,5.333333333333333
58,186,승리,진,160810,1,4,12,3.25
59,186,승리,카르마,Empmuyi,2,3,15,5.666666666666667
60,187,패배,오른,Alielie,0,1,1,1.0
61,187,패배,자르반 4세,mide gui tou,2,3,3,1.6666666666666667
62,187,패배,말자하,bbq Tempt,2,3,0,0.6666666666666666
63,187,패배,진,덤벼보던가,2,5,2,0.8
64,187,패배,미스 포츈,호경모드,1,3,2,1.0
65,187,승리,야스오,Eth4n,5,1,1,6.0
66,187,승리,쉬바나,PeanuToT,2,1,5,7.0
67,187,승리,아지르,진에어 저스티스,3,2,3,3.0
68,187,승리,바루스,STITCH1,4,2,3,3.5
69,187,승리,타릭,호잇이,1,1,5,6.0
70,188,승리,카밀,Heiz4,15,8,3,2.25
71,188,승리,자르반 4세,정글노바,3,2,14,8.5
72,188,승리,라이즈,bbq Tempt,9,3,6,5.0
73,188,승리,바루스,멘탈 실력 운,3,5,11,2.8
74,188,승리,타릭,YOYOuuuuuO,2,6,13,2.5
75,188,패배,제이스,Jin air Yaharong,3,13,5,0.6153846153846154
76,188,패배,니달리,종학윙,8,3,7,5.0
77,188,패배,아지르,덤벼보던가,7,8,2,1.125
78,188,패배,자야,Please find it,2,3,10,4.0
79,188,패배,쓰레쉬,heeseong,4,5,8,2.4
80,189,패배,일라오이,이기자 할수있다,0,15,0,0.0
81,189,패배,세주아니,bbq Tempt,4,6,3,1.1666666666666667
82,189,패배,탈리야,find myself,3,8,3,0.75
83,189,패배,드레이븐,Afreeca Kramer,4,8,5,1.125
84,189,패배,카르마,뽀허니,1,4,9,2.5
85,189,승리,제이스,Kingen,16,2,10,13.0
86,189,승리,자르반 4세,ROX Se0ngHwan,5,1,21,26.0
87,189,승리,라이즈,FeelsAwesomeMan,7,1,7,14.0
88,189,승리,트리스타나,VIP 민형,7,3,8,5.0
89,189,승리,알리스타,박투신,6,5,17,4.6
90,190,승리,카밀,Possible tts,7,3,3,3.3333333333333335
91,190,승리,세주아니,mid push gogo,4,0,9,inf
92,190,승리,르블랑,bbq Tempt,4,1,7,11.0
93,190,승리,칼리스타,Dingchenyu,4,2,1,2.5
94,190,승리,브라움,fengquyunbuhui,1,1,8,9.0
95,190,패배,제이스,Heiz4,0,5,2,0.4
96,190,패배,자르반 4세,먹는건즐거워,3,3,3,2.0
97,190,패배,라이즈,송하영 팬,1,6,2,0.5
98,190,패배,진,SKT T1 Bang,1,2,3,2.0
99,190,패배,쓰레쉬,A weak youth,2,4,2,1.0
100,191,패배,나르,양충하,3,4,3,1.5
101,191,패배,카직스,멘탈 실력 운,6,7,4,1.4285714285714286
102,191,패배,라이즈,bbq Tempt,6,6,2,1.3333333333333333
103,191,패배,바루스,VIP 민형,1,4,3,1.0
104,191,패배,카르마,fengquyunbuhui,2,6,4,1.0
105,191,승리,갱플랭크,SKT T1 Untara,9,6,5,2.3333333333333335
106,191,승리,리 신,커닝시티 피그미,7,3,9,5.333333333333333
107,191,승리,조이,By myself,2,5,9,2.2
108,191,승리,진,Yeeclipse,9,1,9,18.0
109,191,승리,알리스타,Destiny,0,3,13,4.333333333333333
110,192,승리,제이스,Heiz4,2,3,1,1.0
111,192,승리,쉬바나,작전동 노란머리,5,1,0,5.0
112,192,승리,아지르,bbq Tempt,3,0,2,inf
113,192,승리,진,입이더러운사람,6,2,1,3.5
114,192,승리,탐 켄치,이재훈다딱,1,2,7,4.0
115,192,패배,나르,스누피808,2,5,2,0.8
116,192,패배,자르반 4세,yizhiyu,2,3,2,1.3333333333333333
117,192,패배,말자하,LFT MID,0,3,1,0.3333333333333333
118,192,패배,트리스타나,whisper snow,4,2,0,2.0
119,192,패배,알리스타,TeawaN,0,4,4,1.0
120,193,승리,올라프,Super Secret,4,4,1,1.25
121,193,승리,니달리,해운대잠만보,8,1,10,18.0
122,193,승리,카사딘,chirchri,8,1,4,12.0
123,193,승리,미스 포츈,처음은누구나초보,4,3,8,4.0
124,193,승리,블리츠크랭크,bbq Tempt,6,0,8,inf
125,193,패배,나르,마부두파,3,4,2,1.25
126,193,패배,자르반 4세,yizhiyu,3,7,1,0.5714285714285714
127,193,패배,르블랑,쪼렙이다말로하자,0,7,2,0.2857142857142857
128,193,패배,바루스,TnTeddy,2,9,1,0.3333333333333333
129,193,패배,제라스,유 댕,1,4,2,0.75
130,194,패배,카밀,JAG S0hwan,5,4,2,1.75
131,194,패배,자르반 4세,MeteorOvO,5,3,8,4.333333333333333
132,194,패배,카사딘,bbq Tempt,2,6,4,1.0
133,194,패배,애쉬,Peecaboo,0,7,2,0.2857142857142857
134,194,패배,미스 포츈,Misdate,3,7,5,1.1428571428571428
135,194,승리,피오라,세메론,5,3,0,1.6666666666666667
136,194,승리,쉬바나,작전동 노란머리,10,0,3,inf
137,194,승리,아지르,Republic123,3,3,9,4.0
138,194,승리,진,BtC Joker,7,5,9,3.2
139,194,승리,쓰레쉬,Dutch Coffee,2,4,13,3.75
140,195,승리,올라프,Super Secret,7,7,6,1.8571428571428572
141,195,승리,엘리스,bbq Tempt,6,10,13,1.9
142,195,승리,아지르,KDM PERT,9,3,11,6.666666666666667
143,195,승리,바루스,어껭간만에찾아뵙,3,5,8,2.2
144,195,승리,미스 포츈,Misdate,4,4,11,3.75
145,195,패배,마오카이,세메론,3,6,7,1.6666666666666667
146,195,패배,자르반 4세,MeteorOvO,7,7,9,2.2857142857142856
147,195,패배,탈리야,Republic123,2,8,10,1.5
148,195,패배,이즈리얼,구름꽃길만걷자,11,2,10,10.5
149,195,패배,카르마,Peecaboo,6,6,12,3.0
150,196,승리,럼블,삶이힘든사람,5,7,9,2.0
151,196,승리,리 신,bbq Tempt,9,8,16,3.125
152,196,승리,트위스티드 페이트,ysdgqxcj,8,8,10,2.25
153,196,승리,미스 포츈,Mengqiuqiu,16,12,8,2.0
154,196,승리,블리츠크랭크,win or win,4,9,19,2.5555555555555554
155,196,패배,카밀,지현이의빗자루,11,7,4,2.142857142857143
156,196,패배,킨드레드,chijixuanshou,14,9,14,3.111111111111111
157,196,패배,아지르,IGS Dasher,7,9,14,2.3333333333333335
158,196,패배,진,아이러니,4,11,14,1.6363636363636365
159,196,패배,제라스,FeelsSosoMan,7,6,18,4.166666666666667
160,197,승리,사이온,DWG ShowMaker,6,2,10,8.0
161,197,승리,자르반 4세,cbzOvO,9,1,30,39.0
162,197,승리,카사딘,bbq Tempt,17,6,11,4.666666666666667
163,197,승리,미스 포츈,ROX Sangyoon,16,4,11,6.75
164,197,승리,알리스타,삼성갤럭시CoreJJ,3,3,22,8.333333333333334
165,197,패배,트런들,LFT MID,2,10,2,0.4
166,197,패배,쉬바나,FeelsSosoMan,5,10,2,0.7
167,197,패배,라이즈,R4phael,4,6,1,0.8333333333333334
168,197,패배,칼리스타,아이러니,3,12,3,0.5
169,197,패배,쉔,GuGer,0,13,6,0.46153846153846156
170,198,승리,나르,KDM Secret,9,6,6,2.5
171,198,승리,세주아니,Boldness,6,4,15,5.25
172,198,승리,카사딘,LFT MID,7,6,8,2.5
173,198,승리,진,bbq Tempt,10,6,15,4.166666666666667
174,198,승리,쉔,GuGer,7,7,22,4.142857142857143
175,198,패배,렝가,THE KING 2000,8,10,6,1.4
176,198,패배,쉬바나,yizhiyu,7,7,10,2.4285714285714284
177,198,패배,라이즈,R4phael,8,5,7,3.0
178,198,패배,바루스,Hades9,3,11,11,1.2727272727272727
179,198,패배,미스 포츈,Sim Student,3,6,17,3.3333333333333335
180,199,패배,케넨,ktmgs,5,9,8,1.4444444444444444
181,199,패배,자르반 4세,yizhiyu,6,7,10,2.2857142857142856
182,199,패배,말자하,bbq Tempt,8,8,4,1.5
183,199,패배,미스 포츈,Hades9,2,4,9,2.75
184,199,패배,브라움,꼬맹이전쟁,0,9,11,1.2222222222222223
185,199,승리,그라가스,WENJUNXI,2,8,14,2.0
186,199,승리,리 신,1112213311,12,6,13,4.166666666666667
187,199,승리,아지르,LFT MID,9,1,12,21.0
188,199,승리,진,담원 베리릴,10,0,13,inf
189,199,승리,알리스타,GuGer,4,6,24,4.666666666666667
190,200,패배,잭스,나네쫓다꿈소년,1,8,4,0.625
191,200,패배,엘리스,THE KING 2000,2,3,1,1.0
192,200,패배,말자하,bbq Tempt,2,6,0,0.3333333333333333
193,200,패배,드레이븐,해강고원딜 팬,0,7,4,0.5714285714285714
194,200,패배,알리스타,fndasjkfkqw,4,4,2,1.5
195,200,승리,오른,my head,4,3,6,3.3333333333333335
196,200,승리,리 신,아테나찡,8,0,6,inf
197,200,승리,코르키,11 14 9 7 8 20,6,2,6,6.0
198,200,승리,미스 포츈,혼자해도충분하다,10,2,7,8.5
199,200,승리,쉔,슬프다고말하면,0,2,16,8.0
