,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,1,패배,제이스,뒷텔와드점,4,5,4,1.6
1,1,패배,케인,춘봉박,7,7,4,1.5714285714285714
2,1,패배,라이즈,FW Maple,3,2,5,4.0
3,1,패배,미스 포츈,deft123456,0,6,5,0.8333333333333334
4,1,패배,잔나,Jisu,1,10,6,0.7
5,1,승리,마오카이,Kingen,2,4,4,1.5
6,1,승리,세주아니,259x,4,3,10,4.666666666666667
7,1,승리,오리아나,멘탈 실력 운,9,2,7,8.0
8,1,승리,이즈리얼,SKT T1 Bang,7,5,13,4.0
9,1,승리,카르마,JackeyLove,8,1,13,21.0
10,2,패배,제이스,암고잉빽투더스탙,10,10,8,1.8
11,2,패배,카직스,7895123,13,11,12,2.272727272727273
12,2,패배,이즈리얼,deft123456,11,11,10,1.9090909090909092
13,2,패배,미스 포츈,비 브이 오 와이,7,9,10,1.8888888888888888
14,2,패배,카르마,SKT T1 WoIf,5,13,13,1.3846153846153846
15,2,승리,오른,삶이힘든사람,4,6,21,4.166666666666667
16,2,승리,렝가,오억만,11,13,12,1.7692307692307692
17,2,승리,말자하,Heart,14,11,16,2.727272727272727
18,2,승리,진,chirchri,17,7,20,5.285714285714286
19,2,승리,제라스,세메론,8,9,22,3.3333333333333335
20,3,,브라움,pokeryo,0,0,1,inf
21,3,,나르,ROX Lindarang,0,0,0,
22,3,,자르반 4세,PuncHh,0,0,0,
23,3,,이즈리얼,deft123456,1,0,0,inf
24,3,,오리아나,삼성갤럭시 Crown,0,0,0,
25,3,,쉬바나,오억만,0,0,0,
26,3,,피들스틱,1414774182,0,0,0,
27,3,,미스 포츈,Heart,0,0,0,
28,3,,마오카이,Afreeca Kuro,0,0,0,
29,3,,바루스,좋은날,0,1,0,0.0
30,4,승리,나르,VIP 민형,3,4,5,2.0
31,4,승리,니달리,PuncHh,7,4,7,3.5
32,4,승리,말자하,chirchri,3,2,7,5.0
33,4,승리,미스 포츈,deft123456,9,5,9,3.6
34,4,승리,알리스타,토마토페이스트,0,4,20,5.0
35,4,패배,오른,삶이힘든사람,1,1,10,11.0
36,4,패배,카직스,PeanuToT,5,5,8,2.6
37,4,패배,라이즈,성민콩,6,2,4,5.0
38,4,패배,진,학교밀베포친키,6,6,8,2.3333333333333335
39,4,패배,레오나,뒷텔와드점,1,8,12,1.625
40,5,패배,나르,7hal,3,5,9,2.4
41,5,패배,니달리,나는야베이베이1,7,9,10,1.8888888888888888
42,5,패배,말자하,성민콩,5,6,7,2.0
43,5,패배,바루스,fndasjkfkqw,8,7,11,2.7142857142857144
44,5,패배,피들스틱,deft123456,2,8,14,2.0
45,5,승리,케넨,커피물조절장인,6,5,8,2.8
46,5,승리,세주아니,PeanuToT,4,2,18,11.0
47,5,승리,아지르,11 14 9 7 8 20,7,6,10,2.8333333333333335
48,5,승리,칼리스타,승 로,13,7,12,3.5714285714285716
49,5,승리,그라가스,MataMataMata,5,5,20,5.0
50,6,승리,잭스,UcaL,4,5,3,1.4
51,6,승리,자르반 4세,정글노바,2,2,13,7.5
52,6,승리,말자하,상어가족,5,1,7,12.0
53,6,승리,미스 포츈,deft123456,8,4,7,3.75
54,6,승리,카르마,Please find it,2,4,12,3.5
55,6,패배,쉔,먹는건즐거워,1,6,7,1.3333333333333333
56,6,패배,세주아니,9346,3,2,4,3.5
57,6,패배,카타리나,duibuqiziji,10,5,1,2.2
58,6,패배,칼리스타,아트가 앗뜨거,2,3,3,1.6666666666666667
