,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,1879,승리,제이스,MVP ADD,3,4,5,2.0
1,1879,승리,니달리,삼성갤럭시 하루,13,3,8,7.0
2,1879,승리,조이,Fotune,3,4,12,3.75
3,1879,승리,진,삼성갤럭시CoreJJ,9,5,12,4.2
4,1879,승리,타릭,fengquyunbuhui,5,3,17,7.333333333333333
5,1879,패배,카밀,FeelsIronMan,3,2,4,3.5
6,1879,패배,카직스,Cuz2,7,6,4,1.8333333333333333
7,1879,패배,애니비아,송하영 팬,5,6,4,1.5
8,1879,패배,이즈리얼,튀자튀자아,1,10,5,0.6
9,1879,패배,카르마,으아으앙으아앙,2,9,4,0.6666666666666666
10,1880,승리,카밀,Gon123,7,1,6,13.0
11,1880,승리,세주아니,Boldness,3,2,12,7.5
12,1880,승리,라이즈,단군의청춘부재,8,4,9,4.25
13,1880,승리,바루스,FVV BETTY,3,4,10,3.25
14,1880,승리,제라스,fengquyunbuhui,7,1,13,20.0
15,1880,패배,잭스,쌀국수뚝붸기,1,8,3,0.5
16,1880,패배,렝가,Wilder,2,4,3,1.25
17,1880,패배,말자하,LPL noob ad QAQ,5,9,1,0.6666666666666666
18,1880,패배,이즈리얼,RRRuleRRR,2,5,0,0.4
19,1880,패배,블리츠크랭크,Mengqiuqiu,2,2,4,3.0
20,1881,승리,블라디미르,멘탈 실력 운,4,5,10,2.8
21,1881,승리,쉬바나,yizhiyu,7,7,11,2.5714285714285716
22,1881,승리,베이가,By myself,9,5,8,3.4
23,1881,승리,이즈리얼,Eyes,11,4,13,6.0
24,1881,승리,레오나,fengquyunbuhui,3,4,19,5.5
25,1881,패배,카밀,미율치에오,9,4,3,3.0
26,1881,패배,자크,FVV BETTY,3,4,10,3.25
27,1881,패배,아지르,mcmglllc,4,8,3,0.875
28,1881,패배,칼리스타,바보팀원,7,10,5,1.2
29,1881,패배,바드,단군의청춘부재,2,8,11,1.625
30,1882,승리,카밀,Alielie,16,6,7,3.8333333333333335
31,1882,승리,세주아니,w1sdom ovo,4,3,14,6.0
32,1882,승리,조이,멘탈 실력 운,8,5,9,3.4
33,1882,승리,칼리스타,튀자튀자아,4,6,6,1.6666666666666667
34,1882,승리,라칸,fengquyunbuhui,3,3,12,5.0
35,1882,패배,갱플랭크,mianma,4,8,8,1.5
36,1882,패배,렉사이,Believe in Allah,2,8,11,1.625
37,1882,패배,카타리나,find myself,11,11,4,1.3636363636363635
38,1882,패배,이즈리얼,VIP 민형,4,5,10,2.8
39,1882,패배,레오나,아테나찡,2,4,12,3.5
40,1883,승리,제이스,find myself,4,11,14,1.6363636363636365
41,1883,승리,쉬바나,yizhiyu,9,9,10,2.111111111111111
42,1883,승리,베이가,By myself,7,6,8,2.5
43,1883,승리,진,GALA,12,4,8,5.0
44,1883,승리,브라움,fengquyunbuhui,1,4,20,5.25
45,1883,패배,루시안,11 14 9 7 8 20,11,9,6,1.8888888888888888
46,1883,패배,렉사이,Wilder,7,4,15,5.5
47,1883,패배,조이,마산가자,7,7,11,2.5714285714285716
48,1883,패배,칼리스타,Mengqiuqiu,5,7,11,2.2857142857142856
49,1883,패배,알리스타,J Spectre G,4,6,14,3.0
50,1884,승리,일라오이,1987 Plls,1,4,6,1.75
51,1884,승리,니달리,종학윙,8,2,5,6.5
52,1884,승리,라이즈,KDM PERT,7,3,4,3.6666666666666665
53,1884,승리,베인,어껭간만에찾아뵙,8,1,3,11.0
54,1884,승리,쉔,fengquyunbuhui,2,1,10,12.0
55,1884,패배,잭스,나네쫓다꿈소년,4,3,3,2.3333333333333335
56,1884,패배,그레이브즈,M1anhua,1,8,6,0.875
57,1884,패배,아지르,마산가자,1,4,1,0.5
58,1884,패배,시비르,Mengqiuqiu,4,7,3,1.0
59,1884,패배,마오카이,GuGer,1,4,2,0.75
60,1885,승리,잭스,나네쫓다꿈소년,11,3,1,4.0
61,1885,승리,세주아니,M1anhua,5,2,16,10.5
62,1885,승리,말자하,Heart,6,4,11,4.25
63,1885,승리,바루스,mide gui tou,4,2,11,7.5
64,1885,승리,쉔,fengquyunbuhui,5,2,15,10.0
65,1885,패배,일라오이,1987 Plls,4,7,0,0.5714285714285714
66,1885,패배,리 신,마산가자,3,6,2,0.8333333333333334
67,1885,패배,조이,By myself,3,6,2,0.8333333333333334
68,1885,패배,케이틀린,Mengqiuqiu,1,6,4,0.8333333333333334
69,1885,패배,모르가나,멘탈 실력 운,2,6,4,1.0
70,1886,패배,제이스,mide gui tou,6,5,9,3.0
71,1886,패배,쉬바나,TeawaN,5,8,13,2.25
72,1886,패배,말자하,Heart,7,9,8,1.6666666666666667
73,1886,패배,바루스,RRRuleRRR,10,9,14,2.6666666666666665
74,1886,패배,브라움,fengquyunbuhui,3,7,19,3.142857142857143
75,1886,승리,제드,피넛사냥개1,16,3,6,7.333333333333333
76,1886,승리,자르반 4세,XinyiQAQ,5,9,23,3.111111111111111
77,1886,승리,베이가,ZhanQiHuaYm,10,4,13,5.75
78,1886,승리,칼리스타,혼자가 편해졌어,5,9,13,2.0
79,1886,승리,알리스타,삼성갤럭시CoreJJ,2,6,22,4.0
80,1887,패배,제이스,Gon123,1,6,1,0.3333333333333333
81,1887,패배,자르반 4세,XinyiQAQ,3,4,7,2.5
82,1887,패배,라이즈,FeelsAwesomeMan,3,3,3,2.0
83,1887,패배,진,비 브이 오 와이,6,3,4,3.3333333333333335
84,1887,패배,레오나,fengquyunbuhui,2,3,8,3.3333333333333335
85,1887,승리,카밀,피넛사냥개2,8,1,3,11.0
86,1887,승리,세주아니,Wilder,2,0,13,inf
87,1887,승리,말자하,혼자해도충분하다,2,3,4,2.0
88,1887,승리,트리스타나,RRRuleRRR,5,5,5,2.0
89,1887,승리,잔나,Rachel Berry,2,6,8,1.6666666666666667
90,1888,패배,갱플랭크,피넛사냥개2,2,8,4,0.75
91,1888,패배,니달리,종학윙,6,2,3,4.5
92,1888,패배,오리아나,Boldness,0,3,4,1.3333333333333333
93,1888,패배,바루스,원딜둥이,3,7,2,0.7142857142857143
94,1888,패배,레오나,fengquyunbuhui,1,5,5,1.2
95,1888,승리,오른,암고잉빽투더스탙,5,2,9,7.0
96,1888,승리,쉬바나,yizhiyu,11,1,6,17.0
97,1888,승리,라이즈,오억만,1,1,1,2.0
98,1888,승리,칼리스타,구름꽃길만걷자,6,4,4,2.5
99,1888,승리,모르가나,BtC Joker,2,4,10,3.0
100,1889,승리,오른,쌀국수뚝붸기,2,2,1,1.5
101,1889,승리,리 신,Reborn3,5,0,5,inf
102,1889,승리,라이즈,너와나의연결Gori,3,0,5,inf
103,1889,승리,자야,SnakeLight,6,1,3,9.0
104,1889,승리,라칸,fengquyunbuhui,0,1,12,12.0
105,1889,패배,카밀,Gon123,1,3,1,0.6666666666666666
106,1889,패배,쉬바나,So1o,1,5,1,0.4
107,1889,패배,피들스틱,FW Maple,1,2,2,1.5
108,1889,패배,진,2Kano,1,3,0,0.3333333333333333
109,1889,패배,제라스,종학윙,0,3,0,0.0
110,1890,패배,나르,MVP ADD,6,5,3,1.8
111,1890,패배,니달리,F0y,2,6,10,2.0
112,1890,패배,말자하,이치방츠요이야츠,3,8,4,0.875
113,1890,패배,칼리스타,SnakeLight,5,5,9,2.8
114,1890,패배,탐 켄치,fengquyunbuhui,4,6,10,2.3333333333333335
115,1890,승리,카밀,쌀국수뚝붸기,6,7,11,2.4285714285714284
116,1890,승리,럼블,작전동 노란머리,9,2,8,8.5
117,1890,승리,빅토르,MVP Ian,8,1,9,17.0
118,1890,승리,진,LPL noob ad QAQ,4,6,14,3.0
119,1890,승리,쉔,다시 돌아갈까요,3,4,24,6.75
120,1891,패배,제이스,우에하라 크롱,8,7,12,2.857142857142857
121,1891,패배,리 신,Wilder,14,9,11,2.7777777777777777
122,1891,패배,모르가나,MSC TRY,7,11,12,1.7272727272727273
123,1891,패배,이즈리얼,Gon123,6,7,11,2.4285714285714284
124,1891,패배,브라움,fengquyunbuhui,0,8,20,2.5
125,1891,승리,카밀,FeelsIronMan,8,3,24,10.666666666666666
126,1891,승리,신 짜오,yizhiyu,8,15,12,1.3333333333333333
127,1891,승리,카사딘,종학윙,12,5,15,5.4
128,1891,승리,코그모,whisper snow,14,7,16,4.285714285714286
129,1891,승리,소라카,YOYOuuuuuO,0,5,32,6.4
130,1892,패배,마오카이,1987 Plls,3,5,10,2.6
131,1892,패배,쉬바나,yizhiyu,8,7,10,2.5714285714285716
132,1892,패배,오리아나,종학윙,4,3,13,5.666666666666667
133,1892,패배,진,Gon123,7,6,13,3.3333333333333335
134,1892,패배,탐 켄치,fengquyunbuhui,4,3,15,6.333333333333333
135,1892,승리,제이스,우에하라 크롱,8,3,7,5.0
136,1892,승리,세주아니,점점나의마음이끌,0,3,11,3.6666666666666665
137,1892,승리,말자하,Heart,8,9,11,2.111111111111111
138,1892,승리,트리스타나,VIP 민형,6,6,9,2.5
139,1892,승리,알리스타,토마토페이스트,2,5,14,3.2
140,1893,패배,마오카이,YOYOuuuuuO,0,4,5,1.25
141,1893,패배,쉬바나,yizhiyu,4,6,1,0.8333333333333334
142,1893,패배,제라스,Jin air Yaharong,1,5,1,0.4
143,1893,패배,진,VIP 민형,4,1,1,5.0
144,1893,패배,탐 켄치,fengquyunbuhui,2,2,4,3.0
145,1893,승리,카밀,덤벼보던가,4,4,2,1.5
146,1893,승리,세주아니,점점나의마음이끌,3,1,12,15.0
147,1893,승리,다이애나,진에어 저스티스,10,1,5,15.0
148,1893,승리,트위치,Gon123,1,3,2,1.0
149,1893,승리,알리스타,GuGer,0,2,10,5.0
150,1894,패배,신지드,kt Ucal,3,6,13,2.6666666666666665
151,1894,패배,카직스,9346,18,4,4,5.5
152,1894,패배,애니비아,ROYG,4,7,6,1.4285714285714286
153,1894,패배,자야,nekoneko1,4,4,7,2.75
154,1894,패배,라칸,fengquyunbuhui,0,2,16,8.0
155,1894,승리,피오라,BKKK,3,6,4,1.1666666666666667
156,1894,승리,쉬바나,yizhiyu,8,5,5,2.6
157,1894,승리,신드라,Leelaa,5,9,4,1.0
158,1894,승리,이즈리얼,STITCH1,5,5,11,3.2
159,1894,승리,알리스타,다시 돌아갈까요,2,5,13,3.0
160,1895,패배,카밀,최초공개할게요오,1,7,3,0.5714285714285714
161,1895,패배,쉬바나,좋은날,1,7,3,0.5714285714285714
162,1895,패배,카사딘,나는야 누구일까,4,6,2,1.0
163,1895,패배,진,XinyiQAQ,2,5,4,1.2
164,1895,패배,라칸,fengquyunbuhui,1,3,3,1.3333333333333333
165,1895,승리,제이스,우에하라 크롱,6,0,2,inf
166,1895,승리,니달리,FeelsSosoMan,8,3,6,4.666666666666667
167,1895,승리,말자하,삼성갤럭시 Crown,5,0,7,inf
168,1895,승리,자야,Please find it,3,4,4,1.75
169,1895,승리,쉔,삼성갤럭시CoreJJ,5,2,9,7.0
170,1896,패배,마오카이,MVP Ian,0,2,3,1.5
171,1896,패배,쉬바나,M1anhua,6,4,3,2.25
172,1896,패배,아지르,By myself,1,2,2,1.5
173,1896,패배,진,BtC Hollow,1,2,4,2.5
174,1896,패배,알리스타,fengquyunbuhui,2,3,7,3.0
175,1896,승리,제이스,최초공개할게요오,4,1,2,6.0
176,1896,승리,니달리,sanspareil1,4,2,4,4.0
177,1896,승리,벨코즈,삼성갤럭시 Crown,0,2,5,2.5
178,1896,승리,칼리스타,아트가 앗뜨거,4,2,1,2.5
179,1896,승리,쓰레쉬,KT MATA,1,3,7,2.6666666666666665
180,1897,승리,마오카이,죠토마킹,0,1,4,4.0
181,1897,승리,렝가,M1anhua,7,0,7,inf
182,1897,승리,아지르,최초공개할게요오,2,0,6,inf
183,1897,승리,칼리스타,담원 크러쉬,7,0,2,inf
184,1897,승리,탐 켄치,fengquyunbuhui,0,1,9,9.0
185,1897,패배,쉔,아트가 앗뜨거,1,2,0,0.5
186,1897,패배,세주아니,MVP Ian,0,1,2,2.0
187,1897,패배,제라스,By myself,0,3,0,0.0
188,1897,패배,진,NekoL,1,4,0,0.25
189,1897,패배,알리스타,Lvmao,0,6,1,0.16666666666666666
190,1898,승리,잭스,Possible tts,5,1,3,8.0
191,1898,승리,카직스,5gak,2,2,5,3.5
192,1898,승리,조이,By myself,9,0,2,inf
193,1898,승리,진,fengquyunbuhui,3,1,2,5.0
194,1898,승리,알리스타,선기박,2,1,4,6.0
195,1898,패배,카밀,Heiz4,0,5,1,0.2
196,1898,패배,렝가,커닝시티 피그미,3,3,1,1.3333333333333333
197,1898,패배,르블랑,멘탈 실력 운,1,5,0,0.2
198,1898,패배,바루스,ROX Sangyoon,1,6,2,0.5
199,1898,패배,쉔,호잇이,0,2,3,1.5
