,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,741,승리,갱플랭크,피넛사냥개2,3,5,12,3.0
1,741,승리,카직스,kenzhu9,12,4,3,3.75
2,741,승리,카타리나,find myself,6,6,11,2.8333333333333335
3,741,승리,시비르,비 브이 오 와이,8,1,10,18.0
4,741,승리,카르마,쌀국수뚝붸기,0,6,12,2.0
5,741,패배,갈리오,푸딩은푸딩해,5,5,3,1.6
6,741,패배,렝가,마이엠브,8,6,5,2.1666666666666665
7,741,패배,트위스티드 페이트,상어가족,4,4,10,3.5
8,741,패배,진,Yumemiru Shonen,2,7,8,1.4285714285714286
9,741,패배,쉔,Nova1,3,7,8,1.5714285714285714
10,742,패배,카밀,피넛사냥개2,0,5,0,0.0
11,742,패배,렝가,Wilder,3,7,2,0.7142857142857143
12,742,패배,라이즈,find myself,1,5,1,0.4
13,742,패배,이즈리얼,Bvoy,1,4,2,0.75
14,742,패배,쉔,Nova1,1,2,3,2.0
15,742,승리,잭스,담원 너구리,7,0,2,inf
16,742,승리,카직스,kenzhu9,7,3,5,4.0
17,742,승리,트위스티드 페이트,상어가족,3,0,8,inf
18,742,승리,바루스,쌀국수뚝붸기,5,2,4,4.5
19,742,승리,미스 포츈,YserAoA,1,1,9,10.0
20,743,패배,나르,커피물조절장인,5,3,5,3.3333333333333335
21,743,패배,엘리스,kenzhu9,5,7,4,1.2857142857142858
22,743,패배,아지르,find myself,7,7,4,1.5714285714285714
23,743,패배,루시안,ADEPT1,1,9,4,0.5555555555555556
24,743,패배,브라움,XinMo,2,3,7,3.0
25,743,승리,오른,쌀국수뚝붸기,2,5,9,2.2
26,743,승리,카직스,피넛사냥개2,18,5,6,4.8
27,743,승리,라이즈,ysdgqxcj,4,6,7,1.8333333333333333
28,743,승리,자야,Bvoy,5,2,10,7.5
29,743,승리,라칸,YserAoA,0,2,17,8.5
30,744,승리,라이즈,Like Waves,3,2,0,1.5
31,744,승리,렝가,kenzhu9,6,2,6,6.0
32,744,승리,카타리나,find myself,5,2,2,3.5
33,744,승리,미스 포츈,그러면안돼요짜샤,2,1,6,8.0
34,744,승리,탐 켄치,YserAoA,1,2,9,5.0
35,744,패배,갱플랭크,피넛사냥개2,1,5,1,0.4
36,744,패배,카직스,XinyiQAQ,2,3,4,2.0
