,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,1041,패배,나르,JAG S0hwan,5,5,2,1.4
1,1041,패배,세주아니,real gankster,3,3,5,2.6666666666666665
2,1041,패배,야스오,Alielie,1,10,1,0.2
3,1041,패배,바루스,VIP 민형,5,3,5,3.3333333333333335
4,1041,패배,알리스타,Sim Student,0,6,6,1.0
5,1041,승리,갱플랭크,Kingen,7,2,8,7.5
6,1041,승리,니달리,FeelsSosoMan,5,3,7,4.0
7,1041,승리,조이,By myself,11,2,2,6.5
8,1041,승리,자야,풀 뜯는 미드,4,3,8,4.0
9,1041,승리,소라카,구운몽임,0,4,11,2.75
10,1042,패배,갱플랭크,Co2dplay,1,7,6,1.0
11,1042,패배,쉬바나,PuncHh,3,6,5,1.3333333333333333
12,1042,패배,베이가,ZhanQiHuaYm,8,4,5,3.25
13,1042,패배,자야,real gankster,4,5,7,2.2
14,1042,패배,라칸,KT MATA,3,3,11,4.666666666666667
15,1042,승리,마오카이,세메론,3,4,11,3.5
16,1042,승리,니달리,FeelsPepsiMan,10,1,7,17.0
17,1042,승리,라이즈,아이지 Rook1E,2,6,9,1.8333333333333333
18,1042,승리,진,암고잉빽투더스탙,7,4,13,5.0
19,1042,승리,블리츠크랭크,진쟤승,3,4,13,4.0
20,1043,패배,나르,Excal1bur1,2,3,0,0.6666666666666666
21,1043,패배,렉사이,real gankster,0,1,2,2.0
22,1043,패배,라이즈,Zhongdan XD,0,2,0,0.0
23,1043,패배,진,영광 스런 년,1,6,0,0.16666666666666666
24,1043,패배,잔나,IndonesiaMassage,0,3,0,0.0
25,1043,승리,제이스,JAG S0hwan,2,2,2,2.0
26,1043,승리,리 신,나는야베이베이1,2,0,4,inf
27,1043,승리,리산드라,꾸자니 똑땅해,3,0,4,inf
28,1043,승리,트리스타나,ysdgqxcj,5,0,5,inf
29,1043,승리,카르마,Yaharong,3,1,7,10.0
30,1044,패배,카시오페아,SOLCA1,5,5,3,1.6
31,1044,패배,렉사이,real gankster,4,5,5,1.8
32,1044,패배,신드라,JAG SnowFlower,5,4,2,1.75
33,1044,패배,코그모,귀여운스티치,4,6,7,1.8333333333333333
34,1044,패배,쓰레쉬,이상호,0,4,8,2.0
35,1044,승리,라이즈,마레말해뭘말해,3,3,8,3.6666666666666665
36,1044,승리,카직스,오억만,11,3,3,4.666666666666667
37,1044,승리,탈리야,8강따리미드,2,3,9,3.6666666666666665
38,1044,승리,트리스타나,LPL noob ad QAQ,8,2,5,6.5
39,1044,승리,룰루,담원 호잇이,0,7,18,2.5714285714285716
40,1045,패배,쉔,walking300 fan,2,5,9,2.2
41,1045,패배,잭스,real gankster,1,6,9,1.6666666666666667
42,1045,패배,블라디미르,토마토페이스트,10,6,4,2.3333333333333335
43,1045,패배,트위치,쫄깃한 우동사리,4,8,9,1.625
44,1045,패배,레오나,광지니형개잘함,4,8,10,1.75
45,1045,승리,초가스,아라가키 유이,6,1,13,19.0
46,1045,승리,자르반 4세,최악의 한 달,6,6,18,4.0
47,1045,승리,카서스,Xavelin,11,4,12,5.75
48,1045,승리,자야,bbq Tempt,8,4,12,5.0
49,1045,승리,룰루,닷지장인 심포갓,2,6,22,4.0
50,1046,승리,자르반 4세,최악의 한 달,3,4,8,2.75
51,1046,승리,엘리스,real gankster,2,2,7,4.5
52,1046,승리,탈리야,Siste aeterno,12,0,4,inf
53,1046,승리,트위치,SmartPilot,5,4,12,4.25
54,1046,승리,룰루,닷지장인 심포갓,3,4,10,3.25
55,1046,패배,잭스,Awe BarOh,6,3,0,2.0
56,1046,패배,렉사이,이책인지심책기,2,4,0,0.5
57,1046,패배,아지르,bbq Tempt,2,4,0,0.5
58,1046,패배,자야,쫄깃한 우동사리,3,8,3,0.75
59,1046,패배,라칸,광지니형개잘함,0,6,7,1.1666666666666667
60,1047,승리,카밀,Possible tts,8,4,2,2.5
61,1047,승리,엘리스,real gankster,2,8,6,1.0
