,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,821,승리,마오카이,세메론,4,5,11,3.0
1,821,승리,자르반 4세,twice손채영,4,7,14,2.5714285714285716
2,821,승리,조이,FW Maple,9,4,7,4.0
3,821,승리,미스 포츈,whisper snow,11,6,9,3.3333333333333335
4,821,승리,알리스타,SKT T1 WoIf,2,6,18,3.3333333333333335
5,821,패배,갱플랭크,p1g farm,3,6,12,2.5
6,821,패배,세주아니,FVV BETTY,5,5,15,4.0
7,821,패배,말자하,wdmdsyqf,11,5,6,3.4
8,821,패배,진,Hades9,4,7,16,2.857142857142857
9,821,패배,탐 켄치,호잇이,5,7,16,3.0
10,822,,빅토르,욘 드,0,0,1,inf
11,822,,애쉬,ESRS10,1,0,0,inf
12,822,,블리츠크랭크,호잇이,0,0,1,inf
13,822,,렝가,twice손채영,1,0,0,inf
14,822,,럼블,ROX Se0ngHwan,1,0,0,inf
15,822,,카밀,세메론,0,0,0,
16,822,,카르마,Hades9,0,1,0,0.0
17,822,,자르반 4세,J Spectre G,0,1,0,0.0
18,822,,미스 포츈,fndasjkfkqw,0,0,0,
19,822,,라이즈,FW Maple,0,1,0,0.0
20,823,패배,갱플랭크,ROX Lindarang,2,5,4,1.2
21,823,패배,쉬바나,twice손채영,5,6,4,1.5
22,823,패배,아지르,Yaharong,5,6,3,1.3333333333333333
23,823,패배,진,wjhfjihtiu,1,5,2,0.6
24,823,패배,알리스타,Republic123,0,5,4,0.8
25,823,승리,판테온,담원 쇼메이커,8,2,5,6.5
26,823,승리,카직스,어껭간만에찾아뵙,6,3,8,4.666666666666667
27,823,승리,르블랑,11 14 9 7 8 20,8,5,6,2.8
28,823,승리,바루스,VIP 민형,2,1,9,11.0
29,823,승리,쉔,A weak youth,3,2,8,5.5
30,824,패배,사이온,ROX Lindarang,2,5,6,1.6
31,824,패배,렝가,twice손채영,6,8,1,0.875
32,824,패배,트위스티드 페이트,담원 쇼메이커,4,5,7,2.2
33,824,패배,칼리스타,SKT T1 Bang,3,3,2,1.6666666666666667
34,824,패배,알리스타,wjhfjihtiu,0,6,10,1.6666666666666667
35,824,승리,제이스,내 마음 아프니까,6,7,8,2.0
36,824,승리,쉬바나,yizhiyu,4,2,8,6.0
37,824,승리,라이즈,Yaharong,8,0,7,inf
38,824,승리,바루스,VIP 민형,8,3,7,5.0
39,824,승리,제라스,11 14 9 7 8 20,1,3,15,5.333333333333333
40,825,승리,마오카이,TeawaN,2,1,1,3.0
41,825,승리,렝가,twice손채영,2,1,3,5.0
42,825,승리,오리아나,LFT MID,2,0,0,inf
43,825,승리,트리스타나,피넛사냥개1,6,0,2,inf
44,825,승리,나미,꼬맹이전쟁,0,2,8,4.0
45,825,패배,신지드,Here we go,1,1,1,2.0
46,825,패배,쉬바나,yizhiyu,2,2,1,1.5
47,825,패배,루시안,뿡뿡뿡뿡뿡쁑,0,2,2,1.0
48,825,패배,이즈리얼,Rachel Berry,1,4,1,0.5
49,825,패배,브라움,슬프다고말하면,0,3,3,1.0
50,826,승리,나르,ROX Lindarang,10,4,18,7.0
51,826,승리,렝가,twice손채영,9,8,14,2.875
52,826,승리,라이즈,CooN,9,4,9,4.5
53,826,승리,애쉬,kenzhu9,13,3,14,9.0
54,826,승리,탐 켄치,우르프rider,5,2,18,11.5
55,826,패배,카밀,Heiz4,5,9,4,1.0
56,826,패배,리 신,THE KING 2000,7,9,7,1.5555555555555556
57,826,패배,아지르,LFT MID,6,8,6,1.5
58,826,패배,진,chirchri,2,9,3,0.5555555555555556
59,826,패배,쉔,TeawaN,1,11,8,0.8181818181818182
60,827,승리,제이스,우르프rider,5,9,7,1.3333333333333333
61,827,승리,쉬바나,ROX Se0ngHwan,10,5,12,4.4
