,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,101,승리,갱플랭크,최초공개할게요오,5,2,13,9.0
1,101,승리,쉬바나,yizhiyu,3,6,13,2.6666666666666665
2,101,승리,라이즈,KDM 유준,6,3,4,3.3333333333333335
3,101,승리,바루스,쌀국수뚝붸기,9,3,5,4.666666666666667
4,101,승리,제라스,호잇이,9,0,11,inf
5,101,패배,이렐리아,승 로,3,5,3,1.2
6,101,패배,니달리,PeanuToT,4,6,6,1.6666666666666667
7,101,패배,조이,PawN God,3,4,5,2.0
8,101,패배,미스 포츈,Afreeca Kramer,3,8,3,0.75
9,101,패배,소라카,YOYOuuuuuO,1,9,7,0.8888888888888888
10,102,승리,오른,지현이의빗자루,11,4,10,5.25
11,102,승리,신 짜오,yizhiyu,16,3,10,8.666666666666666
12,102,승리,라이즈,FeelsAwesomeMan,6,6,11,2.8333333333333335
13,102,승리,트리스타나,RRRuleRRR,3,8,9,1.5
14,102,승리,알리스타,IGS Coli,4,4,20,6.0
15,102,패배,제이스,뒷텔와드점,1,10,6,0.7
16,102,패배,카직스,DaYE,13,7,6,2.7142857142857144
17,102,패배,탈리야,마산가자,2,8,9,1.375
18,102,패배,애쉬,161561,6,7,9,2.142857142857143
19,102,패배,모르가나,BtC Joker,3,8,12,1.875
20,103,승리,잭스,나네쫓다꿈소년,11,2,2,6.5
21,103,승리,쉬바나,yizhiyu,3,2,5,4.0
22,103,승리,아지르,FW Maple,0,4,3,0.75
23,103,승리,미스 포츈,FVV BETTY,4,0,5,inf
24,103,승리,제라스,DWG ShowMaker,6,0,3,inf
25,103,패배,나르,단군의청춘부재,1,5,0,0.2
26,103,패배,카직스,Cuz2,3,2,4,3.5
27,103,패배,말자하,MVP Ian,4,5,2,1.2
28,103,패배,진,원딜둥이,0,7,1,0.14285714285714285
29,103,패배,블리츠크랭크,SKT T1 WoIf,0,5,2,0.4
30,104,승리,피오라,지현이의빗자루,4,0,2,inf
31,104,승리,쉬바나,yizhiyu,6,0,3,inf
32,104,승리,말자하,삼성갤럭시 Crown,2,2,2,2.0
33,104,승리,이즈리얼,991126,1,0,6,inf
34,104,승리,알리스타,IGS Coli,2,0,7,inf
35,104,패배,갱플랭크,RVS Poss,0,3,0,0.0
36,104,패배,신지드,네 명의 짐승 팀,2,3,0,0.6666666666666666
37,104,패배,조이,멘탈 실력 운,0,3,2,0.6666666666666666
38,104,패배,코그모,VIP 민형,0,3,0,0.0
39,104,패배,타릭,삼성갤럭시CoreJJ,0,3,0,0.0
40,105,승리,제이스,뒷텔와드점,6,7,3,1.2857142857142858
41,105,승리,쉬바나,yizhiyu,6,2,9,7.5
42,105,승리,아지르,FW Maple,7,2,5,6.0
43,105,승리,바루스,Yeeclipse,5,3,11,5.333333333333333
44,105,승리,블리츠크랭크,SKT T1 WoIf,1,5,10,2.2
45,105,패배,나르,나는야베이베이1,1,7,4,0.7142857142857143
46,105,패배,카직스,Afreeca M0wgli,5,4,4,2.25
47,105,패배,탈리야,마산가자,7,5,5,2.4
48,105,패배,진,DWG BeryL,4,3,6,3.3333333333333335
49,105,패배,쉔,By myself,2,6,11,2.1666666666666665
50,106,승리,케넨,Like Waves,2,3,2,1.3333333333333333
51,106,승리,쉬바나,yizhiyu,5,3,5,3.3333333333333335
52,106,승리,피즈,피넛사냥개1,6,4,5,2.75
53,106,승리,미스 포츈,그러면안돼요짜샤,3,2,8,5.5
54,106,승리,탐 켄치,YserAoA,4,1,5,9.0
55,106,패배,라이즈,find myself,7,3,0,2.3333333333333335
56,106,패배,렝가,삼성갤럭시 하루,3,3,1,1.3333333333333333
57,106,패배,신드라,송하영 팬,3,5,4,1.4
58,106,패배,이즈리얼,으아으앙으아앙,0,5,0,0.0
59,106,패배,쉔,삼성갤럭시CoreJJ,0,4,2,0.5
60,107,승리,블라디미르,멘탈 실력 운,4,5,10,2.8
61,107,승리,쉬바나,yizhiyu,7,7,11,2.5714285714285716
62,107,승리,베이가,By myself,9,5,8,3.4
63,107,승리,이즈리얼,Eyes,11,4,13,6.0
64,107,승리,레오나,fengquyunbuhui,3,4,19,5.5
65,107,패배,카밀,미율치에오,9,4,3,3.0
66,107,패배,자크,FVV BETTY,3,4,10,3.25
67,107,패배,아지르,mcmglllc,4,8,3,0.875
68,107,패배,칼리스타,바보팀원,7,10,5,1.2
69,107,패배,바드,단군의청춘부재,2,8,11,1.625
70,108,승리,럼블,최초공개할게요오,2,0,5,inf
71,108,승리,쉬바나,yizhiyu,5,2,5,5.0
72,108,승리,아지르,KDM PERT,7,5,4,2.2
73,108,승리,진,어껭간만에찾아뵙,6,2,7,6.5
74,108,승리,렝가,KDM 유준,10,6,4,2.3333333333333335
75,108,패배,자르반 4세,M1anhua,2,5,2,0.8
76,108,패배,리 신,jinwandalaohu,5,3,3,2.6666666666666665
77,108,패배,카사딘,나네쫓다꿈소년,2,9,2,0.4444444444444444
78,108,패배,이즈리얼,FVV BETTY,5,6,2,1.1666666666666667
79,108,패배,미스 포츈,YserAoA,1,7,6,1.0
80,109,승리,제이스,find myself,4,11,14,1.6363636363636365
81,109,승리,쉬바나,yizhiyu,9,9,10,2.111111111111111
82,109,승리,베이가,By myself,7,6,8,2.5
83,109,승리,진,GALA,12,4,8,5.0
84,109,승리,브라움,fengquyunbuhui,1,4,20,5.25
85,109,패배,루시안,11 14 9 7 8 20,11,9,6,1.8888888888888888
86,109,패배,렉사이,Wilder,7,4,15,5.5
87,109,패배,조이,마산가자,7,7,11,2.5714285714285716
88,109,패배,칼리스타,Mengqiuqiu,5,7,11,2.2857142857142856
89,109,패배,알리스타,J Spectre G,4,6,14,3.0
90,110,패배,마오카이,DaYE,1,7,3,0.5714285714285714
91,110,패배,쉬바나,yizhiyu,5,8,5,1.25
92,110,패배,카사딘,Yumemiru Shonen,4,5,3,1.4
93,110,패배,미스 포츈,7nian xing,4,6,2,1.0
94,110,패배,잔나,Eyes,2,9,9,1.2222222222222223
95,110,승리,갱플랭크,Shi  Yue,6,4,5,2.75
96,110,승리,렝가,삼성갤럭시 하루,17,2,9,13.0
97,110,승리,피즈,그러면안돼요짜샤,6,4,10,4.0
98,110,승리,진,혼자가 편해졌어,4,3,6,3.3333333333333335
99,110,승리,알리스타,호잇이,2,3,13,5.0
100,111,,쉬바나,yizhiyu,0,1,0,0.0
101,111,,리 신,Martin VG,0,0,0,
102,111,,샤코,Beam On,0,0,0,
103,111,,말자하,상어가족,0,0,0,
104,111,,스카너,Lgp,0,1,0,0.0
105,111,,쉔,M1anhua,0,0,0,
106,111,,카직스,갱만가드림,0,0,0,
107,111,,잭스,나네쫓다꿈소년,1,0,0,inf
108,111,,미스 포츈,혼자해도충분하다,0,0,0,
109,111,,야스오,R0ver,0,0,1,inf
110,112,승리,제이스,암고잉빽투더스탙,16,1,8,24.0
111,112,승리,쉬바나,yizhiyu,9,4,10,4.75
112,112,승리,갈리오,DaYE,1,2,19,10.0
113,112,승리,진,Yumemiru Shonen,13,3,11,8.0
114,112,승리,알리스타,Z 2017 11 25,2,5,21,4.6
115,112,패배,잭스,수지Suzy,1,10,5,0.6
116,112,패배,세주아니,so nihao zaijian,2,9,8,1.1111111111111112
117,112,패배,라이즈,find myself,1,7,3,0.5714285714285714
118,112,패배,미스 포츈,FVV BETTY,5,7,7,1.7142857142857142
119,112,패배,마오카이,진쟤승,6,8,6,1.5
120,113,승리,쉬바나,yizhiyu,5,5,9,2.8
121,113,승리,바루스,FVV BETTY,5,4,11,4.0
122,113,승리,에코,트와이스 원스,11,6,4,2.5
123,113,승리,일라오이,1987 Plls,10,4,4,3.5
124,113,승리,마오카이,GuGer,2,3,13,5.0
125,113,패배,카밀,Delicious Fish,1,8,10,1.375
126,113,패배,진,점점나의마음이끌,8,4,5,3.25
127,113,패배,렝가,XinyiQAQ,8,8,4,1.5
128,113,패배,타릭,토마토페이스트,0,8,8,1.0
129,113,패배,말자하,Hide on bush,5,5,11,3.2
130,114,패배,나르,SKT T1 WoIf,1,8,4,0.625
131,114,패배,신 짜오,yizhiyu,5,6,2,1.1666666666666667
132,114,패배,코르키,박효신사생팬,5,6,6,1.8333333333333333
133,114,패배,이즈리얼,161561,5,7,4,1.2857142857142858
134,114,패배,탐 켄치,supbest,0,6,7,1.1666666666666667
135,114,승리,카밀,피넛사냥개2,6,6,9,2.5
136,114,승리,렝가,9346,8,1,10,18.0
137,114,승리,아지르,KDM PERT,10,3,7,5.666666666666667
138,114,승리,칼리스타,먹는건즐거워,8,2,5,6.5
139,114,승리,쓰레쉬,A weak youth,1,4,16,4.25
140,115,승리,나르,Eth4n,7,3,2,3.0
141,115,승리,신 짜오,yizhiyu,6,4,6,3.0
142,115,승리,말자하,진에어 저스티스,6,0,8,inf
143,115,승리,미스 포츈,6 18 5 25 1,5,2,7,6.0
144,115,승리,알리스타,supbest,1,4,10,2.75
145,115,패배,일라오이,FVV BETTY,1,8,3,0.5
146,115,패배,렝가,죠토마킹,7,7,3,1.4285714285714286
147,115,패배,조이,By myself,3,4,3,1.5
148,115,패배,진,19980823,2,2,1,1.5
149,115,패배,탐 켄치,MinKOOK2,0,4,6,1.5
150,116,패배,케넨,1987 Plls,2,1,5,7.0
151,116,패배,쉬바나,yizhiyu,7,4,4,2.75
152,116,패배,트위스티드 페이트,상어가족,1,3,6,2.3333333333333335
153,116,패배,진,벤센트불탄,5,5,4,1.8
154,116,패배,제라스,heeseong,1,4,6,1.75
155,116,승리,요릭,나는여자가좋아요,1,3,0,0.3333333333333333
156,116,승리,카밀,MooJin,6,4,3,2.25
157,116,승리,아지르,chirchri,3,2,3,3.0
158,116,승리,미스 포츈,FVV BETTY,7,1,6,13.0
159,116,승리,탐 켄치,Gambit Support,0,6,9,1.5
160,117,패배,카밀,망고코코아,0,3,2,0.6666666666666666
161,117,패배,카직스,장난 꾸러기 돼지,1,3,0,0.3333333333333333
162,117,패배,조이,Zhongdan XD,1,6,2,0.5
163,117,패배,진,mentalboomKid,2,1,1,3.0
164,117,패배,브라움,yizhiyu,2,2,1,1.5
165,117,승리,잭스,Heiz4,5,1,0,5.0
166,117,승리,니달리,분당고 엄성현,3,3,6,3.0
167,117,승리,말자하,상어가족,4,2,2,3.0
168,117,승리,칼리스타,혼자가 편해졌어,2,0,2,inf
169,117,승리,알리스타,나는야베이베이1,1,0,4,inf
170,118,승리,판테온,Zhongdan XD,13,1,8,21.0
171,118,승리,쉬바나,yizhiyu,10,2,4,7.0
172,118,승리,트위스티드 페이트,TeachersWu,7,1,8,15.0
173,118,승리,바루스,hard girl,2,3,9,3.6666666666666665
174,118,승리,제라스,11 14 9 7 8 20,3,5,10,2.6
175,118,패배,갱플랭크,Eth4n,1,10,4,0.5
176,118,패배,니달리,진에어 저스티스,4,5,3,1.4
177,118,패배,라이즈,마산가자,2,8,4,0.75
178,118,패배,이즈리얼,6학년4반장용준,4,6,3,1.1666666666666667
179,118,패배,블리츠크랭크,Detiny,1,6,4,0.8333333333333334
180,119,승리,갱플랭크,ysdgqxcj,1,0,8,inf
181,119,승리,쉬바나,yizhiyu,10,1,11,21.0
182,119,승리,르블랑,풀 뜯는 미드,12,3,7,6.333333333333333
183,119,승리,애쉬,hard girl,1,1,4,5.0
184,119,승리,잔나,Dutch Coffee,2,1,14,16.0
185,119,패배,나르,SKT T1 Bang,0,5,1,0.2
186,119,패배,렝가,SKT T1 WoIf,3,6,0,0.5
187,119,패배,아지르,LFT MID,2,6,2,0.6666666666666666
188,119,패배,진,Rachel Berry,0,5,2,0.4
189,119,패배,쉔,중요한건마음가짐,1,4,1,0.5
190,120,승리,갱플랭크,bbq Tempt,3,5,3,1.2
191,120,승리,렝가,9346,10,6,3,2.1666666666666665
192,120,승리,베이가,kt Ucal,4,0,6,inf
193,120,승리,진,여청추,10,4,4,3.5
194,120,승리,브라움,yizhiyu,1,2,14,7.5
195,120,패배,카밀,쌀국수뚝붸기,4,5,3,1.4
