,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,1400,패배,퀸,매우뚱뚱한고양이,5,14,8,0.9285714285714286
1,1400,패배,자르반 4세,ROX 곰,3,10,11,1.4
2,1400,패배,아지르,성혁님미드가신다,8,5,6,2.8
3,1400,패배,시비르,선비모드,10,10,8,1.8
4,1400,패배,알리스타,구직자 쭈스,2,9,15,1.8888888888888888
5,1400,승리,제이스,Alielie,21,6,9,5.0
6,1400,승리,세주아니,Afreeca M0wgli,1,4,19,5.0
7,1400,승리,피들스틱,1414774182,9,6,16,4.166666666666667
8,1400,승리,미스 포츈,피넛사냥개1,14,6,11,4.166666666666667
9,1400,승리,블리츠크랭크,w1sdom ovo,3,6,21,4.0
10,1401,패배,사이온,우르프rider,2,6,7,1.5
11,1401,패배,자르반 4세,커닝시티 피그미,11,6,8,3.1666666666666665
12,1401,패배,트위스티드 페이트,ysdgqxcj,1,4,12,3.25
13,1401,패배,코그모,바보처럼 왜,7,4,5,3.0
14,1401,패배,쉔,구직자 쭈스,1,5,12,2.6
15,1401,승리,제이스,Heiz4,2,7,8,1.4285714285714286
16,1401,승리,쉬바나,Cuz2,11,2,9,10.0
17,1401,승리,라이즈,나는야 누구일까,6,4,10,4.0
18,1401,승리,미스 포츈,ROX Sangyoon,5,5,12,3.4
19,1401,승리,소라카,YOYOuuuuuO,1,4,18,4.75
20,1402,승리,블라디미르,kfo,3,4,7,2.5
21,1402,승리,자르반 4세,커닝시티 피그미,6,6,11,2.8333333333333335
22,1402,승리,아지르,미율치에오,4,8,12,2.0
23,1402,승리,미스 포츈,먹는건즐거워,11,5,6,3.4
24,1402,승리,쉔,구직자 쭈스,2,5,13,3.0
25,1402,패배,럼블,우에하라 크롱,7,4,6,3.25
26,1402,패배,렝가,wo yao qu daye,5,5,10,3.0
27,1402,패배,라이즈,Afreeca Ruby,5,5,10,3.0
28,1402,패배,진,LPL noob ad QAQ,7,4,11,4.5
29,1402,패배,바드,Lvmao,4,8,12,2.0
30,1403,승리,잭스,담원 너구리,10,5,6,3.2
31,1403,승리,니달리,DS XiaoPeng,7,4,16,5.75
32,1403,승리,카사딘,11 14 9 7 8 20,11,3,9,6.666666666666667
33,1403,승리,바루스,비 브이 오 와이,0,5,8,1.6
34,1403,승리,쉔,구직자 쭈스,3,4,16,4.75
35,1403,패배,나르,미율치에오,3,10,5,0.8
36,1403,패배,엘리스,마이엠브,7,7,10,2.4285714285714284
37,1403,패배,르블랑,풀 뜯는 미드,3,6,7,1.6666666666666667
38,1403,패배,진,DWG BeryL,8,4,8,4.0
39,1403,패배,타릭,호잇이,0,4,16,4.0
40,1404,승리,카밀,미율치에오,7,6,5,2.0
41,1404,승리,니달리,DS XiaoPeng,11,1,12,23.0
42,1404,승리,카타리나,h1rb,4,5,2,1.2
43,1404,승리,미스 포츈,담원 크러쉬,4,1,8,12.0
44,1404,승리,타릭,구직자 쭈스,2,2,12,7.0
45,1404,패배,자르반 4세,담원 너구리,9,6,3,2.0
46,1404,패배,세주아니,마이엠브,1,4,7,2.0
47,1404,패배,조이,삼성갤럭시 Crown,2,7,4,0.8571428571428571
48,1404,패배,트리스타나,Mengqiuqiu,1,7,0,0.14285714285714285
