,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,1479,패배,일라오이,춘봉박,1,7,0,0.14285714285714285
1,1479,패배,리 신,성혁님미드가신다,3,2,0,1.5
2,1479,패배,아지르,chirchri,0,8,0,0.0
3,1479,패배,드레이븐,SnakeLight,0,6,1,0.16666666666666666
4,1479,패배,카르마,남 탓 보 다 반성,1,3,0,0.3333333333333333
5,1479,승리,카밀,나는야 누구일까,6,1,4,10.0
6,1479,승리,쉬바나,yizhiyu,4,1,7,11.0
7,1479,승리,르블랑,검은머리사나이,10,0,6,inf
8,1479,승리,이즈리얼,VIP 민형,3,2,4,3.5
9,1479,승리,쓰레쉬,160810,3,1,8,11.0
10,1480,승리,나르,jjijiijijljli,2,6,9,1.8333333333333333
11,1480,승리,니달리,남 탓 보 다 반성,6,6,10,2.6666666666666665
12,1480,승리,탈리야,FeelsAwesomeMan,7,4,13,5.0
13,1480,승리,애쉬,asfd12,10,2,12,11.0
14,1480,승리,타릭,YOYOuuuuuO,3,4,18,5.25
15,1480,패배,제이스,ysdgqxcj,6,4,5,2.75
16,1480,패배,쉬바나,ROX 곰,6,6,5,1.8333333333333333
17,1480,패배,피들스틱,1414774182,3,8,10,1.625
18,1480,패배,이즈리얼,Rain1ng,4,5,4,1.6
19,1480,패배,카르마,Kerla,2,5,12,2.8
20,1481,승리,제이스,CutieMisaki,7,5,17,4.8
21,1481,승리,자르반 4세,남 탓 보 다 반성,8,5,17,5.0
22,1481,승리,카사딘,El psy Congro0,7,9,17,2.6666666666666665
23,1481,승리,진,LPL noob ad QAQ,18,4,17,8.75
24,1481,승리,제라스,11 14 9 7 8 20,14,6,21,5.833333333333333
25,1481,패배,카밀,담원 너구리,7,9,5,1.3333333333333333
26,1481,패배,쉬바나,ROX 곰,10,6,7,2.8333333333333335
27,1481,패배,라이즈,Kingen,4,11,5,0.8181818181818182
28,1481,패배,애쉬,161561,1,22,7,0.36363636363636365
29,1481,패배,미스 포츈,Find Realey,7,6,4,1.8333333333333333
30,1482,승리,카사딘,남 탓 보 다 반성,4,1,3,7.0
31,1482,승리,세주아니,마이엠브,10,2,8,9.0
32,1482,승리,자르반 4세,Kingen,4,4,9,3.25
33,1482,승리,이즈리얼,Bvoy,6,1,10,16.0
34,1482,승리,카르마,토마토페이스트,1,1,15,16.0
35,1482,패배,블라디미르,담원 너구리,1,2,1,1.0
36,1482,패배,엘리스,종학윙,4,5,1,1.0
37,1482,패배,제이스,11 14 9 7 8 20,2,9,1,0.3333333333333333
38,1482,패배,미스 포츈,어껭간만에찾아뵙,1,5,3,0.8
39,1482,패배,나미,Find Realey,1,5,4,1.0
40,1483,패배,나르,우에하라 크롱,2,6,2,0.6666666666666666
41,1483,패배,니달리,DS XiaoPeng,3,5,9,2.4
42,1483,패배,바루스,PawN God,3,8,6,1.125
43,1483,패배,미스 포츈,Mengqiuqiu,9,4,2,2.75
44,1483,패배,라칸,남 탓 보 다 반성,0,6,12,2.0
45,1483,승리,카밀,담원 너구리,5,3,11,5.333333333333333
46,1483,승리,세주아니,마이엠브,4,1,13,17.0
47,1483,승리,카타리나,find myself,13,7,8,3.0
48,1483,승리,진,Bvoy,5,3,4,3.0
49,1483,승리,자이라,A weak youth,2,3,4,2.0
50,1484,승리,카밀,JAG S0hwan,11,9,9,2.2222222222222223
51,1484,승리,카직스,스마트섹시뷰티,9,4,9,4.5
52,1484,승리,카시오페아,남 탓 보 다 반성,7,7,8,2.142857142857143
53,1484,승리,진,SKT T1 Bang,10,6,7,2.8333333333333335
54,1484,승리,쉔,wojuede OK,3,6,16,3.1666666666666665
55,1484,패배,오른,7hal,4,8,15,2.375
56,1484,패배,자르반 4세,커닝시티 피그미,7,7,17,3.4285714285714284
57,1484,패배,라이즈,FeelsAwesomeMan,10,8,7,2.125
58,1484,패배,미스 포츈,먹는건즐거워,6,8,11,2.125
59,1484,패배,제라스,진쟤승,5,9,9,1.5555555555555556
60,1485,패배,카밀,세메론,2,5,5,1.4
61,1485,패배,카직스,욘 드,9,2,4,6.5
62,1485,패배,신드라,남 탓 보 다 반성,3,4,8,2.75
63,1485,패배,진,쌀국수뚝붸기,1,4,9,2.5
64,1485,패배,탐 켄치,진쟤승,0,7,3,0.42857142857142855
65,1485,승리,나르,우에하라 크롱,2,1,7,9.0
66,1485,승리,엘리스,J Spectre G,4,4,8,3.0
67,1485,승리,블라디미르,최석배 사생팬,7,5,8,3.0
68,1485,승리,미스 포츈,FVV BETTY,6,3,6,4.0
69,1485,승리,레오나,SKT T1 Untara,3,2,9,6.0
70,1486,패배,제이스,Jisu,9,7,6,2.142857142857143
71,1486,패배,세주아니,Destiny,2,8,9,1.375
72,1486,패배,오리아나,남 탓 보 다 반성,3,6,7,1.6666666666666667
73,1486,패배,칼리스타,ROX Sangyoon,6,6,7,2.1666666666666665
74,1486,패배,레오나,12월27,1,7,12,1.8571428571428572
75,1486,승리,케넨,JAG S0hwan,9,8,10,2.375
76,1486,승리,쉬바나,좋은날,6,2,15,10.5
77,1486,승리,카사딘,sanspareil1,12,5,10,4.4
78,1486,승리,진,퓨 Zl,6,2,20,13.0
79,1486,승리,알리스타,FeelsLovelyMan,1,4,23,6.0
80,1487,패배,마오카이,Lvmao,0,4,3,0.75
81,1487,패배,리 신,분당고 엄성현,5,5,3,1.6
82,1487,패배,카사딘,남 탓 보 다 반성,1,3,2,1.0
83,1487,패배,트리스타나,STITCH1,1,4,3,1.0
84,1487,패배,룰루,FeelsLovelyMan,1,6,3,0.6666666666666666
85,1487,승리,클레드,JAG S0hwan,3,5,4,1.4
86,1487,승리,카직스,좋은날,5,0,4,inf
87,1487,승리,아지르,Heart,6,1,6,12.0
88,1487,승리,미스 포츈,FVV BETTY,5,1,5,10.0
89,1487,승리,레오나,FW SwordArT,3,2,10,6.5
90,1488,승리,나르,돌잔치때도란잡음,7,2,7,7.0
91,1488,승리,세주아니,F0y,2,1,15,17.0
92,1488,승리,탈리야,남 탓 보 다 반성,4,4,6,2.5
93,1488,승리,미스 포츈,Excal1bur1,9,1,8,17.0
94,1488,승리,잔나,해운대잠만보,1,2,17,9.0
95,1488,패배,마오카이,니달리버프좀해줘,1,5,3,0.8
96,1488,패배,자르반 4세,ROX 곰,5,4,3,2.0
97,1488,패배,오리아나,LFT MID,1,3,4,1.6666666666666667
98,1488,패배,이즈리얼,ROX Sangyoon,1,6,3,0.6666666666666666
99,1488,패배,카르마,BtC Joker,2,5,1,0.6
100,1489,승리,제이스,우르프rider,13,4,14,6.75
101,1489,승리,세주아니,F0y,5,5,18,4.6
102,1489,승리,탈리야,남 탓 보 다 반성,13,6,18,5.166666666666667
103,1489,승리,시비르,BtC Joker,7,4,13,5.0
104,1489,승리,나미,12월27,2,4,20,5.5
105,1489,패배,사이온,p1g farm,4,8,9,1.625
106,1489,패배,신 짜오,나는야베이베이1,4,11,7,1.0
107,1489,패배,말자하,wdmdsyqf,6,7,7,1.8571428571428572
108,1489,패배,트위치,ROX Sangyoon,7,9,10,1.8888888888888888
109,1489,패배,타릭,MataMataMata,2,6,13,2.5
110,1490,승리,카밀,삼성갤럭시 cuvee,4,1,2,6.0
111,1490,승리,렝가,twice손채영,7,2,1,4.0
112,1490,승리,탈리야,남 탓 보 다 반성,7,1,6,13.0
113,1490,승리,진,Mengqiuqiu,3,1,7,10.0
114,1490,승리,조이,DWG BeryL,2,3,13,5.0
115,1490,패배,피오라,세메론,0,4,0,0.0
116,1490,패배,자르반 4세,우철짱123,2,5,3,1.0
117,1490,패배,오리아나,LFT MID,1,3,1,0.6666666666666666
118,1490,패배,바루스,MVP Ian,2,5,2,0.8
119,1490,패배,미스 포츈,IgNar,2,6,2,0.6666666666666666
120,1491,승리,잭스,담원 너구리,2,3,2,1.3333333333333333
121,1491,승리,카직스,Twink1e,7,1,2,9.0
122,1491,승리,탈리야,남 탓 보 다 반성,6,0,3,inf
