,MatchNumber,GameResult,Champion,Nickname,Kill,Death,Assist,KDA
0,1081,승리,칼리스타,김메피,9,3,9,6.0
1,1081,승리,케넨,우에하라 크롱,8,5,9,3.4
2,1081,승리,라이즈,MVP Ian,2,1,13,15.0
3,1081,승리,제라스,LPL noob ad QAQ,6,8,14,2.5
4,1081,승리,자르반 4세,단군의청춘부재,9,5,18,5.4
5,1081,패배,니달리,J Spectre G,3,6,7,1.6666666666666667
6,1081,패배,블리츠크랭크,DWG ShowMaker,1,9,10,1.2222222222222223
7,1081,패배,잭스,나네쫓다꿈소년,7,7,2,1.2857142857142858
8,1081,패배,탈리야,Hide on bush,8,5,3,2.2
9,1081,패배,진,FeelsCoffeeMan,3,8,8,1.375
10,1082,패배,나르,단군의청춘부재,1,5,0,0.2
11,1082,패배,카직스,Cuz2,3,2,4,3.5
12,1082,패배,말자하,MVP Ian,4,5,2,1.2
13,1082,패배,진,원딜둥이,0,7,1,0.14285714285714285
14,1082,패배,블리츠크랭크,SKT T1 WoIf,0,5,2,0.4
15,1082,승리,잭스,나네쫓다꿈소년,11,2,2,6.5
16,1082,승리,쉬바나,yizhiyu,3,2,5,4.0
17,1082,승리,아지르,FW Maple,0,4,3,0.75
18,1082,승리,미스 포츈,FVV BETTY,4,0,5,inf
19,1082,승리,제라스,DWG ShowMaker,6,0,3,inf
20,1083,승리,카밀,우철짱123,3,4,2,1.25
21,1083,승리,니달리,Cuz2,4,1,8,12.0
22,1083,승리,제이스,단군의청춘부재,6,5,5,2.2
23,1083,승리,진,원딜둥이,3,3,9,4.0
24,1083,승리,탐 켄치,삼성갤럭시CoreJJ,4,3,13,5.666666666666667
25,1083,패배,쉔,MVP ADD,1,4,5,1.5
26,1083,패배,자르반 4세,P2k Key,7,1,7,14.0
27,1083,패배,케넨,송하영 팬,3,5,6,1.8
28,1083,패배,애쉬,튀자튀자아,4,5,6,2.0
29,1083,패배,알리스타,FVV BETTY,1,5,6,1.4
30,1084,패배,오른,미율치에오,7,4,2,2.25
31,1084,패배,엘리스,종학윙,8,9,5,1.4444444444444444
32,1084,패배,라이즈,단군의청춘부재,2,8,8,1.25
33,1084,패배,미스 포츈,RRRuleRRR,8,7,6,2.0
34,1084,패배,자이라,Wilder,1,8,11,1.5
35,1084,승리,피오라,Gon123,4,4,5,2.25
36,1084,승리,리 신,Boldness,7,5,10,3.4
37,1084,승리,말자하,LPL noob ad QAQ,9,5,4,2.6
38,1084,승리,자야,원딜둥이,14,8,9,2.875
39,1084,승리,라칸,FVV BETTY,2,4,26,7.0
40,1085,승리,카밀,Gon123,7,1,6,13.0
41,1085,승리,세주아니,Boldness,3,2,12,7.5
42,1085,승리,라이즈,단군의청춘부재,8,4,9,4.25
43,1085,승리,바루스,FVV BETTY,3,4,10,3.25
44,1085,승리,제라스,fengquyunbuhui,7,1,13,20.0
45,1085,패배,잭스,쌀국수뚝붸기,1,8,3,0.5
46,1085,패배,렝가,Wilder,2,4,3,1.25
47,1085,패배,말자하,LPL noob ad QAQ,5,9,1,0.6666666666666666
48,1085,패배,이즈리얼,RRRuleRRR,2,5,0,0.4
49,1085,패배,블리츠크랭크,Mengqiuqiu,2,2,4,3.0
50,1086,패배,카밀,미율치에오,9,4,3,3.0
51,1086,패배,자크,FVV BETTY,3,4,10,3.25
52,1086,패배,아지르,mcmglllc,4,8,3,0.875
53,1086,패배,칼리스타,바보팀원,7,10,5,1.2
54,1086,패배,바드,단군의청춘부재,2,8,11,1.625
55,1086,승리,블라디미르,멘탈 실력 운,4,5,10,2.8
56,1086,승리,쉬바나,yizhiyu,7,7,11,2.5714285714285716
57,1086,승리,베이가,By myself,9,5,8,3.4
58,1086,승리,이즈리얼,Eyes,11,4,13,6.0
59,1086,승리,레오나,fengquyunbuhui,3,4,19,5.5
60,1087,패배,카밀,쌀국수뚝붸기,1,10,1,0.2
61,1087,패배,자르반 4세,삼성갤럭시 하루,3,8,3,0.75
62,1087,패배,아지르,삼성갤럭시 Crown,2,12,1,0.25
63,1087,패배,바루스,단군의청춘부재,7,7,1,1.1428571428571428
64,1087,패배,카르마,Jin air Yaharong,1,4,9,2.5
65,1087,승리,나르,ROX Hoon,8,1,9,17.0
66,1087,승리,니달리,So1o,6,4,12,4.5
67,1087,승리,르블랑,너와나의연결Gori,21,2,4,12.5
68,1087,승리,애쉬,Reborn3,3,4,6,2.25
69,1087,승리,쉔,JAG S0hwan,3,3,16,6.333333333333333
70,1088,승리,제이스,RVS Poss,5,4,1,1.5
71,1088,승리,쉬바나,Flyquest Flame,4,1,5,9.0
72,1088,승리,라이즈,단군의청춘부재,3,0,3,inf
73,1088,승리,미스 포츈,Atlen,4,3,5,3.0
74,1088,승리,소라카,YOYOuuuuuO,0,2,7,3.5
75,1088,패배,갱플랭크,최초공개할게요오,2,3,2,1.3333333333333333
76,1088,패배,엘리스,멍멍이2,2,3,3,1.6666666666666667
77,1088,패배,아지르,KDM PERT,1,4,2,0.75
78,1088,패배,자야,SnakeLight,4,3,4,2.6666666666666665
79,1088,패배,레오나,Kingen,1,3,6,2.3333333333333335
80,1089,승리,사이온,7hal,6,1,18,24.0
81,1089,승리,니달리,해운대잠만보,10,2,11,10.5
82,1089,승리,라이즈,단군의청춘부재,9,4,11,5.0
83,1089,승리,진,혼자해도충분하다,7,3,11,6.0
84,1089,승리,카르마,Republic123,0,5,16,3.2
85,1089,패배,제이스,쌀국수뚝붸기,5,8,1,0.75
86,1089,패배,세주아니,쁘띠예리사랑해요,1,9,8,1.0
87,1089,패배,말자하,MVP Ian,2,7,8,1.4285714285714286
88,1089,패배,시비르,비 브이 오 와이,4,3,8,4.0
89,1089,패배,제라스,YserAoA,3,5,7,2.0
90,1090,패배,럼블,쌀국수뚝붸기,1,4,1,0.5
91,1090,패배,쉬바나,마이엠브,2,3,1,1.0
92,1090,패배,아지르,단군의청춘부재,0,4,1,0.25
93,1090,패배,애쉬,아이러니,0,2,1,0.5
94,1090,패배,블리츠크랭크,Avicii fans,2,5,1,0.6
95,1090,승리,오른,7hal,1,0,4,inf
96,1090,승리,카직스,쁘띠예리사랑해요,3,2,12,7.5
97,1090,승리,블라디미르,MVP Ian,2,3,3,1.6666666666666667
98,1090,승리,시비르,비 브이 오 와이,10,0,5,inf
